,Unnamed: 0,date,sentiment_score,content,source,real_date
0,5844,2019-01-14,0.710756,【上港集团业绩快报：2018年净利102.8亿元 同比降10.9%】上港集团1月14日晚发布业绩快报，公司2018年营收为381.5亿元，同比增长2%；净利为102.8亿元，同比下降10.9%。,sina,2019-01-15
1,3779,2019-01-14,0.9513969999999999,【央视《资本的力量》专题片播出 提及多家上市公司】专题片《资本的力量》由中央广播电视总台财经频道和上交所、深交所联合制作，于1月14日-1月18日晚20点档在央视财经频道播出。本片共五集，每集三十分钟。以四十年改革开放为背景，讲述了我国资本市场伴随着改革开放不断成长、壮大的过程，展现资本市场对中国经济发展的助推。1月14日的节目中提及上港集团、海康威视、福耀玻璃等多家上市公司。,eastmoney,2019-01-15
2,6910,2019-01-14,0.7872979999999999,上港集团业绩快报：2018年度实现营收381.5亿元，同比增长2%；实现净利润102.8亿元，同比下降10.9%。,wallstreetcn,2019-01-15
3,7828,2019-01-15,0.8920389999999999,"小葱APP讯，上港集团（600018.SH）总裁严俊在接受采访时表示，理想中的全球区块链联盟架构应该是“区域链”、“行业链”和“国际联盟链”，三者是相互融合的关系。区块链相关方要有以下四点共识：第一是认同行业标准；第二是认同链圈技术可以得到应用；第三是认同“航运链圈”架构的价值；最后是共同参与，即所有成员都要遵循利益分配格局的架构设计。他还表示，航运区块链的应用已经看见了曙光。（上海港口）
",wallstreetcn,2019-01-15
4,7989,2019-01-28,0.822846,【官宣！武磊加盟巴萨死敌将征战西甲 开启留洋之路】北京时间1月28日消息，巴塞罗那皇家西班牙人足球俱乐部与上海上港集团足球俱乐部就中国国脚武磊的转会达成一致，武磊将身披24号战袍为西班牙人征战各项赛事。（新浪体育）,eastmoney,2019-01-29
5,16315,2019-01-28,0.918384,"【上港球员武磊转会加盟西甲皇家西班牙人足球俱乐部】上海上港集团足球俱乐部已与西班牙甲级联赛的皇家西班牙人足球俱乐部达成一致，球队前锋、国脚武磊将以转会的方式登陆西甲，在本年度冬季转会期间正式加盟西班牙人俱乐部。
选股宝注：星辉娱乐2015年11月3日宣布，拟以不超6434.80万欧元收购并增资西班牙人俱乐部，取得合计超过50.1%股权，并承接对其不超过4100万欧元融资担保。",wallstreetcn,2019-01-29
6,13140,2019-01-28,0.890884,【中国球星武磊加盟星辉娱乐控股的西甲西班牙人足球俱乐部】皇家西班牙人足球俱乐部与上海上港集团足球俱乐部就中国国脚武磊的转会达成一致，球员将身披24号战袍为西班牙人征战各项赛事。星辉娱乐2015年11月3日宣布，拟以不超6434.80万欧元收购并增资西班牙人俱乐部，取得合计超过50.1%股权，并承接对其不超过4100万欧元融资担保。,sina,2019-01-29
7,26439,2019-02-19,0.967039,"【沪浙两大港口签约，共推小洋山综合开发】由浙江省委书记车俊，省长袁家军率领的浙江省党政代表团今天来沪共商深化沪浙两地合作。会后，沪浙两地领导共同见证上海国际港务（集团）股份有限公司与浙江省海港投资运营集团有限公司签署《小洋山港区综合开发合作协议》。浙江海港集团将向上港集团全资子公司上海盛东国际集装箱码头有限公司增资，合资后的盛东公司继续经营洋山深水港区一、二期集装箱码头，并作为小洋山北侧集装箱支线码头的建设和经营主体。
",wallstreetcn,2019-02-20
8,26445,2019-02-19,0.967039,【沪浙两大港口签约，共推小洋山综合开发】由浙江省委书记车俊，省长袁家军率领的浙江省党政代表团今天来沪共商深化沪浙两地合作。会后，沪浙两地领导共同见证上海国际港务（集团）股份有限公司与浙江省海港投资运营集团有限公司签署《小洋山港区综合开发合作协议》。浙江海港集团将向上港集团全资子公司上海盛东国际集装箱码头有限公司增资，合资后的盛东公司继续经营洋山深水港区一、二期集装箱码头，并作为小洋山北侧集装箱支线码头的建设和经营主体。,wallstreetcn,2019-02-20
9,9216,2019-02-19,0.963958,云财经讯，由浙江省委书记车俊，省长袁家军率领的浙江省党政代表团今天来沪共商深化沪浙两地合作。会后，沪浙两地领导共同见证上海国际港务（集团）股份有限公司与浙江省海港投资运营集团有限公司签署《小洋山港区综合开发合作协议》。浙江海港集团将向上港集团全资子公司上海盛东国际集装箱码头有限公司增资，合资后的盛东公司继续经营洋山深水港区一、二期集装箱码头，并作为小洋山北侧集装箱支线码头的建设和经营主体。,yuncaijing,2019-02-20
10,27469,2019-02-20,0.9608479999999999,【沪浙联手开发小洋山港区，一期工程将在今年年内开工】昨天上港集团与浙江海港集团签署了《小洋山港区综合开发合作协议》，上港集团董事长陈戌源透露，一期工程将在今年年内开工。一期工程包含了小洋山北侧1200米岸线，吞吐能力将在350万到400万标准箱。未来小洋山北侧开发后，将会为长江经济带的中转船舶开辟专用的泊位，这样将显著提升整个长江经济带水运中转的效率，降低中转的成本。这也是沪浙两地携手服务整个长江经济带、落实长三角一体化发展国家战略的具体行动。（看看新闻）,wallstreetcn,2019-02-21
11,9750,2019-02-20,0.950081,云财经讯，昨天上港集团与浙江海港集团签署了《小洋山港区综合开发合作协议》，上港集团董事长陈戌源告诉看看新闻记者，一期工程将在今年年内开工。一期工程包含了小洋山北侧1200米岸线，吞吐能力将在350万到400万标准箱。未来小洋山北侧开发后，将会为长江经济带的中转船舶开辟专用的泊位，这样将显著提升整个长江经济带水运中转的效率，降低中转的成本。这也是沪浙两地携手服务整个长江经济带、落实长三角一体化发展国家战略的具体行动。（看看新闻）,yuncaijing,2019-02-21
12,22153,2019-02-20,0.9513219999999999,【沪浙联手开发小洋山港区 一期工程将在今年年内开工】昨天上港集团与浙江海港集团签署了《小洋山港区综合开发合作协议》，上港集团董事长陈戌源告诉看看新闻记者，一期工程将在今年年内开工。一期工程包含了小洋山北侧1200米岸线，吞吐能力将在350万到400万标准箱。未来小洋山北侧开发后，将会为长江经济带的中转船舶开辟专用的泊位，这样将显著提升整个长江经济带水运中转的效率，降低中转的成本。这也是沪浙两地携手服务整个长江经济带、落实长三角一体化发展国家战略的具体行动。（看看新闻）,sina,2019-02-21
13,14236,2019-02-20,0.9458850000000001,【沪浙联手开发小洋山港区 一期工程将在今年年内开工】昨天上港集团与浙江海港集团签署了《小洋山港区综合开发合作协议》，上港集团董事长陈戌源告诉看看新闻记者，一期工程将在今年年内开工。一期工程包含了小洋山北侧1200米岸线，吞吐能力将在350万到400万标准箱。未来小洋山北侧开发后，将会为长江经济带的中转船舶开辟专用的泊位，这样将显著提升整个长江经济带水运中转的效率，降低中转的成本。这也是沪浙两地携手服务整个长江经济带、落实长三角一体化发展国家战略的具体行动。(看看新闻),eastmoney,2019-02-21
14,32968,2019-02-28,0.8797,【上港集团收购中国最大内贸船公司20%股权】上港集团日前收购中国最大内贸船公司——上海泛亚航运有限公司20%股权。根据公开信息显示，2018年11月21日，泛亚公司在上海联合产权交易所公开挂牌转让20%股权，挂牌价格为8.54亿元人民币。（港口圈）,wallstreetcn,2019-03-01
15,12211,2019-02-28,0.880725,云财经讯，上港集团日前收购中国最大内贸船公司——上海泛亚航运有限公司20%股权。根据公开信息显示，2018年11月21日，泛亚公司在上海联合产权交易所公开挂牌转让20%股权，挂牌价格为8.54亿元人民币。（港口圈）,yuncaijing,2019-03-01
16,39877,2019-03-11,0.841751,"【3月11日资金流向】主力净流入行业板块前五：通信、物流、化工、银行、园区开发
主力净流入概念板块前五：智能电网、创投、白马股、充电桩、能源互联网
主力净流入个股前十：西安银行、张江高科、五粮液、中兴通讯、隆基股份、大华股份、水晶光电、上港集团、中国联通、歌尔股份",wallstreetcn,2019-03-11
17,40008,2019-03-11,0.933385,"【3月11日上午复盘】09:25 沪指低开0.03%，深成指涨0.66%，创业板涨1.14%
09:25 电力物联网开盘大涨，岷江水电、友讯达、远光软件、海兴电力集体一字板，消息面上，国家电网公司全面部署泛在电力物联网建设
09:25 申通快递一字涨停，封单超30万手，消息面上，阿里巴巴拟46.65亿元战略入股申通快递
09:31 创业板指开盘涨逾2%，深成指、沪指小幅跟涨
09:37 芯片板块表现活跃，盈方微、太极实业、士兰微、东软载波、必创科技等集体封板，上海新阳、同有科技纷纷走强
09:40 边缘计算龙头网宿科技大跌9%，京蓝科技、广东榕泰、朗源股份纷纷走弱
09:49 上海自由贸易港板块早盘走强，华贸物流大涨8%，上港集团、上海雅仕、畅联股份、上海物贸纷纷拉升
10:19 次新股板块持续走弱，紫金银行跌停，华林证券、新乳业、华培动力、蔚蓝生物纷纷走弱
10:31 创投板块异动，龙头张江高科封板，大众公用、电广传媒、九鼎投资、中原高速纷纷拉升
11:11 创业板指大涨3%，深成指涨2.4%，券商板块发力，国信证券强势涨停",wallstreetcn,2019-03-11
18,40068,2019-03-11,0.854168,上海自由贸易港板块早盘走强，华贸物流大涨8%，上港集团、上海雅仕、畅联股份、上海物贸纷纷拉升。,wallstreetcn,2019-03-11
19,31313,2019-03-11,0.7281770000000001,港口板块异动拉升，宁波港涨停，上港集团大涨9.8%逼近涨停，营口港、大连港、连云港、日照港、锦州港、南京港、盐田港等个股集体走强。,sina,2019-03-11
20,15630,2019-03-11,0.8536309999999999,云财经讯，上海自由贸易港板块早盘走强，华贸物流大涨8%，上港集团、上海雅仕、畅联股份、上海物贸纷纷拉升,yuncaijing,2019-03-11
21,20602,2019-03-11,0.718829,【港口板块异动拉升】东方财富网11日讯，港口板块异动拉升，宁波港涨停，上港集团大涨9.8%逼近涨停，营口港、大连港、连云港、日照港、锦州港、南京港、盐田港等个股集体走强。,eastmoney,2019-03-12
22,48580,2019-03-26,0.9656450000000001,【中远海运、上港集团董事长联袂访汉，武汉长江中游航运中心建设有望加速】3月25日，湖北省委副书记、省长王晓东在汉与到访的中远海运集团董事长许立荣、上海国际港务集团董事长陈戌源一行座谈。许立荣、陈戌源表示，中远海运集团、上港集团将继续深化与湖北的战略合作，加快发展铁水联运、江海联运，大力推进武汉长江中游航运中心建设。同日，武汉市与中远海运集团签订全面深化战略合作框架协议；与中远海运集团、上海国际港务集团签署三方合作备忘录，双方将深度推进在航运物流等方面合作，助力武汉枢纽港建设。（长江日报）,wallstreetcn,2019-03-27
23,20100,2019-03-26,0.9597600000000001,云财经讯，3月25日，湖北省委副书记、省长王晓东在汉与到访的中远海运集团董事长许立荣、上海国际港务集团董事长陈戌源一行座谈。许立荣、陈戌源表示，中远海运集团、上港集团将继续深化与湖北的战略合作，加快发展铁水联运、江海联运，大力推进武汉长江中游航运中心建设。同日，武汉市与中远海运集团签订全面深化战略合作框架协议；与中远海运集团、上海国际港务集团签署三方合作备忘录，双方将深度推进在航运物流等方面合作，助力武汉枢纽港建设。（长江日报）,yuncaijing,2019-03-27
24,49827,2019-03-27,0.5070859999999999,港口板块异动，龙头连云港再度冲板，上港集团、北部湾港、锦州港纷纷走强。,wallstreetcn,2019-03-27
