,Unnamed: 0,date,sentiment_score,content,source,real_date
0,148,2019-01-01,0.48686599999999997,【2019年首月，A股市场将迎2700亿解禁潮】统计显示，1月份面临解禁个股近200只，解禁股数量为2019年单月之最。以最新收盘价计算，合计解禁市值超2700亿元。具体来看，6股解禁市值超100亿元，分别为分众传媒、延安必康、协鑫集成、成都银行、中信银行和申万宏源。、,sina,2019-01-01
1,136,2019-01-01,0.546491,【2019年首月，A股市场将迎2700亿解禁潮】数据宝统计显示，1月份面临解禁个股近200只，解禁股数量为2019年单月之最。以最新收盘价计算，合计解禁市值超2700亿元。具体来看，6股解禁市值超100亿元，分别为分众传媒、延安必康、协鑫集成、成都银行、中信银行和申万宏源。,wallstreetcn,2019-01-01
2,30,2019-01-01,0.361563,2019年首月，A股市场将迎大规模解禁潮。1月份面临解禁个股近200只，解禁股数量为2019年单月之最。以最新收盘价计算，合计解禁市值超2700亿元。6股解禁市值超100亿元，分别为分众传媒、延安必康、协鑫集成、成都银行、中信银行和申万宏源。,10jqka,2019-01-01
3,119,2019-01-01,0.935349,云财经讯，数据宝统计显示，1月份面临解禁个股近200只，解禁股数量为2019年单月之最。以最新收盘价计算，合计解禁市值超2700亿元。具体来看，6股解禁市值超100亿元，分别为分众传媒、延安必康、协鑫集成、成都银行、中信银行和申万宏源。,yuncaijing,2019-01-01
4,105,2019-01-01,0.291562,【近2700亿市值解禁潮将至 冲击最大股是这几只？】2019年首月，A股市场将迎大规模解禁潮。统计显示，1月份面临解禁个股近200只，解禁股数量为2019年单月之最。以最新收盘价计算，合计解禁市值超2700亿元。具体来看，6股解禁市值超100亿元，分别为分众传媒、延安必康、协鑫集成、成都银行、中信银行和申万宏源。,eastmoney,2019-01-01
5,330,2019-01-02,0.605013,【中信银行：成都首套按揭利率无折扣】针对成都地区九折房贷消息，中信银行称：成都首套房贷利率不存在折扣。,sina,2019-01-03
6,448,2019-01-02,0.990808,【按揭折扣利率重现！成都多家银行差别化执行9折房贷】据悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,sina,2019-01-03
7,334,2019-01-02,0.664176,【独家 | 中信银行：成都首套按揭利率无折扣】针对成都地区九折房贷消息，中信银行对华尔街见闻称：成都首套房贷利率不存在折扣。,wallstreetcn,2019-01-03
8,428,2019-01-02,0.990762,"【独家 | 按揭折扣利率重现！成都多家银行差别化执行9折房贷】华尔街见闻获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。
",wallstreetcn,2019-01-03
9,429,2019-01-02,0.990712,【按揭折扣利率重现！成都多家银行差别化执行9折房贷】华尔街见闻获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,wallstreetcn,2019-01-03
10,68,2019-01-02,0.9746370000000001,中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户...,10jqka,2019-01-03
11,324,2019-01-02,0.9903860000000001,云财经讯，获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,yuncaijing,2019-01-03
12,798,2019-01-03,0.902948,云财经讯，近日，市场突然传出消息称，多家银行对成都首套房客户提供基准利率，并提到一些银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。1月3日上午，记者就该传闻分别致电兴业银行成都分行以及平安银行成都分行进行求证，两家银行均对此予以否认。昨天，中信银行也向记者回应称，成都地区首套房贷不存在9折利率的情况。（每日经济新闻）,yuncaijing,2019-01-03
13,588,2019-01-03,0.952801,云财经讯，融360大数据研究院提供的资料显示，上海地区新增加5家银行首套最低可执行95折优惠，除工商银行、农业银行、中国银行、建设银行、邮储银行之前就执行首套95折利率外，江苏银行、中信银行、招商银行、交通银行、上海农商等5家银行目前也执行95折利率，目前上海地区可执行95折优惠的银行数量增至10家，首套利率平均水平出现2019年首降。（中新经纬）,yuncaijing,2019-01-03
