,Unnamed: 0,date,sentiment_score,content,source,real_date
0,8812,2019-01-18,0.81686,煤炭板块快速拉升，永泰能源强势涨停，平庄能源涨近7%，云煤能源、神火股份、中国神华等均有拉升。申万宏源证券表示，煤矿超产监管趋严，预计春节前后煤炭整体供需两弱，煤价表现有望好于预期。,sina,2019-01-18
1,5350,2019-01-18,0.5500430000000001,【煤炭板块强势拉升】东方财富网18日讯，煤炭板块强势拉升，永泰能源强势涨停，新大洲A、平庄能源、云煤能源、郑州煤电、开滦股份、中国神华、美锦能源等个股亦跟随上涨。,eastmoney,2019-01-18
2,10651,2019-01-18,0.7128220000000001,煤炭板块逐渐走强，永泰能源再度冲击涨停，中国神华、平庄能源、陕西煤业小幅跟涨。,wallstreetcn,2019-01-18
3,5564,2019-01-18,0.7589899999999999,云财经讯，煤炭板块逐渐走强，永泰能源再度冲击涨停，中国神华、平庄能源、陕西煤业小幅跟涨,yuncaijing,2019-01-18
4,10578,2019-01-18,0.932675,"【1月18日上午复盘】09:36 煤炭板块逐渐走强，永泰能源再度冲击涨停，中国神华、平庄能源、陕西煤业小幅跟涨
09:39 创投板块开盘杀跌，西安旅游跌逾4%，粤传媒、九鼎投资、电广传媒、深赛格纷纷走弱
09:45 白酒板块集体走强，五粮液、舍得酒业、古井贡酒涨逾3%，山西汾酒、老白干酒、泸州老窖集体拉升
09:52 强势股集体跳水，风范股份大跌5%，东方通信跌4%，新疆交建跌2%
10:01 沪指涨幅扩大至1%，深成指和创业板指涨幅扩大，白酒、有色、磷化工等板块走强
10:07 强势板块持续杀跌，风范股份跌停，东方通信触及跌停，通产丽星、雄韬股份集体大跌
10:40 创业板冲高回落，指数由红翻绿，沪指、深成指涨幅收窄
10:56 次新股逆势拉升，远端次新雅运股份率先封板，近端宇晶股份直线涨停，新农股份、彤程新材、爱朋医疗纷纷走强
11:08 石墨电极板块集体上攻，龙头方大炭素大涨8%，远兴能源、宝泰隆、合盛硅业、永东股份集体走强",wallstreetcn,2019-01-18
5,5758,2019-01-30,0.664399,云财经讯，中国神华预计2018年度净利润约440亿元人民币，同比下跌约2.3%。,yuncaijing,2019-01-31
6,14293,2019-01-30,0.5646939999999999,中国神华预计2018年度净利润约440亿元人民币，同比下跌约2.3%。,sina,2019-01-31
7,17789,2019-01-30,0.651504,中国神华：预计2018年度净利润约440亿元，同比下跌约2.3%。,wallstreetcn,2019-01-31
8,19007,2019-01-31,0.678298,"【中国神华：预计2018年净利约440亿元 同比下跌约2.3%】对冲研投讯，中国神华(601088)1月30日晚公告，预计2018年度净利润约440亿元，同比下跌约2.3%。净利同比下降的主要原因是：自产煤单位生产成本上升；少数股东权益占比较高的发电分部利润占比上升；集团分离移交“三供一业”，发生相关支出(非经常性损益)等。
",wallstreetcn,2019-01-31
9,10300,2019-02-05,0.11508099999999999,【这家公司分红创A股纪录！一年三次现金分红 分红占净利99%股息率达22%】1月30日晚，兰州民百发布年报，宣布10股派16元，预计派发12.53亿元，而股价仅为7.41元、市值不过58.03亿元，这意味着，在当前股价买入的话，兰州民百的股息回报达到惊人21.59%，这一A股股息率纪录甚至超越了2017年的中国神华、2018年的江铃汽车。（券商中国）,eastmoney,2019-02-05
10,17217,2019-02-08,0.7209260000000001,【11家上市公司累计现金分红超千亿】统计显示，11家公司上市至今累计现金分红总额超千亿元，其中6只为银行股，包括工商银行、建设银行、中国银行等，其余3家公司则为中国石化、中国石油和中国神华。从分红率来看，191家公司上市以来分红率超60%，其中飞科电器、亚夏汽车等16家公司上市以来分红率超过100%。（证券时报）,sina,2019-02-08
11,9014,2019-02-18,0.560195,云财经讯，中国神华1月份煤炭销量同比下降26%，至2600万吨。,yuncaijing,2019-02-19
12,26023,2019-02-18,0.423584,中国神华：1月份煤炭销量同比下降25.9%，降至2600万吨。,wallstreetcn,2019-02-19
13,20932,2019-02-18,0.42557799999999996,中国神华1月份煤炭销量同比下降26%，至2600万吨。,sina,2019-02-19
14,15661,2019-02-24,0.9575889999999999,【煤炭行业：需求持续回暖 重点关注煤矿复产进度(附股)】动力煤重点推荐估值优势明显，安全边际较高的兖州煤业、陕西煤业、中国神华三大核心标的组合，以及阳泉煤业、大同煤业、中煤能源、新集能源等，炼焦煤积极关注西山煤电、平煤股份、潞安环能、冀中能源、开滦股份等。,eastmoney,2019-02-24
