,Unnamed: 0,date,sentiment_score,content,source,real_date
0,72,2019-01-02,0.878591,近期，中国银保监会发布保险业2018年前11月数据。数据显示，2018年前11个月，保险业实现原保险保费收入35419.5亿元，同比增长2.97%。其中，产险公司原保险保费收入10628.76亿元，同比增长12.08%；人身险公司原保险保费收入24790.70亿元，同比下...,10jqka,2019-01-03
1,876,2019-01-03,0.511117,【保险业拟建财险公司非现场分析联系制度】为及时了解财产保险市场情况、识别风险，提高非现场监测工作质量和效率，监管部门拟建立财险公司非现场分析联系制度。(上海证券报),eastmoney,2019-01-04
2,1144,2019-01-03,0.557828,【保险业拟建财险公司非现场分析联系制度】为及时了解财产保险市场情况、识别风险，提高非现场监测工作质量和效率，监管部门拟建立财险公司非现场分析联系制度。（上证报）,sina,2019-01-04
3,1709,2019-01-04,0.230699,【太保寿险董事长徐敬惠：穿透式监管下 社会资本对保险牌照狂热度降低】太平洋人寿董事长徐敬惠在论坛中表示， 与三年前社会资本对保险牌照趋之若鹜相比，随着监管审批趋严，社会资本对保险牌照的狂热降低。徐敬惠表示，个别险企通过违规股权代持等行为完全控制保险公司，把险企当作融资平台和“提款机”，严重破坏了行业生态。新版《保险公司股权管理办法》，将单一股东持股比例上限降至1/3，并对股权实施穿透式监管和分类监管，严格限制保险公司股东准入门槛，推动社会资本对保险业的投资回归理性。,sina,2019-01-05
4,2276,2019-01-05,0.93034,"小葱APP讯，在“2019 慧保天下保险大会”上，太平洋人寿董事长徐敬惠表示，保险业需要主动拥抱新技术，通过实施“产品+科技创新”战略，实现数字化赋能。行业可通过加快对大数据分析、云计算、人工智能、区块链等前端技术的储备与布局，充分借助新科技应用提高产品在设计与功能上的创新能力，有效改善产品设计与用户旅程。（21世纪经济）
",wallstreetcn,2019-01-05
5,1705,2019-01-06,0.9643520000000001,【编制虚假材料、妨碍督查 永安财险领银保监会新年首张罚单】2019年，保险业首张罚单已开出，严监管旋律依旧。永安财险因“编制或者提供虚假的报告、报表、文件、资料”及“拒绝或者妨碍依法监督检查”，被银保监会处罚59万元。永安财险上一次收到罚单也是因为编制提供虚假资料。2017年9月30日，原保监会开出罚单，认定永安财险未经批准设立分支机构、编制提供虚假资料等，公司及高管共计被罚70万元。,eastmoney,2019-01-06
6,2311,2019-01-06,0.8991620000000001,"【保险业高速发展阶段已终结? 未来十年中国仍是全球增长最快市场】现今社会资本对于保险的狂热已成为往事。业内人士称，目前我国是仅次于美国全球第二大保险市场,受经济高质量发展、政策红利仍将持续、人均财富保持增长、养老健康缺口大、市场潜力仍待开发这五大因素的驱动下，未来十年,我国仍将是全球增长最快的保险市场。（新华网）",sina,2019-01-06
7,1756,2019-01-06,0.455988,【保险业高速发展阶段已终结？ 专家：未来十年中国仍是全球增长最快市场】中国保险资产管理业协会执行副会长兼秘书长曹德云表示，在刚刚过去的2018年里，保险业遭遇了不小的挑战。“2018年开年时，开门红遭遇了负增长，虽然之后增速在逐步地回升，但截至11月末，寿险公司整体业绩表现仍为负增长的态势。从产险业情况看，2018年新车销量增速趋缓，市场竞争愈发激烈，险企盈利能力下滑。从资产管理情况看，行业也面临着巨大的挑战。同时，监管力度加大并下沉，对整个保险行业的合规提出了更高的要求。”,eastmoney,2019-01-06
8,2456,2019-01-06,0.8991620000000001,"【保险业高速发展阶段已终结? 未来十年中国仍是全球增长最快市场】现今社会资本对于保险的狂热已成为往事。业内人士称，目前我国是仅次于美国全球第二大保险市场,受经济高质量发展、政策红利仍将持续、人均财富保持增长、养老健康缺口大、市场潜力仍待开发这五大因素的驱动下，未来十年,我国仍将是全球增长最快的保险市场。（新华网）
",wallstreetcn,2019-01-07
9,2066,2019-01-07,0.04958869999999999,【信保踩雷网贷违约 监管预警全行业布控】在近期爆出的网贷平台违约事件中，除了普通投资人，专业保险机构也因为网贷机构提供了信用保证保险业务(下称信保业务)，而损失惨重。记者独家获悉，新年元旦一过，监管部门便专门下发相关通知拉响警报，明确在经营信保业务上“什么能做、什么不能做”，尤其是开展网贷平台信保业务时，要求保险公司与业务合作方建立风险共担机制。(上海证券报),eastmoney,2019-01-07
10,1952,2019-01-07,0.232409,云财经讯，在近期爆出的网贷平台违约事件中，除了普通投资人，专业保险机构也因为网贷机构提供了信用保证保险业务（下称信保业务），而损失惨重。记者获悉，新年元旦一过，监管部门便专门下发相关通知拉响警报，明确在经营信保业务上“什么能做、什么不能做”，尤其是开展网贷平台信保业务时，要求保险公司与业务合作方建立风险共担机制。（上海证券报）,yuncaijing,2019-01-07
11,2618,2019-01-07,0.780975,【交行监事长宋曙光调任中国信保董事长 四大保险央企高层调整收官】现任交通银行监事长宋曙光将调任中国出口信用保险公司，担任董事长一职。至此，四大保险金融央企董事长调整完毕。中国信保是我国唯一承办出口信用保险业务的政策性保险公司，成立于2001年12月。（一财）,sina,2019-01-07
12,1736,2019-01-07,0.8769889999999999,云财经讯，现任交通银行监事长宋曙光将调任中国出口信用保险公司，担任董事长一职。至此，四大保险金融央企董事长调整完毕。中国信保是我国唯一承办出口信用保险业务的政策性保险公司，成立于2001年12月。（一财）,yuncaijing,2019-01-07
13,2757,2019-01-07,0.78289,【交行监事长宋曙光调任中国信保董事长，四大保险央企高层调整收官】现任交通银行监事长宋曙光将调任中国出口信用保险公司，担任董事长一职。至此，四大保险金融央企董事长调整完毕。中国信保是我国唯一承办出口信用保险业务的政策性保险公司，成立于2001年12月。（一财）,wallstreetcn,2019-01-08
14,2912,2019-01-07,0.06889730000000001,【信保踩雷网贷违约，监管预警全行业布控】在近期爆出的网贷平台违约事件中，除了普通投资人，专业保险机构也因为网贷机构提供了信用保证保险业务，而损失惨重。据悉，新年元旦一过，监管部门便专门下发相关通知拉响警报，明确在经营信保业务上“什么能做、什么不能做”，尤其是开展网贷平台信保业务时，要求保险公司与业务合作方建立风险共担机制。（上证报）,sina,2019-01-08
15,3108,2019-01-07,0.06889730000000001,【信保踩雷网贷违约，监管预警全行业布控】在近期爆出的网贷平台违约事件中，除了普通投资人，专业保险机构也因为网贷机构提供了信用保证保险业务，而损失惨重。据悉，新年元旦一过，监管部门便专门下发相关通知拉响警报，明确在经营信保业务上“什么能做、什么不能做”，尤其是开展网贷平台信保业务时，要求保险公司与业务合作方建立风险共担机制。（上证报）,wallstreetcn,2019-01-08
16,2140,2019-01-08,0.6865600000000001,云财经讯，交行监事长宋曙光重返保险业，执掌中国信保，王毅退休。自此，四家副部级保险集团高层换帅收官（财经）,yuncaijing,2019-01-08
17,2383,2019-01-08,0.346032,云财经讯，2019年首周，保险业掀起了人事变动潮。新华保险传出“换帅”传闻，现任董事长兼CEO万峰或不再连任。此外，新光海航人寿原拟任总经理黄志伟于1月2日宣布将加入横琴人寿。1月3日，银保监会核准渤海人寿老将闻安民担任渤海人寿董事长。1月7日，新华保险股价收盘下跌6.72%。分析人士认为，“换帅”传闻一定程度增加了市场对新华保险未来发展战略不确定性的担忧，这或是导致新华保险股价短期下跌的原因。（中国证券报）,yuncaijing,2019-01-08
18,3048,2019-01-08,0.952024,【保险业协会：百年人寿大股东由大连万达变更为绿城房产】从中国保险行业协会获悉，百年人寿保险股份有限公司今日正式发布了变更股东的公告。公告显示，大连万达集团股份有限公司将持有的9亿股百年人寿股份转让给绿城房地产集团有限公司，占百年人寿总股本的11.55%。转让完成后，绿城中国全资附属公司绿城房产接替大连万达成为百年人寿第一大股东。（上证）,sina,2019-01-08
19,3482,2019-01-08,0.109384,【银保监会批准光大永明人寿经营个税递延商业养老保险】银保监会7日公布了第四批经营个税递延商业养老保险业务的保险公司名单，光大永明人寿成为唯一入围企业。自2018年5月31日银保监会公布第一批名单以来，截至目前，已有新华人寿、中国人寿等20家保险公司获批经营个税递延商业养老保险业务。（新华社）,wallstreetcn,2019-01-08
20,3240,2019-01-08,0.952059,"【保险业协会：百年人寿大股东由大连万达变更为绿城房产】从中国保险行业协会获悉，百年人寿保险股份有限公司今日正式发布了变更股东的公告。公告显示，大连万达集团股份有限公司将持有的9亿股百年人寿股份转让给绿城房地产集团有限公司，占百年人寿总股本的11.55%。转让完成后，绿城中国全资附属公司绿城房产接替大连万达成为百年人寿第一大股东。（上证报）
",wallstreetcn,2019-01-09
21,3136,2019-01-08,0.5671069999999999,交行监事长宋曙光重返保险业，执掌中国信保，王毅退休。自此，四家副部级保险集团高层换帅收官。（财经）,sina,2019-01-09
