,Unnamed: 0,date,sentiment_score,content,source,real_date
0,353,2019-01-02,0.7829550000000001,易华录：与赣州市国有资产投资集团投资成立江西国录大数据信息技术有限公司，拟注册资本490万元人民币，半年内增资至1亿元。,sina,2019-01-02
1,682,2019-01-02,0.889156,【山东税收首次突破万亿元大关，第三产业占一半以上】2018年山东共完成税收收入10639亿元，首次突破万亿元大关，成为全国第六个税收过万亿省份。国家税务总局山东省税务局收入规划核算处处长毕研忠表示，从税收产业结构看，第三产业税收完成4518亿元，占全部税收的一半以上，产业结构持续优化，软件信息技术和互联网服务业税收快速增长，其增速快于税收总体，新兴产业发展态势喜人。（齐鲁网）,sina,2019-01-02
2,234,2019-01-02,0.801673,云财经讯，易华录：与赣州市国有资产投资集团投资成立江西国录大数据信息技术有限公司，拟注册资本490万元人民币，半年内增资至1亿元,yuncaijing,2019-01-02
3,357,2019-01-02,0.7829550000000001,易华录：与赣州市国有资产投资集团投资成立江西国录大数据信息技术有限公司，拟注册资本490万元人民币，半年内增资至1亿元。,wallstreetcn,2019-01-03
4,631,2019-01-02,0.889156,【山东税收首次突破万亿元大关，第三产业占一半以上】2018年山东共完成税收收入10639亿元，首次突破万亿元大关，成为全国第六个税收过万亿省份。国家税务总局山东省税务局收入规划核算处处长毕研忠表示，从税收产业结构看，第三产业税收完成4518亿元，占全部税收的一半以上，产业结构持续优化，软件信息技术和互联网服务业税收快速增长，其增速快于税收总体，新兴产业发展态势喜人。（齐鲁网）,wallstreetcn,2019-01-03
5,535,2019-01-02,0.8752719999999999,【山东税收首次突破万亿元大关 第三产业占一半以上】2018年山东共完成税收收入10639亿元，首次突破万亿元大关，成为全国第六个税收过万亿省份。国家税务总局山东省税务局收入规划核算处处长毕研忠表示，从税收产业结构看，第三产业税收完成4518亿元，占全部税收的一半以上，产业结构持续优化，软件信息技术和互联网服务业税收快速增长，其增速快于税收总体，新兴产业发展态势喜人。(齐鲁网),eastmoney,2019-01-03
6,864,2019-01-03,0.414922,标普信息技术指数恐创10月份以来最大单日跌幅。,sina,2019-01-04
7,934,2019-01-03,0.9723229999999999,【华为与深圳卫计委签约 推智慧医院等“互联网+健康”建设】深圳市卫生和计划生育委员会与华为技术有限公司签订“智慧健康”战略合作协议。按照协议，双方共同推动人工智能、大数据、云计算等新一代信息技术与卫生健康行业的融合创新，推动深圳市医疗卫生健康领域的产业升级。,sina,2019-01-04
8,611,2019-01-03,0.9610270000000001, 云财经讯，深圳市卫生和计划生育委员会与华为技术有限公司签订“智慧健康”战略合作协议。按照协议，双方共同推动人工智能、大数据、云计算等新一代信息技术与卫生健康行业的融合创新，推动深圳市医疗卫生健康领域的产业升级。,yuncaijing,2019-01-04
9,777,2019-01-03,0.45483199999999996,"标普500信息技术指数恐将创2018年10月10日以来最大单日跌幅。
",wallstreetcn,2019-01-04
