,Unnamed: 0,date,sentiment_score,content,source,real_date
0,448,2019-01-02,0.990808,【按揭折扣利率重现！成都多家银行差别化执行9折房贷】据悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,sina,2019-01-03
1,324,2019-01-02,0.9903860000000001,云财经讯，获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,yuncaijing,2019-01-03
2,68,2019-01-02,0.9746370000000001,中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户...,10jqka,2019-01-03
3,428,2019-01-02,0.990762,"【独家 | 按揭折扣利率重现！成都多家银行差别化执行9折房贷】华尔街见闻获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。
",wallstreetcn,2019-01-03
4,429,2019-01-02,0.990712,【按揭折扣利率重现！成都多家银行差别化执行9折房贷】华尔街见闻获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,wallstreetcn,2019-01-03
5,696,2019-01-03,0.717414,云财经讯，平安银行发布2018年度业绩快报，2018年净利248.18亿元，同比增加7.0%。,yuncaijing,2019-01-03
6,218,2019-01-03,0.615388,平安银行发布2018年度业绩快报，2018年净利248.18亿元，同比增长6.9%。,10jqka,2019-01-03
7,782,2019-01-03,0.849419,【平安银行：2018年净利248亿元 同比增长7%】平安银行(000001)1月3日晚发布业绩快报，2018年营收为1167.16亿元，同比增长10.3%；净利为248.18亿元，同比增长7%。,eastmoney,2019-01-03
8,962,2019-01-03,0.90801,【成都地区首套房贷利率打9折？多家银行均否认】近日，市场突然传出消息称，多家银行对成都首套房客户提供基准利率，并提到一些银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。记者就该传闻分别致电兴业银行成都分行以及平安银行成都分行进行求证，两家银行均对此予以否认。（每日经济新闻）,eastmoney,2019-01-04
9,798,2019-01-03,0.902948,云财经讯，近日，市场突然传出消息称，多家银行对成都首套房客户提供基准利率，并提到一些银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。1月3日上午，记者就该传闻分别致电兴业银行成都分行以及平安银行成都分行进行求证，两家银行均对此予以否认。昨天，中信银行也向记者回应称，成都地区首套房贷不存在9折利率的情况。（每日经济新闻）,yuncaijing,2019-01-04
10,1206,2019-01-03,0.8869309999999999,【成都地区首套房贷利率打9折？多家银行均否认】近日，市场突然传出消息称，多家银行对成都首套房客户提供基准利率，并提到一些银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。1月3日上午，记者就该传闻分别致电兴业银行成都分行以及平安银行成都分行进行求证，两家银行均对此予以否认。昨天，中信银行也向记者回应称，成都地区首套房贷不存在9折利率的情况。（每日经济新闻）,sina,2019-01-04
