,Unnamed: 0,date,sentiment_score,content,source,real_date
0,1717,2019-01-04,0.0404293,【万峰将不再连任新华保险董事长 下一站或是新光海航人寿】记者从两位接近新华保险人士处获悉，新华保险董事长兼CEO万峰将不再连任，将辞别供职近4年半的新华保险。对于万峰的下一站去向，接近新光海航人寿的人士表示有可能是完成股东变更与增资不久的新光海航人寿。（经济观察网）,sina,2019-01-04
1,1374,2019-01-04,0.152289,【保险板块跟随券商、银行股走强】东方财富网4日讯，保险板块跟随券商、银行股走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%。,eastmoney,2019-01-04
2,1916,2019-01-04,0.6017779999999999,保险板块跟随券商走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%。,wallstreetcn,2019-01-04
3,1109,2019-01-04,0.105621,云财经讯，记者从两位接近新华保险人士处获悉，新华保险董事长兼CEO万峰将不再连任，将辞别供职近4年半的新华保险。对于万峰的下一站去向，接近新光海航人寿的人士表示有可能是完成股东变更与增资不久的新光海航人寿。（经济观察网）,yuncaijing,2019-01-04
4,1879,2019-01-04,0.0750178,"【1月4日上午复盘】9:30 5G板块开盘大跌，达安股份跌9%，东信和平跌8%，超讯通信、东方通信等多股跌6%
9:33 独角兽板块开盘走强，中衡设计涨停，新华文轩涨近7%，消息面上，上海市委书记李强同12位科创企业代表座谈
9:36 独角兽板块全线拉升，熙菱信息涨停，神思电子涨8%，立昂技术、群兴玩具、新华传媒等多股跟涨，此前中衡设计等一字板
9:41 5G板块稍有反弹，东方通信一度接近翻红，南京熊猫、东信和平、超讯通信等跌幅缩窄
9:48 创业板持续拉升翻红，沪指，深成指跌幅明显缩窄，板块方面，独角兽、铁矿石等涨幅居前，次新股，苹果产业链领跌
9:51 券商板块再度走强，龙一方正证券大涨6%，国元证券涨3%，中信建投等涨逾2%
10:04 海南板块小幅异动，龙一罗牛山涨5%，海南橡胶涨2%，海航创新涨1%
10:07 特高压龙头风范股份再度涨停，6连板，通光线缆2连板，国电南自涨7%
10:16 特高压概念全线走强，保变电气、智光电气、置信电气、九洲电气集体拉升，此前龙头风范股份6连板
10:26 次新股上机数控大涨9%，公司上市第二个交易日即开板，汉嘉设计拉升涨停
10:28 北京副中心概念异动，龙一中国武夷涨9%，京能置业涨6%，消息面上，国务院发布对《北京城市副中心控制性详细规划（街区层面）（2016年-2035年）》的批复
10:33 券商板块再度爆发，方正证券拉升涨停两连板，第一创业涨5%，国元证券、中原证券等涨3%
10:48 保险板块跟随券商走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%
10:53 知识产权概念异动，龙一光一科技涨7%，安妮股份、中国科传等跟涨
11:15 券商板块涨幅扩大至5%，方正证券、天风证券、第一创业、中原证券等多股涨停
11:20 互联网金融板块拉升，同花顺涨近7%，大智慧、东方财富、金证股份等多股涨5%
11:23 银行板块跟随爆发，张家港行拉升涨停，吴江银行、平安银行涨5%，无锡银行、常熟银行等涨4%",wallstreetcn,2019-01-05
5,1895,2019-01-04,0.301104,保险板块跟随券商、银行股走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%。,sina,2019-01-05
6,2680,2019-01-07,0.672944,快讯：新华保险午后触及跌停，成交额超21亿元。,sina,2019-01-07
7,1931,2019-01-07,0.525709,【新华保险午后触及跌停】东方财富网7日讯，新华保险午后触及跌停。截止收盘，新华保险跌6.72%，报40.51元，成交额超26亿元。,eastmoney,2019-01-07
8,1892,2019-01-07,0.027820499999999998,【机构今日买入这6股 抛售新华保险7.66亿元】盘后数据显示，1月7日龙虎榜中，共13只个股出现了机构的身影，有6只股票呈现机构净买入，7只个股呈现机构净卖出。当天机构净卖出前三的股票分别是新华保险、浙江交科、开立医疗，净流出金额分别是7.66亿元、4352万元、3966万元。,eastmoney,2019-01-07
9,2671,2019-01-07,0.11833699999999998,【新华保险一度跌停，董事长称寿险总保费或现负增长】新华保险一度触及跌停，中国太保跌超2%，中国人保、中国人寿下跌。新华保险换届在即，消息称董事长兼CEO万峰将不再连任。此前万峰称，按寿险保费增长逻辑来看，首年保费2019年可能还是继续负增长。中金保险提供的数据显示，截至19年1月3日，平安、太保、新华、太平开门红新单保费负增长。,sina,2019-01-07
