,Unnamed: 0,date,sentiment_score,content,source,real_date
0,95,2019-01-01,0.976141,【贵州茅台：预计2018年度净利340亿元 同比增25%】贵州茅台1月1日晚公告，公司初步核算，2018年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营业总收入增长14%。,sina,2019-01-02
1,69,2019-01-01,0.6295350000000001,贵州茅台：预计2018年度净利340亿元，同比增25%。,eastmoney,2019-01-02
2,17,2019-01-01,0.944675,贵州茅台1月1日晚公告，公司初步核算，2018年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营...,10jqka,2019-01-02
3,6,2019-01-01,0.742722,沪深两市多家上市公司发布公告，贵州茅台：预计2018年度净利340亿元 同比增25%；美的集团：累计回购约40亿元 顶额完成回购方案；陕西煤业：已累计耗资12.79亿元回购股份等。,10jqka,2019-01-02
4,72,2019-01-01,0.9726670000000001,云财经讯，贵州茅台(600519)1月1日晚公告，公司初步核算，2018年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营业总收入增长14%。,yuncaijing,2019-01-02
5,91,2019-01-01,0.975902,"【贵州茅台：预计2018年净利340亿元，同比增长25%】初步核算，2018 年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营业总收入增长14%。
",wallstreetcn,2019-01-02
6,90,2019-01-01,0.9759639999999999,【贵州茅台：预计2018年净利340亿元，同比增长25%】贵州茅台公告，公司初步核算，2018年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营业总收入增长14%。,wallstreetcn,2019-01-02
7,25,2019-01-01,0.9153889999999999,云财经讯，1月1日晚间公告精选：贵州茅台预计2018年度净利340亿元，同比增25%；美的集团累计回购约40亿元，顶额完成回购方案；陕西煤业已累计耗资12.79亿元回购股份；董明珠等人为格力电器第十一届董事会非独立董事候选人；立思辰获自然人窦昕增持，持股比例达5%；三聚环保转让30亿元应收账款；紫金矿业拟公开增发募资不超80亿元，增加资源储量；新集能源拟计提约8亿元资产减值准备。,yuncaijing,2019-01-02
8,680,2019-01-02,0.5327850000000001,贵州茅台高开3.38%，此前公告预计2018年净利340亿元，同比增长25%。,wallstreetcn,2019-01-02
9,745,2019-01-02,0.685158,"【早餐|1月2日】
盘点2018：比特币较峰值暴跌八成、A股熊冠全球、全球股市市值较年初高位缩水20万亿美元、阿联酋股市回报全球第一，微软2002年来首次以全球市值最高上市公司结束一年。
新华时评：做好自己的事是推进中美合作最佳选择。
民主党力推议案以终结美国政府关门，特朗普放话不“认输”。
特朗普新年致辞：2019年将是“复杂”但是“伟大”的一年。
新华社综述：金正恩新年贺词释放一系列积极信号。
全球经济“金丝雀”再报警：韩国12月出口意外下降。
林郑月娥：香港政府考虑大幅增加土地供应。
贵州茅台：预计2018年净利340亿元，同比增长25%。
提醒：上午将公布中国12月财新制造业PMI；下午将公布德国、法国、欧元区12月制造业PMI终值、英国12月制造业PMI；晚间将公布美国12月制造业PMI终值。
",wallstreetcn,2019-01-02
10,650,2019-01-02,0.956614,【2018年净利同比增长25% 茅台今年计划安排营业总收入增14%】2019年1月1日，贵州茅台就2018年生产经营情况发布公告。公告显示，2018年度生产茅台酒基酒约4.97万吨，系列酒基酒约2.05万吨；2018年度实现营业总收入750亿元左右，同比增长23%左右；实现归属于上市公司股东的净利润340亿元左右，同比增长25%左右。公司2019年度计划安排营业总收入增长14%。（中国证券报）,eastmoney,2019-01-02
11,586,2019-01-02,0.8281299999999999,【中金：贵州茅台2019年销售目标远高于市场普遍预期】中金表示，贵州茅台的2019年销售目标远高于市场普遍预期，而其产品升级应会有助于其实现超出预期的收益。邢庭志等中金分析师在报告中说，伴随零售价的趋稳或上涨，2019年出厂价将会上升。,eastmoney,2019-01-02
12,573,2019-01-02,0.634043,【贵州茅台开盘涨逾3%】东方财富网2日讯，贵州茅台开盘涨逾3%。贵州茅台预计2018年净利润340亿，同比增25%。,eastmoney,2019-01-02
13,714,2019-01-02,0.9185,白酒概念股走强，贵州茅台领涨，涨幅近3%，山西汾酒、老白干酒、水井坊、酒鬼酒、泸州老窖、舍得酒业等个股均有不同程度拉升。,sina,2019-01-02
14,742,2019-01-02,0.469127,  贵州茅台盘前涨5.34%。,sina,2019-01-02
15,730,2019-01-02,0.644647,贵州茅台开盘涨逾3%。贵州茅台预计2018年净利润340亿，同比增25%。,sina,2019-01-02
16,692,2019-01-02,0.824103,【中金：贵州茅台2019年销售目标远高于市场普遍预期】邢庭志等中金分析师在研报报告中表示，贵州茅台的2019年销售目标远高于市场普遍预期，而其产品升级应会有助于其实现超出预期的收益，伴随零售价的趋稳或上涨，2019年出厂价将会上升。,wallstreetcn,2019-01-02
17,678,2019-01-02,0.231535,【新年开门红，A股三大指数全线高开】贵州茅台高开3.4%，乐视网涨停。赛马、雄安新区、河北、海南概念涨幅居前。,wallstreetcn,2019-01-02
18,462,2019-01-02,0.652591,云财经讯，贵州茅台高开3.39%，此前公告预计2018年净利340亿元，同比增长25%,yuncaijing,2019-01-02
