,close-1,close-2,close-3,pctchg-1,pctchg-2,pctchg-3,vol-1,vol-2,vol-3,name-1,name-2,name-3,industry-1,industry-2,industry-3,pctchg-0
20190110,22.8,22.6,22.77,0.885,-0.7466,1.1101,584329.65,276422.19,312421.17,0.0,0.0,0.0,0.3354288571822727,0.3228376291783333,0.2999852886,1.3158
20190111,23.1,22.8,22.6,1.3158,0.885,-0.7466,347463.3,584329.65,276422.19,0.144639,0.0,0.0,0.3705726907959091,0.3354288571822727,0.3228376291783333,1.7749
20190114,23.51,23.1,22.8,1.7749,1.3158,0.885,316411.54,347463.3,584329.65,0.13162149,0.13885344,0.14319261,0.4557716558586363,0.5104000001340909,0.44044255194651516,-1.3611
20190115,23.19,23.51,23.1,-1.3611,1.7749,1.3158,186208.56,316411.54,347463.3,0.12149676,0.13162149,0.13885344,0.5041639604504545,0.4557716558586363,0.5104000001340909,3.9241
20190116,24.1,23.19,23.51,3.9241,-1.3611,1.7749,542188.09,186208.56,316411.54,0.10847925,0.12149676,0.13162149,0.5576571867686363,0.5041639604504545,0.4557716558586363,-0.4149
20190117,24.0,24.1,23.19,-0.4149,3.9241,-1.3611,330384.17,542188.09,186208.56,0.09256896,0.10847925,0.12149676,0.5826110485131817,0.5576571867686363,0.5041639604504545,0.2917
20190118,24.07,24.0,24.1,0.2917,-0.4149,3.9241,283717.63,330384.17,542188.09,0.07376589,0.09256896,0.10847925,0.6321855659215908,0.5826110485131817,0.5576571867686363,1.5787
20190121,24.45,24.07,24.0,1.5787,0.2917,-0.4149,370561.7,283717.63,330384.17,0.14122395,0.02748140999999999,0.05207003999999998,0.5604410210941557,0.6459130212017856,0.595106614864935,1.3497
20190122,24.78,24.45,24.07,1.3497,1.5787,0.2917,418745.04,370561.7,283717.63,0.2301661605,0.14122395,0.02748140999999999,0.4883639009758116,0.5604410210941557,0.6459130212017856,-1.4124
20190123,24.43,24.78,24.45,-1.4124,1.3497,1.5787,202214.54,418745.04,370561.7,0.31338291,0.2301661605,0.14122395,0.49379136884567093,0.4883639009758116,0.5604410210941557,-0.5321
