,date,sentiment_score,source
177,2019-01-01,0.839714,sina
166,2019-01-01,0.914582,wallstreetcn
167,2019-01-01,0.839714,wallstreetcn
1257,2019-01-04,0.163503,yuncaijing
1254,2019-01-04,0.366212,yuncaijing
1781,2019-01-04,0.717544,wallstreetcn
1792,2019-01-04,0.511696,wallstreetcn
2056,2019-01-04,0.22071,wallstreetcn
2057,2019-01-04,0.403589,wallstreetcn
1465,2019-01-04,0.0997447,eastmoney
1463,2019-01-04,0.158698,eastmoney
1758,2019-01-04,0.578429,sina
2002,2019-01-04,0.0997447,sina
2003,2019-01-04,0.104596,sina
498,2019-01-05,0.481765,10jqka
1568,2019-01-05,0.0844279,eastmoney
1650,2019-01-05,0.954175,eastmoney
1373,2019-01-05,0.0921495,yuncaijing
2131,2019-01-05,0.0514683,sina
2745,2019-01-07,0.596884,sina
2363,2019-01-08,0.966254,eastmoney
2140,2019-01-08,0.0133983,eastmoney
2139,2019-01-08,0.0133983,eastmoney
3385,2019-01-08,0.963608,sina
3619,2019-01-08,0.96414,wallstreetcn
3877,2019-01-09,0.223861,wallstreetcn
3878,2019-01-09,0.600344,wallstreetcn
3594,2019-01-09,0.600344,sina
2472,2019-01-09,0.528598,yuncaijing
956,2019-01-10,0.076277,10jqka
4620,2019-01-10,0.0344853,wallstreetcn
2968,2019-01-10,0.125119,yuncaijing
4152,2019-01-10,0.0695158,sina
3790,2019-01-14,0.0106973,eastmoney
5726,2019-01-14,0.136027,sina
1306,2019-01-14,0.22062,10jqka
4266,2019-01-14,0.216101,yuncaijing
7082,2019-01-16,0.809379,sina
8364,2019-01-16,0.851412,wallstreetcn
8363,2019-01-16,0.892506,wallstreetcn
4663,2019-01-16,0.519245,eastmoney
4935,2019-01-16,0.896442,yuncaijing
5153,2019-01-16,0.693969,yuncaijing
4440,2019-01-16,0.811623,eastmoney
4449,2019-01-16,0.00504042,eastmoney
1535,2019-01-16,0.816842,10jqka
4687,2019-01-16,0.440965,eastmoney
7100,2019-01-16,0.00504042,sina
1904,2019-01-19,0.0406595,10jqka
5592,2019-01-19,0.536786,eastmoney
5764,2019-01-20,0.114112,eastmoney
9322,2019-01-20,0.114112,sina
5739,2019-01-20,0.759356,eastmoney
12527,2019-01-22,0.899981,wallstreetcn
6271,2019-01-22,0.649551,eastmoney
12423,2019-01-22,0.307217,wallstreetcn
12543,2019-01-22,0.686462,wallstreetcn
6333,2019-01-22,0.392315,eastmoney
10219,2019-01-22,0.690928,sina
10229,2019-01-22,0.686462,sina
12526,2019-01-22,0.927487,wallstreetcn
11208,2019-01-23,0.819747,sina
2302,2019-01-23,0.187592,10jqka
7311,2019-01-25,0.371592,eastmoney
15019,2019-01-25,0.446456,wallstreetcn
12157,2019-01-25,0.51844,sina
14984,2019-01-25,0.841748,wallstreetcn
17083,2019-01-29,0.535303,wallstreetcn
9057,2019-01-31,0.882158,eastmoney
19499,2019-02-01,0.280137,wallstreetcn
19807,2019-02-01,0.953969,wallstreetcn
19498,2019-02-01,0.280137,wallstreetcn
15869,2019-02-01,0.95855,sina
15605,2019-02-01,0.293848,sina
3173,2019-02-01,0.298313,10jqka
6446,2019-02-01,0.423493,yuncaijing
6602,2019-02-01,0.929828,yuncaijing
9617,2019-02-01,0.938751,eastmoney
9430,2019-02-01,0.171661,eastmoney
20255,2019-02-03,0.0778166,wallstreetcn
16167,2019-02-03,0.0778166,sina
20257,2019-02-03,0.0778166,wallstreetcn
20251,2019-02-03,0.0703924,wallstreetcn
10286,2019-02-05,0.602489,eastmoney
21163,2019-02-07,0.0989415,wallstreetcn
17010,2019-02-07,0.145209,sina
10555,2019-02-07,0.0974783,eastmoney
