,date,sentiment_score,source
18977,2019-02-13,0.502413,sina
3731,2019-02-13,0.584621,10jqka
3742,2019-02-13,0.540085,10jqka
31590,2019-02-26,0.255735,wallstreetcn
11601,2019-02-26,0.621346,yuncaijing
31521,2019-02-26,0.160367,wallstreetcn
25116,2019-02-26,0.269584,sina
35885,2019-03-05,0.779882,wallstreetcn
35936,2019-03-05,0.5736,wallstreetcn
13689,2019-03-05,0.630459,yuncaijing
28248,2019-03-05,0.931298,sina
28283,2019-03-05,0.559888,sina
42561,2019-03-15,0.215454,wallstreetcn
16899,2019-03-15,0.274196,yuncaijing
21845,2019-03-15,0.18779,eastmoney
7089,2019-03-18,0.0486498,10jqka
22767,2019-03-18,0.0445765,eastmoney
23814,2019-03-21,0.0877113,eastmoney
36317,2019-03-21,0.551375,sina
19018,2019-03-21,0.694331,yuncaijing
24511,2019-03-23,0.389996,eastmoney
59209,2019-04-12,0.641738,wallstreetcn
59203,2019-04-12,0.751291,wallstreetcn
25242,2019-04-12,0.815069,yuncaijing
25244,2019-04-12,0.679988,yuncaijing
46681,2019-04-12,0.641738,sina
60053,2019-04-13,0.0554718,wallstreetcn
60052,2019-04-13,0.0554718,wallstreetcn
25668,2019-04-13,0.190944,yuncaijing
9847,2019-04-13,0.0774446,10jqka
47397,2019-04-13,0.184672,sina
47398,2019-04-13,0.276639,sina
31254,2019-04-14,0.0409876,eastmoney
47496,2019-04-14,0.0595765,sina
47502,2019-04-14,0.594814,sina
60290,2019-04-14,0.594814,wallstreetcn
60281,2019-04-14,0.0595765,wallstreetcn
25763,2019-04-14,0.674559,yuncaijing
60280,2019-04-14,0.58432,wallstreetcn
25771,2019-04-14,0.693292,yuncaijing
25764,2019-04-14,0.212429,yuncaijing
47495,2019-04-14,0.58432,sina
25865,2019-04-15,0.702124,yuncaijing
60439,2019-04-15,0.636806,wallstreetcn
31294,2019-04-15,0.671048,eastmoney
47642,2019-04-15,0.636806,sina
10050,2019-04-15,0.146275,10jqka
31614,2019-04-15,0.0215332,eastmoney
29369,2019-04-26,0.983161,yuncaijing
68126,2019-04-26,0.98342,wallstreetcn
68918,2019-04-29,0.483173,wallstreetcn
29761,2019-04-29,0.600027,yuncaijing
71526,2019-05-05,0.710101,wallstreetcn
56293,2019-05-05,0.752272,sina
30770,2019-05-05,0.814773,yuncaijing
37122,2019-05-05,0.887494,eastmoney
37774,2019-05-07,0.967389,eastmoney
72474,2019-05-07,0.946569,wallstreetcn
57200,2019-05-07,0.974686,sina
31437,2019-05-08,0.617145,yuncaijing
57503,2019-05-08,0.199121,sina
72862,2019-05-08,0.199121,wallstreetcn
38608,2019-05-09,0.0858373,eastmoney
58612,2019-05-09,0.106191,sina
32455,2019-05-10,0.963228,yuncaijing
59402,2019-05-10,0.93949,sina
75126,2019-05-10,0.93949,wallstreetcn
39102,2019-05-10,0.736616,eastmoney
35371,2019-05-22,0.738178,yuncaijing
81455,2019-05-22,0.689039,wallstreetcn
81393,2019-05-22,0.902184,wallstreetcn
64797,2019-05-22,0.743106,sina
15002,2019-05-23,0.889781,10jqka
50240,2019-06-16,0.587315,eastmoney
50282,2019-06-17,0.0548023,eastmoney
50967,2019-06-18,0.0659905,eastmoney
50944,2019-06-18,0.0774822,eastmoney
77334,2019-06-18,0.0799441,sina
42261,2019-06-18,0.13032,yuncaijing
80214,2019-06-25,0.821819,sina
22089,2019-06-25,0.780331,10jqka
53167,2019-06-26,0.915621,eastmoney
23257,2019-06-28,0.633521,10jqka
82204,2019-06-28,0.847986,sina
54110,2019-06-28,0.801672,eastmoney
89081,2019-07-14,0.960286,sina
29016,2019-07-19,0.292309,10jqka
51573,2019-07-21,0.927736,yuncaijing
30289,2019-07-24,0.933899,10jqka
102448,2019-08-14,0.981619,sina
35451,2019-08-14,0.84481,10jqka
67822,2019-08-14,0.968742,eastmoney
35670,2019-08-14,0.945637,10jqka
35669,2019-08-14,0.970938,10jqka
67821,2019-08-14,0.968479,eastmoney
36376,2019-08-16,0.906756,10jqka
69164,2019-08-19,0.924529,eastmoney
104243,2019-08-19,0.939739,sina
104385,2019-08-19,0.826741,sina
71124,2019-08-26,0.853428,eastmoney
61652,2019-08-26,0.7132,yuncaijing
39128,2019-08-26,0.53556,10jqka
107103,2019-08-26,0.547337,sina
62286,2019-08-27,0.862087,yuncaijing
107918,2019-08-27,0.649515,sina
108017,2019-08-27,0.844118,sina
72015,2019-08-28,0.946085,eastmoney
109034,2019-08-29,0.687803,sina
109109,2019-08-29,0.0576227,sina
63259,2019-08-29,0.683031,yuncaijing
