,date,sentiment_score,source
1754,2019-01-04,0.436166,sina
1236,2019-01-04,0.134151,eastmoney
1144,2019-01-04,0.513035,yuncaijing
1776,2019-01-04,0.441871,wallstreetcn
1886,2019-01-07,0.95334,yuncaijing
3040,2019-01-07,0.958093,wallstreetcn
2745,2019-01-09,0.102455,yuncaijing
2638,2019-01-09,0.0272063,eastmoney
2911,2019-01-10,0.982722,eastmoney
3736,2019-01-11,0.986303,yuncaijing
5681,2019-01-20,0.934574,eastmoney
7198,2019-01-25,0.264327,eastmoney
7204,2019-01-25,0.264327,eastmoney
14507,2019-01-30,0.940066,sina
18032,2019-01-30,0.669875,wallstreetcn
18030,2019-01-30,0.5746,wallstreetcn
5907,2019-01-30,0.645922,yuncaijing
8231,2019-02-14,0.595405,yuncaijing
19446,2019-02-14,0.451987,sina
24031,2019-02-14,0.506601,wallstreetcn
24028,2019-02-14,0.506601,wallstreetcn
12200,2019-02-14,0.236656,eastmoney
24945,2019-02-15,0.675548,wallstreetcn
24944,2019-02-15,0.675548,wallstreetcn
25136,2019-02-15,0.945002,wallstreetcn
12505,2019-02-15,0.57646,eastmoney
12643,2019-02-15,0.929478,eastmoney
12645,2019-02-15,0.740289,eastmoney
12667,2019-02-15,0.924982,eastmoney
8592,2019-02-15,0.864378,yuncaijing
8581,2019-02-15,0.748924,yuncaijing
20120,2019-02-15,0.696797,sina
13089,2019-02-17,0.91403,eastmoney
21319,2019-02-19,0.916137,sina
9213,2019-02-19,0.930803,yuncaijing
26432,2019-02-19,0.916137,wallstreetcn
21304,2019-02-19,0.980203,sina
14903,2019-02-21,0.804398,eastmoney
14902,2019-02-21,0.769315,eastmoney
24211,2019-02-25,0.0319904,sina
30459,2019-02-25,0.0319904,wallstreetcn
37043,2019-03-06,0.959188,wallstreetcn
14184,2019-03-06,0.977397,yuncaijing
29015,2019-03-06,0.959188,sina
37042,2019-03-06,0.976097,wallstreetcn
39397,2019-03-10,0.945658,wallstreetcn
6323,2019-03-10,0.69709,10jqka
15202,2019-03-10,0.952532,yuncaijing
20448,2019-03-11,0.514283,eastmoney
31074,2019-03-11,0.425179,sina
39816,2019-03-11,0.425179,wallstreetcn
39815,2019-03-11,0.425179,wallstreetcn
15466,2019-03-11,0.527205,yuncaijing
32329,2019-03-13,0.968379,sina
32422,2019-03-13,0.969216,sina
16284,2019-03-13,0.971875,yuncaijing
33699,2019-03-15,0.973566,sina
22079,2019-03-15,0.970662,eastmoney
17178,2019-03-15,0.967283,yuncaijing
44246,2019-03-18,0.149504,wallstreetcn
17839,2019-03-18,0.206452,yuncaijing
17874,2019-03-18,0.560189,yuncaijing
34607,2019-03-18,0.343498,sina
34551,2019-03-18,0.730843,sina
17826,2019-03-18,0.963267,yuncaijing
7076,2019-03-18,0.2113,10jqka
24405,2019-03-23,0.971,eastmoney
47512,2019-03-23,0.970628,wallstreetcn
19560,2019-03-23,0.971816,yuncaijing
37183,2019-03-23,0.970628,sina
24702,2019-03-24,0.95049,eastmoney
47841,2019-03-24,0.959827,wallstreetcn
37445,2019-03-24,0.964577,sina
19857,2019-03-25,0.413786,yuncaijing
48078,2019-03-25,0.279007,wallstreetcn
37667,2019-03-25,0.213963,sina
48286,2019-03-25,0.927361,wallstreetcn
19976,2019-03-25,0.929397,yuncaijing
