,date,sentiment_score,source
5844,2019-01-14,0.710756,sina
3779,2019-01-14,0.951397,eastmoney
6910,2019-01-14,0.787298,wallstreetcn
7828,2019-01-15,0.892039,wallstreetcn
7989,2019-01-28,0.822846,eastmoney
16315,2019-01-28,0.918384,wallstreetcn
13140,2019-01-28,0.890884,sina
26439,2019-02-19,0.967039,wallstreetcn
26445,2019-02-19,0.967039,wallstreetcn
9216,2019-02-19,0.963958,yuncaijing
27469,2019-02-20,0.960848,wallstreetcn
9750,2019-02-20,0.950081,yuncaijing
22153,2019-02-20,0.951322,sina
14236,2019-02-20,0.945885,eastmoney
32968,2019-02-28,0.8797,wallstreetcn
12211,2019-02-28,0.880725,yuncaijing
39877,2019-03-11,0.841751,wallstreetcn
40008,2019-03-11,0.933385,wallstreetcn
40068,2019-03-11,0.854168,wallstreetcn
31313,2019-03-11,0.728177,sina
15630,2019-03-11,0.853631,yuncaijing
20602,2019-03-11,0.718829,eastmoney
48580,2019-03-26,0.965645,wallstreetcn
20100,2019-03-26,0.95976,yuncaijing
49827,2019-03-27,0.507086,wallstreetcn
49755,2019-03-27,0.971186,wallstreetcn
49587,2019-03-27,0.672822,wallstreetcn
25726,2019-03-27,0.463713,eastmoney
20592,2019-03-27,0.716978,yuncaijing
20737,2019-03-27,0.631288,yuncaijing
39182,2019-03-27,0.482681,sina
38944,2019-03-27,0.672822,sina
54320,2019-04-03,0.712035,wallstreetcn
54161,2019-04-03,0.598345,wallstreetcn
28084,2019-04-03,0.901748,eastmoney
54377,2019-04-03,0.628255,wallstreetcn
8851,2019-04-03,0.875742,10jqka
42866,2019-04-03,0.852602,sina
42814,2019-04-03,0.88316,sina
43383,2019-04-04,0.879124,sina
8988,2019-04-04,0.80366,10jqka
28458,2019-04-04,0.0526694,eastmoney
28492,2019-04-04,0.0356923,eastmoney
28498,2019-04-04,0.52817,eastmoney
55165,2019-04-04,0.80366,wallstreetcn
55086,2019-04-04,0.90123,wallstreetcn
43433,2019-04-04,0.873006,sina
29315,2019-04-08,0.900206,eastmoney
23881,2019-04-08,0.870079,yuncaijing
29242,2019-04-08,0.833132,eastmoney
44496,2019-04-08,0.824546,sina
9160,2019-04-08,0.776502,10jqka
44594,2019-04-08,0.876219,sina
56545,2019-04-08,0.705053,wallstreetcn
44581,2019-04-08,0.907922,sina
23939,2019-04-08,0.752795,yuncaijing
29328,2019-04-08,0.392087,eastmoney
56477,2019-04-08,0.804359,wallstreetcn
29914,2019-04-10,0.826847,eastmoney
59679,2019-04-12,0.0579376,wallstreetcn
59752,2019-04-12,0.742653,wallstreetcn
9800,2019-04-12,0.830035,10jqka
25534,2019-04-12,0.69305,yuncaijing
47187,2019-04-12,0.830035,sina
30873,2019-04-12,0.803519,eastmoney
59760,2019-04-12,0.612932,wallstreetcn
26103,2019-04-15,0.698415,yuncaijing
48014,2019-04-15,0.598582,sina
48012,2019-04-15,0.902883,sina
10009,2019-04-15,0.91302,10jqka
31531,2019-04-15,0.916765,eastmoney
60884,2019-04-15,0.598582,wallstreetcn
60725,2019-04-15,0.643192,wallstreetcn
31530,2019-04-15,0.907227,eastmoney
60829,2019-04-15,0.438844,wallstreetcn
51654,2019-04-23,0.86877,sina
65625,2019-04-23,0.79303,wallstreetcn
28303,2019-04-23,0.82281,yuncaijing
33945,2019-04-23,0.86564,eastmoney
29845,2019-04-29,0.793824,yuncaijing
71968,2019-05-06,0.65921,wallstreetcn
71918,2019-05-06,0.0517189,wallstreetcn
31025,2019-05-06,0.735394,yuncaijing
38981,2019-05-10,0.907696,eastmoney
59217,2019-05-10,0.873608,sina
32345,2019-05-10,0.886854,yuncaijing
74834,2019-05-10,0.378304,wallstreetcn
74882,2019-05-10,0.881064,wallstreetcn
39703,2019-05-13,0.865021,eastmoney
32879,2019-05-13,0.856956,yuncaijing
12844,2019-05-13,0.790701,10jqka
60152,2019-05-13,0.825314,sina
75898,2019-05-13,0.725398,wallstreetcn
75956,2019-05-13,0.835816,wallstreetcn
64791,2019-05-22,0.962369,sina
14701,2019-05-22,0.553623,10jqka
42730,2019-05-22,0.958017,eastmoney
81442,2019-05-22,0.930299,wallstreetcn
81434,2019-05-22,0.945468,wallstreetcn
43448,2019-05-24,0.961085,eastmoney
65933,2019-05-24,0.961085,sina
65981,2019-05-24,0.824523,sina
82976,2019-05-24,0.824523,wallstreetcn
35976,2019-05-24,0.856997,yuncaijing
36023,2019-05-24,0.861278,yuncaijing
82974,2019-05-24,0.824523,wallstreetcn
82867,2019-05-24,0.830743,wallstreetcn
44210,2019-05-27,0.980473,eastmoney
66865,2019-05-27,0.987855,sina
44580,2019-05-28,0.846929,eastmoney
47167,2019-06-05,0.559818,eastmoney
39091,2019-06-05,0.603044,yuncaijing
17858,2019-06-05,0.625039,10jqka
71681,2019-06-05,0.546509,sina
89370,2019-06-05,0.892364,wallstreetcn
89406,2019-06-05,0.468679,wallstreetcn
45177,2019-06-28,0.938745,yuncaijing
54085,2019-06-28,0.90881,eastmoney
85214,2019-07-05,0.262543,sina
25165,2019-07-05,0.899992,10jqka
25082,2019-07-05,0.161988,10jqka
30628,2019-07-25,0.711512,10jqka
62487,2019-07-26,0.79059,eastmoney
30906,2019-07-26,0.600438,10jqka
30903,2019-07-26,0.780251,10jqka
53208,2019-07-26,0.838638,yuncaijing
62389,2019-07-26,0.981344,eastmoney
96294,2019-07-31,0.877962,sina
54417,2019-07-31,0.864023,yuncaijing
31914,2019-07-31,0.928946,10jqka
63702,2019-07-31,0.960621,eastmoney
54738,2019-08-01,0.275662,yuncaijing
96723,2019-08-01,0.0517885,sina
63994,2019-08-01,0.429403,eastmoney
54739,2019-08-01,0.370384,yuncaijing
32222,2019-08-01,0.237158,10jqka
55783,2019-08-05,0.89324,yuncaijing
98267,2019-08-05,0.945617,sina
56130,2019-08-06,0.765843,yuncaijing
98842,2019-08-06,0.705363,sina
98838,2019-08-06,0.566109,sina
65481,2019-08-06,0.670443,eastmoney
65480,2019-08-06,0.125221,eastmoney
56500,2019-08-07,0.588565,yuncaijing
33859,2019-08-07,0.353967,10jqka
99384,2019-08-07,0.628393,sina
99446,2019-08-07,0.439086,sina
65862,2019-08-07,0.46754,eastmoney
34522,2019-08-09,0.858933,10jqka
59397,2019-08-18,0.95896,yuncaijing
103792,2019-08-18,0.963319,sina
104842,2019-08-20,0.632233,sina
38303,2019-08-22,0.734417,10jqka
105817,2019-08-22,0.732125,sina
