,date,sentiment_score,source
58,2019-01-01,0.602947,sina
49,2019-01-01,0.602947,wallstreetcn
48,2019-01-01,0.582826,wallstreetcn
44,2019-01-01,0.678556,yuncaijing
47,2019-01-01,0.433682,eastmoney
312,2019-01-02,0.413557,yuncaijing
487,2019-01-02,0.613727,yuncaijing
437,2019-01-02,0.864451,yuncaijing
790,2019-01-02,0.340711,sina
279,2019-01-02,0.586053,yuncaijing
759,2019-01-02,0.347692,sina
438,2019-01-02,0.334915,sina
518,2019-01-02,0.582484,yuncaijing
295,2019-01-02,0.694368,eastmoney
515,2019-01-02,0.849392,eastmoney
589,2019-01-02,0.347692,eastmoney
627,2019-01-02,0.297726,eastmoney
413,2019-01-02,0.334915,wallstreetcn
512,2019-01-02,0.650255,eastmoney
660,2019-01-02,0.868761,sina
1319,2019-01-03,0.679624,wallstreetcn
1321,2019-01-03,0.679624,wallstreetcn
1103,2019-01-03,0.84728,eastmoney
868,2019-01-03,0.951415,yuncaijing
1435,2019-01-03,0.929953,wallstreetcn
1050,2019-01-03,0.953666,eastmoney
1051,2019-01-03,0.0354984,eastmoney
1078,2019-01-03,0.899278,eastmoney
944,2019-01-03,0.962943,yuncaijing
1436,2019-01-03,0.895184,wallstreetcn
1311,2019-01-03,0.0368448,wallstreetcn
1417,2019-01-03,0.895184,sina
1358,2019-01-03,0.893065,sina
1323,2019-01-03,0.953666,sina
1321,2019-01-03,0.0368448,sina
1964,2019-01-04,0.657353,sina
1220,2019-01-04,0.823811,yuncaijing
2013,2019-01-04,0.657353,wallstreetcn
409,2019-01-04,0.643411,10jqka
1431,2019-01-04,0.6581,eastmoney
1488,2019-01-04,0.732996,eastmoney
2296,2019-01-05,0.764688,wallstreetcn
1411,2019-01-05,0.415855,yuncaijing
2164,2019-01-05,0.138172,sina
1741,2019-01-06,0.102094,eastmoney
518,2019-01-06,0.898675,10jqka
1471,2019-01-06,0.620406,yuncaijing
1717,2019-01-06,0.846216,eastmoney
2905,2019-01-07,0.785466,sina
634,2019-01-07,0.923251,10jqka
1937,2019-01-07,0.890785,yuncaijing
3101,2019-01-07,0.785466,wallstreetcn
3606,2019-01-08,0.0129135,wallstreetcn
762,2019-01-08,0.751748,10jqka
3049,2019-01-08,0.860496,sina
3284,2019-01-08,0.922022,sina
3370,2019-01-08,0.0129135,sina
2320,2019-01-08,0.0159925,yuncaijing
2354,2019-01-08,0.0129135,eastmoney
2291,2019-01-08,0.922022,eastmoney
2077,2019-01-08,0.87365,yuncaijing
830,2019-01-09,0.299926,10jqka
2634,2019-01-09,0.859876,eastmoney
2562,2019-01-09,0.0168493,eastmoney
2499,2019-01-09,0.345806,eastmoney
2460,2019-01-09,0.984205,eastmoney
3678,2019-01-09,0.499041,sina
3823,2019-01-09,0.0323365,sina
3912,2019-01-09,0.859876,sina
3669,2019-01-09,0.586123,sina
2755,2019-01-09,0.749757,yuncaijing
838,2019-01-09,0.0,10jqka
4282,2019-01-09,0.859876,wallstreetcn
2446,2019-01-09,0.915535,yuncaijing
2534,2019-01-09,0.658889,yuncaijing
3840,2019-01-09,0.780767,wallstreetcn
3844,2019-01-09,0.178721,wallstreetcn
3918,2019-01-09,0.746094,wallstreetcn
3946,2019-01-09,0.586123,wallstreetcn
3947,2019-01-09,0.586123,wallstreetcn
4138,2019-01-09,0.0202958,wallstreetcn
4139,2019-01-09,0.0323365,wallstreetcn
2541,2019-01-09,0.64042,yuncaijing
4283,2019-01-09,0.833135,wallstreetcn
3555,2019-01-09,0.273425,sina
2441,2019-01-09,0.5837,yuncaijing
904,2019-01-09,0.61817,10jqka
4556,2019-01-10,0.873193,sina
3237,2019-01-10,0.850783,yuncaijing
3333,2019-01-10,0.955251,yuncaijing
3302,2019-01-10,0.723853,yuncaijing
3379,2019-01-10,0.960328,yuncaijing
3356,2019-01-10,0.802702,yuncaijing
4476,2019-01-10,0.843002,sina
5119,2019-01-10,0.964521,wallstreetcn
4567,2019-01-10,0.158323,sina
4578,2019-01-10,0.964521,sina
4633,2019-01-10,0.937286,sina
3012,2019-01-10,0.963831,eastmoney
2995,2019-01-10,0.707013,eastmoney
4555,2019-01-10,0.794248,sina
4970,2019-01-10,0.909605,wallstreetcn
4989,2019-01-10,0.843002,wallstreetcn
5073,2019-01-10,0.154309,wallstreetcn
5074,2019-01-10,0.431467,wallstreetcn
2925,2019-01-10,0.762591,eastmoney
5151,2019-01-10,0.937473,wallstreetcn
2871,2019-01-10,0.467484,eastmoney
3321,2019-01-11,0.0392576,eastmoney
5885,2019-01-11,0.043779,wallstreetcn
1182,2019-01-11,0.0294789,10jqka
5602,2019-01-11,0.907655,wallstreetcn
5156,2019-01-11,0.043779,sina
3835,2019-01-11,0.060748,yuncaijing
3910,2019-01-11,0.103327,yuncaijing
5884,2019-01-11,0.0452512,wallstreetcn
7246,2019-01-14,0.901738,wallstreetcn
4057,2019-01-14,0.0541472,eastmoney
6775,2019-01-15,0.0423353,sina
1475,2019-01-15,0.877877,10jqka
4797,2019-01-15,0.869991,yuncaijing
6953,2019-01-15,0.952064,sina
4286,2019-01-15,0.0423353,eastmoney
4280,2019-01-15,0.749853,eastmoney
8188,2019-01-15,0.857098,wallstreetcn
8187,2019-01-15,0.883756,wallstreetcn
7977,2019-01-15,0.660994,wallstreetcn
7884,2019-01-15,0.206357,wallstreetcn
4745,2019-01-15,0.287495,yuncaijing
7824,2019-01-15,0.102653,wallstreetcn
7764,2019-01-15,0.62042,wallstreetcn
7658,2019-01-15,0.379025,wallstreetcn
7837,2019-01-15,0.631223,wallstreetcn
6656,2019-01-15,0.631223,sina
4891,2019-01-15,0.87697,yuncaijing
4212,2019-01-15,0.757701,eastmoney
6760,2019-01-15,0.79804,sina
7657,2019-01-15,0.50828,wallstreetcn
4157,2019-01-15,0.467461,eastmoney
1403,2019-01-15,0.0929331,10jqka
6506,2019-01-15,0.225064,sina
6642,2019-01-15,0.102653,sina
8691,2019-01-16,0.666601,wallstreetcn
4697,2019-01-16,0.717264,eastmoney
7338,2019-01-16,0.666601,sina
1621,2019-01-16,0.0935996,10jqka
1730,2019-01-17,0.0886733,10jqka
9693,2019-01-17,0.0698018,wallstreetcn
8109,2019-01-17,0.0698018,sina
9692,2019-01-17,0.0681103,wallstreetcn
8638,2019-01-18,0.459565,sina
1936,2019-01-20,0.169633,10jqka
11377,2019-01-20,0.19127,wallstreetcn
11379,2019-01-20,0.19127,wallstreetcn
1937,2019-01-20,0.570886,10jqka
5678,2019-01-20,0.19127,eastmoney
5761,2019-01-20,0.366353,eastmoney
9219,2019-01-20,0.310106,sina
9259,2019-01-20,0.19127,sina
11629,2019-01-21,0.300592,wallstreetcn
5797,2019-01-21,0.0156593,eastmoney
5992,2019-01-21,0.0626873,eastmoney
6003,2019-01-21,0.910981,eastmoney
2028,2019-01-21,0.0524504,10jqka
9450,2019-01-21,0.300592,sina
9720,2019-01-21,0.0626873,sina
9773,2019-01-21,0.625016,sina
11627,2019-01-21,0.300592,wallstreetcn
10254,2019-01-22,0.926612,sina
10242,2019-01-22,0.610673,sina
10120,2019-01-22,0.396771,sina
6163,2019-01-22,0.734377,eastmoney
6192,2019-01-22,0.0306666,eastmoney
6450,2019-01-22,0.4314,eastmoney
6288,2019-01-22,0.566548,eastmoney
6294,2019-01-22,0.926612,eastmoney
2105,2019-01-22,0.727843,10jqka
