,date,sentiment_score,source
148,2019-01-01,0.486866,sina
136,2019-01-01,0.546491,wallstreetcn
30,2019-01-01,0.361563,10jqka
119,2019-01-01,0.935349,yuncaijing
105,2019-01-01,0.291562,eastmoney
330,2019-01-02,0.605013,sina
448,2019-01-02,0.990808,sina
334,2019-01-02,0.664176,wallstreetcn
428,2019-01-02,0.990762,wallstreetcn
429,2019-01-02,0.990712,wallstreetcn
68,2019-01-02,0.974637,10jqka
324,2019-01-02,0.990386,yuncaijing
798,2019-01-03,0.902948,yuncaijing
588,2019-01-03,0.952801,yuncaijing
612,2019-01-03,0.915491,yuncaijing
936,2019-01-03,0.713656,sina
1206,2019-01-03,0.886931,sina
1526,2019-01-06,0.610402,yuncaijing
1528,2019-01-06,0.270583,yuncaijing
2335,2019-01-06,0.554853,sina
2482,2019-01-06,0.27759,wallstreetcn
1773,2019-01-06,0.198094,eastmoney
2374,2019-01-08,0.503887,eastmoney
3396,2019-01-08,0.549654,sina
2346,2019-01-08,0.832739,yuncaijing
3559,2019-01-11,0.748234,yuncaijing
3554,2019-01-11,0.74672,yuncaijing
4845,2019-01-11,0.665399,sina
1081,2019-01-11,0.653968,10jqka
9102,2019-01-16,0.780868,wallstreetcn
7602,2019-01-16,0.780868,sina
4952,2019-01-16,0.975774,yuncaijing
4715,2019-01-16,0.780868,eastmoney
9103,2019-01-16,0.780868,wallstreetcn
5170,2019-01-16,0.785379,yuncaijing
5712,2019-01-20,0.976177,eastmoney
11415,2019-01-20,0.988963,wallstreetcn
9288,2019-01-20,0.988963,sina
13044,2019-01-23,0.42831,wallstreetcn
12379,2019-01-25,0.933398,sina
15296,2019-01-25,0.933398,wallstreetcn
16039,2019-01-27,0.902016,wallstreetcn
17106,2019-01-29,0.95458,wallstreetcn
13835,2019-01-29,0.95458,sina
8366,2019-01-29,0.945882,eastmoney
9288,2019-01-31,0.818067,eastmoney
9611,2019-02-01,0.735207,eastmoney
15763,2019-02-01,0.973223,sina
15859,2019-02-01,0.766846,sina
27213,2019-02-20,0.809994,wallstreetcn
22206,2019-02-20,0.622009,sina
21915,2019-02-20,0.809994,sina
14103,2019-02-20,0.748162,eastmoney
9779,2019-02-20,0.612363,yuncaijing
14281,2019-02-20,0.654325,eastmoney
29265,2019-02-22,0.62262,wallstreetcn
29467,2019-02-22,0.738219,wallstreetcn
29264,2019-02-22,0.922738,wallstreetcn
10474,2019-02-22,0.734128,yuncaijing
10590,2019-02-22,0.826742,yuncaijing
23433,2019-02-22,0.932479,sina
23640,2019-02-22,0.802446,sina
16058,2019-02-25,0.93836,eastmoney
32025,2019-02-27,0.829262,wallstreetcn
25360,2019-02-27,0.829262,sina
11747,2019-02-27,0.826086,yuncaijing
34230,2019-03-01,0.661362,wallstreetcn
26939,2019-03-01,0.661362,sina
12983,2019-03-01,0.0370407,yuncaijing
17705,2019-03-01,0.0229545,eastmoney
12838,2019-03-01,0.730829,yuncaijing
27142,2019-03-01,0.0275711,sina
27687,2019-03-04,0.864297,sina
27642,2019-03-04,0.0698906,sina
5557,2019-03-04,0.433347,10jqka
35202,2019-03-04,0.0698906,wallstreetcn
18174,2019-03-04,0.64462,eastmoney
13320,2019-03-04,0.583522,yuncaijing
13312,2019-03-04,0.722329,yuncaijing
18580,2019-03-05,0.571566,eastmoney
18616,2019-03-05,0.182734,eastmoney
18773,2019-03-05,0.0804842,eastmoney
