,date,sentiment_score,source
152,2019-01-01,0.946314,sina
138,2019-01-01,0.946314,wallstreetcn
2380,2019-01-08,0.633473,yuncaijing
11147,2019-01-19,0.954489,wallstreetcn
5704,2019-01-20,0.96044,eastmoney
12225,2019-01-22,0.137675,wallstreetcn
9917,2019-01-22,0.137675,sina
10954,2019-01-23,0.960165,sina
6683,2019-01-23,0.960165,eastmoney
2530,2019-01-25,0.985571,10jqka
7450,2019-01-25,0.980691,eastmoney
15265,2019-01-25,0.968989,wallstreetcn
15264,2019-01-25,0.968989,wallstreetcn
12363,2019-01-25,0.98897,sina
7670,2019-01-26,0.978871,eastmoney
13752,2019-01-29,0.862916,sina
13991,2019-01-29,0.984496,sina
16995,2019-01-29,0.862916,wallstreetcn
21335,2019-02-08,0.898194,wallstreetcn
17133,2019-02-08,0.900747,sina
10646,2019-02-08,0.8896,eastmoney
10830,2019-02-09,0.379759,eastmoney
18733,2019-02-13,0.968434,sina
30627,2019-02-25,0.188898,wallstreetcn
24623,2019-02-26,0.925677,sina
11249,2019-02-26,0.925754,yuncaijing
26560,2019-02-28,0.974789,sina
35456,2019-03-20,0.520971,sina
18428,2019-03-20,0.612492,yuncaijing
36060,2019-03-21,0.348097,sina
23670,2019-03-21,0.365088,eastmoney
36693,2019-03-22,0.94307,sina
24445,2019-03-23,0.683771,eastmoney
24444,2019-03-23,0.969653,eastmoney
24408,2019-03-23,0.981844,eastmoney
20841,2019-03-28,0.543772,yuncaijing
39387,2019-03-28,0.410719,sina
50127,2019-03-28,0.441803,wallstreetcn
25870,2019-03-28,0.425256,eastmoney
40626,2019-03-29,0.0186783,sina
21558,2019-03-29,0.252575,yuncaijing
26515,2019-03-29,0.112025,eastmoney
23033,2019-04-03,0.978907,yuncaijing
8879,2019-04-03,0.849386,10jqka
46182,2019-04-11,0.754212,sina
47178,2019-04-12,0.974901,sina
25256,2019-04-12,0.896623,yuncaijing
25384,2019-04-12,0.967228,yuncaijing
25528,2019-04-12,0.968434,yuncaijing
9793,2019-04-12,0.722851,10jqka
59231,2019-04-12,0.856173,wallstreetcn
59745,2019-04-12,0.974901,wallstreetcn
46934,2019-04-12,0.962769,sina
29876,2019-04-29,0.613577,yuncaijing
54339,2019-04-29,0.527156,sina
38060,2019-05-08,0.633166,eastmoney
61857,2019-05-16,0.896302,sina
33754,2019-05-16,0.922274,yuncaijing
13532,2019-05-16,0.870384,10jqka
78030,2019-05-16,0.803466,wallstreetcn
40830,2019-05-16,0.896302,eastmoney
14892,2019-05-23,0.943049,10jqka
65329,2019-05-23,0.885556,sina
44499,2019-05-28,0.754133,eastmoney
36810,2019-05-28,0.894626,yuncaijing
45697,2019-05-31,0.226918,eastmoney
46534,2019-06-03,0.0183777,eastmoney
70615,2019-06-03,0.0183777,sina
91543,2019-06-10,0.98018,wallstreetcn
48367,2019-06-10,0.965329,eastmoney
73715,2019-06-10,0.605527,sina
48638,2019-06-11,0.442388,eastmoney
18868,2019-06-11,0.649576,10jqka
74094,2019-06-11,0.518588,sina
40730,2019-06-13,0.975784,yuncaijing
50021,2019-06-15,0.959903,eastmoney
19866,2019-06-15,0.93977,10jqka
41428,2019-06-15,0.955446,yuncaijing
75980,2019-06-15,0.968177,sina
19867,2019-06-15,0.93977,10jqka
41860,2019-06-17,0.987497,yuncaijing
78339,2019-06-20,0.939153,sina
81415,2019-06-27,0.982764,sina
44701,2019-06-27,0.979322,yuncaijing
23298,2019-06-28,0.907221,10jqka
84383,2019-07-03,0.982284,sina
24615,2019-07-03,0.941171,10jqka
55640,2019-07-03,0.980495,eastmoney
89235,2019-07-15,0.602992,sina
89286,2019-07-15,0.671286,sina
89297,2019-07-15,0.300632,sina
58882,2019-07-15,0.645341,eastmoney
27720,2019-07-15,0.51218,10jqka
49759,2019-07-15,0.421506,yuncaijing
92463,2019-07-22,0.990551,sina
93367,2019-07-24,0.943074,sina
30511,2019-07-25,0.955075,10jqka
30515,2019-07-25,0.974217,10jqka
93835,2019-07-25,0.973259,sina
52659,2019-07-25,0.969323,yuncaijing
62083,2019-07-25,0.984609,eastmoney
30418,2019-07-25,0.967332,10jqka
93927,2019-07-25,0.980709,sina
94629,2019-07-26,0.974151,sina
30783,2019-07-26,0.711823,10jqka
53351,2019-07-26,0.977368,yuncaijing
96172,2019-07-31,0.429688,sina
31989,2019-07-31,0.891758,10jqka
58772,2019-08-15,0.760954,yuncaijing
102875,2019-08-15,0.694392,sina
68152,2019-08-15,0.676542,eastmoney
36027,2019-08-15,0.697617,10jqka
37059,2019-08-19,0.733528,10jqka
59782,2019-08-19,0.805001,yuncaijing
104393,2019-08-19,0.725556,sina
108853,2019-08-29,0.467377,sina
62983,2019-08-29,0.755797,yuncaijing
109698,2019-08-30,0.788222,sina
109697,2019-08-30,0.419687,sina
