,date,sentiment_score,source
134,2019-01-01,0.0206763,sina
2529,2019-01-07,0.833627,sina
1656,2019-01-07,0.885077,yuncaijing
4512,2019-01-10,0.972336,sina
2972,2019-01-10,0.969184,eastmoney
4351,2019-01-14,0.783308,yuncaijing
6925,2019-01-14,0.777948,wallstreetcn
5871,2019-01-14,0.818355,sina
6613,2019-01-15,0.968949,sina
11147,2019-01-19,0.954489,wallstreetcn
5513,2019-01-19,0.674223,eastmoney
13199,2019-01-28,0.557973,sina
16364,2019-01-28,0.606178,wallstreetcn
13631,2019-01-29,0.369612,sina
10953,2019-02-10,0.0405788,eastmoney
10952,2019-02-10,0.0405788,eastmoney
21475,2019-02-19,0.494138,sina
14253,2019-03-06,0.248534,yuncaijing
5935,2019-03-06,0.163138,10jqka
29114,2019-03-06,0.173484,sina
32110,2019-03-13,0.85975,sina
41057,2019-03-13,0.85975,wallstreetcn
17718,2019-03-18,0.704,yuncaijing
34398,2019-03-18,0.630727,sina
26262,2019-03-29,0.769638,eastmoney
40190,2019-03-29,0.514686,sina
51066,2019-03-29,0.662866,wallstreetcn
21308,2019-03-29,0.613962,yuncaijing
21710,2019-03-30,0.935727,yuncaijing
26722,2019-03-30,0.889111,eastmoney
26695,2019-03-30,0.584225,eastmoney
40807,2019-03-30,0.76531,sina
52237,2019-03-31,0.781746,wallstreetcn
21863,2019-03-31,0.913253,yuncaijing
41088,2019-03-31,0.781746,sina
57226,2019-04-09,0.340336,wallstreetcn
24307,2019-04-09,0.501287,yuncaijing
57182,2019-04-09,0.137336,wallstreetcn
45694,2019-04-10,0.979277,sina
61179,2019-04-16,0.624767,wallstreetcn
26252,2019-04-16,0.683497,yuncaijing
49240,2019-04-17,0.618076,sina
27720,2019-04-21,0.627635,yuncaijing
64448,2019-04-21,0.553662,wallstreetcn
50760,2019-04-21,0.449541,sina
53314,2019-04-26,0.611991,sina
55331,2019-05-01,0.949345,sina
30721,2019-05-05,0.696436,yuncaijing
71460,2019-05-05,0.646499,wallstreetcn
37060,2019-05-05,0.730417,eastmoney
56239,2019-05-05,0.611008,sina
73137,2019-05-08,0.914205,wallstreetcn
57757,2019-05-08,0.914205,sina
31574,2019-05-08,0.947562,yuncaijing
43832,2019-05-26,0.90934,eastmoney
66475,2019-05-26,0.960226,sina
83513,2019-05-26,0.954252,wallstreetcn
36327,2019-05-26,0.93495,yuncaijing
43858,2019-05-26,0.960226,eastmoney
44219,2019-05-27,0.9517,eastmoney
66880,2019-05-27,0.9517,sina
16036,2019-05-29,0.374967,10jqka
69979,2019-06-02,0.752532,sina
16984,2019-06-02,0.0711568,10jqka
87380,2019-06-02,0.0723017,wallstreetcn
38169,2019-06-02,0.100497,yuncaijing
71010,2019-06-04,0.949996,sina
38723,2019-06-04,0.954728,yuncaijing
88582,2019-06-04,0.949996,wallstreetcn
48638,2019-06-11,0.442388,eastmoney
18868,2019-06-11,0.649576,10jqka
74094,2019-06-11,0.518588,sina
74651,2019-06-12,0.8755,sina
49073,2019-06-12,0.888755,eastmoney
42419,2019-06-19,0.938883,yuncaijing
42428,2019-06-19,0.676846,yuncaijing
20674,2019-06-19,0.871096,10jqka
78196,2019-06-20,0.956655,sina
42763,2019-06-20,0.966194,yuncaijing
51438,2019-06-20,0.687269,eastmoney
21261,2019-06-21,0.14175,10jqka
80424,2019-06-25,0.89316,sina
51713,2019-07-22,0.665201,yuncaijing
92419,2019-07-22,0.596997,sina
51714,2019-07-22,0.668221,yuncaijing
29436,2019-07-22,0.527378,10jqka
56938,2019-08-08,0.206915,yuncaijing
100015,2019-08-08,0.00507455,sina
100014,2019-08-08,0.854461,sina
34268,2019-08-08,0.765132,10jqka
66231,2019-08-08,0.0156138,eastmoney
34266,2019-08-08,0.00892802,10jqka
66230,2019-08-08,0.838854,eastmoney
68570,2019-08-16,0.843082,eastmoney
38990,2019-08-25,0.427881,10jqka
61497,2019-08-25,0.842977,yuncaijing
106828,2019-08-25,0.742799,sina
106797,2019-08-25,0.840111,sina
40431,2019-08-29,0.962776,10jqka
62997,2019-08-29,0.986555,yuncaijing
109316,2019-08-30,0.678917,sina
