,date,sentiment_score,source
992,2019-01-03,0.0216206,sina
921,2019-01-03,0.0216206,wallstreetcn
652,2019-01-03,0.0142839,yuncaijing
1625,2019-01-04,0.824973,sina
1646,2019-01-04,0.824973,wallstreetcn
1050,2019-01-04,0.776898,yuncaijing
2156,2019-01-05,0.027414,sina
1606,2019-01-05,0.0734101,eastmoney
1391,2019-01-05,0.123395,yuncaijing
1399,2019-01-05,0.0363925,yuncaijing
2831,2019-01-07,0.118337,wallstreetcn
593,2019-01-07,0.112041,10jqka
2671,2019-01-07,0.118337,sina
3279,2019-01-08,0.109384,sina
2101,2019-01-08,0.98768,yuncaijing
3267,2019-01-08,0.987057,wallstreetcn
3482,2019-01-08,0.109384,wallstreetcn
3097,2019-01-08,0.986789,sina
871,2019-01-09,0.23182,10jqka
2828,2019-01-10,0.0295117,eastmoney
6927,2019-01-14,0.567495,wallstreetcn
4352,2019-01-14,0.69288,yuncaijing
4358,2019-01-14,0.610772,yuncaijing
5874,2019-01-14,0.479394,sina
5013,2019-01-16,0.736547,yuncaijing
4745,2019-01-17,0.356484,eastmoney
7920,2019-01-17,0.411245,sina
10221,2019-01-18,0.779588,wallstreetcn
8431,2019-01-18,0.779588,sina
10327,2019-01-18,0.416166,wallstreetcn
8537,2019-01-18,0.416166,sina
11001,2019-01-23,0.962989,sina
6710,2019-01-23,0.958495,eastmoney
14128,2019-01-24,0.601223,wallstreetcn
11563,2019-01-24,0.766687,sina
11492,2019-01-24,0.601223,sina
12291,2019-01-25,0.22738,sina
15395,2019-01-25,0.0854756,wallstreetcn
16334,2019-01-28,0.892267,wallstreetcn
13157,2019-01-28,0.892267,sina
8214,2019-01-29,0.551922,eastmoney
17139,2019-01-29,0.740817,wallstreetcn
17000,2019-01-29,0.601659,wallstreetcn
16999,2019-01-29,0.730462,wallstreetcn
16856,2019-01-29,0.421813,wallstreetcn
17495,2019-01-29,0.744782,wallstreetcn
16769,2019-01-29,0.467262,wallstreetcn
8386,2019-01-29,0.726131,eastmoney
8338,2019-01-29,0.801774,eastmoney
8236,2019-01-29,0.0807344,eastmoney
8216,2019-01-29,0.155689,eastmoney
8546,2019-01-29,0.744782,eastmoney
17497,2019-01-29,0.744782,wallstreetcn
17383,2019-01-29,0.744782,wallstreetcn
2753,2019-01-29,0.52585,10jqka
2811,2019-01-29,0.598351,10jqka
2796,2019-01-29,0.637287,10jqka
2769,2019-01-29,0.64103,10jqka
13756,2019-01-29,0.687772,sina
13865,2019-01-29,0.740817,sina
13881,2019-01-29,0.870498,sina
13497,2019-01-29,0.77674,sina
8861,2019-01-30,0.0213432,eastmoney
6005,2019-01-30,0.172855,yuncaijing
18155,2019-01-30,0.818776,wallstreetcn
18236,2019-01-30,0.0810802,wallstreetcn
3000,2019-01-30,0.716667,10jqka
18237,2019-01-30,0.0215592,wallstreetcn
18302,2019-01-30,0.431225,wallstreetcn
14698,2019-01-30,0.824134,sina
14695,2019-01-30,0.167083,sina
8693,2019-01-30,0.757421,eastmoney
8730,2019-01-30,0.0150672,eastmoney
8797,2019-01-30,0.0157472,eastmoney
8803,2019-01-30,0.0157472,eastmoney
8859,2019-01-30,0.390833,eastmoney
18241,2019-01-30,0.921857,wallstreetcn
3003,2019-01-30,0.762794,10jqka
15052,2019-01-31,0.952711,sina
15256,2019-01-31,0.601333,sina
6280,2019-01-31,0.691142,yuncaijing
9202,2019-01-31,0.612348,eastmoney
18770,2019-01-31,0.952711,wallstreetcn
18971,2019-01-31,0.394373,wallstreetcn
18989,2019-01-31,0.0528336,wallstreetcn
18997,2019-01-31,0.616032,wallstreetcn
16344,2019-02-04,0.659585,sina
10161,2019-02-04,0.104653,eastmoney
10704,2019-02-08,0.0403369,eastmoney
10657,2019-02-08,0.588572,eastmoney
10655,2019-02-08,0.588572,eastmoney
12445,2019-02-14,0.108552,eastmoney
8996,2019-02-18,0.80396,yuncaijing
25999,2019-02-18,0.705965,wallstreetcn
26145,2019-02-18,0.521848,wallstreetcn
13326,2019-02-18,0.533631,eastmoney
13414,2019-02-18,0.133232,eastmoney
20902,2019-02-18,0.784588,sina
21047,2019-02-18,0.190387,sina
26812,2019-02-19,0.144449,wallstreetcn
26849,2019-02-19,0.534879,wallstreetcn
4269,2019-02-19,0.386745,10jqka
4242,2019-02-19,0.052132,10jqka
9446,2019-02-19,0.640432,yuncaijing
13935,2019-02-19,0.0229372,eastmoney
4271,2019-02-19,0.534879,10jqka
21656,2019-02-19,0.193029,sina
21689,2019-02-19,0.0515667,sina
22278,2019-02-20,0.833776,sina
14482,2019-02-20,0.620212,eastmoney
23132,2019-02-21,0.239133,sina
14612,2019-02-21,0.647077,eastmoney
10295,2019-02-21,0.270977,yuncaijing
28816,2019-02-21,0.239133,wallstreetcn
28817,2019-02-21,0.239133,wallstreetcn
15204,2019-02-22,0.575028,eastmoney
15081,2019-02-22,0.220042,eastmoney
29118,2019-02-22,0.0493629,wallstreetcn
29119,2019-02-22,0.0578453,wallstreetcn
10401,2019-02-22,0.0657289,yuncaijing
10526,2019-02-22,0.670043,yuncaijing
23528,2019-02-22,0.527436,sina
23533,2019-02-22,0.959572,sina
23553,2019-02-22,0.809808,sina
15249,2019-02-22,0.812167,eastmoney
23333,2019-02-22,0.0323552,sina
15481,2019-02-23,0.57758,eastmoney
4816,2019-02-25,0.00838052,10jqka
30867,2019-02-25,0.628597,wallstreetcn
30830,2019-02-25,0.267254,wallstreetcn
30768,2019-02-25,0.06064,wallstreetcn
30754,2019-02-25,0.705844,wallstreetcn
30627,2019-02-25,0.188898,wallstreetcn
15998,2019-02-25,0.187724,eastmoney
15934,2019-02-25,0.752087,eastmoney
15940,2019-02-25,0.267272,eastmoney
15967,2019-02-25,0.208,eastmoney
16003,2019-02-25,0.127454,eastmoney
11165,2019-02-25,0.390901,yuncaijing
11116,2019-02-25,0.683919,yuncaijing
15791,2019-02-25,0.547861,eastmoney
24434,2019-02-25,0.705844,sina
24471,2019-02-25,0.267254,sina
24473,2019-02-25,0.186441,sina
11168,2019-02-25,0.459331,yuncaijing
32433,2019-02-27,0.111469,wallstreetcn
32511,2019-02-27,0.284535,wallstreetcn
12067,2019-02-27,0.437342,yuncaijing
25804,2019-02-27,0.284535,sina
25756,2019-02-27,0.291927,sina
16803,2019-02-27,0.147901,eastmoney
26074,2019-02-28,0.900317,sina
33263,2019-02-28,0.948861,wallstreetcn
33262,2019-02-28,0.948861,wallstreetcn
33021,2019-02-28,0.900317,wallstreetcn
17089,2019-02-28,0.946218,eastmoney
12381,2019-02-28,0.930441,yuncaijing
16992,2019-02-28,0.853402,eastmoney
26264,2019-02-28,0.948861,sina
27146,2019-03-01,0.957871,sina
5380,2019-03-01,0.411583,10jqka
34222,2019-03-01,0.411583,wallstreetcn
26935,2019-03-01,0.411583,sina
17707,2019-03-01,0.95274,eastmoney
17725,2019-03-01,0.473894,eastmoney
17522,2019-03-01,0.635577,eastmoney
13265,2019-03-03,0.863748,yuncaijing
27575,2019-03-03,0.873715,sina
17970,2019-03-03,0.0272277,eastmoney
5522,2019-03-03,0.785136,10jqka
35124,2019-03-03,0.81119,wallstreetcn
28025,2019-03-04,0.25907,sina
13530,2019-03-04,0.340791,yuncaijing
