,date,sentiment_score,source
2775,2019-01-07,0.468101,sina
2000,2019-01-07,0.285706,eastmoney
2296,2019-01-08,0.0747653,eastmoney
2265,2019-01-08,0.0747653,eastmoney
2289,2019-01-08,0.0747653,eastmoney
2293,2019-01-08,0.0747653,eastmoney
8423,2019-01-29,0.0288561,eastmoney
8420,2019-01-29,0.0288561,eastmoney
30240,2019-04-11,0.367011,eastmoney
51961,2019-06-21,0.169902,eastmoney
51893,2019-06-21,0.588329,eastmoney
51903,2019-06-21,0.626119,eastmoney
51923,2019-06-21,0.26542,eastmoney
51956,2019-06-21,0.169902,eastmoney
51978,2019-06-21,0.146372,eastmoney
34980,2019-08-12,0.592955,10jqka
38248,2019-08-22,0.594685,10jqka
