,date,sentiment_score,source
344,2019-01-02,0.655299,sina
137,2019-01-02,0.56696,10jqka
637,2019-01-02,0.708217,wallstreetcn
350,2019-01-02,0.655299,wallstreetcn
226,2019-01-02,0.722897,yuncaijing
315,2019-01-02,0.949978,yuncaijing
441,2019-01-02,0.786878,yuncaijing
544,2019-01-02,0.714574,eastmoney
441,2019-01-02,0.952217,sina
688,2019-01-02,0.708217,sina
1186,2019-01-03,0.783424,wallstreetcn
849,2019-01-03,0.325517,wallstreetcn
768,2019-01-03,0.863402,yuncaijing
653,2019-01-03,0.81,yuncaijing
1125,2019-01-03,0.895902,sina
993,2019-01-03,0.818997,sina
912,2019-01-03,0.381573,sina
1561,2019-01-04,0.985212,sina
1005,2019-01-04,0.973662,yuncaijing
1609,2019-01-04,0.985212,wallstreetcn
1553,2019-01-05,0.827158,eastmoney
2121,2019-01-05,0.827158,sina
1363,2019-01-05,0.835697,yuncaijing
1463,2019-01-06,0.858159,yuncaijing
1889,2019-01-07,0.611743,yuncaijing
3041,2019-01-07,0.477227,wallstreetcn
2825,2019-01-07,0.79524,sina
2983,2019-01-07,0.791149,wallstreetcn
2854,2019-01-07,0.477227,sina
2055,2019-01-07,0.429949,eastmoney
2037,2019-01-07,0.766987,eastmoney
2203,2019-01-08,0.914079,yuncaijing
3169,2019-01-08,0.981133,sina
733,2019-01-08,0.80912,10jqka
3208,2019-01-08,0.939093,sina
2245,2019-01-08,0.939093,eastmoney
3086,2019-01-10,0.976236,yuncaijing
2970,2019-01-10,0.96292,yuncaijing
4156,2019-01-10,0.965083,sina
4280,2019-01-10,0.976486,sina
4492,2019-01-10,0.965889,sina
2956,2019-01-10,0.961913,eastmoney
3173,2019-01-11,0.132961,eastmoney
3218,2019-01-11,0.968649,eastmoney
6004,2019-01-11,0.891293,wallstreetcn
6003,2019-01-11,0.907214,wallstreetcn
3859,2019-01-11,0.941893,yuncaijing
5921,2019-01-11,0.959128,wallstreetcn
3461,2019-01-11,0.945104,yuncaijing
5576,2019-01-11,0.447542,wallstreetcn
3653,2019-01-11,0.979854,yuncaijing
3691,2019-01-11,0.982856,yuncaijing
5671,2019-01-11,0.973014,wallstreetcn
5617,2019-01-11,0.988018,wallstreetcn
3622,2019-01-11,0.876397,yuncaijing
4745,2019-01-11,0.44148,sina
4922,2019-01-11,0.121971,sina
4962,2019-01-11,0.99341,sina
5007,2019-01-11,0.980261,sina
5185,2019-01-11,0.956731,sina
4060,2019-01-12,0.919663,yuncaijing
3530,2019-01-12,0.941997,eastmoney
5386,2019-01-12,0.951721,sina
5332,2019-01-12,0.976976,sina
3454,2019-01-12,0.955784,eastmoney
3653,2019-01-13,0.818611,eastmoney
4304,2019-01-15,0.713126,eastmoney
6548,2019-01-15,0.73597,sina
6810,2019-01-15,0.704478,sina
7166,2019-01-16,0.89151,sina
5358,2019-01-17,0.877868,yuncaijing
9622,2019-01-17,0.856519,wallstreetcn
8132,2019-01-17,0.990536,sina
4902,2019-01-17,0.823112,eastmoney
8029,2019-01-17,0.814493,sina
4959,2019-01-17,0.990536,eastmoney
8736,2019-01-18,0.763924,sina
8742,2019-01-18,0.606967,sina
8888,2019-01-18,0.599044,sina
10099,2019-01-18,0.47129,wallstreetcn
5519,2019-01-18,0.867664,yuncaijing
5287,2019-01-18,0.763924,eastmoney
5551,2019-01-19,0.94138,eastmoney
11388,2019-01-20,0.957722,wallstreetcn
1947,2019-01-20,0.472515,10jqka
9267,2019-01-20,0.957722,sina
6017,2019-01-21,0.857953,eastmoney
6012,2019-01-21,0.957544,eastmoney
9497,2019-01-21,0.862939,sina
9757,2019-01-21,0.962237,sina
9764,2019-01-21,0.875327,sina
10249,2019-01-22,0.821481,sina
9943,2019-01-22,0.31416,sina
6384,2019-01-22,0.810472,eastmoney
10370,2019-01-22,0.833504,sina
10374,2019-01-22,0.964201,sina
12726,2019-01-22,0.956711,wallstreetcn
12252,2019-01-22,0.31416,wallstreetcn
6392,2019-01-22,0.61099,eastmoney
10274,2019-01-22,0.47934,sina
6306,2019-01-22,0.54257,eastmoney
10712,2019-01-23,0.974866,sina
10812,2019-01-23,0.586405,sina
10923,2019-01-23,0.715708,sina
10925,2019-01-23,0.869781,sina
10998,2019-01-23,0.595146,sina
13344,2019-01-23,0.8632,wallstreetcn
6666,2019-01-23,0.861356,eastmoney
13043,2019-01-23,0.935311,wallstreetcn
13237,2019-01-23,0.530592,wallstreetcn
6663,2019-01-23,0.704464,eastmoney
11552,2019-01-24,0.990887,sina
11608,2019-01-24,0.918282,sina
11650,2019-01-24,0.93813,sina
11664,2019-01-24,0.845057,sina
7120,2019-01-24,0.909906,eastmoney
7042,2019-01-24,0.822952,eastmoney
11780,2019-01-24,0.932772,sina
11559,2019-01-24,0.976855,sina
14293,2019-01-24,0.926113,wallstreetcn
14195,2019-01-24,0.976855,wallstreetcn
14190,2019-01-24,0.922668,wallstreetcn
14178,2019-01-24,0.983431,wallstreetcn
7029,2019-01-24,0.919065,eastmoney
11555,2019-01-24,0.923607,sina
12011,2019-01-25,0.605335,sina
12400,2019-01-25,0.977889,sina
11961,2019-01-25,0.454596,sina
7412,2019-01-25,0.508461,eastmoney
7536,2019-01-25,0.972554,eastmoney
15051,2019-01-25,0.949961,wallstreetcn
7230,2019-01-25,0.171973,eastmoney
7480,2019-01-25,0.975991,eastmoney
7663,2019-01-26,0.297056,eastmoney
12645,2019-01-26,0.979916,sina
16071,2019-01-27,0.609959,wallstreetcn
7856,2019-01-27,0.609616,eastmoney
12895,2019-01-27,0.633582,sina
12899,2019-01-27,0.609616,sina
13016,2019-01-28,0.151237,sina
16816,2019-01-29,0.963897,wallstreetcn
13586,2019-01-29,0.963897,sina
13839,2019-01-29,0.731262,sina
13845,2019-01-29,0.745625,sina
8373,2019-01-29,0.677236,eastmoney
8368,2019-01-29,0.696174,eastmoney
8260,2019-01-29,0.775651,eastmoney
8885,2019-01-30,0.973898,eastmoney
5863,2019-01-30,0.85152,yuncaijing
17971,2019-01-30,0.856575,wallstreetcn
6024,2019-01-30,0.972645,yuncaijing
14730,2019-01-30,0.976107,sina
15701,2019-02-01,0.0934687,sina
6508,2019-02-01,0.705662,yuncaijing
9483,2019-02-01,0.0775866,eastmoney
3175,2019-02-01,0.601865,10jqka
9698,2019-02-02,0.973976,eastmoney
9760,2019-02-02,0.767099,eastmoney
15988,2019-02-02,0.973976,sina
9882,2019-02-03,0.140867,eastmoney
9878,2019-02-03,0.0697061,eastmoney
16343,2019-02-04,0.120723,sina
16409,2019-02-04,0.0697061,sina
10054,2019-02-04,0.79168,eastmoney
6833,2019-02-04,0.613449,yuncaijing
20434,2019-02-04,0.163343,wallstreetcn
10246,2019-02-05,0.464133,eastmoney
21335,2019-02-08,0.898194,wallstreetcn
10646,2019-02-08,0.8896,eastmoney
17133,2019-02-08,0.900747,sina
17344,2019-02-09,0.0264099,sina
10772,2019-02-09,0.0221869,eastmoney
17473,2019-02-10,0.273154,sina
10889,2019-02-10,0.893338,eastmoney
10891,2019-02-10,0.893338,eastmoney
17829,2019-02-11,0.790202,sina
23355,2019-02-13,0.951599,wallstreetcn
7974,2019-02-13,0.918471,yuncaijing
18948,2019-02-13,0.950723,sina
12738,2019-02-15,0.922495,eastmoney
12878,2019-02-15,0.880831,eastmoney
8732,2019-02-15,0.916266,yuncaijing
8636,2019-02-15,0.936971,yuncaijing
12696,2019-02-15,0.950034,eastmoney
25322,2019-02-15,0.922115,wallstreetcn
25232,2019-02-15,0.922496,wallstreetcn
25038,2019-02-15,0.9396,wallstreetcn
3991,2019-02-15,0.937879,10jqka
20426,2019-02-15,0.903628,sina
20224,2019-02-15,0.9396,sina
20161,2019-02-15,0.950034,sina
25323,2019-02-15,0.922496,wallstreetcn
13176,2019-02-17,0.958882,eastmoney
25784,2019-02-17,0.96204,wallstreetcn
25785,2019-02-17,0.958882,wallstreetcn
