,date,sentiment_score,source
353,2019-01-02,0.782955,sina
682,2019-01-02,0.889156,sina
234,2019-01-02,0.801673,yuncaijing
357,2019-01-02,0.782955,wallstreetcn
631,2019-01-02,0.889156,wallstreetcn
535,2019-01-02,0.875272,eastmoney
864,2019-01-03,0.414922,sina
934,2019-01-03,0.972323,sina
611,2019-01-03,0.961027,yuncaijing
777,2019-01-03,0.454832,wallstreetcn
877,2019-01-03,0.973023,wallstreetcn
976,2019-01-03,0.959587,wallstreetcn
1236,2019-01-04,0.962285,yuncaijing
1952,2019-01-04,0.963804,wallstreetcn
2025,2019-01-04,0.954352,wallstreetcn
402,2019-01-04,0.897414,10jqka
1983,2019-01-04,0.953821,sina
1439,2019-01-04,0.948499,eastmoney
1608,2019-01-05,0.854774,eastmoney
1402,2019-01-05,0.89005,yuncaijing
2158,2019-01-05,0.864703,sina
2489,2019-01-06,0.964586,wallstreetcn
1929,2019-01-07,0.943391,yuncaijing
1795,2019-01-07,0.960194,yuncaijing
2693,2019-01-07,0.954843,sina
2732,2019-01-07,0.981177,sina
2090,2019-01-07,0.922293,eastmoney
1947,2019-01-07,0.935472,eastmoney
2846,2019-01-07,0.951658,wallstreetcn
607,2019-01-07,0.925988,10jqka
1972,2019-01-07,0.926871,eastmoney
2236,2019-01-08,0.899225,eastmoney
2237,2019-01-08,0.920063,eastmoney
2281,2019-01-08,0.830239,eastmoney
3186,2019-01-08,0.992241,wallstreetcn
3187,2019-01-08,0.992241,wallstreetcn
3381,2019-01-08,0.920063,wallstreetcn
2015,2019-01-08,0.992719,yuncaijing
728,2019-01-08,0.896835,10jqka
2192,2019-01-08,0.905357,yuncaijing
3382,2019-01-08,0.920063,wallstreetcn
3182,2019-01-08,0.93143,sina
2999,2019-01-08,0.992241,sina
3265,2019-01-08,0.830239,sina
3190,2019-01-08,0.920063,sina
2921,2019-01-10,0.807827,eastmoney
3241,2019-01-10,0.865573,yuncaijing
3216,2019-01-10,0.874998,yuncaijing
2989,2019-01-10,0.89687,yuncaijing
4599,2019-01-10,0.986855,wallstreetcn
2945,2019-01-10,0.746906,eastmoney
3051,2019-01-10,0.233643,eastmoney
4481,2019-01-10,0.800834,sina
4641,2019-01-10,0.340266,sina
5210,2019-01-10,0.340266,wallstreetcn
4809,2019-01-11,0.985077,sina
4955,2019-01-11,0.981007,sina
5029,2019-01-11,0.979972,sina
5849,2019-01-11,0.940507,wallstreetcn
3232,2019-01-11,0.970921,eastmoney
3284,2019-01-11,0.980525,eastmoney
3524,2019-01-11,0.989698,yuncaijing
3711,2019-01-11,0.978657,yuncaijing
3725,2019-01-11,0.989196,yuncaijing
3803,2019-01-11,0.948437,yuncaijing
5455,2019-01-11,0.985077,wallstreetcn
5724,2019-01-11,0.990104,wallstreetcn
5098,2019-01-11,0.982278,sina
6229,2019-01-12,0.807635,wallstreetcn
6228,2019-01-12,0.807635,wallstreetcn
5333,2019-01-12,0.500854,sina
6169,2019-01-12,0.963645,wallstreetcn
5294,2019-01-12,0.973924,sina
1206,2019-01-12,0.803196,10jqka
3410,2019-01-12,0.954761,eastmoney
3448,2019-01-12,0.498901,eastmoney
3984,2019-01-12,0.901569,yuncaijing
3952,2019-01-12,0.970386,yuncaijing
1200,2019-01-12,0.951367,10jqka
3602,2019-01-13,0.916717,eastmoney
6624,2019-01-13,0.829762,wallstreetcn
5545,2019-01-13,0.983305,sina
4513,2019-01-14,0.975378,yuncaijing
4469,2019-01-14,0.990757,yuncaijing
6732,2019-01-14,0.72073,wallstreetcn
6931,2019-01-14,0.878671,wallstreetcn
7189,2019-01-14,0.982292,wallstreetcn
1447,2019-01-15,0.8733,10jqka
8443,2019-01-16,0.126733,wallstreetcn
7176,2019-01-16,0.973085,sina
8673,2019-01-18,0.97319,sina
10498,2019-01-18,0.97319,wallstreetcn
5544,2019-01-19,0.964793,eastmoney
9091,2019-01-19,0.973746,sina
11106,2019-01-19,0.973746,wallstreetcn
11113,2019-01-19,0.954748,wallstreetcn
5968,2019-01-21,0.901104,eastmoney
11720,2019-01-21,0.840323,wallstreetcn
11980,2019-01-21,0.972555,wallstreetcn
9540,2019-01-21,0.935867,sina
9572,2019-01-21,0.979255,sina
9765,2019-01-21,0.969466,sina
1980,2019-01-21,0.189928,10jqka
11715,2019-01-21,0.935867,wallstreetcn
10171,2019-01-22,0.813342,sina
10365,2019-01-22,0.966515,sina
10373,2019-01-22,0.703574,sina
12730,2019-01-22,0.900197,wallstreetcn
12698,2019-01-22,0.649574,wallstreetcn
13577,2019-01-23,0.12801,wallstreetcn
13578,2019-01-23,0.12801,wallstreetcn
10998,2019-01-23,0.595146,sina
11321,2019-01-24,0.504011,sina
13910,2019-01-24,0.504011,wallstreetcn
13911,2019-01-24,0.504011,wallstreetcn
14955,2019-01-25,0.940019,wallstreetcn
15371,2019-01-25,0.358329,wallstreetcn
7475,2019-01-25,0.979188,eastmoney
7284,2019-01-25,0.252187,eastmoney
12441,2019-01-25,0.358329,sina
12393,2019-01-25,0.98137,sina
7508,2019-01-25,0.14445,eastmoney
12665,2019-01-26,0.349022,sina
12638,2019-01-26,0.0633585,sina
15653,2019-01-26,0.349022,wallstreetcn
15977,2019-01-27,0.973772,wallstreetcn
17242,2019-01-29,0.831461,wallstreetcn
14082,2019-01-29,0.34498,sina
8526,2019-01-29,0.22098,eastmoney
17721,2019-01-30,0.193013,wallstreetcn
17601,2019-01-30,0.90053,wallstreetcn
5676,2019-01-30,0.923691,yuncaijing
14169,2019-01-30,0.90053,sina
14572,2019-01-30,0.904125,sina
14769,2019-01-30,0.38987,sina
8913,2019-01-30,0.194965,eastmoney
8579,2019-01-30,0.981868,eastmoney
18363,2019-01-30,0.38987,wallstreetcn
9301,2019-01-31,0.153632,eastmoney
14929,2019-01-31,0.925353,sina
19164,2019-01-31,0.385774,wallstreetcn
19162,2019-01-31,0.940409,wallstreetcn
9558,2019-02-01,0.983536,eastmoney
19716,2019-02-01,0.872996,wallstreetcn
6566,2019-02-01,0.799678,yuncaijing
15809,2019-02-01,0.993945,sina
16016,2019-02-02,0.971094,sina
6716,2019-02-02,0.928633,yuncaijing
16060,2019-02-02,0.908494,sina
9800,2019-02-02,0.890537,eastmoney
20072,2019-02-02,0.908494,wallstreetcn
3260,2019-02-02,0.927858,10jqka
16377,2019-02-04,0.963632,sina
16786,2019-02-06,0.959581,sina
10441,2019-02-06,0.959581,eastmoney
3459,2019-02-11,0.922987,10jqka
17902,2019-02-11,0.967987,sina
17747,2019-02-11,0.965975,sina
11095,2019-02-11,0.735136,eastmoney
11155,2019-02-11,0.879903,eastmoney
3453,2019-02-11,0.929552,10jqka
11655,2019-02-12,0.155428,eastmoney
11618,2019-02-12,0.96367,eastmoney
18528,2019-02-12,0.236119,sina
22861,2019-02-12,0.236119,wallstreetcn
11664,2019-02-12,0.286105,eastmoney
8024,2019-02-13,0.715451,yuncaijing
11955,2019-02-13,0.589934,eastmoney
24273,2019-02-14,0.928743,wallstreetcn
24879,2019-02-15,0.972326,wallstreetcn
8591,2019-02-15,0.96971,yuncaijing
8549,2019-02-15,0.972698,yuncaijing
24919,2019-02-15,0.977967,wallstreetcn
20133,2019-02-15,0.985772,sina
12661,2019-02-15,0.964451,eastmoney
24958,2019-02-15,0.977715,wallstreetcn
25740,2019-02-17,0.846658,wallstreetcn
13066,2019-02-17,0.893678,eastmoney
25746,2019-02-17,0.846658,wallstreetcn
8864,2019-02-17,0.879792,yuncaijing
20686,2019-02-17,0.846658,sina
26090,2019-02-18,0.89952,wallstreetcn
26299,2019-02-18,0.980265,wallstreetcn
4103,2019-02-18,0.83296,10jqka
8975,2019-02-18,0.978044,yuncaijing
25947,2019-02-18,0.986574,wallstreetcn
20872,2019-02-18,0.973577,sina
13456,2019-02-18,0.76794,eastmoney
13302,2019-02-18,0.969755,eastmoney
21106,2019-02-18,0.814161,sina
25961,2019-02-18,0.973577,wallstreetcn
13971,2019-02-19,0.975981,eastmoney
21335,2019-02-19,0.741519,sina
21729,2019-02-19,0.975981,sina
26847,2019-02-19,0.935897,wallstreetcn
9507,2019-02-19,0.934251,yuncaijing
26953,2019-02-19,0.970457,wallstreetcn
26655,2019-02-19,0.287148,wallstreetcn
26850,2019-02-19,0.950009,wallstreetcn
27777,2019-02-20,0.834157,wallstreetcn
27776,2019-02-20,0.834157,wallstreetcn
9881,2019-02-20,0.923337,yuncaijing
14458,2019-02-20,0.769854,eastmoney
22058,2019-02-20,0.934113,sina
10099,2019-02-21,0.768539,yuncaijing
28264,2019-02-21,0.963789,wallstreetcn
22795,2019-02-21,0.832917,sina
14665,2019-02-21,0.808682,eastmoney
28599,2019-02-21,0.940905,wallstreetcn
10066,2019-02-21,0.947591,yuncaijing
22729,2019-02-21,0.963789,sina
28913,2019-02-22,0.655187,wallstreetcn
29302,2019-02-22,0.983032,wallstreetcn
10434,2019-02-22,0.91198,yuncaijing
10394,2019-02-22,0.966033,yuncaijing
10498,2019-02-22,0.740903,yuncaijing
29107,2019-02-22,0.93769,wallstreetcn
10355,2019-02-22,0.545761,yuncaijing
23459,2019-02-22,0.675259,sina
23445,2019-02-22,0.135791,sina
23366,2019-02-22,0.844682,sina
23325,2019-02-22,0.95445,sina
23245,2019-02-22,0.167198,sina
15043,2019-02-22,0.48656,eastmoney
15098,2019-02-22,0.550889,eastmoney
15169,2019-02-22,0.675259,eastmoney
10501,2019-02-22,0.983424,yuncaijing
29106,2019-02-22,0.941637,wallstreetcn
15478,2019-02-23,0.969879,eastmoney
15510,2019-02-23,0.30624,eastmoney
29870,2019-02-23,0.328007,wallstreetcn
23828,2019-02-23,0.972712,sina
23841,2019-02-23,0.328007,sina
30504,2019-02-25,0.656046,wallstreetcn
30638,2019-02-25,0.0662262,wallstreetcn
15839,2019-02-25,0.0781122,eastmoney
24237,2019-02-25,0.650006,sina
16383,2019-02-26,0.92493,eastmoney
25221,2019-02-26,0.331288,sina
25118,2019-02-26,0.984087,sina
11603,2019-02-26,0.935328,yuncaijing
24913,2019-02-26,0.971778,sina
31727,2019-02-26,0.331288,wallstreetcn
31598,2019-02-26,0.569113,wallstreetcn
31594,2019-02-26,0.73176,wallstreetcn
31592,2019-02-26,0.983606,wallstreetcn
31512,2019-02-26,0.96059,wallstreetcn
11447,2019-02-26,0.977399,yuncaijing
16631,2019-02-27,0.275353,eastmoney
16564,2019-02-27,0.275353,eastmoney
16746,2019-02-27,0.902612,eastmoney
25734,2019-02-27,0.878979,sina
12048,2019-02-27,0.964696,yuncaijing
5078,2019-02-27,0.36525,10jqka
25795,2019-02-27,0.963745,sina
25911,2019-02-27,0.333822,sina
12004,2019-02-27,0.914455,yuncaijing
11817,2019-02-27,0.311505,yuncaijing
32656,2019-02-27,0.333822,wallstreetcn
32464,2019-02-27,0.934427,wallstreetcn
32442,2019-02-27,0.978505,wallstreetcn
32103,2019-02-27,0.168958,wallstreetcn
16791,2019-02-27,0.959402,eastmoney
25453,2019-02-27,0.373131,sina
12253,2019-02-28,0.888582,yuncaijing
26094,2019-02-28,0.91279,sina
33048,2019-02-28,0.936417,wallstreetcn
33604,2019-02-28,0.166998,wallstreetcn
26114,2019-02-28,0.0584274,sina
12274,2019-02-28,0.327045,yuncaijing
26078,2019-02-28,0.041795,sina
5264,2019-02-28,0.456144,10jqka
17199,2019-02-28,0.576331,eastmoney
26561,2019-02-28,0.17167,sina
12595,2019-02-28,0.224711,yuncaijing
33024,2019-02-28,0.041795,wallstreetcn
27133,2019-03-01,0.974521,sina
12826,2019-03-01,0.966929,yuncaijing
12878,2019-03-01,0.823987,yuncaijing
34309,2019-03-01,0.905622,wallstreetcn
34497,2019-03-01,0.97461,wallstreetcn
26925,2019-03-01,0.96311,sina
27005,2019-03-01,0.824917,sina
17579,2019-03-01,0.822206,eastmoney
17683,2019-03-01,0.987245,eastmoney
17684,2019-03-01,0.974521,eastmoney
27134,2019-03-01,0.987113,sina
12975,2019-03-01,0.98987,yuncaijing
12976,2019-03-01,0.964364,yuncaijing
34807,2019-03-02,0.631501,wallstreetcn
34989,2019-03-03,0.979062,wallstreetcn
27449,2019-03-03,0.979408,sina
27447,2019-03-03,0.977689,sina
13167,2019-03-03,0.983092,yuncaijing
13166,2019-03-03,0.964845,yuncaijing
17952,2019-03-03,0.970342,eastmoney
13327,2019-03-04,0.951095,yuncaijing
35750,2019-03-04,0.925053,wallstreetcn
18396,2019-03-04,0.496148,eastmoney
18464,2019-03-04,0.917378,eastmoney
18494,2019-03-04,0.955586,eastmoney
13336,2019-03-04,0.973471,yuncaijing
35314,2019-03-04,0.980403,wallstreetcn
35300,2019-03-04,0.951171,wallstreetcn
18332,2019-03-04,0.240542,eastmoney
13614,2019-03-04,0.917361,yuncaijing
18323,2019-03-04,0.675521,eastmoney
27724,2019-03-04,0.98039,sina
27977,2019-03-04,0.163583,sina
28142,2019-03-04,0.925053,sina
27711,2019-03-04,0.951171,sina
36476,2019-03-05,0.818779,wallstreetcn
28298,2019-03-05,0.787155,sina
28609,2019-03-05,0.927512,sina
35955,2019-03-05,0.955997,wallstreetcn
5806,2019-03-05,0.891857,10jqka
36347,2019-03-05,0.975907,wallstreetcn
13697,2019-03-05,0.95104,yuncaijing
36346,2019-03-05,0.927512,wallstreetcn
13906,2019-03-05,0.929591,yuncaijing
14080,2019-03-06,0.243941,yuncaijing
36853,2019-03-06,0.66893,wallstreetcn
37186,2019-03-06,0.968214,wallstreetcn
37263,2019-03-06,0.899832,wallstreetcn
28899,2019-03-06,0.0782098,sina
14291,2019-03-06,0.890709,yuncaijing
14293,2019-03-06,0.934184,yuncaijing
29121,2019-03-06,0.968214,sina
29174,2019-03-06,0.899832,sina
36852,2019-03-06,0.385102,wallstreetcn
19119,2019-03-06,0.964495,eastmoney
14257,2019-03-06,0.963647,yuncaijing
28940,2019-03-06,0.919971,sina
