,date,sentiment_score,source
10,2019-01-01,0.957553,sina
166,2019-01-01,0.914582,wallstreetcn
167,2019-01-01,0.839714,wallstreetcn
196,2019-01-01,0.194202,wallstreetcn
3,2019-01-01,0.0788216,eastmoney
5,2019-01-01,0.95989,eastmoney
53,2019-01-01,0.847255,eastmoney
75,2019-01-01,0.975323,eastmoney
136,2019-01-01,0.942855,eastmoney
145,2019-01-01,0.0786982,eastmoney
97,2019-01-01,0.964115,wallstreetcn
6,2019-01-01,0.953722,yuncaijing
14,2019-01-01,0.894827,yuncaijing
85,2019-01-01,0.979246,yuncaijing
89,2019-01-01,0.840421,yuncaijing
100,2019-01-01,0.945821,yuncaijing
65,2019-01-01,0.806388,wallstreetcn
69,2019-01-01,0.806388,sina
112,2019-01-01,0.834359,sina
105,2019-01-01,0.982528,sina
120,2019-01-01,0.961299,sina
127,2019-01-01,0.994517,sina
177,2019-01-01,0.839714,sina
211,2019-01-01,0.194202,sina
747,2019-01-02,0.417249,sina
756,2019-01-02,0.656445,sina
761,2019-01-02,0.957487,sina
766,2019-01-02,0.378831,sina
316,2019-01-02,0.0303878,yuncaijing
482,2019-01-02,0.969508,yuncaijing
514,2019-01-02,0.726265,yuncaijing
509,2019-01-02,0.993926,yuncaijing
578,2019-01-02,0.929978,sina
548,2019-01-02,0.968295,yuncaijing
552,2019-01-02,0.967614,yuncaijing
736,2019-01-02,0.634562,wallstreetcn
713,2019-01-02,0.377883,wallstreetcn
489,2019-01-02,0.414736,yuncaijing
794,2019-01-02,0.995271,sina
798,2019-01-02,0.550611,sina
619,2019-01-02,0.979335,sina
440,2019-01-02,0.0262908,sina
516,2019-01-02,0.962193,sina
366,2019-01-02,0.607384,eastmoney
453,2019-01-02,0.945631,eastmoney
578,2019-01-02,0.376077,eastmoney
587,2019-01-02,0.950542,eastmoney
537,2019-01-02,0.880275,eastmoney
622,2019-01-02,0.987921,eastmoney
624,2019-01-02,0.995271,eastmoney
629,2019-01-02,0.504277,eastmoney
652,2019-01-02,0.402485,eastmoney
833,2019-01-02,0.934733,sina
601,2019-01-02,0.378831,eastmoney
955,2019-01-03,0.553408,wallstreetcn
274,2019-01-03,0.335706,10jqka
215,2019-01-03,0.581098,10jqka
914,2019-01-03,0.983366,wallstreetcn
954,2019-01-03,0.553408,wallstreetcn
1233,2019-01-03,0.335563,wallstreetcn
968,2019-01-03,0.677844,eastmoney
902,2019-01-03,0.978383,yuncaijing
861,2019-01-03,0.954795,yuncaijing
802,2019-01-03,0.854458,yuncaijing
689,2019-01-03,0.885008,yuncaijing
1059,2019-01-03,0.944957,eastmoney
672,2019-01-03,0.915046,eastmoney
1362,2019-01-03,0.970578,wallstreetcn
646,2019-01-03,0.982035,yuncaijing
287,2019-01-03,0.895234,10jqka
982,2019-01-03,0.983401,sina
1040,2019-01-03,0.553408,sina
1214,2019-01-03,0.677844,sina
1326,2019-01-03,0.951105,sina
1364,2019-01-03,0.946253,sina
1365,2019-01-03,0.970578,sina
1791,2019-01-04,0.376273,wallstreetcn
1389,2019-01-04,0.24622,eastmoney
1255,2019-01-04,0.709705,eastmoney
1998,2019-01-04,0.166509,wallstreetcn
1213,2019-01-04,0.384339,yuncaijing
1192,2019-01-04,0.517095,yuncaijing
1140,2019-01-04,0.965106,yuncaijing
1134,2019-01-04,0.288102,yuncaijing
1043,2019-01-04,0.755331,yuncaijing
2037,2019-01-04,0.0570287,sina
1507,2019-01-04,0.735271,eastmoney
1913,2019-01-04,0.285437,sina
1778,2019-01-04,0.759497,sina
1603,2019-01-04,0.587798,sina
369,2019-01-04,0.719058,10jqka
2107,2019-01-04,0.625815,wallstreetcn
2100,2019-01-04,0.0570287,wallstreetcn
432,2019-01-04,0.599329,10jqka
2301,2019-01-05,0.0528978,wallstreetcn
2305,2019-01-05,0.236025,wallstreetcn
1607,2019-01-05,0.0535067,eastmoney
1604,2019-01-05,0.264821,eastmoney
2272,2019-01-05,0.801064,wallstreetcn
1596,2019-01-05,0.0721935,eastmoney
2300,2019-01-05,0.0528978,wallstreetcn
1574,2019-01-05,0.26806,eastmoney
2145,2019-01-05,0.981054,sina
2147,2019-01-05,0.063725,sina
2150,2019-01-05,0.801064,sina
1590,2019-01-05,0.972215,eastmoney
2154,2019-01-05,0.274251,sina
1397,2019-01-05,0.525873,yuncaijing
2167,2019-01-05,0.236025,sina
1415,2019-01-05,0.65757,yuncaijing
1414,2019-01-05,0.016853,yuncaijing
1393,2019-01-05,0.863991,yuncaijing
1388,2019-01-05,0.976639,yuncaijing
2162,2019-01-05,0.0157745,sina
2412,2019-01-06,0.946703,wallstreetcn
1480,2019-01-06,0.745581,yuncaijing
1499,2019-01-06,0.107703,yuncaijing
2448,2019-01-06,0.954833,wallstreetcn
2464,2019-01-06,0.96588,wallstreetcn
2260,2019-01-06,0.946703,sina
2266,2019-01-06,0.805868,sina
2285,2019-01-06,0.915899,sina
2294,2019-01-06,0.134892,sina
1755,2019-01-06,0.85429,eastmoney
1945,2019-01-07,0.896616,yuncaijing
2715,2019-01-07,0.978706,sina
2502,2019-01-07,0.772741,sina
2889,2019-01-07,0.956458,sina
2916,2019-01-07,0.958852,sina
2917,2019-01-07,0.0398492,sina
1872,2019-01-07,0.969176,yuncaijing
2096,2019-01-07,0.0398492,eastmoney
2091,2019-01-07,0.971609,eastmoney
2447,2019-01-07,0.808993,sina
2690,2019-01-07,0.978706,sina
626,2019-01-07,0.701165,10jqka
624,2019-01-07,0.897971,10jqka
1584,2019-01-07,0.871292,yuncaijing
1616,2019-01-07,0.976058,yuncaijing
1631,2019-01-07,0.889296,yuncaijing
1683,2019-01-07,0.850538,yuncaijing
2045,2019-01-07,0.958854,eastmoney
2633,2019-01-07,0.649807,sina
2834,2019-01-07,0.962521,sina
2567,2019-01-07,0.775064,sina
1954,2019-01-07,0.0947666,yuncaijing
1964,2019-01-07,0.940427,yuncaijing
1740,2019-01-07,0.828248,yuncaijing
