,date,sentiment_score,source
1166,2019-01-03,0.929916,sina
3606,2019-01-13,0.442451,eastmoney
6940,2019-01-14,0.274452,wallstreetcn
6003,2019-01-21,0.910981,eastmoney
12695,2019-01-22,0.472273,wallstreetcn
16860,2019-02-06,0.0215069,sina
20971,2019-02-18,0.983533,sina
25915,2019-02-27,0.311694,sina
32660,2019-02-27,0.311694,wallstreetcn
33948,2019-03-01,0.0666115,wallstreetcn
38844,2019-03-08,0.317609,wallstreetcn
41849,2019-03-14,0.947007,wallstreetcn
58196,2019-04-10,0.714573,wallstreetcn
9969,2019-04-15,0.922549,10jqka
48191,2019-04-16,0.658462,sina
69895,2019-04-30,0.233051,wallstreetcn
33310,2019-05-15,0.744696,yuncaijing
77021,2019-05-15,0.774426,wallstreetcn
86868,2019-05-31,0.0588588,wallstreetcn
87128,2019-06-01,0.129833,wallstreetcn
87287,2019-06-02,0.972447,wallstreetcn
38093,2019-06-02,0.967487,yuncaijing
46034,2019-06-02,0.968128,eastmoney
69871,2019-06-02,0.973172,sina
17200,2019-06-03,0.952049,10jqka
51937,2019-06-21,0.798034,eastmoney
82209,2019-06-28,0.815658,sina
54116,2019-06-28,0.768449,eastmoney
45201,2019-06-28,0.845005,yuncaijing
31135,2019-07-28,0.269764,10jqka
63456,2019-07-30,0.95775,eastmoney
99235,2019-08-07,0.961364,sina
65714,2019-08-07,0.964919,eastmoney
36695,2019-08-19,0.656748,10jqka
