,date,sentiment_score,source
24,2019-01-01,0.854542,10jqka
77,2019-01-01,0.890419,eastmoney
846,2019-01-02,0.899745,sina
306,2019-01-03,0.309281,10jqka
2853,2019-01-07,0.308846,wallstreetcn
2696,2019-01-07,0.308846,sina
3172,2019-01-08,0.856444,wallstreetcn
2988,2019-01-08,0.856444,sina
3188,2019-01-08,0.991088,sina
2002,2019-01-08,0.967205,yuncaijing
3171,2019-01-08,0.836589,wallstreetcn
4320,2019-01-09,0.94186,wallstreetcn
4443,2019-01-09,0.904942,wallstreetcn
932,2019-01-09,0.778382,10jqka
2776,2019-01-09,0.967581,yuncaijing
2881,2019-01-09,0.83827,yuncaijing
4029,2019-01-09,0.787246,sina
4371,2019-01-10,0.984795,sina
3161,2019-01-10,0.983732,yuncaijing
4665,2019-01-10,0.974085,sina
3468,2019-01-11,0.949993,yuncaijing
4961,2019-01-11,0.966361,sina
5011,2019-01-11,0.965785,sina
5564,2019-01-13,0.798111,sina
6601,2019-01-13,0.798111,wallstreetcn
1600,2019-01-16,0.642905,10jqka
8359,2019-01-18,0.919213,sina
8908,2019-01-18,0.960334,sina
10590,2019-01-18,0.931932,wallstreetcn
8517,2019-01-18,0.928998,sina
9006,2019-01-19,0.951247,sina
11062,2019-01-19,0.931596,wallstreetcn
10974,2019-01-19,0.949953,wallstreetcn
9074,2019-01-19,0.884011,sina
10975,2019-01-19,0.949953,wallstreetcn
9291,2019-01-20,0.756067,sina
11801,2019-01-21,0.940837,wallstreetcn
12063,2019-01-21,0.932585,wallstreetcn
9821,2019-01-21,0.932585,sina
9614,2019-01-21,0.940837,sina
6267,2019-01-22,0.0463395,eastmoney
12537,2019-01-22,0.023208,wallstreetcn
10222,2019-01-22,0.023208,sina
12781,2019-01-22,0.635167,wallstreetcn
12105,2019-01-22,0.908059,wallstreetcn
11540,2019-01-24,0.972552,sina
11391,2019-01-24,0.435766,sina
8602,2019-01-30,0.0757239,eastmoney
14816,2019-01-30,0.807697,sina
14534,2019-01-30,0.981031,sina
2994,2019-01-30,0.920641,10jqka
6222,2019-01-31,0.742606,yuncaijing
15075,2019-01-31,0.93952,sina
16474,2019-02-05,0.947091,sina
7198,2019-02-09,0.207815,yuncaijing
17445,2019-02-09,0.614917,sina
22011,2019-02-11,0.527792,wallstreetcn
22629,2019-02-12,0.492307,wallstreetcn
12001,2019-02-13,0.944646,eastmoney
18865,2019-02-13,0.940517,sina
19103,2019-02-13,0.950908,sina
23518,2019-02-13,0.950908,wallstreetcn
24501,2019-02-14,0.447694,wallstreetcn
19800,2019-02-14,0.447694,sina
20165,2019-02-15,0.893095,sina
21197,2019-02-18,0.9427,sina
20822,2019-02-18,0.936924,sina
21832,2019-02-19,0.210069,sina
27091,2019-02-19,0.574628,wallstreetcn
21838,2019-02-20,0.802684,sina
22913,2019-02-21,0.857606,sina
23565,2019-02-22,0.406668,sina
15128,2019-02-22,0.984449,eastmoney
23823,2019-02-23,0.964143,sina
15460,2019-02-23,0.976547,eastmoney
29807,2019-02-23,0.964143,wallstreetcn
10694,2019-02-23,0.963298,yuncaijing
12192,2019-02-28,0.220047,yuncaijing
26446,2019-02-28,0.98042,sina
5272,2019-02-28,0.188088,10jqka
26413,2019-02-28,0.92055,sina
26016,2019-02-28,0.213308,sina
16945,2019-02-28,0.396765,eastmoney
17409,2019-03-01,0.817661,eastmoney
5584,2019-03-04,0.905223,10jqka
28469,2019-03-05,0.063818,sina
5747,2019-03-05,0.655947,10jqka
18677,2019-03-05,0.0572535,eastmoney
29938,2019-03-07,0.916153,sina
38341,2019-03-07,0.859167,wallstreetcn
6283,2019-03-08,0.550968,10jqka
31129,2019-03-11,0.311506,sina
15502,2019-03-11,0.449746,yuncaijing
39876,2019-03-11,0.311506,wallstreetcn
40880,2019-03-12,0.566837,wallstreetcn
32024,2019-03-12,0.566837,sina
16833,2019-03-14,0.937053,yuncaijing
42361,2019-03-14,0.932977,wallstreetcn
33885,2019-03-15,0.985742,sina
17313,2019-03-15,0.169747,yuncaijing
43372,2019-03-15,0.786437,wallstreetcn
17326,2019-03-15,0.940907,yuncaijing
34166,2019-03-17,0.955877,sina
43766,2019-03-17,0.96291,wallstreetcn
22493,2019-03-17,0.89653,eastmoney
35146,2019-03-19,0.819541,sina
18236,2019-03-19,0.861492,yuncaijing
23096,2019-03-19,0.846848,eastmoney
18657,2019-03-20,0.249899,yuncaijing
7390,2019-03-20,0.11194,10jqka
35511,2019-03-20,0.168379,sina
35838,2019-03-20,0.19636,sina
23873,2019-03-21,0.184225,eastmoney
46909,2019-03-22,0.578249,wallstreetcn
24232,2019-03-22,0.829157,eastmoney
36741,2019-03-22,0.456821,sina
7696,2019-03-23,0.871735,10jqka
38549,2019-03-26,0.954096,sina
49340,2019-03-27,0.861058,wallstreetcn
38711,2019-03-27,0.861058,sina
39928,2019-03-28,0.0775485,sina
8136,2019-03-28,0.0996146,10jqka
40285,2019-03-29,0.990877,sina
26596,2019-03-29,0.0455518,eastmoney
8285,2019-03-29,0.57241,10jqka
40698,2019-03-29,0.0183211,sina
40867,2019-03-30,0.00357582,sina
8438,2019-03-31,0.1007,10jqka
41580,2019-04-01,0.0479606,sina
8565,2019-04-01,0.334087,10jqka
23263,2019-04-04,0.959033,yuncaijing
55116,2019-04-04,0.977756,wallstreetcn
43427,2019-04-04,0.918278,sina
43085,2019-04-04,0.575796,sina
23064,2019-04-04,0.661431,yuncaijing
54713,2019-04-04,0.613695,wallstreetcn
54712,2019-04-04,0.359107,wallstreetcn
55417,2019-04-05,0.824499,wallstreetcn
43631,2019-04-05,0.824499,sina
23381,2019-04-05,0.884273,yuncaijing
23519,2019-04-06,0.930567,yuncaijing
43984,2019-04-06,0.93005,sina
23510,2019-04-06,0.921531,yuncaijing
43934,2019-04-06,0.971855,sina
28803,2019-04-06,0.641994,eastmoney
28805,2019-04-06,0.96354,eastmoney
55722,2019-04-06,0.909499,wallstreetcn
43979,2019-04-06,0.893258,sina
44115,2019-04-07,0.0790352,sina
56270,2019-04-08,0.943068,wallstreetcn
44866,2019-04-09,0.933647,sina
9284,2019-04-09,0.195022,10jqka
29616,2019-04-09,0.942072,eastmoney
30533,2019-04-11,0.752449,eastmoney
46537,2019-04-11,0.782569,sina
48532,2019-04-16,0.959947,sina
49928,2019-04-18,0.703231,sina
50490,2019-04-19,0.9603,sina
63775,2019-04-19,0.979643,wallstreetcn
50545,2019-04-19,0.971334,sina
10599,2019-04-20,0.637051,10jqka
33671,2019-04-22,0.685345,eastmoney
65026,2019-04-22,0.933634,wallstreetcn
64588,2019-04-22,0.843389,wallstreetcn
50879,2019-04-22,0.843389,sina
51225,2019-04-22,0.721361,sina
