,date,sentiment_score,source
120,2019-01-01,0.961299,sina
325,2019-01-02,0.893475,wallstreetcn
204,2019-01-02,0.913236,yuncaijing
324,2019-01-02,0.846556,wallstreetcn
319,2019-01-02,0.846556,sina
320,2019-01-02,0.893475,sina
897,2019-01-03,0.862334,yuncaijing
1661,2019-01-04,0.988747,sina
1672,2019-01-04,0.988475,wallstreetcn
1649,2019-01-04,0.660836,sina
1069,2019-01-04,0.987922,yuncaijing
2783,2019-01-07,0.851533,wallstreetcn
2786,2019-01-07,0.851533,wallstreetcn
1744,2019-01-07,0.911112,yuncaijing
1825,2019-01-07,0.979622,eastmoney
1929,2019-01-07,0.963627,eastmoney
1548,2019-01-07,0.970497,yuncaijing
2387,2019-01-07,0.979622,sina
2635,2019-01-07,0.84108,sina
2638,2019-01-07,0.947128,sina
2230,2019-01-08,0.947678,yuncaijing
3456,2019-01-08,0.959107,wallstreetcn
2275,2019-01-08,0.954835,eastmoney
3251,2019-01-08,0.959107,sina
2991,2019-01-10,0.919711,eastmoney
4597,2019-01-10,0.831438,sina
3296,2019-01-10,0.906467,yuncaijing
3345,2019-01-10,0.861684,yuncaijing
4970,2019-01-10,0.909605,wallstreetcn
5048,2019-01-10,0.62382,wallstreetcn
3717,2019-01-11,0.970138,yuncaijing
5706,2019-01-11,0.97098,wallstreetcn
5037,2019-01-11,0.97098,sina
3959,2019-01-14,0.385981,eastmoney
6135,2019-01-14,0.435285,sina
1333,2019-01-14,0.823081,10jqka
7068,2019-01-16,0.962632,sina
4582,2019-01-16,0.924628,eastmoney
13165,2019-01-23,0.675015,wallstreetcn
10688,2019-01-23,0.783452,sina
10729,2019-01-23,0.675015,sina
12077,2019-01-25,0.629359,sina
14866,2019-01-25,0.629359,wallstreetcn
12068,2019-01-25,0.985621,sina
7850,2019-01-27,0.378999,eastmoney
12896,2019-01-27,0.378999,sina
7923,2019-01-28,0.973765,eastmoney
2688,2019-01-28,0.888481,10jqka
2674,2019-01-28,0.72681,10jqka
2671,2019-01-28,0.739608,10jqka
16629,2019-01-28,0.624904,wallstreetcn
16471,2019-01-28,0.966867,wallstreetcn
16457,2019-01-28,0.67948,wallstreetcn
16475,2019-01-28,0.948927,wallstreetcn
8057,2019-01-28,0.659803,eastmoney
8069,2019-01-28,0.893739,eastmoney
13301,2019-01-28,0.704619,sina
13446,2019-01-28,0.582676,sina
13320,2019-01-28,0.664759,sina
14486,2019-01-30,0.979578,sina
18023,2019-01-30,0.913394,wallstreetcn
5901,2019-01-30,0.907795,yuncaijing
15128,2019-01-31,0.419371,sina
19105,2019-01-31,0.536733,wallstreetcn
9492,2019-02-01,0.912926,eastmoney
19827,2019-02-01,0.638934,wallstreetcn
15718,2019-02-01,0.797069,sina
3241,2019-02-01,0.847346,10jqka
21174,2019-02-07,0.974439,wallstreetcn
17024,2019-02-07,0.974439,sina
7030,2019-02-07,0.976148,yuncaijing
17243,2019-02-08,0.970583,sina
22395,2019-02-12,0.880902,wallstreetcn
18137,2019-02-12,0.883443,sina
18104,2019-02-12,0.880902,sina
3547,2019-02-12,0.500854,10jqka
7555,2019-02-12,0.833407,yuncaijing
7528,2019-02-12,0.777606,yuncaijing
11995,2019-02-13,0.591044,eastmoney
3792,2019-02-13,0.125633,10jqka
18891,2019-02-13,0.0419279,sina
7944,2019-02-13,0.2315,yuncaijing
12762,2019-02-15,0.941793,eastmoney
20249,2019-02-15,0.941793,sina
25086,2019-02-15,0.53766,wallstreetcn
13896,2019-02-19,0.845249,eastmoney
26828,2019-02-19,0.867598,wallstreetcn
9432,2019-02-19,0.831236,yuncaijing
21637,2019-02-19,0.867598,sina
9769,2019-02-20,0.978333,yuncaijing
4391,2019-02-20,0.947425,10jqka
4333,2019-02-20,0.683163,10jqka
14311,2019-02-20,0.923086,eastmoney
27516,2019-02-20,0.980663,wallstreetcn
22238,2019-02-20,0.952742,sina
16375,2019-02-26,0.388748,eastmoney
25100,2019-02-26,0.802176,sina
24943,2019-02-26,0.977298,sina
11462,2019-02-26,0.98216,yuncaijing
4983,2019-02-26,0.756388,10jqka
31379,2019-02-26,0.922497,wallstreetcn
31399,2019-02-26,0.977298,wallstreetcn
12068,2019-02-27,0.854416,yuncaijing
5117,2019-02-27,0.93869,10jqka
25735,2019-02-27,0.965846,sina
16806,2019-02-27,0.793345,eastmoney
16744,2019-02-27,0.940472,eastmoney
32423,2019-02-27,0.874201,wallstreetcn
32438,2019-02-27,0.0137963,wallstreetcn
32509,2019-02-27,0.0334947,wallstreetcn
5132,2019-02-27,0.80368,10jqka
12530,2019-02-28,0.874204,yuncaijing
