,date,sentiment_score,source
10,2019-01-01,0.637899,wallstreetcn
720,2019-01-02,0.0406969,wallstreetcn
716,2019-01-02,0.0406969,wallstreetcn
617,2019-01-02,0.983972,wallstreetcn
309,2019-01-02,0.582094,wallstreetcn
609,2019-01-02,0.140054,eastmoney
307,2019-01-02,0.423758,sina
497,2019-01-02,0.363462,yuncaijing
774,2019-01-02,0.166606,sina
663,2019-01-02,0.983972,sina
527,2019-01-02,0.191002,sina
196,2019-01-02,0.247065,eastmoney
664,2019-01-03,0.809877,yuncaijing
1443,2019-01-03,0.95664,wallstreetcn
923,2019-01-03,0.928442,wallstreetcn
929,2019-01-03,0.802251,wallstreetcn
300,2019-01-03,0.289418,10jqka
316,2019-01-03,0.255455,10jqka
1005,2019-01-03,0.802251,sina
1423,2019-01-03,0.71542,sina
2189,2019-01-04,0.288539,wallstreetcn
2051,2019-01-04,0.679766,wallstreetcn
1475,2019-01-04,0.952257,eastmoney
2124,2019-01-04,0.299015,wallstreetcn
1854,2019-01-04,0.0588849,sina
2045,2019-01-04,0.532189,sina
1297,2019-01-04,0.957348,yuncaijing
2239,2019-01-06,0.966203,sina
3110,2019-01-07,0.295863,wallstreetcn
1949,2019-01-07,0.405929,yuncaijing
2268,2019-01-08,0.606864,eastmoney
2385,2019-01-08,0.701219,eastmoney
3694,2019-01-08,0.701219,wallstreetcn
3695,2019-01-08,0.701219,wallstreetcn
3429,2019-01-08,0.701219,sina
3238,2019-01-08,0.688939,sina
2660,2019-01-09,0.62129,yuncaijing
2587,2019-01-09,0.604303,yuncaijing
4150,2019-01-09,0.363389,wallstreetcn
4148,2019-01-09,0.363389,wallstreetcn
4108,2019-01-09,0.802226,wallstreetcn
4017,2019-01-09,0.467963,wallstreetcn
4016,2019-01-09,0.727481,wallstreetcn
3731,2019-01-09,0.467963,sina
3800,2019-01-09,0.802226,sina
3405,2019-01-10,0.889927,yuncaijing
4242,2019-01-10,0.719981,sina
4942,2019-01-11,0.663909,sina
4783,2019-01-11,0.959805,sina
3793,2019-01-11,0.985679,yuncaijing
3705,2019-01-11,0.987878,yuncaijing
3648,2019-01-11,0.78002,yuncaijing
3644,2019-01-11,0.9508,yuncaijing
3344,2019-01-11,0.00959981,eastmoney
3286,2019-01-11,0.963418,eastmoney
3227,2019-01-11,0.982024,eastmoney
3192,2019-01-11,0.96765,eastmoney
3181,2019-01-11,0.822058,eastmoney
3178,2019-01-11,0.903663,eastmoney
3177,2019-01-11,0.964731,eastmoney
3873,2019-01-11,0.0267576,yuncaijing
3646,2019-01-11,0.685526,yuncaijing
4959,2019-01-11,0.762152,sina
4947,2019-01-11,0.572403,sina
5019,2019-01-11,0.990688,sina
5110,2019-01-11,0.984204,sina
5191,2019-01-11,0.00440046,sina
5247,2019-01-11,0.396571,sina
4953,2019-01-11,0.600376,sina
5429,2019-01-11,0.940067,wallstreetcn
5432,2019-01-11,0.949547,wallstreetcn
5598,2019-01-11,0.532507,wallstreetcn
5604,2019-01-11,0.762152,wallstreetcn
5605,2019-01-11,0.960237,wallstreetcn
6081,2019-01-11,0.396571,wallstreetcn
5632,2019-01-11,0.979298,wallstreetcn
6210,2019-01-12,0.732577,wallstreetcn
3417,2019-01-12,0.843403,eastmoney
6651,2019-01-13,0.852773,wallstreetcn
5650,2019-01-14,0.185815,sina
6173,2019-01-14,0.0493976,sina
3982,2019-01-14,0.0493976,eastmoney
4620,2019-01-14,0.935909,yuncaijing
7341,2019-01-14,0.925672,wallstreetcn
8064,2019-01-15,0.282771,wallstreetcn
4884,2019-01-15,0.801568,yuncaijing
7372,2019-01-15,0.781109,wallstreetcn
7477,2019-01-15,0.310816,wallstreetcn
6416,2019-01-15,0.603493,sina
6427,2019-01-15,0.845674,sina
6508,2019-01-15,0.563777,sina
6623,2019-01-15,0.595879,sina
7804,2019-01-15,0.290957,wallstreetcn
6929,2019-01-15,0.340209,sina
7552,2019-01-15,0.603493,wallstreetcn
7560,2019-01-15,0.845674,wallstreetcn
4124,2019-01-15,0.918565,eastmoney
4346,2019-01-15,0.29761,eastmoney
7660,2019-01-15,0.563777,wallstreetcn
8157,2019-01-15,0.340209,wallstreetcn
8549,2019-01-16,0.732308,wallstreetcn
8548,2019-01-16,0.375952,wallstreetcn
8376,2019-01-16,0.792656,wallstreetcn
4951,2019-01-16,0.633841,yuncaijing
9109,2019-01-16,0.904284,wallstreetcn
8231,2019-01-16,0.557464,wallstreetcn
1567,2019-01-16,0.942089,10jqka
6996,2019-01-16,0.557464,sina
7092,2019-01-16,0.792656,sina
