,date,sentiment_score,content,source
177,2019-01-01,0.839714,【2018年千亿房企达30家 恒大夺销售权益榜首位】克而瑞发布的《2018年度中国房地产企业销售TOP200》显示，在调控重压下，标杆房企依然实现逆势增长。碧桂园流量金额突破7000亿元，万科突破6000亿元，恒大则位居销售权益榜首位，规模房企的实力正进一步增强。此外，各梯队房企在规模增长的同时，分化格局持续。排名前十房企门槛超2000亿，破千亿房企共30家。（新京报）,sina
166,2019-01-01,0.914582,【2018年千亿房企达30家，恒大夺销售权益榜首位】据2018年12月31日克而瑞发布的《2018年度中国房地产企业销售TOP200》显示，在调控重压下，标杆房企依然实现逆势增长。碧桂园流量金额突破7000亿元，万科突破6000亿元，恒大则位居销售权益榜首位，规模房企的实力正进一步增强。此外，各梯队房企在规模增长的同时，分化格局持续。排名前十房企门槛超2000亿，破千亿房企共30家。,wallstreetcn
167,2019-01-01,0.839714,"【2018年千亿房企达30家 恒大夺销售权益榜首位】克而瑞发布的《2018年度中国房地产企业销售TOP200》显示，在调控重压下，标杆房企依然实现逆势增长。碧桂园流量金额突破7000亿元，万科突破6000亿元，恒大则位居销售权益榜首位，规模房企的实力正进一步增强。此外，各梯队房企在规模增长的同时，分化格局持续。排名前十房企门槛超2000亿，破千亿房企共30家。（新京报）
",wallstreetcn
1257,2019-01-04,0.163503,"云财经讯，万科A公告：2018年12月份公司实现合同销售面积438.7万平方米，合同销售金额630.1亿元；2018年1~12月份公司累计实现合同销售面积4,037.7万平方米，合同销售金额6,069.5亿元。",yuncaijing
1254,2019-01-04,0.366212,云财经讯，万科A：2018年1-12月累计合同销售额6069.5亿元，合同销售面积4037.7万平方米,yuncaijing
1781,2019-01-04,0.717544,"长实集团一度涨近5.5%，创2016年3月以来最大盘中涨幅。
碧桂园、万科分别涨5.6%、5%。
",wallstreetcn
1792,2019-01-04,0.511696,"【1月4日资金流向】主力净流入行业板块前五：券商、国产软件、银行、医药、工程建设
主力净流入概念板块前五：国企改革、深圳特区、次新股、独角兽、人工智能
主力净流入个股前十：第一创业、格力电器、罗牛山、科大讯飞、平安银行、长城证券、天风证券、恒瑞医药、太平洋、万科A",wallstreetcn
2056,2019-01-04,0.22071,万科A：2018年1-12月累计合同销售额6069.5亿元，合同销售面积4037.7万平方米。,wallstreetcn
2057,2019-01-04,0.403589,"万科：2018年1-12月累计合同销售额6069.5亿元，合同销售面积4037.7万平方米。
",wallstreetcn
1465,2019-01-04,0.0997447,"【万科：2018年实现合同销售金额6069.5亿元】万科早间公告称，2018年12月份公司实现合同销售面积438.7万平方米，合同销售金额630.1亿元；2018年1~12月份公司累计实现合同销售面积4,037.7万平方米，合同销售金额6,069.5亿元。",eastmoney
1463,2019-01-04,0.158698,【万科：2018年实现合同销售金额6069.5亿元】东方财富网4日讯，万科A公告：2018年1-12月份公司累计实现合同销售面积4037.7万平方米，合同销售金额6069.5亿元。,eastmoney
1758,2019-01-04,0.578429,【在港上市地产股集体大涨】长实集团在香港一度升5.4%，创下2016年3月来最大上涨。恒基地产一度升5.6%， 创下2017年9月以来最大上涨。碧桂园在香港涨5.6%，万科涨5%。,sina
2002,2019-01-04,0.0997447,"【万科：2018年实现合同销售金额6069.5亿元】万科早间公告称，2018年12月份公司实现合同销售面积438.7万平方米，合同销售金额630.1亿元；2018年1~12月份公司累计实现合同销售面积4,037.7万平方米，合同销售金额6,069.5亿元。",sina
2003,2019-01-04,0.104596,"【万科：2018年实现合同销售金额6069.5亿元】 万科A早间公告：2018年12月份公司实现合同销售面积438.7万平方米，合同销售金额630.1亿元；2018年1~12月份公司累计实现合同销售面积4,037.7万平方米，合同销售金额6,069.5亿元。",sina
498,2019-01-05,0.481765,克而瑞发布的销售数据显示，头部三强“碧万恒”基本格局未变，碧桂园以7287亿元的销售额再创行业高峰，万科以6069亿元的销售额紧随其后，恒大则以5511亿元的销售额位列第三。2018年，千亿房企共有30家，2017年，这一数字则是17家，一年时间近乎...,10jqka
1568,2019-01-05,0.0844279,【杭州万科回应作家投诉：两年来进行十余次沟通 已诉诸法律途径】针对作家张艳华投诉项目漏水一事，杭州万科作出回应：公司在接到租户报修后均第一时间上门修复，并就集中维修期给张艳华造成的影响和困扰，诚恳地表达了歉意并给予相应的补偿。两年来，双方进行了十余次沟通，因张艳华提出的索赔诉求完全超出了合同约定，至今双方无法达成谅解。为了使问题早日得到合法公正的解决，公司近期将此事诉诸法律途径，真诚地希望在尊重合约的前提下，与张艳华达成谅解。（证券时报网）,eastmoney
1650,2019-01-05,0.954175,【大房企觊觎产城融合：万科、碧桂园抢先布局长三角】随着传统住宅与商业地产整体存量过剩，产业地产以其低风险、高回报的特点成为大房企投资转型的风向。据悉，碧桂园将张江长三角科技城作为在长三角地区的重要战略布局，着力创新和实践其产城融合发展体系。与碧桂园类似，万科上海在2018年拿下张家港一个大型工业园区开发项目。此外，万科杭州的产城融合模式更倾向于与城市发展结合。（21世纪经济报道）,eastmoney
1373,2019-01-05,0.0921495,云财经讯，针对作家张艳华投诉项目漏水一事，杭州万科作出回应：公司在接到租户报修后均第一时间上门修复，并就集中维修期给张艳华造成的影响和困扰，诚恳地表达了歉意并给予相应的补偿。两年来，双方进行了十余次沟通，因张艳华提出的索赔诉求完全超出了合同约定，至今双方无法达成谅解。为了使问题早日得到合法公正的解决，公司近期将此事诉诸法律途径，真诚地希望在尊重合约的前提下，与张艳华达成谅解。,yuncaijing
2131,2019-01-05,0.0514683,【杭州万科回应作家投诉：两年来进行十余次沟通 已诉诸法律途径】针对作家张艳华投诉项目漏水一事，杭州万科作出回应：公司在接到租户报修后均第一时间上门修复，并就集中维修期给张艳华造成的影响和困扰，诚恳地表达了歉意并给予相应的补偿。两年来，双方进行了十余次沟通，因张艳华提出的索赔诉求完全超出了合同约定，至今双方无法达成谅解。为了使问题早日得到合法公正的解决，公司近期将此事诉诸法律途径，真诚地希望在尊重合约的前提下，与张艳华达成谅解。,sina
2745,2019-01-07,0.596884,【地产股在两地市场走高 中金称央行降准带动板块估值短期上修】地产股今天在恒生指数四大分类指数中表现最佳，涨1.3%。合景泰富集团上涨6.2%，富力地产上涨4.1%，碧桂园涨2%，中国海外发展、雅居乐集团、首创置业、龙湖集团、华润置地都有上涨；A股地产股亦上涨﹔截至午盘收盘，万通地产上涨4.4%，盘中一度涨逾7%，中交地产涨3.8%，万科涨1.1%，绿地控股涨1%。中金报告称，此次降准为2016年2月以来首次“全面降准”，其透露出的“稳增长”信号意义明确，短期有助于提振市场情绪，带动地产板块估值短期上修及股价上涨。,sina
2363,2019-01-08,0.966254,【超大型房企销售放缓“天花板”已现 房价快速上涨时代终结】在过去的一年，碧桂园、恒大、万科等超大型房企纷纷放慢了速度，第二梯队的房企也在明显降速，行业销售的“天花板”隐现，白银时代正式到来。对于2019年的市场，碧桂园、万科、恒大、龙湖等房企认为，市场会比之前预测得好一些，但预计也是艰苦的一年，是真正拼产品、能力的时候，整体市场会保持平稳，房价大幅上涨的日子结束了。克而瑞预计，2019年百强房企的规模增速将回落至20%至30%左右。(21世纪经济报道),eastmoney
2140,2019-01-08,0.0133983,【女作家两次致信万科炮轰房子漏水 回应：法律途径解决】近日，一位标签为畅销书作家的女士张艳华，接连给万科董事会主席郁亮写了两封公开信，炮轰万科房子45处漏水，绝对是严重的豆腐渣工程。二文中都提到万科工作人员对于房屋漏水事故，竟答复称“遇水则发，张老师您要发大财”，这位女作家对万科的不作为非常气愤。她还在公开信中称：“万科人不能为了让万科活下去，而让平凡的业主、商户活不下去。”,eastmoney
2139,2019-01-08,0.0133983,【女作家两次致信万科炮轰房子漏水 回应：法律途径解决】近日，一位标签为畅销书作家的女士张艳华，接连给万科董事会主席郁亮写了两封公开信，炮轰万科房子45处漏水，绝对是严重的豆腐渣工程。二文中都提到万科工作人员对于房屋漏水事故，竟答复称“遇水则发，张老师您要发大财”，这位女作家对万科的不作为非常气愤。她还在公开信中称：“万科人不能为了让万科活下去，而让平凡的业主、商户活不下去。”,eastmoney
3385,2019-01-08,0.963608,【超大型房企销售放缓“天花板”已现 房价快速上涨时代终结】在过去的一年，碧桂园、恒大、万科等超大型房企纷纷放慢了速度，第二梯队的房企也在明显降速，行业销售的“天花板”隐现，白银时代正式到来。对于2019年的市场，碧桂园、万科、恒大、龙湖等房企认为，市场会比之前预测得好一些，但预计也是艰苦的一年，是真正拼产品、能力的时候，整体市场会保持平稳，房价大幅上涨的日子结束了。克而瑞预计，2019年百强房企的规模增速将回落至20%至30%左右。（21）,sina
3619,2019-01-08,0.96414,【超大型房企销售放缓“天花板”已现，房价快速上涨时代终结】在过去的一年，碧桂园、恒大、万科等超大型房企纷纷放慢了速度，第二梯队的房企也在明显降速，行业销售的“天花板”隐现，白银时代正式到来。对于2019年的市场，碧桂园、万科、恒大、龙湖等房企认为，市场会比之前预测得好一些，但预计也是艰苦的一年，是真正拼产品、能力的时候，整体市场会保持平稳，房价大幅上涨的日子结束了。克而瑞预计，2019年百强房企的规模增速将回落至20%至30%左右。（21）,wallstreetcn
3877,2019-01-09,0.223861,【万科A：广信房产资产包完成交割】万科A公告称，孙公司广州万溪累计支付投资权益款及债权转让款201亿元。公司计划引入合作方共同开发本次交易标的旗下房地产项目。,wallstreetcn
3878,2019-01-09,0.600344,"万科A：广信房产资产包完成交割，孙公司广州万溪累计支付投资权益款及债权转让款201亿元。公司计划引入合作方共同开发本次交易标的旗下房地产项目。
",wallstreetcn
3594,2019-01-09,0.600344,万科A：广信房产资产包完成交割，孙公司广州万溪累计支付投资权益款及债权转让款201亿元。公司计划引入合作方共同开发本次交易标的旗下房地产项目。,sina
2472,2019-01-09,0.528598, 云财经讯，万科A1月9日晚间公告称，广信房产资产包完成交割。,yuncaijing
956,2019-01-10,0.076277,万科A公告，2019年1月8日，钜盛华将持有并质押给平安证券股份有限公司的万科80，768，434股无限售流通A股办理解除质押，并已在中国证券登记结算有限责任公司深圳分公司办理完成质押解除手续。,10jqka
4620,2019-01-10,0.0344853,"【万科A：钜盛华质押的万科80,768,434股解除质押】万科A公告，2019年1月8日，钜盛华将持有并质押给平安证券股份有限公司的万科80,768,434股无限售流通A股办理解除质押，并已在中国证券登记结算有限责任公司深圳分公司办理完成质押解除手续。",wallstreetcn
2968,2019-01-10,0.125119,"云财经讯，万科A公告，2019年1月8日，钜盛华将持有并质押给平安证券股份有限公司的万科80,768,434股无限售流通A股办理解除质押，并已在中国证券登记结算有限责任公司深圳分公司办理完成质押解除手续。",yuncaijing
4152,2019-01-10,0.0695158,"万科A公告，2019年1月8日，钜盛华将持有并质押给平安证券股份有限公司的万科80,768,434股无限售流通A股办理解除质押，并已在中国证券登记结算有限责任公司深圳分公司办理完成质押解除手续。",sina
3790,2019-01-14,0.0106973,【万科A：钜盛华质押7209万股】万科A(000002)1月14日晚公告，1月10日，钜盛华将持有并质押给平安证券的万科8160万股无限售流通A股办理解除质押。1月11日，钜盛华将持有的万科7209万股无限售流通A股，通过质押式回购方式质押给平安证券。,eastmoney
5726,2019-01-14,0.136027,"万科公告称，2019年1月11日，钜盛华将持有的万科72,090,000股无限售流通A股通过质押式回购方式质押给平安证券股份有限公司，并已在中国证券登记结算有限责任公司深圳分公司办理完成股权质押登记手续，该部分股权质押期限自2019年1月11日起至质押解除之日止。",sina
1306,2019-01-14,0.22062,一边高喊活下去一边疯狂拿地的万科，一直处于舆论的漩涡。就在近期，继被作家炮轰万科房子45处漏水后，刚刚，万科又被曝出“纸板门”。,10jqka
4266,2019-01-14,0.216101,"云财经讯，万科公告称，2019年1月11日，钜盛华将持有的万科72,090,000股无限售流通A股通过质押式回购方式质押给平安证券股份有限公司，并已在中国证券登记结算有限责任公司深圳分公司办理完成股权质押登记手续，该部分股权质押期限自2019年1月11日起至质押解除之日止。",yuncaijing
7082,2019-01-16,0.809379,【深铁三位董事、监事请辞，万科董事会陡生悬念】1月15日，深铁集团总经理肖民、深铁地产党委书记兼副总经理郑英等超7位高管离职。随后，肖民向万科请辞非独立董事。步肖民后尘，原深铁集团董事长林茂德、原深铁地产（又名深铁物业开发总部）党委书记兼副总经理郑英很快也将辞去万科非独立董事与监事。（财经）,sina
8364,2019-01-16,0.851412,"【深铁三位董事、监事请辞，万科董事会陡生悬念】1月15日，深铁集团总经理肖民、深铁地产党委书记兼副总经理郑英等超7位高管离职。随后，肖民向万科请辞非独立董事。步肖民后尘，原深铁集团董事长林茂德、原深铁地产党委书记兼副总经理郑英很快也将辞去万科非独立董事与监事。但万科管理层若想借此变局在董事会扩大席位，从万科董事会的历史沿革到现实格局，可能性也微乎其微。（财经）
",wallstreetcn
8363,2019-01-16,0.892506,【深铁三位董事、监事请辞，万科董事会陡生悬念】1月15日，包括深铁集团总经理肖民、深铁地产党委书记兼副总经理郑英等超7位高管离职。随后，肖民向万科请辞非独立董事。1月16日，步肖民后尘，原深铁集团董事长林茂德、原深铁地产党委书记兼副总经理郑英很快也将辞去万科非独立董事与监事。至此，于2017年6月确定下来的万科董事会人选将空出两席，监事会人选空出一席。（财经）,wallstreetcn
4663,2019-01-16,0.519245,【早间公告】亚光科技：与湖南省资产管理有限公司签订战略合作框架协议；万科A:董事肖民因拟任公职人员辞职。,eastmoney
4935,2019-01-16,0.896442,云财经讯，1月15日，包括深铁集团总经理肖民、深铁地产党委书记兼副总经理郑英等超7位高管离职。随后，肖民向万科请辞非独立董事。1月16日，步肖民后尘，原深铁集团董事长林茂德、原深铁地产党委书记兼副总经理郑英很快也将辞去万科非独立董事与监事。至此，于2017年6月确定下来的万科董事会人选将空出两席，监事会人选空出一席。（财经）,yuncaijing
5153,2019-01-16,0.693969,云财经讯，万科企业：非执行董事肖民辞任,yuncaijing
4440,2019-01-16,0.811623,【深铁三位董事、监事请辞 万科董事会陡生悬念】1月16日，《财经》记者独家获悉，步肖民后尘，原深铁集团董事长林茂德、原深铁地产(又名深铁物业开发总部)党委书记兼副总经理郑英很快也将辞去万科非独立董事与监事。至此，于2017年6月确定下来的万科董事会人选将空出两席，监事会人选空出一席。,eastmoney
4449,2019-01-16,0.00504042,【万科A：钜盛华质押2541.84万股】万科A(000002)1月16日晚间公告，1月14日，钜盛华将持有并质押给平安证券的万科9100万股无限售流通A股办理解除质押。1月15日，钜盛华将持有的万科2541.84万股无限售流通A股通过质押式回购方式质押给五矿证券。截至1月15日，钜盛华通过普通证券账户直接持有万科无限售流通A股股票共计9.26亿股，占万科总股本的8.39%，累计质押股数为8.35亿股，占万科总股本的7.56%。,eastmoney
1535,2019-01-16,0.816842,据记者报道深铁高层大换血，包括深铁集团总经理肖民、深铁地产党委书记兼副总经理郑英等超7位高管离职。随后，肖民向万科请辞非独立董事。步肖民后尘，原深铁集团董事长林茂德、原深铁地产(又名深铁物业开发总部)党委书记兼副总经理郑英很快也将...,10jqka
4687,2019-01-16,0.440965,【万科企业表示非执行董事肖民辞任】东方财富网16日讯，万科企业(02202.HK)发布公告，肖民申请辞任公司非执行董事职务。,eastmoney
7100,2019-01-16,0.00504042,【万科A：钜盛华质押2541.84万股】万科A(000002)1月16日晚间公告，1月14日，钜盛华将持有并质押给平安证券的万科9100万股无限售流通A股办理解除质押。1月15日，钜盛华将持有的万科2541.84万股无限售流通A股通过质押式回购方式质押给五矿证券。截至1月15日，钜盛华通过普通证券账户直接持有万科无限售流通A股股票共计9.26亿股，占万科总股本的8.39%，累计质押股数为8.35亿股，占万科总股本的7.56%。,sina
1904,2019-01-19,0.0406595,良渚文化村“漏水”事件舆论还未平息，刚刚进入交房期的万科世纪之光二期项目又陷入“纸板门”事件。近期，杭州万科多个楼盘因装修减配、工程质量等问题引发业主维权，将万科推上了舆论风口浪尖。,10jqka
5592,2019-01-19,0.536786,【万科的“冰雪生意”：靠门票难盈利 需长期投入】当前，中国冰雪产业发展已经驶入快车道。2018年，国内滑冰场馆数量达到334家，与2017年度的259家同比增长29%。中国旅游研究院发布数据显示，到2021年至2022年冰雪季，中国冰雪旅游人数有望达到3.4亿人次的规模。然而，冰雪产业的发展之路仍然任重而道远。（21世纪经济报道）,eastmoney
5764,2019-01-20,0.114112,【规模失控背后：龙头房企交替上演安全事故和质量门】良渚文化村“漏水”事件舆论还未平息，刚刚进入交房期的万科世纪之光二期项目又陷入“纸板门”事件。近期，杭州万科多个楼盘因装修减配、工程质量等问题引发业主维权，将万科推上了舆论风口浪尖。对于多数房企，2018年注定是值得铭记的一年，这一年，中国两家最大的房企碧桂园和万科都未摆脱工程质量的拷问。（经济观察报）,eastmoney
9322,2019-01-20,0.114112,【规模失控背后：龙头房企交替上演安全事故和质量门】良渚文化村“漏水”事件舆论还未平息，刚刚进入交房期的万科世纪之光二期项目又陷入“纸板门”事件。近期，杭州万科多个楼盘因装修减配、工程质量等问题引发业主维权，将万科推上了舆论风口浪尖。对于多数房企，2018年注定是值得铭记的一年，这一年，中国两家最大的房企碧桂园和万科都未摆脱工程质量的拷问。（经济观察报）,sina
5739,2019-01-20,0.759356,【万亿房企魔咒：住房短缺时代结束 多元化转型收敛】2018年，万科34岁，碧桂园26岁，恒大21岁。根据克而瑞公布的数据，这一年，它们的销售额分别是6069.2亿元、7286.9亿元、5511亿元。这是与“万亿”规模最接近的三家房企。(经济观察报),eastmoney
12527,2019-01-22,0.899981,"【公募基金2018年四季度增持前十股票出炉】1月22日，天相投顾统计的2018年基金四季报数据显示，2018年四季度，公募基金增持市值最大的股票是万科A，增持市值高达34.24亿元。永辉超市增持市值也超过30亿元，达到32.78亿元。公募基金增持前十的股票还包括隆基股份、温氏股份、华夏幸福、中兴通讯、海康威视、东方财富、保利地产、山东黄金。（中证网）‘
",wallstreetcn
6271,2019-01-22,0.649551,【公募基金重仓股出炉！中国平安居首 白马蓝筹受青睐】1月22日，根据天相投顾统计的2018年基金四季报数据显示，截至2018年底，公募基金第一大重仓股是中国平安，持有总市值达196.56亿元，519只基金持有该股。此外，贵州茅台、保利地产、万科A、伊利股份、招商银行、海康威视、格力电器、美的集团、隆基股份亦进入前十大重仓股，总体来看，白马蓝筹依然受基金青睐。(中证网),eastmoney
12423,2019-01-22,0.307217,"【亏损1412亿 基金四季报大数据来了：平安茅台遭减持 大举加仓万科保利】受到去年四季度股市显著下跌拖累，公募基金四季度整体亏损1412亿元，其中混合型和股票型基金分别亏损1347亿元和964亿元，成为亏损主要来源。货币基金盈利608亿元，盈利规模较去年三季度有所下滑，债券基金则整体盈利373亿元。固收类基金合计盈利近1000亿元。股熊债牛的特征十分明显。（中国基金报）
",wallstreetcn
12543,2019-01-22,0.686462,【公募基金重仓股出炉！中国平安居首，白马蓝筹受青睐】1月22日，根据天相投顾统计的2018年基金四季报数据显示，截至2018年底，公募基金第一大重仓股是中国平安，持有总市值达196.56亿元，519只基金持有该股。此外，贵州茅台、保利地产、万科A、伊利股份、招商银行、海康威视、格力电器、美的集团、隆基股份亦进入前十大重仓股，总体来看，白马蓝筹依然受基金青睐。（中证网）,wallstreetcn
6333,2019-01-22,0.392315,【良信电器：智能开关面板进入万科等公司采购目录】良信电器(002706)22日在互动平台回复投资者提问时称，公司的智能开关面板有进入万科等公司采购目录，目前该类型产品在营收及利润中占比在1%-2%左右。（证券时报网）,eastmoney
10219,2019-01-22,0.690928,【公募基金2018年四季度增持前十股票出炉，其中两股增持超30亿元！】1月22日，天相投顾统计的2018年基金四季报数据显示，2018年四季度，公募基金增持市值最大的股票是万科A，增持市值高达34.24亿元。永辉超市增持市值也超过30亿元，达到32.78亿元。公募基金增持前十的股票还包括隆基股份、温氏股份、华夏幸福、中兴通讯、海康威视、东方财富、保利地产、山东黄金。（中证网）,sina
10229,2019-01-22,0.686462,【公募基金重仓股出炉！中国平安居首，白马蓝筹受青睐】1月22日，根据天相投顾统计的2018年基金四季报数据显示，截至2018年底，公募基金第一大重仓股是中国平安，持有总市值达196.56亿元，519只基金持有该股。此外，贵州茅台、保利地产、万科A、伊利股份、招商银行、海康威视、格力电器、美的集团、隆基股份亦进入前十大重仓股，总体来看，白马蓝筹依然受基金青睐。（中证网）,sina
12526,2019-01-22,0.927487,【公募基金2018年四季度增持前十股票出炉】天相投顾统计的2018年基金四季报数据显示，2018年四季度，公募基金增持市值最大的股票是万科A，增持市值高达34.24亿元。永辉超市增持市值也超过30亿元，达到32.78亿元。公募基金增持前十的股票还包括隆基股份、温氏股份、华夏幸福、中兴通讯、海康威视、东方财富、保利地产、山东黄金。（中证网）,wallstreetcn
11208,2019-01-23,0.819747,【长租公寓行业竞争白热化面临洗牌】据不完全统计，包括万科、龙湖、保利、碧桂园等企业在内，已经有超过20家企业陆续宣布进军长租公寓。长租公寓已成为房企布局多元业务的主要领域之一。不过，从2018年下半年开始，长租公寓有所降温，行业的竞争从早期的野蛮增长向精细化运营方向逐渐发生转变。克而瑞地产研究员房玲认为，未来长租公寓行业的排名或重新洗牌。（经济参考报）,sina
2302,2019-01-23,0.187592,基金四季报披露进行时，数据显示，截至目前1663只个股持股出现基金身影，中国平安、贵州茅台、万科A、招商银行、保利地产、格力电器是基金持有数最多的公司，均达到400家以上，中国平安持有基金数达709只，稳居榜首。,10jqka
7311,2019-01-25,0.371592,【行情】东方财富网25日讯，恒指高开高走收涨1.65%，创4个月新高。新经济、地产股领涨大市，美团涨近10%，腾讯涨4.1%；内房三巨头万科、恒大、碧桂园均涨超5%。,eastmoney
15019,2019-01-25,0.446456,"【1月25日资金流向】主力净流入行业板块前五：银行、保险、房地产、白色家电、钢铁
主力净流入概念板块前五：中字头、超级品牌、白马股、PPP、人脸识别
主力净流入个股前十：平安银行、中国平安、格力电器、招商银行、万科A、欧菲科技、宁德时代、潍柴动力、大华股份、农业银行",wallstreetcn
12157,2019-01-25,0.51844,"【香港恒生指数收涨1.7% 创4个月新高】香港恒生指数收盘涨1.7%，至27,569.19点， 创4个月新高。新经济、地产股领涨大市，美团涨近10%，腾讯涨4.1%；内房三巨头万科、恒大、碧桂园均涨超5%。",sina
14984,2019-01-25,0.841748,"香港恒生指数收盘升1.7%至27569.19点，为四个月新高。美团涨近10%，腾讯涨4.1%；万科、恒大、碧桂园均涨超5%。
",wallstreetcn
17083,2019-01-29,0.535303,"【1月29日资金流向】主力净流入行业板块前五：白色家电、饮料制造、房地产、钢铁、银行
主力净流入概念板块前五：超级品牌、白酒、可燃冰、水泥、中字头
主力净流入个股前十：格力电器、中环股份、五粮液、蔚蓝生物、万科A、中国石化、森源电气、海螺水泥、双汇发展、恒生电子",wallstreetcn
9057,2019-01-31,0.882158,【继房价、销售数据后 中国买家也开始撤退！美国楼市真要凉】众所周知，2018年，对于中国房地产而言，是重要的转折的一年，最能提现这一点的莫过于房企巨头万科的“活下去”口号的刷屏！而在大西洋彼岸的美国楼市也是坏消息不断！,eastmoney
19499,2019-02-01,0.280137,万科：1月份实现合同销售面积317.7万平方米，合同销售金额488.8亿元。,wallstreetcn
