,date,sentiment_score,content,source
1754,2019-01-04,0.436166,"上汽集团12月份销量659,696辆，去年同期733,119辆。上汽集团2018年销量7,051,734辆，同比上升1.75%。",sina
1236,2019-01-04,0.134151,【上汽集团：2018年销量累计705万辆 同比增1.75%】上汽集团(600104)1月4日晚间披露产销快报，2018年12月份，12月份销量65.97万辆，去年同期73.31万辆；12月份产量62.97万辆，去年同期68.92万辆。2018年1-12月，销量累计705.17万辆，同比增长1.75%；产量累计697.79万辆，同比下降0.14%。,eastmoney
1144,2019-01-04,0.513035,"云财经讯，上汽集团12月份销量659,696辆，去年同期733,119辆。",yuncaijing
1776,2019-01-04,0.441871,上汽集团：12月份销量659696辆，去年同期733119辆；2018年销量7051734辆，同比上升1.75%。,wallstreetcn
1886,2019-01-07,0.95334,云财经讯，中海达(300177) 今早在互动平台上表示，目前公司北斗+精准定位装备产品已支持“全球精度”服务，公司将择机在国内开展“全球精度”系统的运营服务，并借助国家“一带一路”政策扶持向周边国家市场延伸拓展。此外，公司与上汽集团就无人驾驶相关的业务合作正常进行中。,yuncaijing
3040,2019-01-07,0.958093,【中海达：将择机在国内开展“全球精度”系统的运营服务】中海达在互动平台上表示：目前公司北斗+精准定位装备产品已支持“全球精度”服务，公司将择机在国内开展“全球精度”系统的运营服务，并借助国家“一带一路”政策扶持向周边国家市场延伸拓展。此外，公司与上汽集团就无人驾驶相关的业务合作正常进行中。,wallstreetcn
2745,2019-01-09,0.102455,云财经讯，A股三大股指持续冲高，上证50指大涨近2%，汽车、家电、白酒、银行等大权重板块集体拉升，上汽集团大涨6%，青岛海尔、中国国旅、万华化学、恒瑞医药等个股均涨超2%。,yuncaijing
2638,2019-01-09,0.0272063,【A股三大股指持续冲高】东方财富网9日讯，A股三大股指持续冲高，上证50指大涨近2%，汽车、家电、白酒、银行等大权重板块集体拉升，上汽集团大涨6%，青岛海尔、中国国旅、万华化学、恒瑞医药等个股均涨超2%。,eastmoney
2911,2019-01-10,0.982722,【大众新CEO会见上汽董事长 保时捷国产话题再上桌面】据国内媒体报道，日前大众汽车集团全球管理董事会主席赫伯特·迪斯(Herbert Diess)在北京围绕合资企业上汽大众与上汽集团董事长陈虹进行了会见交谈。据报道双方针对即将启动的上汽奥迪项目进行了探讨，同时交谈期间还就大众集团超豪华品牌保时捷的国产问题，也进行了意见交流。（快科技）,eastmoney
3736,2019-01-11,0.986303,云财经讯，上汽集团(600104)1月11日在互动平台上表示，上汽集团下属各整车企业从2016年开始便对国六排放标准的关键技术进行研发，2019年将陆续有符合国六排放标准的主力车型上市，能够满足国六排放升级。,yuncaijing
5681,2019-01-20,0.934574,【氢能成资本追逐风口 李嘉诚后又一百亿项目落户佛山(附股)】在氢燃料电池汽车仍保持财政高额补贴支持下，氢能成为资本追逐的新风口。作为未来汽车技术主要方向之一，国内多家车企将强化氢燃料电池的发展，包括上汽集团、宇通客车、福田汽车、中植集团等多家车企发力燃料电池汽车。(第一财经),eastmoney
7198,2019-01-25,0.264327,【研报头条：燃料电池起航 机构详解科创板主题三条主线】燃料电池今日再度强势，截至收盘，长城电工、雄韬股份、凯恩股份、宗申动力、全柴动力等5股强势涨停，雪人股份涨逾5%，潍柴动力、中材科技涨逾3%，三花智控、上汽集团等多股涨幅居市场前列。,eastmoney
