,date,sentiment_score,content,source
58,2019-01-01,0.602947,据悉，继中信证券和银河证券之后，兴业证券成为近期第三家将经纪业务总部更名为财富管理总部的券商。（券商中国）,sina
49,2019-01-01,0.602947,"据悉，继中信证券和银河证券之后，兴业证券成为近期第三家将经纪业务总部更名为财富管理总部的券商。（券商中国）
",wallstreetcn
48,2019-01-01,0.582826,继中信证券和银河证券之后，兴业证券成为近期第三家将经纪业务总部更名为财富管理总部的券商。（券商中国）,wallstreetcn
44,2019-01-01,0.678556, 云财经讯，继中信证券和银河证券之后，兴业证券成为近期第三家将经纪业务总部更名为财富管理总部的券商（券商中国）,yuncaijing
47,2019-01-01,0.433682,【又一券商经纪业务总部更名财富管理！大规模转型增至第六家 各自打法亮相】券商中国记者获悉，继中信证券和银河证券之后，兴业证券成为近期第三家将经纪业务总部更名为财富管理总部的券商。,eastmoney
312,2019-01-02,0.413557,云财经讯，​中信证券：收购广州证券事项尚需进一步尽职调查，股票继续停牌。,yuncaijing
487,2019-01-02,0.613727,云财经讯，中信证券最新研报认为，上周，媒体报道中国石化子公司联合石化原油期货大额亏损，公司发布澄清公告，但公司A股股价两天下跌10%。12月31日港股交易期间，公司股价反弹3.33%。研报认为原油亏损短期行为影响有限，持续高分红以及预期2019年油价低位反弹有望支撑业绩，股价短期大幅下调是长期投资的良好配置时点。,yuncaijing
437,2019-01-02,0.864451,云财经讯，据wind数据，2018年并购重组交易金额合计为2.27万亿元。中信证券、华泰联合证券、中金公司、中信建投证券位居前四，2018年财务顾问业务交易金额都超过1000亿元，拿下43.93%份额。（券商中国）,yuncaijing
790,2019-01-02,0.340711,【券商股“收官红”有望照亮2019】2018年最后一个交易日，券商板块大涨2.04%，在56个行业板块中排名第二。34家A股上市券商，除停牌的中信证券外，其余33家在2018年的最后一个交易日股价全部上涨。业内人士指出，近期密集出台的各项政策有望带动券商投行、自营和其他各类创新业务的发展，带来2019年券商基本面的改善。（证券日报）,sina
279,2019-01-02,0.586053,云财经讯，中信证券(600030)2日晚间公告，公司正在筹划发行股份购买资产事项，拟发行股份收购广州证券100%股权。由于本次发行股份购买资产构成重大无先例事项，截至公告披露日，公司仍在组织相关中介机构开展财务顾问、法律、审计和评估等各项工作。由于本次交易事项能否顺利实施仍存在重大不确定性，公司股票将自1月3日起继续停牌，公司承诺在不超过5个交易日的时间内复牌。,yuncaijing
759,2019-01-02,0.347692,【中信证券：中国石化期货一次性亏损不改长期投资价值】中信证券最新研报认为，上周，媒体报道中国石化子公司联合石化原油期货大额亏损，公司发布澄清公告，但公司A股股价两天下跌10%。12月31日港股交易期间，公司股价反弹3.33%。研报认为原油亏损短期行为影响有限，持续高分红以及预期2019年油价低位反弹有望支撑业绩，股价短期大幅下调是长期投资的良好配置时点。,sina
438,2019-01-02,0.334915,中信证券：收购广州证券事项尚需进一步尽职调查，股票继续停牌。,sina
518,2019-01-02,0.582484,云财经讯，2018年最后一个交易日，券商板块大涨2.04%，在56个行业板块中排名第二。34家A股上市券商，除停牌的中信证券外，其余33家在2018年的最后一个交易日股价全部上涨。对此，有业内人士指出，展望2019年，近期密集出台的各项政策有望带动券商投行、自营和其他各类创新业务的发展，带来2019年券商基本面的改善。（证券日报）,yuncaijing
295,2019-01-02,0.694368,【中信证券：筹划发行股份收购广州证券 继续停牌】中信证券(600030)2日晚间公告，公司正在筹划发行股份购买资产事项，拟发行股份收购广州证券100%股权。由于本次发行股份购买资产构成重大无先例事项，截至公告披露日，公司仍在组织相关中介机构开展财务顾问、法律、审计和评估等各项工作。由于本次交易事项能否顺利实施仍存在重大不确定性，公司股票将自1月3日起继续停牌，公司承诺在不超过5个交易日的时间内复牌。,eastmoney
515,2019-01-02,0.849392,【并购重组过会率85% 中信华泰等前四券商拿下44%份额】据数据，2018年并购重组交易金额合计为2.27万亿元。中信证券、华泰联合证券、中金公司、中信建投证券位居前四，2018年财务顾问业务交易金额都超过1000亿元，拿下43.93%份额。(券商中国),eastmoney
589,2019-01-02,0.347692,【中信证券：中国石化期货一次性亏损不改长期投资价值】中信证券最新研报认为，上周，媒体报道中国石化子公司联合石化原油期货大额亏损，公司发布澄清公告，但公司A股股价两天下跌10%。12月31日港股交易期间，公司股价反弹3.33%。研报认为原油亏损短期行为影响有限，持续高分红以及预期2019年油价低位反弹有望支撑业绩，股价短期大幅下调是长期投资的良好配置时点。,eastmoney
