,date,sentiment_score,content,source
728,2019-01-02,0.991169,【中金：雄安新区迈入实质建设新阶段】中金报告称，雄安新区总体规划获国务院批复，预计2019年项目招标将明显加速，拉动学校、医院、办公楼等房建以及交通、环保等基建领域需求，关注包括中国交建、东方园林等公司的投资机会。新区“绿色智慧新城”的建设将更多的采纳海绵城市、地下综合管廊、绿色建筑、装配式建筑等先进理念与技术，相关行业有望受益。,sina
453,2019-01-02,0.991337,云财经讯，中金报告称，雄安新区总体规划获国务院批复，预计2019年项目招标将明显加速，拉动学校、医院、办公楼等房建以及交通、环保等基建领域需求，关注包括中国交建、东方园林等公司的投资机会。新区“绿色智慧新城”的建设将更多的采纳海绵城市、地下综合管廊、绿色建筑、装配式建筑等先进理念与技术，相关行业有望受益。,yuncaijing
655,2019-01-02,0.935397,【武深高速湖北段全线通车，中国交建投资建设】2018年12月26日，中国交建投资建设的武汉至深圳高速公路嘉鱼北段正式建成通车，工期比原计划提前19个月，自此武深高速湖北段全线通车。,wallstreetcn
1653,2019-01-04,0.898154,【中国交建联合中标南丹至下老高速公路项目 总投资216亿元】近日，中国交建所属二航局、一公局集团、二公局参与组建的联合体，中标南丹至下老高速公路（BOT）项目，项目估算总投资216亿元，计划工期4年。项目采用BOT模式，二航局、一公局集团、二公局在项目公司所占股份比例均为7%。,sina
1063,2019-01-04,0.915328,云财经讯，近日，中国交建所属二航局、一公局集团、二公局参与组建的联合体，中标南丹至下老高速公路（BOT）项目，项目估算总投资216亿元，计划工期4年。项目采用BOT模式，二航局、一公局集团、二公局在项目公司所占股份比例均为7%。,yuncaijing
2380,2019-01-08,0.633473,云财经讯，基建增速底部企稳，以及铁路投资回暖，在A股市场掀起涟漪，衍生为盘面上的财富效应。昨日高铁板块强势爆发，鼎汉技术、祥和实业等多只股票集体涨停，中国铁建、中国交建、中国中车等前几日尽管已经率先上涨，昨日依然不遑多让受到资金欢迎。市场人士认为，2019年高铁新开工提速，铁路货运增量计划促进“公转铁”加速，高铁行业仍具成长性，高铁板块业绩表现有望带来惊喜。（中国证券报）,yuncaijing
13740,2019-01-29,0.883172,【国内首组低温型大容量风电机组并网发电，中国交建承建】近日，中交三航局承建的国内首组低温型6.45兆瓦大容量风电机组在辽宁大连庄河海域并网发电，标志着我国北方地区首个海上风电项目投入规模化商业运行。,sina
16982,2019-01-29,0.883172,【国内首组低温型大容量风电机组并网发电，中国交建承建】近日，中交三航局承建的国内首组低温型6.45兆瓦大容量风电机组在辽宁大连庄河海域并网发电，标志着我国北方地区首个海上风电项目投入规模化商业运行。,wallstreetcn
26848,2019-02-19,0.767813,中国交建正准备投标参与价值53亿雷亚尔（14.2亿美元）的巴西桥梁项目。（路透）,wallstreetcn
26855,2019-02-19,0.767813,"中国交建正准备投标参与价值53亿雷亚尔（14.2亿美元）的巴西桥梁项目。（路透）
",wallstreetcn
9445,2019-02-19,0.818626, 云财经讯，中国交建正准备投标参与价值53亿雷亚尔（14.2亿美元）的巴西桥梁项目（路透）,yuncaijing
13977,2019-02-19,0.986992,【中金：粤港澳大湾区有望拉动基建投资需求】中金报告称，大湾区交通运输体系规划得到部署后，基础设施建设有望加速，建议关注在港口航道、跨海大桥建设方面有突出优势的中国交建，以及在港澳基建市场具有较高市场份额的中国建筑国际，在机场建设领域市场份额高、优势明显的中国建筑；规划纲要还指出要加强地区电网建设并完善输配电网络，建议关注电网建设龙头中国能源建设；湾区建设强调生态环保，建议关注水环境综合治理龙头中国电建、东方园林、岭南股份等；纲要提出要推进新型智慧城市试点示范，建议关注达实智能。,eastmoney
21738,2019-02-19,0.986992,【中金：粤港澳大湾区有望拉动基建投资需求】中金报告称，大湾区交通运输体系规划得到部署后，基础设施建设有望加速，建议关注在港口航道、跨海大桥建设方面有突出优势的中国交建，以及在港澳基建市场具有较高市场份额的中国建筑国际，在机场建设领域市场份额高、优势明显的中国建筑；规划纲要还指出要加强地区电网建设并完善输配电网络，建议关注电网建设龙头中国能源建设；湾区建设强调生态环保，建议关注水环境综合治理龙头中国电建、东方园林、岭南股份等；纲要提出要推进新型智慧城市试点示范，建议关注达实智能。,sina
21623,2019-02-19,0.619427,【中国交建等企业有意参与巴西桥梁项目竞标】路透援引一位直接了解情况的消息人士表示，中国交建正准备投标参与价值53亿雷亚尔(14.2亿美元)的巴西桥梁项目。中国交建正在与中国铁建旗下的一家子公司洽商联合投标，不过是否投标以及是否联合投标都没有最终确定。,sina
31575,2019-02-26,0.320127,"中字头板块集体飙升，中国中冶、中铝国际、中国一重集体封板，中国人保、中国电建、中国交建集体冲高。
",wallstreetcn
16375,2019-02-26,0.388748,【基建股大幅拉升】东方财富网26日讯，基建股盘中异动拉升，中国中冶、中铝国际、太原重工、振华重工等封涨停，中国交建、中国电建、中工国际、中钢国际等跟随大涨。,eastmoney
