,date,sentiment_score,content,source
662,2019-01-02,0.00528319,【恒生国企指数开年首日交易跌至近两年低位 金融股拖累最大】恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。地产业在恒指四大行业分类指数中表现最差，下跌2.9%。能源业在恒生综指11个行业分类指数中表现最差，下跌3.3%。中国石油、中国海洋石油均跌4%。,sina
540,2019-01-02,0.976474,"小葱APP讯，“中国平安2018年十大新闻”今日发布，其中“十大新闻”多条提及“区块链”一词，包括：1）区块链应用全球领先，促“一带一路”互通互联；2）金融科技应用全球领先，赋能传统主业成效显著；3）深度参与逾100省市“智慧城市”建设；4）孵化育成多家创新科技公司，成果世界瞩目。
",wallstreetcn
130,2019-01-02,0.105856,香港恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。,10jqka
518,2019-01-02,0.00823964,【恒生中国企业指数跌幅扩大至3.1%】东方财富网2日讯，恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。地产业在恒指四大行业分类指数中表现最差，下跌2.9%。能源业在恒生综指11个行业分类指数中表现最差，下跌3.3%。中国石油、中国海洋石油均跌4%。,eastmoney
1064,2019-01-03,0.659417,"【1月3日资金流向】主力净流入行业板块前五：券商、航天航空、黄金、保险、有色金属
主力净流入概念板块前五：军工、高校系、中字头，铁路基建、二胎概念
主力净流入个股前十：方正证券、中国平安、长城军工、中山金马、航天科技、国海证券、科大讯飞、兴业矿业、海通证券、中航飞机",wallstreetcn
988,2019-01-04,0.97701,云财经讯，日前，广证恒生发布一份最新研报，通过过会企业数量、总金额、收益率三大榜单盘点“寒冬”中投资机构的退出表现。研报显示，2018年，投资企业过会数量TOP10的投资机构分别是君联资本(6家)、金石资本(5家)、国投创新(4家)、华泰紫金(3家)、尚欣资本(3家)、中国平安(3家)、北汽集团(3家)、毅达资本(3家)、博裕资本(3家)、深创投(3家)。（中证网）,yuncaijing
1879,2019-01-04,0.0750178,"【1月4日上午复盘】9:30 5G板块开盘大跌，达安股份跌9%，东信和平跌8%，超讯通信、东方通信等多股跌6%
9:33 独角兽板块开盘走强，中衡设计涨停，新华文轩涨近7%，消息面上，上海市委书记李强同12位科创企业代表座谈
9:36 独角兽板块全线拉升，熙菱信息涨停，神思电子涨8%，立昂技术、群兴玩具、新华传媒等多股跟涨，此前中衡设计等一字板
9:41 5G板块稍有反弹，东方通信一度接近翻红，南京熊猫、东信和平、超讯通信等跌幅缩窄
9:48 创业板持续拉升翻红，沪指，深成指跌幅明显缩窄，板块方面，独角兽、铁矿石等涨幅居前，次新股，苹果产业链领跌
9:51 券商板块再度走强，龙一方正证券大涨6%，国元证券涨3%，中信建投等涨逾2%
10:04 海南板块小幅异动，龙一罗牛山涨5%，海南橡胶涨2%，海航创新涨1%
10:07 特高压龙头风范股份再度涨停，6连板，通光线缆2连板，国电南自涨7%
10:16 特高压概念全线走强，保变电气、智光电气、置信电气、九洲电气集体拉升，此前龙头风范股份6连板
10:26 次新股上机数控大涨9%，公司上市第二个交易日即开板，汉嘉设计拉升涨停
10:28 北京副中心概念异动，龙一中国武夷涨9%，京能置业涨6%，消息面上，国务院发布对《北京城市副中心控制性详细规划（街区层面）（2016年-2035年）》的批复
10:33 券商板块再度爆发，方正证券拉升涨停两连板，第一创业涨5%，国元证券、中原证券等涨3%
10:48 保险板块跟随券商走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%
10:53 知识产权概念异动，龙一光一科技涨7%，安妮股份、中国科传等跟涨
11:15 券商板块涨幅扩大至5%，方正证券、天风证券、第一创业、中原证券等多股涨停
11:20 互联网金融板块拉升，同花顺涨近7%，大智慧、东方财富、金证股份等多股涨5%
11:23 银行板块跟随爆发，张家港行拉升涨停，吴江银行、平安银行涨5%，无锡银行、常熟银行等涨4%",wallstreetcn
1916,2019-01-04,0.601778,保险板块跟随券商走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%。,wallstreetcn
1374,2019-01-04,0.152289,【保险板块跟随券商、银行股走强】东方财富网4日讯，保险板块跟随券商、银行股走强，中国人保涨4%，西水股份、新华保险、中国平安等集体涨逾2%。,eastmoney
1529,2019-01-04,0.974323,【VC/PE投资企业2018年IPO过会成绩排行榜 君联资本6家过会居首】日前，广证恒生发布一份最新研报，通过过会企业数量、总金额、收益率三大榜单盘点“寒冬”中投资机构的退出表现。研报显示，2018年，投资企业过会数量TOP10的投资机构分别是君联资本(6家)、金石资本(5家)、国投创新(4家)、华泰紫金(3家)、尚欣资本(3家)、中国平安(3家)、北汽集团(3家)、毅达资本(3家)、博裕资本(3家)、深创投(3家)。（中证网）,sina
