,date,sentiment_score,content,source
618,2019-01-02,0.991277,【中石油董事长新年致辞：理直气壮把公司做强做优做大 开创建设世界一流综合性国际能源公司新局面】中国石油集团党组书记、董事长王宜林新年致辞称，2018年坚决贯彻习近平总书记关于大力提升勘探开发力度和加强天然气产供储销体系建设等重要指示批示精神，制定实施国内勘探与生产、天然气、海外油气等业务加快发展规划，大幅增加风险勘探投入，加大内部矿权流转力度。新的一年要再创新作为。要保持战略定力，发展主营业务不松劲、加强海外合作不动摇、深化改革创新不止步、狠抓安全环保不松懈、全面从严治党不停歇，理直气壮把公司做强做优做大，开创建设世界一流综合性国际能源公司新局面。,sina
443,2019-01-02,0.81686,【塔里木油田：年产油气当量超2600万吨】2018年，塔里木油田生产石油液体551.53万吨、天然气266.21亿立方米，年产油气当量2673万吨，比上年增长135万吨，创历年最高水平。（中国石油网）,eastmoney
518,2019-01-02,0.00823964,【恒生中国企业指数跌幅扩大至3.1%】东方财富网2日讯，恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。地产业在恒指四大行业分类指数中表现最差，下跌2.9%。能源业在恒生综指11个行业分类指数中表现最差，下跌3.3%。中国石油、中国海洋石油均跌4%。,eastmoney
418,2019-01-02,0.190145,云财经讯，2018年12月28日15时17分，随着四川销售凉山分公司四公里半加油站2号机位8号加油枪加满挂枪，四川销售成品油销售总量突破1000万吨，同比增长6.6%、完成预算的104.2%，率先建成中国石油千万吨级销售企业。,yuncaijing
134,2019-01-02,0.0364467,港股石油股今早受大市影响近全线下挫，截至发稿，中国石油股份跌4.1%，中国海洋石油跌3.97%，中海油田服务跌2.97%，中国石油化工股份跌2.86%。,10jqka
662,2019-01-02,0.00528319,【恒生国企指数开年首日交易跌至近两年低位 金融股拖累最大】恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。地产业在恒指四大行业分类指数中表现最差，下跌2.9%。能源业在恒生综指11个行业分类指数中表现最差，下跌3.3%。中国石油、中国海洋石油均跌4%。,sina
623,2019-01-02,0.034454,【中国石油：四川销售成品油销量突破1000万吨 率先建成中石油千万吨级销售企业】2018年12月28日15时17分，随着四川销售凉山分公司四公里半加油站2号机位8号加油枪加满挂枪，四川销售成品油销售总量突破1000万吨，同比增长6.6%、完成预算的104.2%，率先建成中国石油千万吨级销售企业。,sina
1330,2019-01-03,0.052058,【中国石油首个水平井示范区产量破百亿方】1月3日来自中国石油的消息，2018年12月28日，由长庆油田采气一厂负责管理的中国石油首个水平井整体开发区示范区，仅用5年时间，累计产气量一举突破100亿立方米大关，将示范区建成打井少、占地少、产量高、效益好的旗舰工程。,sina
871,2019-01-03,0.213425,云财经讯，1月3日来自中国石油的消息，2018年12月28日，由长庆油田采气一厂负责管理的中国石油首个水平井整体开发区示范区，仅用5年时间，累计产气量一举突破100亿立方米大关，将示范区建成打井少、占地少、产量高、效益好的旗舰工程。,yuncaijing
799,2019-01-03,0.841574,云财经讯，中国石油消息，入冬以来，随着强冷空气的不断侵袭，我国冬供进入攻坚期。西南管道作为“南气北送”主力军，开足马力，全力保冬供。2018年，西南管道公司通过中贵线向北方供气约7.7亿立方米，日均输气2000万立方米。2018年，中缅天然气管道累计输气6.3亿立方米，日均输气1500万立方米。西南管道公司生产运行数据显示，目前中缅天然气管道、中贵线基本达到满负荷运行状态。,yuncaijing
777,2019-01-03,0.945296,云财经讯，记者3日从中国石油新疆油田公司获悉，该公司2018年油气勘探在准噶尔盆地玛湖、沙湾等多个领域取得四项重要成果，新获工业油气流井108口，其中高产井33口、百吨井4口，新增三级石油地质储量4.15亿吨，创历史新高。（中国新闻网）,yuncaijing
1134,2019-01-03,0.952829,【新疆油田在准噶尔盆地新增三级石油地质储量4.15亿吨】3日从中国石油新疆油田公司获悉，该公司2018年油气勘探在准噶尔盆地玛湖、沙湾等多个领域取得四项重要成果，新获工业油气流井108口，其中高产井33口、百吨井4口，新增三级石油地质储量4.15亿吨，创历史新高。（中国新闻网）,sina
1060,2019-01-03,0.953122,【新疆油田在准噶尔盆地新增三级石油地质储量4.15亿吨】从中国石油新疆油田公司获悉，该公司2018年油气勘探在准噶尔盆地玛湖、沙湾等多个领域取得四项重要成果，新获工业油气流井108口，其中高产井33口、百吨井4口，新增三级石油地质储量4.15亿吨，创历史新高。（中新网）,wallstreetcn
