,date,sentiment_score,content,source
1462,2019-01-04,0.599724,【争抢消费金融诱人蛋糕 各路资本紧盯牌照】2018年末两家持牌消费金融公司股东进行增资。一是陕西长银消费金融有限公司，股东方——广汇汽车公告对其增资6.9亿元。二是招联消费金融有限公司，其股东中国联通和招商银行各自增资10亿元。目前，市场上已有22家持牌消费金融公司开业。从过往业绩中可见，如无意外，持牌消费金融公司开业两三年就可以盈利。而可观的利润也让各路资本眼馋不已，申请牌照的队伍蜂拥而至。相关统计显示，有10余家公司还在排队申请牌照之中。(上海证券报),eastmoney
3067,2019-01-08,0.764212,  中国联通与IBM认知物联网联合创新中心成立 。  该中心是首批入驻联通物联网创新加速中心的项目团队，也是IBM在国内首个、全球第三个联合创新中心。,sina
2089,2019-01-08,0.908433,云财经讯，记者获悉，1月7日，中国联通与IBM认知物联网联合创新中心揭牌仪式暨启动会在南京召开。会上，双方签署联合创新项目合作协议，这标志着中国联通与IBM认知物联网联合创新中心正式成立。该中心是首批入驻联通物联网创新加速中心的项目团队，也是IBM在国内首个、全球第三个联合创新中心。,yuncaijing
698,2019-01-08,0.42989,1月7日，中国联通与IBM认知物联网联合创新中心揭牌仪式暨启动会在南京召开。会上，双方签署联合创新项目合作协议，这标志着中国联通与IBM认知物联网联合创新中心正式成立。,10jqka
4583,2019-01-10,0.624794,【宜通世纪：预中标2.1亿元广东联通项目】宜通世纪早间公告，中国联通采购与招标网于1月9日发布《2019～2020年广东联通综合代维采购项目中标候选人公示》。公司为上述招标项目的中标候选人之一，预计中标合同额总计约2.1亿元。,sina
4708,2019-01-10,0.434439,"中国联通：联通运营公司获证监会核准发行不超过500亿元公司债券。
",wallstreetcn
4707,2019-01-10,0.434439,中国联通：联通运营公司获证监会核准发行不超过500亿元公司债券。,wallstreetcn
3341,2019-01-10,0.897116,云财经讯，宜通世纪(300310)1月10日早间公告，中国联通采购与招标网于1月9日发布《2019～2020年广东联通综合代维采购项目中标候选人公示》。公司为上述招标项目的中标候选人之一，预计中标合同额总计约2.1亿元。若公司能够签订正式项目合同并顺利实施，将有助于扩大公司对中国联通的业务规模，降低公司单一客户风险，进一步巩固公司在广东省市场的地位。,yuncaijing
3047,2019-01-10,0.542229,云财经讯，中国联通：联通运营公司获证监会核准发行不超过500亿元公司债券。,yuncaijing
2995,2019-01-10,0.993607,云财经讯，华为联合中国联通福建省分公司、福建医科大学孟超肝胆医院、苏州康多机器人有限公司在福建中国联通东南研究院实施世界首例5G远程外科手术动物实验。本次手术操作端放置在中国联通东南研究院内，通过5G技术实时传输操作信号，为50公里外孟超肝胆医院的实验动物进行远程肝小叶切除手术。手术全程用时约60分钟，操作延迟极低。手术创面整齐，全程不见一丝血迹，术后实验动物的生命体征平稳。,yuncaijing
4230,2019-01-10,0.434439,中国联通：联通运营公司获证监会核准发行不超过500亿元公司债券。,sina
4574,2019-01-10,0.904206,"【周一美股盘前你需要了解的全球资讯】
欧洲央行发布12月利率会议纪要：上调关键利率的预期时间推迟至2019年末。
腾讯控股在港交所公告：就分拆腾讯音乐娱乐集团独立上市进行分派。
中国工信部部长苗圩：严禁钢铁、水泥、平板玻璃等新上项目扩大产能。
纪念中美建交40周年招待会举行 王岐山出席并致辞：中国改革的脚步不会停滞。
中国工信部部长苗圩：今年，国家将在若干个城市发放5G临时牌照。
福特将在欧洲地区裁员数千人，考虑关闭工厂。
中国联通：联通运营公司获证监会核准发行不超过500亿元公司债券。
",wallstreetcn
4177,2019-01-10,0.993915,【华为助力世界首例5G远程外科手术测试成功】华为联合中国联通福建省分公司、福建医科大学孟超肝胆医院、苏州康多机器人有限公司在福建中国联通东南研究院实施世界首例5G远程外科手术动物实验。本次手术操作端放置在中国联通东南研究院内，通过5G技术实时传输操作信号，为50公里外孟超肝胆医院的实验动物进行远程肝小叶切除手术。手术全程用时约60分钟，操作延迟极低。手术创面整齐，全程不见一丝血迹，术后实验动物的生命体征平稳。,sina
2833,2019-01-10,0.36778,【公司公告】中国联通晚间公告，联通运营公司获证监会核准发行不超过500亿元公司债券。,eastmoney
5400,2019-01-11,0.963288,【安徽首个5G数字园区诞生，最快3月将体验5G速度】11日，安徽启迪、中国联通安徽省分公司、华为技术有限公司在合肥启迪科技城签署了关于5G数字园区的三方合作协议，共同打造5G创新示范中心，标志着合肥启迪科技城成为安徽省首个5G数字园区。（中新网）,wallstreetcn
