,date,sentiment_score,content,source
120,2019-01-01,0.961299,【中国银行与浦发银行展开海南FT账户体系下多个品种业务办理】海南自由贸易账户(FT账户)体系1日正式上线。中国银行海南省分行于2018年12月28日试运行FT账户，当日上午8:08，海南省首个FT账户在该行开立，开户单位为中免集团三亚市内免税店。当天，中国石化海南炼油化工有限公司、海南农垦投资控股集团、海航航空控股公司、中船重工物贸集团海南公司、太平金融服务公司、海南国贸有限公司、海南金海浆纸业有限公司、海南逸盛石化有限公司、海南生态软件园集团、海南川铁广润实业公司等多家海南省重点企业成为FT账户的首批开户企业，涵盖旅游、热带特色高效农业、互联网、医疗健康、现代金融、现代物流、油气、低碳制造、房地产、高新技术等10个重点产业。（中新网）,sina
177,2019-01-01,0.131683,云财经讯，​Wind数据显示，截止2018年12月31日，从各家银行托管新基金的首发规模上看，工商银行、招商银行及中国银行均已超过千亿元大关，托管的新基金合计募集规模分别为1438.88亿元、1218.72亿元以及1218.27元，其中，第一、第二名之间差距不到300亿，第二、第三名差距不到1亿，这也是最近5年，基金托管榜单中，榜眼及探花差距最小的一次。（21世纪经济报道）,yuncaijing
238,2019-01-01,0.13239,"【新基金托管排名：工行招行中行超千亿高居前三】Wind数据显示，截止2018年12月31日，从各家银行托管新基金的首发规模上看，工商银行、招商银行及中国银行均已超过千亿元大关，托管的新基金合计募集规模分别为1438.88亿元、1218.72亿元以及1218.27元，其中，第一、第二名之间差距不到300亿，第二、第三名差距不到1亿，这也是最近5年，基金托管榜单中，榜眼及探花差距最小的一次。（21世纪经济报道）
",wallstreetcn
255,2019-01-01,0.13239,【新基金托管排名：工行招行中行超千亿高居前三】Wind数据显示，截止2018年12月31日，从各家银行托管新基金的首发规模上看，工商银行、招商银行及中国银行均已超过千亿元大关，托管的新基金合计募集规模分别为1438.88亿元、1218.72亿元以及1218.27元，其中，第一、第二名之间差距不到300亿，第二、第三名差距不到1亿，这也是最近5年，基金托管榜单中，榜眼及探花差距最小的一次。（21世纪经济报道）,sina
154,2019-01-01,0.968204,【海南自由贸易账户（FT账户）体系正式上线运行】据悉，海南省先行上线FT账户的商业银行为中国银行海南省分行和浦发银行海口分行，其他商业银行正在进行人员培训、系统测试和制度建设等准备工作，预计在上半年陆续上线FT账户。2018年12月28日FT账户体系试运行阶段，海南自贸区第一个FT账户当日上午8时8分在中国银行海南省分行开立，开户单位是中免集团三亚市内免税店。试运行当天，还有中国石化海南炼油化工有限公司等多家海南省重点企业成为FT账户的首批开户企业，涵盖了旅游、热带特色高效农业、互联网等10个重点产业。（新华社）,sina
663,2019-01-02,0.983972,"【中国贸易金融跨行交易区块链平台正式上线】2018年12月29日, 在顺利完成两期联网测试后，“中国贸易金融跨行交易区块链平台”正式上线运行，中国工商银行和招商银行也完成了首笔跨行国内信用证链上验证。平台建设由中国银行业协会统筹规划，联合国家开发银行、中国工商银行、中国农业银行、中国银行、中国建设银行等共同发起。恒生公司联合南京润辰科技有限公司、北京众享比特科技有限公司、恒银金融科技股份有限公司等金融科技公司，为平台提供重要技术及服务。",sina
609,2019-01-02,0.140054,【工行前董事长：中国银行业信贷过度增长】工行前董事长姜建清：中国银行业信贷过度增长、资本短缺压力、风险内控及流动性管理难度大。若控制不当，则可能产生局部或系统性风险。(一财),eastmoney
720,2019-01-02,0.0406969,"【工行前董事长：中国银行业信贷过度增长】工行前董事长姜建清：中国金融结构先天失衡，资本市场短腿，经济增长过度依赖银行信贷；又因社会保障不足，居民储蓄率偏高，资金流向银行领域，造成银行业资产增长过快。中国银行业信贷过度增长、资本短缺压力、风险内控及流动性管理难度大。若控制不当，则可能产生局部或系统性风险。（一财）
",wallstreetcn
716,2019-01-02,0.0406969,【工行前董事长：中国银行业信贷过度增长】工行前董事长姜建清：中国金融结构先天失衡，资本市场短腿，经济增长过度依赖银行信贷；又因社会保障不足，居民储蓄率偏高，资金流向银行领域，造成银行业资产增长过快。中国银行业信贷过度增长、资本短缺压力、风险内控及流动性管理难度大。若控制不当，则可能产生局部或系统性风险。（一财）,wallstreetcn
497,2019-01-02,0.363462,云财经讯，工行前董事长姜建清：中国银行业信贷过度增长、资本短缺压力、风险内控及流动性管理难度大。若控制不当，则可能产生局部或系统性风险。（一财）,yuncaijing
617,2019-01-02,0.983972,"【中国贸易金融跨行交易区块链平台正式上线】2018年12月29日, 在顺利完成两期联网测试后，“中国贸易金融跨行交易区块链平台”正式上线运行，中国工商银行和招商银行也完成了首笔跨行国内信用证链上验证。平台建设由中国银行业协会统筹规划，联合国家开发银行、中国工商银行、中国农业银行、中国银行、中国建设银行等共同发起。恒生公司联合南京润辰科技有限公司、北京众享比特科技有限公司、恒银金融科技股份有限公司等金融科技公司，为平台提供重要技术及服务。",wallstreetcn
774,2019-01-02,0.166606,【工行前董事长：中国银行业信贷过度增长】工行前董事长姜建清：中国银行业信贷过度增长、资本短缺压力、风险内控及流动性管理难度大。若控制不当，则可能产生局部或系统性风险。（一财）,sina
1458,2019-01-03,0.596305,"中国银行仍然是2018年最大的离岸中国债券承销商。（彭博）
",wallstreetcn
588,2019-01-03,0.952801,云财经讯，融360大数据研究院提供的资料显示，上海地区新增加5家银行首套最低可执行95折优惠，除工商银行、农业银行、中国银行、建设银行、邮储银行之前就执行首套95折利率外，江苏银行、中信银行、招商银行、交通银行、上海农商等5家银行目前也执行95折利率，目前上海地区可执行95折优惠的银行数量增至10家，首套利率平均水平出现2019年首降。（中新经纬）,yuncaijing
923,2019-01-03,0.928442,"小葱APP讯，由中国银行业协会牵头筹建的“中国贸易金融跨行交易区块链平台”于近日正式上线运行，汇丰银行(中国)有限公司3日称，其已成为首家也是目前唯一一家加入该平台的外资银行创始成员。（中新社）
",wallstreetcn
339,2019-01-04,0.95586,2019年1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。,10jqka
