,date,sentiment_score,content,source
1192,2019-01-03,0.653072,白酒板块走弱，水井坊、舍得酒业跌4%，五粮液、泸州老窖跌3%，贵州茅台跌1.3%。,wallstreetcn
1164,2019-01-03,0.912351,"【1月3日上午复盘】9:35 苹果产业链立讯精密跌5%，信维通信跌近3%，消息面上，苹果下调一季度营收指引，盘后大跌8%
9:38 5G板块早盘继续强势，东方通信、东信和平涨7%，南京熊猫等涨3%
9:39 神雾系（环保概念）快速拉升，神雾节能涨停，神雾环保大涨7%
9:41 航天军工板块走强，航天通信涨停，航天长峰涨7%，航天动力、航天晨光等跟涨拉升
9:48 军工板块全线爆发，航天通信、航天长峰、长城军工、烽火电子等先后涨停，红宇新材、天海防务等后排集体跟涨
9:53 券商板块再度发力，方正证券涨停，长江证券涨6%，国海证券、国投资本等涨逾4%
10:02 5G板块大幅跳水，龙头东方通信由接近涨停翻绿，汇源通信、春兴精工、达安股份、超讯通信集体回落
10:15 创投板块重挫，市北高新接近跌停，上海三毛跌9%，民丰特纸、复旦复华、大众公用、电广传媒集体大跌
10:24 海南板块小幅异动，龙一罗牛山涨4%，钧达股份、海航创新、海南橡胶等拉升跟涨
10:28 前期强势股集体大跌，恒立实业、达安股份、市北高新跌停，德新交运、民丰特纸等跌8%
10:35 特高压板块逆势走强，风范股份5连板，通光线缆直线拉升涨停，此前新宏泰、太阳电缆等涨停
10:43 黄金（白银）板块快速拉升，龙一金贵银业大涨8%，豫光金铅、白银有色涨5%，金一文化、赤峰黄金等跟涨。消息面上，COMEX 2月黄金期货创18年6月份以来收盘新高
11:06 白酒板块走弱，水井坊、舍得酒业跌4%，五粮液、泸州老窖跌3%，贵州茅台跌1.3%
11:10 创投板块小幅回暖，弘业股份涨4%，民丰特纸、九鼎投资、市北高新、大众公用拉升",wallstreetcn
4061,2019-01-09,0.613266,"【1月9日资金流向】主力净流入行业板块前五：白色家电、银行、保险、电子制造、计算机应用
主力净流入概念板块前五：物联网、超级品牌、机器人、家用电器、人工智能
主力净流入个股前十：格力电器、美的集团、中国平安、平安银行、万华化学、海康威视、康得新、招商银行、五粮液、士兰微",wallstreetcn
5008,2019-01-11,0.846825,白酒板块午后逐渐走强，龙头口子窖大涨6%，贵州茅台涨2%，古井贡酒、五粮液小幅跟涨。,sina
3219,2019-01-11,0.933059,【白酒板块午后逐渐走强】东方财富网11日讯，白酒板块午后逐渐走强，龙头口子窖大涨6%，贵州茅台涨2%，古井贡酒、五粮液小幅跟涨。,eastmoney
3692,2019-01-11,0.848933,云财经讯，白酒板块午后逐渐走强，龙头口子窖大涨6%，贵州茅台涨2%，古井贡酒、五粮液小幅跟涨,yuncaijing
5672,2019-01-11,0.846825,白酒板块午后逐渐走强，龙头口子窖大涨6%，贵州茅台涨2%，古井贡酒、五粮液小幅跟涨。,wallstreetcn
3671,2019-01-11,0.943538,云财经讯，1月10日，洽洽食品联合11家食品企业发起中国年味品牌代表联盟，旨在整合行业资源，弘扬发展中国年味文化，加快中华传统文化“走出去”，成为促进国际文化交流的重要载体。据了解，此次成立的中国年味品牌代表联盟成员包括洽洽食品、五粮液、泸州老窖、汇源、双汇、周黑鸭、娃哈哈、金丝猴、蒙牛、李锦记、东鹏特饮等12家企业。（新京报）,yuncaijing
3610,2019-01-13,0.0559795,【集团亲自“下场”管控终端乱像 五粮液连开27张“罚单”】继茅台明确为千亿目标拟调整市场后，五粮液集团有限公司(以下简称“五粮液”)更是“亲自下场”管控终端市场。北京商报记者从五粮液方面获悉，五粮液已于近日完成对27家市场终端销售点的惩治，包括东北、华北、西南等地区。其中包括部分经销商存在多地窜货、变相做低39度五粮液价格等扰乱市场秩序的行为业内人士分析指出，在迎来旺季的同时，五粮液的数字营销“野心”也逐渐下延到终端网点。,eastmoney
4147,2019-01-15,0.966491,【研报头条：白酒企业整体信心十足 多重利好下券商配置价值进一步凸显】从盘面上看，酿酒、工业互联、券商信托涨幅居前，其中酿酒板块表现最为亮眼，山西汾酒、舍得酒业、老白干酒、青岛啤酒、酒鬼酒等5只强势涨停，泸州老窖、金徽酒涨逾8%，水井坊、五粮液等多只个股涨幅居市场前列。券商信托走势也非常强劲，中信建投强势涨停，天风证券盘中涨停但未能封住，最终涨逾7%，板块个股全涨。,eastmoney
7764,2019-01-15,0.62042,"【1月15日资金流向】主力净流入行业板块前五：券商、计算机应用、保险、白色家电、银行
主力净流入概念板块前五：超级品牌、机器人概念、智慧城市、白酒、工业互联网
主力净流入个股前十：格力电器、五粮液、中信证券、中国平安、贵州茅台、中兴通讯、泸州老窖、东方财富、中信建投、华泰证券",wallstreetcn
5057,2019-01-16,0.790207, 云财经讯，五粮液集团董事长李曙光：白酒产业战略性重组将是一个重要主题，建议按照市场化原则，推动战略性重组。,yuncaijing
4674,2019-01-16,0.868925,【五粮液集团董事长李曙光：跨上千亿元台阶必须是高质量跨越】四川省人大代表、五粮液集团董事长李曙光表示，“2019年，五粮液集团销售规模要跨上千亿元台阶，这必须是高质量跨越而不是普通的数字跨越。”李曙光称，2019年，五粮液集团将继续补短板，拉长板，增强新动能，实现高质量发展，在推动工业高质量发展、川酒振兴、乡村振兴等领域抓好各项工作。(四川日报),eastmoney
7499,2019-01-16,0.885316,【五粮液集团董事长李曙光：跨上千亿元台阶必须是高质量跨越】四川省人大代表、五粮液集团董事长李曙光表示，“2019年，五粮液集团销售规模要跨上千亿元台阶，这必须是高质量跨越而不是普通的数字跨越。”李曙光称，2019年，五粮液集团将继续补短板，拉长板，增强新动能，实现高质量发展，在推动工业高质量发展、川酒振兴、乡村振兴等领域抓好各项工作。（四川日报）,sina
7353,2019-01-16,0.729968,五粮液集团董事长李曙光：白酒产业战略性重组将是一个重要主题，建议按照市场化原则，推动战略性重组。,sina
8708,2019-01-16,0.729968,五粮液集团董事长李曙光：白酒产业战略性重组将是一个重要主题，建议按照市场化原则，推动战略性重组。,wallstreetcn
5147,2019-01-16,0.817692,云财经讯，四川省人大代表、五粮液集团董事长李曙光表示，“2019年，五粮液集团销售规模要跨上千亿元台阶，这必须是高质量跨越而不是普通的数字跨越。”李曙光称，2019年，五粮液集团将继续补短板，拉长板，增强新动能，实现高质量发展，在推动工业高质量发展、川酒振兴、乡村振兴等领域抓好各项工作。（四川日报）,yuncaijing
5254,2019-01-17,0.950836,云财经讯，1月17日，五粮液集团与四川机场集团在成都签署战略合作框架协议。双方共同在机场广告、贵宾服务、免税店及酒店等方面开展更紧密的合作。此次两家企业战略合作协议的签署，既是传统消费品行业与民航运输业的深度融合，也是国企之间跨行业合作的一次有益尝试，将对四川省国企创新合作及共促发展起到示范作用。,yuncaijing
7825,2019-01-17,0.934376,【五粮液集团与四川机场集团战略合作】1月17日，五粮液集团与四川机场集团在成都签署战略合作框架协议。双方共同在机场广告、贵宾服务、免税店及酒店等方面开展更紧密的合作。此次两家企业战略合作协议的签署，既是传统消费品行业与民航运输业的深度融合，也是国企之间跨行业合作的一次有益尝试，将对四川省国企创新合作及共促发展起到示范作用。,sina
9411,2019-01-17,0.934376,【五粮液集团与四川机场集团战略合作】1月17日，五粮液集团与四川机场集团在成都签署战略合作框架协议。双方共同在机场广告、贵宾服务、免税店及酒店等方面开展更紧密的合作。此次两家企业战略合作协议的签署，既是传统消费品行业与民航运输业的深度融合，也是国企之间跨行业合作的一次有益尝试，将对四川省国企创新合作及共促发展起到示范作用。,wallstreetcn
