,date,sentiment_score,content,source
588,2019-01-03,0.952801,云财经讯，融360大数据研究院提供的资料显示，上海地区新增加5家银行首套最低可执行95折优惠，除工商银行、农业银行、中国银行、建设银行、邮储银行之前就执行首套95折利率外，江苏银行、中信银行、招商银行、交通银行、上海农商等5家银行目前也执行95折利率，目前上海地区可执行95折优惠的银行数量增至10家，首套利率平均水平出现2019年首降。（中新经纬）,yuncaijing
1627,2019-01-04,0.876246,  银保监会：2019年1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。,sina
410,2019-01-04,0.908275,交通银行金融研究中心4日在北京发布报告《2019年中国宏观经济金融展望》。报告预计，2018年四季度经济增速可能为6.4%，全年增速在6.6%左右，2019年经济增速可能在6.3%左右。,10jqka
1195,2019-01-04,0.669895,银保监会正式批准中国农业银行、交通银行设立理财子公司。,eastmoney
1254,2019-01-04,0.917411,【交通银行预计2019年中国经济增6.3%左右 长期基本面向好】交通银行金融研究中心4日在北京发布《2019年中国宏观经济金融展望》报告，预计2019年中国经济增速在6.3%左右。虽然中国经济短期或出现波动，但长期来看基本面向好。,eastmoney
1912,2019-01-04,0.942959,【交行报告预计2019年中国经济增速6.3%左右】交通银行金融研究中心4日发布报告《2019年中国宏观经济金融展望》。报告预计，2018年四季度经济增速可能为6.4%，全年增速在6.6%左右，2019年经济增速可能在6.3%左右。报告显示，虽然2019年经济下行压力较大，或将出现短期波动。但从长期来看我国基本面是好的，高质量发展的条件在不断改善。,wallstreetcn
1648,2019-01-04,0.974982,【银保监会：新增两家银行获准设立理财子公司】1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。,wallstreetcn
1647,2019-01-04,0.859273,"【农行、交行获准设立理财子公司】1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。
",wallstreetcn
1051,2019-01-04,0.965495,云财经讯，1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。,yuncaijing
1057,2019-01-04,0.981578,云财经讯，交通银行首席经济学家连平分析认为，此次降准选择了重要的时间窗口，年初和春节之前市场流动性通常会有较为明显的波动，降准有助于保持市场流动性合理充裕，提振市场全年的信心。从本次降准的规模，以及定向这两个因素来看，当前的货币政策应该说依然还是处在稳健的总基调之下，但是政策取向还是比较明确的，就是根据实际需要，向偏松方向做适当的调整，以达到市场的流动性合理充裕、但又松紧适度的目标状态。,yuncaijing
1140,2019-01-04,0.965106,云财经讯，交通银行金融研究中心4日发布宏观年报，展望2019年中国宏观经济和金融。报告预测，今年全年经济增速在6.3%左右，下行压力主要体现在上半年，而随着宏观政策效果显现，下半年将趋好转，全年增速或前降后稳。报告判断，今年基建投资将增长10%，成为拉动投资的关键力量。与此同时，房地产开发投资和制造业投资增长可能放缓，固定资产投资预计增5.8%。全年消费增速或在8.7%左右。（新华社）,yuncaijing
369,2019-01-04,0.719058,交通银行首席经济学家连平1月4日在交银集团“2019年中国宏观经济金融展望”发布会上表示，2019年房地产税可能在立法层面取得进展，初步出台的方案可能相对温和。,10jqka
339,2019-01-04,0.95586,2019年1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。,10jqka
1640,2019-01-04,0.98031,【交通银行首席经济学家连平：降准有助于提振市场全年的信心】交通银行首席经济学家连平表示，此次降准选择了重要的时间窗口，年初和春节之前市场流动性通常会有较为明显的波动，降准有助于保持市场流动性合理充裕，提振市场全年的信心。当前的货币政策应该说依然还是处在稳健的总基调之下，但是政策取向还是比较明确的，就是根据实际需要，向偏松方向做适当的调整，以达到市场的流动性合理充裕、但又松紧适度的目标状态。,sina
1739,2019-01-04,0.348351,【邮储银行行长吕家进赴任交行副行长】从多位相关人士处确认，中国邮政储蓄银行行长吕家进调任交通银行副行长，并且昨天已经到任。内部人士表示，这属于平调。（21）,sina
1892,2019-01-04,0.942959,【交行报告预计2019年中国经济增速6.3%左右】交通银行金融研究中心4日发布报告《2019年中国宏观经济金融展望》。报告预计，2018年四季度经济增速可能为6.4%，全年增速在6.6%左右，2019年经济增速可能在6.3%左右。报告显示，虽然2019年经济下行压力较大，或将出现短期波动。但从长期来看我国基本面是好的，高质量发展的条件在不断改善。,sina
1626,2019-01-05,0.748901,【监管加速“放行”理财子公司 五大行就等工行了】监管正加速推进对理财子公司的批准工作。继建设银行、中国银行后，银保监会1月4日正式批准农业银行、交通银行设立理财子公司。（上海证券报）,eastmoney
1420,2019-01-05,0.945729,云财经讯，1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。银保监会表示，此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。截至目前，国有五大行之中，仅有工行设立理财子公司的申请尚未获批。（国际金融报）,yuncaijing
1649,2019-01-05,0.96274,【四家国有大行获批设立理财子公司 招商银行等20余家股份制银行正在“排队”】1月4日晚间，银保监会网站发布信息显示，正式批准中国农业银行、交通银行设立理财子公司。银保监会表示，此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。根据《证券日报》记者了解，除五家大型国有银行外，招商银行等多家股份制商业银行也都宣布拟成立理财子公司，共计达到20余家。（证券日报）,eastmoney
1603,2019-01-05,0.491797,【两家大行人事变动！邮储行行长吕家进赴任交行副行长】邮储银行4日晚间公告称，该行执行董事、行长吕家进因工作调动辞职，该辞任1月4日起生效。据记者了解，吕家进已平级调任交通银行副行长，并且3日已经到任。交行也在官网发布消息称，“近日，中央决定，吕家进同志任交通银行党委委员”。（券商中国）,eastmoney
2172,2019-01-05,0.748901,【监管加速“放行”理财子公司 五大行就等工行了】监管正加速推进对理财子公司的批准工作。继建设银行、中国银行后，银保监会1月4日正式批准农业银行、交通银行设立理财子公司。（上海证券报）,sina
503,2019-01-05,0.581448,1月4日晚间，银保监会网站发布信息显示，正式批准中国农业银行、交通银行设立理财子公司。银保监会表示，此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。此外，20多家股份制商业银行也都宣布拟成立理财子公司。,10jqka
1512,2019-01-05,0.911074,【交行连平：2019年基建投资力度加大地产和制造业投资或放缓】交通银行首席经济学家连平今日发文称，2018年基建大幅度回落，主要原因在于去杠杆见效、强监管落地、地方债务管控加强、PPP项目全面清查、环保力度加大、财政赤字率调低等宏观政策的叠加效应。连平认为，2019年宏观政策明显转向，着力点在于加大基建投资力度。（证券时报网）,eastmoney
2298,2019-01-06,0.981837,【连平认为未来降息会比较审慎】交通银行首席经济学家连平在“2019中国首席经济学家论坛年会”上表示，未来货币政策会是非常明确地将稳增长作为最主要任务，同时兼顾平衡好其他方面。基于这个判断，对未来货币政策走势或者是取向有几点判断：第一，未来货币政策应该是保持它的独立性。第二，货币政策在当前往后一个阶段，短期阶段来看稳增长为要。第三，货币政策相对于财政政策来说，可能未来还会更多扮演好平衡器和调节阀功能。 第四，未来货币政策工具搭配使用，多元化趋势可能会更加明显。第五，降息会比较审慎。（中证报）,sina
1524,2019-01-06,0.847547,云财经讯，交通银行首席经济学家连平在2019中国首席经济学家论坛年会上表示，货币政策在未来一个阶段，稳定增长是第一位的。在调控方面，他认为“不必完全依赖于货币政策，可以有更多其他政策综合进行运用来处理好这个问题。”,yuncaijing
1520,2019-01-06,0.980995,云财经讯，1月6日，中国首席经济学家论坛理事长、交通银行首席经济学家连平在“2019中国首席经济学家论坛年会”上表示，货币政策在很多方面遇到了挑战：一是经济稳定增长和美联储加息周期之间的平衡；二是稳增长和稳杠杆的平衡；三是来自于扶持民企和控制房价之间的平衡。四是推动出口和控制资本外流之间的平衡。货币政策目前所面对的形势比较复杂，它的需求各个方面都有，比较多元。（中证网）,yuncaijing
2330,2019-01-06,0.824474,【连平：准备金率进一步下调有不少空间】交通银行首席经济学家连平在2019中国首席经济学家论坛年会上表示，货币政策在未来一个阶段，稳定增长是第一位的。在调控方面，他认为“不必完全依赖于货币政策，可以有更多其他政策综合进行运用来处理好这个问题。”,sina
2323,2019-01-06,0.980048,【连平：货币政策面临多重挑战】1月6日，中国首席经济学家论坛理事长、交通银行首席经济学家连平在“2019中国首席经济学家论坛年会”上表示，货币政策在很多方面遇到了挑战：一是经济稳定增长和美联储加息周期之间的平衡；二是稳增长和稳杠杆的平衡；三是来自于扶持民企和控制房价之间的平衡。四是推动出口和控制资本外流之间的平衡。货币政策目前所面对的形势比较复杂，它的需求各个方面都有，比较多元。（中证网）,sina
2317,2019-01-06,0.877114,【连平：短期看未来存准率至少有两个百分点的下行空间】交通银行首席经济学家连平今日在2019年首席经济学家论坛上表示，虽然央行调降了存款准备金率，但目前仍旧偏高，未来还有进一步下行空间。存款准备金率未来走势很大程度上与货币供给，外汇占款结合在一起，这方面来看未来存款准备金率进一步下调有不少空间，短期来看有两个百分点空间。（中国证券网）,sina
1503,2019-01-06,0.981539,云财经讯，交通银行首席经济学家连平在“2019中国首席经济学家论坛年会”上表示，未来货币政策会是非常明确地将稳增长作为最主要任务，同时兼顾平衡好其他方面。基于这个判断，对未来货币政策走势或者是取向有几点判断：第一，未来货币政策应该是保持它的独立性。第二，货币政策在当前往后一个阶段，短期阶段来看稳增长为要。第三，货币政策相对于财政政策来说，可能未来还会更多扮演好平衡器和调节阀功能。 第四，未来货币政策工具搭配使用，多元化趋势可能会更加明显。第五，降息会比较审慎。（中证报）,yuncaijing
2430,2019-01-06,0.981837,"【连平认为未来降息会比较审慎】交通银行首席经济学家连平在“2019中国首席经济学家论坛年会”上表示，未来货币政策会是非常明确地将稳增长作为最主要任务，同时兼顾平衡好其他方面。基于这个判断，对未来货币政策走势或者是取向有几点判断：第一，未来货币政策应该是保持它的独立性。第二，货币政策在当前往后一个阶段，短期阶段来看稳增长为要。第三，货币政策相对于财政政策来说，可能未来还会更多扮演好平衡器和调节阀功能。 第四，未来货币政策工具搭配使用，多元化趋势可能会更加明显。第五，降息会比较审慎。（中证报）
",wallstreetcn
