,date,sentiment_score,content,source
359,2019-01-02,0.960913,【宝能前副总裁余英转投融创中国 任广深区域执行总裁】入职姚振华旗下的宝能地产一年后，地产老将余英选择了加盟融创中国。1月2日，记者从融创获得回应：余英将任职融创中国执行总裁兼融创广深区域执行总裁，将协助融创广深区域总裁黄书平分管投资发展和城市更新等业务板块。余英此前在保利地产任副总裁、广东公司董事长。（澎湃新闻）,sina
241,2019-01-02,0.96039,云财经讯，入职姚振华旗下的宝能地产一年后，地产老将余英选择了加盟融创中国。1月2日，记者从融创获得回应：余英将任职融创中国执行总裁兼融创广深区域执行总裁，将协助融创广深区域总裁黄书平分管投资发展和城市更新等业务板块。余英此前在保利地产任副总裁、广东公司董事长。（澎湃新闻）,yuncaijing
1500,2019-01-06,0.175529,云财经讯，保利地产(600048)1月6日晚间公告，公司副总经理王健因工作调整原因申请辞去公司副总经理职务，辞职后将不再担任公司及下属子公司任何职务。,yuncaijing
2295,2019-01-06,0.163176,【保利地产：副总经理王健辞职】保利地产1月6日晚间公告，公司副总经理王健因工作调整原因申请辞去公司副总经理职务，辞职后将不再担任公司及下属子公司任何职务。,sina
5926,2019-01-14,0.769968,"保利地产：2018全年净利润初步数据188亿元人民币；全年营收初步数据1,936亿元。12月实现签约金额365亿元，同比增长4.5%。",sina
3854,2019-01-14,0.910105,【保利地产：2018年度签约金额超4000亿元 净利润预增超两成】保利地产(600048)1月14日晚披露业绩快报，公司2018年度营业总收入1936.27亿元，同比增长32.31%；净利润188.02亿元，同比增长20.33%。基本每股收益1.58元。据悉，2018 年1月至12月，公司实现签约金额4048.17亿元，同比增长30.91%。,eastmoney
4387,2019-01-14,0.681027,云财经讯，保利地产：2018全年净利润初步数据188亿元人民币。,yuncaijing
6965,2019-01-14,0.81018,保利地产业绩快报：2018年度实现营收1936亿元，同比增长32.31%；实现营业利润353亿元，同比增长38.4%。,wallstreetcn
4844,2019-01-15,0.642468,云财经讯，中金下调保利地产目标价12%至15.77元，较最新收盘价仍有34%上升空间。中金认为，保利地产2018年业绩快报表现低于市场一致预期5%，主要受到结算项目权益占比降低影响。2019年销售增速或收窄。,yuncaijing
6862,2019-01-15,0.52479,中金下调保利地产目标价12%至15.77元，较最新收盘价仍有34%上升空间。中金认为，保利地产2018年业绩快报表现低于市场一致预期5%，主要受到结算项目权益占比降低影响。2019年销售增速或收窄。,sina
4116,2019-01-15,0.136451,【业绩长牛！40股有望连续十年净利润增长 八成复合增速超20%】老板电器、海康威视、中航光电等40股净利润有望连续10年增长。梳理发现，截至最新收盘日，包含保利地产在内，有40股自2009年至2018年的净利润(按照预计净利润中值或快报数据计算)有望连续10年增长，如老板电器、海康威视、中航光电及奇正藏药等个股。,eastmoney
4692,2019-01-16,0.832546,【40股十年净利润稳健增长 防御性品种居多】2018年以来房地产及其他传统行业遇冷，但其中不乏一些业绩持续向好的公司。保利地产发布2018年度业绩快报，数据显示2018年公司实现净利润188亿元，同比增长20.33%。值得注意的是，保利地产2006年上市至今净利润连年增长。将时间缩短发现，海康威视、老板电器等明星股均荣登净利润连续10年增长榜单。（证券时报）,eastmoney
9577,2019-01-21,0.581535,保利地产发行15亿元人民币3年期中期票据，发行利率3.60%。,sina
12527,2019-01-22,0.899981,"【公募基金2018年四季度增持前十股票出炉】1月22日，天相投顾统计的2018年基金四季报数据显示，2018年四季度，公募基金增持市值最大的股票是万科A，增持市值高达34.24亿元。永辉超市增持市值也超过30亿元，达到32.78亿元。公募基金增持前十的股票还包括隆基股份、温氏股份、华夏幸福、中兴通讯、海康威视、东方财富、保利地产、山东黄金。（中证网）‘
",wallstreetcn
12526,2019-01-22,0.927487,【公募基金2018年四季度增持前十股票出炉】天相投顾统计的2018年基金四季报数据显示，2018年四季度，公募基金增持市值最大的股票是万科A，增持市值高达34.24亿元。永辉超市增持市值也超过30亿元，达到32.78亿元。公募基金增持前十的股票还包括隆基股份、温氏股份、华夏幸福、中兴通讯、海康威视、东方财富、保利地产、山东黄金。（中证网）,wallstreetcn
10229,2019-01-22,0.686462,【公募基金重仓股出炉！中国平安居首，白马蓝筹受青睐】1月22日，根据天相投顾统计的2018年基金四季报数据显示，截至2018年底，公募基金第一大重仓股是中国平安，持有总市值达196.56亿元，519只基金持有该股。此外，贵州茅台、保利地产、万科A、伊利股份、招商银行、海康威视、格力电器、美的集团、隆基股份亦进入前十大重仓股，总体来看，白马蓝筹依然受基金青睐。（中证网）,sina
10219,2019-01-22,0.690928,【公募基金2018年四季度增持前十股票出炉，其中两股增持超30亿元！】1月22日，天相投顾统计的2018年基金四季报数据显示，2018年四季度，公募基金增持市值最大的股票是万科A，增持市值高达34.24亿元。永辉超市增持市值也超过30亿元，达到32.78亿元。公募基金增持前十的股票还包括隆基股份、温氏股份、华夏幸福、中兴通讯、海康威视、东方财富、保利地产、山东黄金。（中证网）,sina
12543,2019-01-22,0.686462,【公募基金重仓股出炉！中国平安居首，白马蓝筹受青睐】1月22日，根据天相投顾统计的2018年基金四季报数据显示，截至2018年底，公募基金第一大重仓股是中国平安，持有总市值达196.56亿元，519只基金持有该股。此外，贵州茅台、保利地产、万科A、伊利股份、招商银行、海康威视、格力电器、美的集团、隆基股份亦进入前十大重仓股，总体来看，白马蓝筹依然受基金青睐。（中证网）,wallstreetcn
6271,2019-01-22,0.649551,【公募基金重仓股出炉！中国平安居首 白马蓝筹受青睐】1月22日，根据天相投顾统计的2018年基金四季报数据显示，截至2018年底，公募基金第一大重仓股是中国平安，持有总市值达196.56亿元，519只基金持有该股。此外，贵州茅台、保利地产、万科A、伊利股份、招商银行、海康威视、格力电器、美的集团、隆基股份亦进入前十大重仓股，总体来看，白马蓝筹依然受基金青睐。(中证网),eastmoney
2302,2019-01-23,0.187592,基金四季报披露进行时，数据显示，截至目前1663只个股持股出现基金身影，中国平安、贵州茅台、万科A、招商银行、保利地产、格力电器是基金持有数最多的公司，均达到400家以上，中国平安持有基金数达709只，稳居榜首。,10jqka
14624,2019-01-30,0.1127,临近午盘，地产股集体上攻，中交地产强势封板，卧龙地产、光明地产、保利地产、华侨城A等快速跟涨。,sina
18052,2019-01-30,0.85409,"【1月30日资金流向】主力净流入行业板块前五：房地产、民航、化学制药、铁矿石
主力净流入概念板块前五：光伏、次新股、芬太尼、小米、分散染料
主力净流入个股前十：明阳智能、东山精密、晶盛机电、芯能科技、保利地产、人福医药、建设银行、鼎信通讯、快意电梯、森源电气",wallstreetcn
9914,2019-02-03,0.117607,【保利地产一个月三地上黑榜 大兴曝火情重庆安全埋雷】近日，北京市住房和城乡建设委员会网站发布通报称，近期以来，全市住建系统在施工程发生3起火情事故，造成一定的财产损失和较大的社会影响。为深刻汲取事故教训，依法依规处理相关责任单位，全力压减火情事故的发生。（中国经济网）,eastmoney
7343,2019-02-11,0.874902,云财经讯，保利地产：2019年1月，公司实现签约面积227.85万平方米，同比增长4.58%；实现签约金额335.91亿元，同比增长6.14%,yuncaijing
17774,2019-02-11,0.854621,【保利地产：1月签约金额336亿元 同比增长6.14%】保利地产2019年1月实现签约面积227.85万平方米，同比增长4.58%；实现签约金额335.91亿元，同比增长6.14%。,sina
24042,2019-02-14,0.892063,"【2月14日资金流向】主力净流入行业板块前五：中药、白色家电、传媒、汽车、化工
主力净流入概念板块前五：健康中国、新零售、互联网医疗、养猪、风电
主力净流入个股前十：康美药业、格力电器、中国平安、明阳智能、伊利股份、宁德时代、隆基股份、国轩高科、比亚迪、保利地产",wallstreetcn
20121,2019-02-15,0.309624,地产股午后持续走弱，保利地产大跌5%，荣盛发展、金地集团、招商蛇口、万科A、光大嘉宝等个股纷纷走低。,sina
12649,2019-02-15,0.143489,【地产股午后持续走弱】东方财富网15日讯，地产股午后持续走弱，保利地产大跌5%，荣盛发展、金地集团均跌超3%，招商蛇口、万科A、光大嘉宝等个股纷纷走低。,eastmoney
12643,2019-02-15,0.929478,【上证50跌午后跌幅扩大至2%】东方财富网15日讯，上证50跌午后跌幅扩大至2%，家电、保险、汽车、银行、白酒权重股领跌，成分股里面，上汽集团大跌5%，保利地产、青岛海尔、华泰证券、中国国旅、复星医药等个股均跌超3%。,eastmoney
28056,2019-03-04,0.530682,地产股早盘走强，截至发稿，大名城涨停，金地集团涨超5%，万科A、保利地产涨超3%。,sina
27952,2019-03-04,0.409436,【地产股持续走强 金地集团逼近涨停】地产股午后持续走强，截至发稿，金地集团逼近涨停，大涨9.61%，泰禾集团涨超8%，招商蛇口、保利地产、万科A涨超6%。,sina
13556,2019-03-04,0.614479,云财经讯，地产股早盘走强，截至发稿，大名城涨停，金地集团涨超5%，万科A、保利地产涨超3%。,yuncaijing
18394,2019-03-04,0.287138,【地产股早盘走强】东方财富网4日讯，地产股早盘走强，截至发稿，大名城涨停，金地集团涨超5%，万科A、保利地产涨超3%。,eastmoney
35453,2019-03-04,0.737732,"【3月4日资金流向】主力净流入行业板块前五：房地产、计算机应用、银行、农产品加工、环保
主力净流入概念板块前五：云计算、次新股、中字头、工业互联网、PPP 
主力净流入个股前十：中国软件、浪潮信息、郑州银行、三一重工、东方通信、华东科技、平安银行、乐视网、招商蛇口、保利地产",wallstreetcn
