,date,sentiment_score,content,source
1558,2019-01-04,0.0328336,【光大银行违反清算管理等规定被罚没近千万】今日，中国人民银行武汉分行官网公布信息，光大银行武汉分行因违反清算管理规定、银行卡收单业务管理办法等相关规定被予以警告处罚，没收违法所得353.3万元，并处以617.49万罚款，总计被罚没970.79万元。（每日经济新闻）,sina
1897,2019-01-04,0.703897,银行板块走强，平安银行涨近4%，光大银行、张家港行等个股均有拉升。,sina
1001,2019-01-04,0.24193,云财经讯，今日，中国人民银行武汉分行官网公布信息，光大银行武汉分行因违反清算管理规定、银行卡收单业务管理办法等相关规定被予以警告处罚，没收违法所得353.3万元，并处以617.49万罚款，总计被罚没970.79万元。（每日经济新闻）,yuncaijing
1810,2019-01-06,0.701162,【今年首批支付罚单亮相！5家机构中枪 光大银行被罚近千万联想、雷军投资的支付平台在列】新年首周，人民银行对支付领域违规的监管力度并未放松。随着周末的到来，新年首批支付罚单出炉。据统计，三家第三方支付机构、两家银共接收5张罚单，合计遭罚没1203万元。值得一提的是，其中三张罚单均为央行武汉分行所开，且均与支付清算业务有关。光大银行武汉分行领到最大的一张罚单，合计被罚没970.8万元。此外，联想控股、雷军参投的第三方支付机构拉卡拉支付也受到处罚。（中国基金报）,eastmoney
2351,2019-01-06,0.701162,【今年首批支付罚单亮相！5家机构中枪光大银行被罚近千万 联想、雷军投资的支付平台在列】新年首周，人民银行对支付领域违规的监管力度并未放松。随着周末的到来，新年首批支付罚单出炉。据统计，三家第三方支付机构、两家银共接收5张罚单，合计遭罚没1203万元。值得一提的是，其中三张罚单均为央行武汉分行所开，且均与支付清算业务有关。光大银行武汉分行领到最大的一张罚单，合计被罚没970.8万元。此外，联想控股、雷军参投的第三方支付机构拉卡拉支付也受到处罚。（中国基金报）,sina
2753,2019-01-09,0.82862,云财经讯，银行板块拉升走强，平安银行领涨，张家港行、吴江银行、浦发银行、光大银行、常熟银行、无锡银行、兴业银行等个股集体走强。,yuncaijing
2648,2019-01-09,0.811001,【银行板块拉升走强】东方财富网9日讯，银行板块拉升走强，平安银行领涨，张家港行、吴江银行、浦发银行、光大银行、常熟银行、无锡银行、兴业银行等个股集体走强。,eastmoney
3739,2019-01-13,0.221935,【180余家银行公布新年计划 同业存单“大户”未现明显收缩】截至1月10日，已有180余家商业银行公布了发行计划。其中，2018年同业存单发行额度排名前5位的银行——浦发银行、兴业银行、光大银行、民生银行、平安银行均公布了2019年的发行计划，与2018年相比，未见明显收缩。更有甚者不减反增，比如交通银行，2019年备案额度较2018年增加700亿元；北京银行较上一年增加500亿元；江苏银行较上一年增加1000亿元。（国际金融报）,eastmoney
5409,2019-01-17,0.890962,云财经讯，银行板块拉升护盘，紫金银行、光大银行、无锡银行、张家港行、浦发银行、招商银行、平安银行、中国银行等个股均有拉升表现。,yuncaijing
4950,2019-01-17,0.732445,【银行板块拉升护盘】东方财富网17日讯，银行板块拉升护盘，紫金银行、光大银行、无锡银行、张家港行、浦发银行、招商银行、平安银行、中国银行等个股均有拉升表现。,eastmoney
9455,2019-01-21,0.811171,光大银行业绩快报：2018年实现营业收入1102.4亿元，同比增长20.03%；实现净利润336.6亿元，同比增长6.7%。,sina
11633,2019-01-21,0.811171,光大银行业绩快报：2018年实现营业收入1102.4亿元，同比增长20.03%；实现净利润336.6亿元，同比增长6.7%。,wallstreetcn
10703,2019-01-23,0.688877,光大银行：中国银保监会核准葛海蛟任行长。,sina
2521,2019-01-25,0.83413,上证50指数涨逾1%，沪指收复2600点，大金融板块早盘强势，招商银行、光大银行、工商银行均涨逾2%，此外芯片概念股延续昨日强劲走势，兆日科技、苏州固锝两连板。,10jqka
15227,2019-01-25,0.724129,银行板块早盘稳步拉升，平安银行、招商银行、兴业银行均涨逾2%，光大银行、南京银行涨1%。,wallstreetcn
7442,2019-01-25,0.165639,【银行股早盘快速拉升】东方财富网25日讯，银行股开盘快速拉升，板块指数涨逾1%，平安银行、兴业银行涨逾2%，工商银行、招商银行、光大银行等跟随拉升。,eastmoney
12332,2019-01-25,0.846106,上证50指数涨1.2%，招商银行、光大银行、工商银行均涨逾2%，此外芯片概念股延续昨日强劲走势，兆日科技、苏州固锝两连板。,sina
7436,2019-01-25,0.0191931,【金融股发力 上证50指数涨逾1%】东方财富网25日讯，在大金融股带动下，上证50指数涨逾1%，招商银行、光大银行、工商银行均涨逾2%，此外芯片概念股延续昨日强劲走势，兆日科技、苏州固锝两连板，市场高度股开始回落，资金弃高就低态度明显。,eastmoney
2524,2019-01-25,0.850195,银行板块逐步走强，板块指数涨逾1%，平安银行、光大银行、招商银行、南京银行均涨逾2%，兴业银行、常熟银行等涨1%。,10jqka
13215,2019-01-28,0.0800357,【民生银行等九机构被罚没1103万：违反支付结算规定】央行广州分行今日在央行官网披露了9张罚单，光大银行广州分行、民生银行广州分行、广发银行等三家银行及易联支付、易票联支付、广州汇聚支付、广州商务通、广州合利宝支付、广州银联等六家第三方支付机构被罚，合计被罚没1103万。其中民生银行广州分行被罚没557万元，易联支付被罚没350万元。,sina
2819,2019-01-29,0.534843,银行股午后护盘，交通银行、浦发银行、光大银行、建设银行等个股均现大单急拉。,10jqka
8361,2019-01-29,0.96684,【河南职业年金托管人出炉！9家入围 1家候补】2019年1月28日，河南省机关事业单位职业年金计划托管人评选工作组发布的《河南省机关事业单位职业年金计划托管人评选结果公示》称，经河南省机关事业单位职业年金计划托管人评选工作组评选，中国工商银行股份有限公司、中国建设银行股份有限公司、交通银行股份有限公司、中国农业银行股份有限公司、中国银行股份有限公司、中国民生银行股份有限公司、中国光大银行股份有限公司、上海浦东发展银行股份有限公司、招商银行股份有限公司入围河南省机关事业单位职业年金计划托管人。（中国证券报）,eastmoney
8400,2019-01-29,0.266963,【银行股午后护盘】东方财富网29日讯，银行股午后护盘，交通银行、浦发银行、光大银行、建设银行等个股均现大单急拉。,eastmoney
8366,2019-01-29,0.945882,【河南职业年金托管人出炉 9家入围】中国工商银行股份有限公司、中国建设银行股份有限公司、交通银行股份有限公司、中国农业银行股份有限公司、中国银行股份有限公司、中国民生银行股份有限公司、中国光大银行股份有限公司、上海浦东发展银行股份有限公司、招商银行股份有限公司入围河南省机关事业单位职业年金计划托管人；中信银行股份有限公司为河南省机关事业单位职业年金计划托管人候补机构。(中证网),eastmoney
