,date,sentiment_score,content,source
5,2019-01-01,0.924499,【FAANG股分析之亚马逊：预计2019年监管举措将打击到亚马逊股价】亚马逊以超过28%的涨幅结束2018年，这使其成为FAANG股中表现较佳的股票。亚马逊继续将其触角伸向其他行业，进一步深入保健医疗和媒体领域。此外，亚马逊推出了新的实体店以巩固零售业务，还为第二总部进行了全国性搜索，最终定址西雅图外部的三个新地点以进行重大投资。由于市场震荡以及假日季节销售指引走软，亚马逊的股价在2018年第四季度损失惨重。与Facebook一样，亚马逊一直是呼吁反垄断审查的重点对象。预计2019年在这方面的任何重大举措都可能打击该公司的股价。,sina
145,2019-01-01,0.0786982,【标普500指数11大板块全部收涨】东方财富网1日讯，标普500指数11大板块全部收涨，医疗保健板块领涨，其次是非日常生活消费品板块；房地产板块涨幅最小，其次是公用事业板块。,eastmoney
119,2019-01-01,0.92884,【2019年1月1日起 一大波经济新政实施！将改变金融生态 影响你的生活】对于居民生活，最大的利好莫过于个人所得税专项附加扣除今日正式实施，子女教育、继续教育、大病医疗、住房贷款利息、住房租金、赡养老人六项支出将首次作为专项附加扣除。此外，在出行购物等方面，也有诸多利好，港澳货物零关税进入内地；跨境电商零售提高享受税收优惠政策的商品限额上限，还有多种抗癌药料实行零关税等等。（券商中国）,eastmoney
118,2019-01-01,0.104282,【这一年286只股票私募竟没一只是赚钱的！亏损超10%能排进业绩前10】2018年，对A股而言，是坎坷而跌宕起伏的一年。尤其是权益投资，市场寒冬之下，无论是公募基金还是私募基金，年终业绩均是一片惨淡。其中，股票型基金全线告负，286只主动型股票基金平均收益率为-24.48%，竟没有一只取得正收益。业绩冠军为上投摩根医疗健康，2018年收益率为-4.45%，排名第5-10的基金亏损均超过10%。,eastmoney
35,2019-01-01,0.97533,【振德医疗：拟收购苏州美迪斯70%股权】振德医疗(603301)1月1日晚公告，公司拟以现金收购苏州美迪斯医疗运动用品有限公司70%股权，交易金额合计为1.04亿元。苏州美迪斯作为一家从事医用敷料产品及体育防护用品的研发、生产、销售的高新技术企业。本次交易有利于公司整合和苏州美迪斯在压力治疗与固定类产品、运动护具等运动领域产品的生产、技术和销售渠道等资源，完善产业链布局。,eastmoney
36,2019-01-01,0.713244,市场寒冬之下，无论是公募基金还是私募基金，年终业绩均是一片惨淡。其中，股票型基金全线告负，286只主动型股票基金平均收益率为-24.48%，竟没有一只取得正收益。业绩冠军为上投摩根医疗健康，2018年收益率为-4.45%，排名第5-10的基金亏损均超...,10jqka
196,2019-01-01,0.194202,"标普500指数11大板块全部收涨，医疗保健板块领涨，其次是非日常生活消费品板块；房地产板块涨幅最小，其次是公用事业板块。
",wallstreetcn
160,2019-01-01,0.326065,"【这一年286只股票私募竟没一只是赚钱的 亏损超10%能排进业绩前10】市场寒冬之下，无论是公募基金还是私募基金，年终业绩均是一片惨淡。其中，股票型基金全线告负，286只主动型股票基金平均收益率为-24.48%，竟没有一只取得正收益。业绩冠军为上投摩根医疗健康，2018年收益率为-4.45%，排名第5-10的基金亏损均超过10%。（券商中国）
",wallstreetcn
159,2019-01-01,0.368797,【这一年286只股票私募竟没一只是赚钱的，亏损超10%能排进业绩前10】市场寒冬之下，无论是公募基金还是私募基金，年终业绩均是一片惨淡。其中，股票型基金全线告负，286只主动型股票基金平均收益率为-24.48%，竟没有一只取得正收益。业绩冠军为上投摩根医疗健康，2018年收益率为-4.45%，排名第5-10的基金亏损均超过10%。（券商中国）,wallstreetcn
140,2019-01-01,0.360988,【贵州出台国有林场条例加强生态保护】《贵州省国有林场条例》于2019年1月1日起正式实施，将进一步加强生态保护力度。贵州省明确，国有林场内，禁止下列行为：倾倒和堆置废弃物，排放有毒有害物质或超标排放污水，倾倒建筑、工业、医疗、生活等垃圾；新建、扩建坟墓；擅自新建、改建、扩建建筑物和构筑物，修筑便道；新建高尔夫球场；破坏自然水系；毁林开垦、烧荒和毁林采种、采石、采砂、取土及其他毁林行为；非法猎捕国家保护的野生动物或非法采集国家重点保护的野生植物；非法采伐、毁坏树木；法律、法规禁止的其他行为。（新华社）,wallstreetcn
35,2019-01-01,0.975115,【振德医疗：拟收购苏州美迪斯70%股权】振德医疗公告，公司拟以现金收购苏州美迪斯医疗运动用品有限公司70%股权，交易金额合计为1.04亿元。苏州美迪斯作为一家从事医用敷料产品及体育防护用品的研发、生产、销售的高新技术企业。本次交易有利于公司整合和苏州美迪斯在压力治疗与固定类产品、运动护具等运动领域产品的生产、技术和销售渠道等资源，完善产业链布局。 ,wallstreetcn
