,date,sentiment_score,content,source
8558,2019-01-18,0.647535,宝钢股份预计2018年净利润同比增加8%到12%。,sina
5198,2019-01-18,0.959133,【宝钢股份：2018年度净利润预增8%到12%】宝钢股份(600019)1月18日晚间公告，公司2018年度实现净利润预计与上年同期相比增加15亿元到23亿元，同比增加8%到12%；公司2017年度净利润为191.7亿元。报告期内，公司全年实现量价齐升，购销差价空间同比扩大；四大基地的主要工序均超额完成年度计划目标，重点产品制造能力及品种质量显著提升。,eastmoney
10345,2019-01-18,0.608018,宝钢股份：预计2018年度净利润将增加15亿元-23亿元，同比增加8%-12%。,wallstreetcn
5702,2019-01-20,0.780731,【宝钢股份：上调2019年3月出厂价 对市场回暖有信心】近日，宝钢股份公布2019年2-3月份产品出厂价格，2月基准价格维持不变，3月基准价上调50元/吨。（财富证券）,eastmoney
11986,2019-01-21,0.874376,"【宝钢股份2018年净利润或超过200亿元】对冲研投讯，1月19日晚间，宝钢股份发布2018年度业绩预增公告，该公司2018年度实现归属于上市公司股东的净利润预计增加15亿元至23亿元，同比增加8%至12%，上年同期归属于上市公司股东的净利润为191.7亿元，意味着宝钢股份2018年净利润或超过200亿元，该公司业绩再创历史新高。
",wallstreetcn
9920,2019-01-22,0.888895,【钢铁央企利润创历史新高：宝钢净利润破200亿，鞍钢78亿】1月22日，国内钢铁央企之一鞍钢集团旗下上市公司鞍钢股份发布业绩预告，公司预计2018年1-12月利润总额100亿元，和去年同期相比（同比）增长58.40%；归属上市公司股东的净利润78.00亿元，同比增长17.51%。宝钢预计2018年度实现归属于上市公司股东的净利润与上年同期相比，将增加15亿元到23亿元，同比增加8%到12%。上年同期净利润为191.7亿元，这也同样意味着宝钢股份2018年度净利润大概率将突破200亿元，业绩再创历史新高。河钢股份净利润预计34.50-37.00亿元，同比增长89.87%-103.63%；酒钢宏兴净利润10.8亿元左右，同比增幅156.43%左右。,sina
12226,2019-01-22,0.888895,"【钢铁央企利润创历史新高：宝钢净利润破200亿，鞍钢78亿】1月22日，国内钢铁央企之一鞍钢集团旗下上市公司鞍钢股份发布业绩预告，公司预计2018年1-12月利润总额100亿元，和去年同期相比（同比）增长58.40%；归属上市公司股东的净利润78.00亿元，同比增长17.51%。
宝钢预计2018年度实现归属于上市公司股东的净利润与上年同期相比，将增加15亿元到23亿元，同比增加8%到12%。上年同期净利润为191.7亿元，这也同样意味着宝钢股份2018年度净利润大概率将突破200亿元，业绩再创历史新高。
河钢股份净利润预计34.50-37.00亿元，同比增长89.87%-103.63%；酒钢宏兴净利润10.8亿元左右，同比增幅156.43%左右。
",wallstreetcn
13975,2019-01-29,0.186469,【价格预期放低 钢铁业今年重心偏向兼并重组】近日，包括安阳钢铁、宝钢股份在内的多家钢铁公司发布了2018年业绩预告，2018年全年业绩同比继续增长、但第四季度盈利环比下降成为普遍现象。多位行业专家认为，2019年钢铁价格下移的趋势还将延续，意味着今年行业利润水平难以超过去年。不过，记者从近日召开的江苏省钢协一届十次会长办公会上了解到，钢铁行业供给侧改革还将进一步推进，煤焦钢产业链加强合作、去杠杆和兼并重组将成为新的重心。（上证报）,sina
22780,2019-02-21,0.954918,【东兴证券：钢铁板块依然有15-20%估值修复空间】东兴证券发布钢铁行业研报称，2019年在环保限产趋松下钢材供给同比增加，需求在政策趋宽的背景下保有韧性，预计全年钢价呈现先低、后高再低的走势，钢价中枢将较2018年下移。假设2019年行业的利润中枢较2018年下滑50%，当前板块依然有15-20%的估值修复空间。建议布局产品差异化程度高具有抵御周期下行能力的个股，如宝钢股份、常宝股份等；布局完全成本低和股价被严重低估的长材标的，如三钢闽光、韶钢松山、方大特钢等。,sina
31103,2019-03-11,0.846815,【宝钢股份上调碳钢板材4月份国内期货销售价格】宝钢股份上调宝山、东山、梅山基地及青山基地冷轧系列、电工钢内销价格：厚板（宝山、东山）、热轧（宝山、东山、梅山）基价上调300元/吨；酸洗，宝山基价上调350元/吨，梅山、东山基价上调400元/吨，青山基价上调420元/吨；普冷（宝山、青山、东山、梅山）基价上调300元/吨，搪瓷钢、电池钢、双层焊管、电磁纯铁二季度基价在一季度基础上上调300元/吨。,sina
