,date,sentiment_score,content,source
153,2019-01-01,0.973346,【世界最高电压等级输电线路启动送电 线路全长3293千米】国家电网报消息，我国自主设计建设的世界首个±1100千伏特高压直流输电工程——昌吉—古泉±1100千伏特高压工程于昨日成功启动全压送电。这是目前世界上电压等级最高、输送容量最大、输电距离最远、技术水平最先进的输电工程。据悉，昌吉—古泉±1100千伏特高压直流工程投资达407亿元，增加输变电装备制造业产值285亿元，直接带动电源等相关产业投资约1018亿元，可增加就业岗位2.8万个，每年拉动GDP增长130亿元，增加税收24亿元。,sina
192,2019-01-01,0.862592,【2018年中国电影票房首破600亿元 银幕总数达60079块 稳居世界首位】国家电影局发布数据显示：2018年，中国电影保持多年来的增长态势，全年共生产故事影片902部，全国票房首破600亿元，达到609亿元，较去年同期增长9.06%，实现票房新高。国产影片票房378.97亿元，市场占比62.15%。城市院线观影总人次17.16亿。新增银幕9303块，全国银幕总数达到60079块，稳居世界首位。（人民日报）,sina
178,2019-01-01,0.850101,【2018年中国电影票房首破600亿元，银幕总数达60079块，稳居世界首位】国家电影局发布数据显示：2018年，中国电影保持多年来的增长态势，全年共生产故事影片902部，全国票房首破600亿元，达到609亿元，较去年同期增长9.06%，实现票房新高。国产影片票房378.97亿元，市场占比62.15%。城市院线观影总人次17.16亿。新增银幕9303块，全国银幕总数达到60079块，稳居世界首位。（人民日报）,wallstreetcn
123,2019-01-01,0.96601,云财经讯，​我国自主设计建设的世界首个±1100千伏特高压直流输电工程——昌吉—古泉±1100千伏特高压工程于昨日成功启动全压送电。这是目前世界上电压等级最高、输送容量最大、输电距离最远、技术水平最先进的输电工程。据悉，昌吉—古泉±1100千伏特高压直流工程投资达407亿元，增加输变电装备制造业产值285亿元，直接带动电源等相关产业投资约1018亿元，可增加就业岗位2.8万个，每年拉动GDP增长130亿元，增加税收24亿元。 （国家电网）,yuncaijing
155,2019-01-01,0.957684,云财经讯，国家电影局发布数据显示：2018年，中国电影保持多年来的增长态势，全年共生产故事影片902部，全国票房首破600亿元，达到609亿元，较去年同期增长9.06%，实现票房新高。国产影片票房378.97亿元，市场占比62.15%。城市院线观影总人次17.16亿。新增银幕9303块，全国银幕总数达到60079块，稳居世界首位。（人民日报）,yuncaijing
483,2019-01-02,0.765265,【午间公告】东方财富网2日讯，松芝股份：区规土局拟对公司位于上海市闵行区华漕镇的工业用地收回，将给予2.21亿补偿；东方铁塔：公司及子公司苏州东方铁塔中标国家电网项目，中标价合计约2.45亿元；常山北明：出租仓库于2018年12月28日下午12点20分左右发生火灾，火灾未造成人员伤亡及直接财产损失；华仁药业：被正式认定为2018年山东省腹膜透析制品工程技术研究中心；聚龙股份：公司为民生银行运营管理部现金机具项目的入围供应商。,eastmoney
562,2019-01-02,0.262198,【花旗：格力主要股东提名新董事会人选或有可能导致管理转型 维持对格力电器的买入评级】在大股东提名新董事会人选后，花旗决定维持对格力电器的买入评级。产品组合改善和原材料成本下降也使这家家电制造商的利润率被看好。新董事会提名或有可能导致管理转型。大股东珠海格力集团提名董明珠、黄辉、望靖东、张伟担任上市公司执行董事；第二大股东河北京海担保投资提名了另外两名人选。花旗同时表示，格力向闻泰科技投资30亿元人民币后决定参与对荷兰芯片制造商Nexperia的收购，此举或可使其在半导体业务领域的地位得到增强。,eastmoney
579,2019-01-02,0.921044,"【1月2日午间公告 | 东方铁塔中标国家电网项目约2.45亿元】1、东方铁塔：公司及子公司苏州东方铁塔中标国家电网项目，中标价合计约2.45亿元。
2、松芝股份：区规土局拟对公司位于上海市闵行区华漕镇的工业用地收回，将给予2.21亿补偿。
3、常山北明：出租仓库于2018年12月28日下午12点20分左右发生火灾，火灾未造成人员伤亡及直接财产损失。
4、华仁药业：被正式认定为2018年山东省腹膜透析制品工程技术研究中心。
5、聚龙股份：公司为民生银行运营管理部现金机具项目的入围供应商。 ",wallstreetcn
451,2019-01-02,0.57509,汇金通：中标国家电网2018年输变电项目线路装置性材料协议库存招标采购铁塔及构支架项目，合计中标金额2.18亿元。,wallstreetcn
184,2019-01-02,0.977308,根据国家电影局数据，2018年全国电影总票房为609.76亿元，比上年559.11亿元增长9.06%，城市院线观影人次为17.16亿，比上年16.2亿增长5.93%。其中，国产电影票房为378.97亿元，占票房总额的62.15%。,10jqka
274,2019-01-02,0.850917,云财经讯，汉缆股份(002498)1月2日晚公告，国网物资有限公司当日在国家电网电子商务平台公告了“国家电网有限公司2018年输变电项目变电设备（含电缆）协议库存-电缆及附件招标采购中标公告”，公司中标12个包，中标总金额约4.7亿元，约占公司2017年度经审计的营业收入的9.91%。合同履行将对公司2019年经营业绩产生积极影响。,yuncaijing
346,2019-01-02,0.631414,云财经讯，东方电缆(603606)1月2日晚间公告，公司中标国家电网2018年输变电协议库存招标项目，合计中标金额约7362.36万元。,yuncaijing
359,2019-01-02,0.577191,云财经讯，长高集团(002452)1月2日晚间公告，在国家电网2018年输变电项目变电设备（含电缆）协议库存招标采购和35-110kV资格预审试点变电设备第四次招标采购中，公司四个全资子合计中标4.77亿元。占公司2017年合并营业收入的33.66%。本次中标后，其合同的履行预计将对公司2019年及以后年度的经营业绩产生积极影响。,yuncaijing
421,2019-01-02,0.811423,"云财经讯，​东方铁塔公告称，在国家电网上述招标活动中，本公司及子公司苏州东方铁塔中标国家电网项目，合计约24,480.11万元人民币，约占本公司2017年经审计的营业收入的11.96%。",yuncaijing
115,2019-01-02,0.153783,午间公告：东方铁塔中标国家电网项目；松芝股份工业用地被收回；常山北明第五分公司出租仓库发生火灾，不影响公司正常生产经营。,10jqka
389,2019-01-02,0.844205,【汉缆股份：中标4.7亿元国家电网项目】汉缆股份1月2日晚公告，国网物资有限公司当日在国家电网电子商务平台公告了“国家电网有限公司2018年输变电项目变电设备（含电缆）协议库存-电缆及附件招标采购中标公告”，公司中标12个包，中标总金额约4.7亿元，约占公司2017年度经审计的营业收入的9.91%。合同履行将对公司2019年经营业绩产生积极影响。,sina
479,2019-01-02,0.57509,汇金通：中标国家电网2018年输变电项目线路装置性材料协议库存招标采购铁塔及构支架项目，合计中标金额2.18亿元。,sina
718,2019-01-02,0.262198,【花旗：格力主要股东提名新董事会人选 或有可能导致管理转型 维持对格力电器的买入评级】在大股东提名新董事会人选后，花旗决定维持对格力电器的买入评级。产品组合改善和原材料成本下降也使这家家电制造商的利润率被看好。新董事会提名或有可能导致管理转型。大股东珠海格力集团提名董明珠、黄辉、望靖东、张伟担任上市公司执行董事；第二大股东河北京海担保投资提名了另外两名人选。花旗同时表示，格力向闻泰科技投资30亿元人民币后决定参与对荷兰芯片制造商Nexperia的收购，此举或可使其在半导体业务领域的地位得到增强。,sina
626,2019-01-02,0.743416,"【午间公告】东方铁塔：公司及子公司苏州东方铁塔中标国家电网项目，合计约24,480.11万元人民币，约占本公司2017年经审计的营业收入的11.96%。",sina
491,2019-01-02,0.647905,【长高集团：中标国家电网4.77亿元招标项目】长高集团1月2日晚间公告，在国家电网2018年输变电项目变电设备（含电缆）协议库存招标采购和35-110kV资格预审试点变电设备第四次招标采购中，公司四个全资子合计中标4.77亿元。占公司2017年合并营业收入的33.66%。本次中标后，其合同的履行预计将对公司2019年及以后年度的经营业绩产生积极影响。,sina
