,date,sentiment_score,content,source
1930,2019-01-04,0.5424,【中金：苹果下调收入指引 警惕中国手机零部件厂商盈利大幅下修风险】中金报告表示，苹果下修收入指引可能对苹果收入占比较大的中国手机零部件厂商四季度业绩造成一定影响，包括：瑞声科技、立讯精密、蓝思科技、歌尔股份，信维通信、鸿腾、德赛电池，工业富联等；警惕整个手机产业链年报季盈利大幅下修的可能性，对行业维持谨慎。,sina
1404,2019-01-04,0.939671,【中金：苹果下调收入指引 警惕中国手机零部件厂商盈利大幅下修风险】 中金公司表示，苹果下修收入指引可能对苹果收入占比较大的中国手机零部件厂商四季度业绩造成一定影响，包括：瑞声科技、立讯精密、蓝思科技、歌尔股份，信维通信、鸿腾、德赛电池，工业富联等；警惕整个手机产业链年报季盈利大幅下修的可能性，对行业维持谨慎。分析师黄乐平等人在4日报告中亦表示，中国市场萎缩会同样影响包括小米，华为，Oppo，Vivo 在内的其他主要品牌的销量。此次苹果调减2019年第一财季中国区收入指引约56.5亿美元，即当季大中华区收入约125.5亿美元，与2018年第一财季收入179.6亿美元相比下滑30%。,eastmoney
1946,2019-01-04,0.553348,【中金：苹果下调收入指引，警惕中国手机零部件厂商盈利大幅下修风险】中金报告表示，苹果下修收入指引可能对苹果收入占比较大的中国手机零部件厂商四季度业绩造成一定影响，包括：瑞声科技、立讯精密、蓝思科技、歌尔股份，信维通信、鸿腾、德赛电池，工业富联等；警惕整个手机产业链年报季盈利大幅下修的可能性，对行业维持谨慎。,wallstreetcn
4781,2019-01-11,0.943449,【工业富联：推2.25亿股股权激励计划】工业富联披露2019年股票期权与限制性股票激励计划草案，该激励计划包括股票期权激励计划和限制性股票激励计划两部分，拟授予的权益总计2.25亿份，涉及股票约占公司股本总额的1.14%，由公司向激励对象定向发行。激励对象共计4600人。该激励计划将在2019年至2023年会计年度中，分年度对公司的业绩指标进行考核，考核目标为当期净利润不低于前三个会计年度平均水准。,sina
3501,2019-01-11,0.968097,云财经讯，工业富联(601138)1月11日晚间披露2019年股票期权与限制性股票激励计划草案，本激励计划包括股票期权激励计划和限制性股票激励计划两部分，拟授予的权益总计2.25亿份，涉及股票约占公司股本总额的1.14%，由公司向激励对象定向发行。激励对象共计4600人。该激励计划将在2019年至2023年会计年度中，分年度对公司的业绩指标进行考核，考核目标为当期净利润不低于前三个会计年度平均水准。,yuncaijing
18442,2019-02-12,0.210426,港股恒指低开跌0.18％，国企指数涨0.03％。 小米集团开盘涨2.24％，美团点评涨2％，此前明晟公司（MSCI）宣布小米集团B类股、美团点评B类股及工业富联被纳入MSCI新兴市场指数中。,sina
3620,2019-02-12,0.53905,工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数。,10jqka
11577,2019-02-12,0.578836,【工业富联、中国铝业、广汇能源均高开1%】东方财富网12日讯，工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数。,eastmoney
11581,2019-02-12,0.655075,【获MSCI纳入 小米集团开盘涨2.24%美团点评涨2%】小米集团开盘涨2.24%，美团点评涨2%，此前MSCI宣布小米集团B类股、美团点评B类股及工业富联被纳入MSCI新兴市场指数中。,eastmoney
11653,2019-02-12,0.489626,【MSCI：新兴市场指数纳入工业富联 美团点评B类股和小米】MSCI公告纳入17只股票到MSCI全球所有国家指数(ACWI)，摘除一只。新兴市场指数纳入工业富联，美团点评B类股和小米。,eastmoney
22851,2019-02-12,0.529628,"MSCI：新兴市场指数纳入工业富联，美团点评B类股和小米。
",wallstreetcn
22849,2019-02-12,0.529628,MSCI：新兴市场指数纳入工业富联，美团点评B类股和小米。,wallstreetcn
22806,2019-02-12,0.914946,"【早餐|2月12日】
美股涨跌不一，美元连涨八天，离岸人民币跌破6.8，美油一度跌近3%后跌幅收窄。
媒体：特朗普将签署行政命令，促进人工智能发展。
MSCI指数新纳入12家中国公司，工业富联、小米、美团点评等在其中。
无惧大股东减持，投资机构大幅上调目标价，特斯拉涨2.3%。
IDC：苹果、小米“拖后腿”，Q4中国智能手机出货量下滑近10%。
英国12月经济陷入萎缩，拖累2018年GDP增速创六年新低。
英国签署脱欧公投后最大贸易协议：与瑞士携手降关税。
国常会：对罕见病药品给予增值税优惠，支持商业银行多渠道补充资本金。
中国央行等多部委联合发布《关于金融服务乡村振兴的指导意见》。
证监会强化并购重组内幕交易防控工作：需向交易所提交内幕信息知情人名单。
中国1月外汇储备30879.2亿美元，环比增加152亿美元，为三连涨；黄金储备5994万盎司，环比增加38万盎司。
受益《流浪地球》，北京文化预计赚约8000万，中国电影收益约1亿。
中民投一债券爆雷，单日暴跌27%，近日暴涨暴跌连遭上交所临时停盘。
华为成为全球第三大芯片买家：2018年芯片采购支出剧增45%。
提醒：日内可能公布中国1月社融、信贷、货币量数据；晚间将公布OPEC月报，英国央行行长卡尼将讲话；次日凌晨将公布EIA短期能源展望报告、API原油库存周报。
",wallstreetcn
22745,2019-02-12,0.53905,工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数。,wallstreetcn
18438,2019-02-12,0.53905,工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数。,sina
22656,2019-02-12,0.597085,"【2月12日上午复盘】09:25 工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数
09:35 次新股开盘持续活跃，龙头蔚蓝生物再度封板，贝通信大涨7%，明阳智能、苏州龙杰纷纷跟涨
09:48 医药板块开盘活跃，龙头四环生物、广生堂双双涨停，银河生物随后封板，安科生物、智飞生物、海特生物集体走强，消息面上，国常会决定对罕见病药品给予增值税优惠
09:53 白糖板块逐渐走强，龙头南宁糖业大涨6%，粤桂股份涨5%，中粮糖业跟涨
09:56 医药板块持续拉升，卫信康直线封板，誉衡药业随后涨停，海南海药、诚意药业、华东医药纷纷跟涨
10:29 玻璃板块集体上行，彩虹股份涨停，秀强股份、凯盛科技涨5%，旗滨集团小幅跟涨
10:51 OLED板块全线大涨，领益智造、彩虹股份、联得装备、激智科技集体封板，智云股份、星星科技纷纷走强
10:56 粤港澳大湾区异动，龙头宏川智慧直线封板，世荣兆业、恒基达鑫、招商蛇口纷纷走强
",wallstreetcn
3650,2019-02-12,0.927566,MSCI新纳入12家中企，2月28日收盘后生效，具体包括工业富联、美团点评、小米公司、爱奇艺、拼多多、腾讯音乐等。（附名单）…,10jqka
7711,2019-02-12,0.617773,云财经讯，工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数,yuncaijing
7756,2019-02-12,0.623339,云财经讯，MSCI：新兴市场指数纳入工业富联，美团点评B类股和小米,yuncaijing
22744,2019-02-12,0.426067,工业富联高开1.15%，此前被纳入MSCI新兴市场指数。中国铝业、广汇能源也高开逾1%，此前均被纳入MSCI指数。,wallstreetcn
18515,2019-02-12,0.969671,【MSCI指数新纳入12家中国大陆地区公司股票】A股新增中国铝业、工业富联、广汇能源、华西证券、国投资本；港股新增美团点评（03690.HK）、小米集团（01810.HK）；美股新增哔哩哔哩（BILI.O）、爱奇艺（IQ.O）、拼多多（PDD.O）、腾讯音乐（TME.N）、中通快递（ZTO.N）。,sina
18524,2019-02-12,0.68351,MSCI：纳入17只股票至股票到MSCI全球所有国家指数（ACWI），摘除一只。新兴市场指数纳入工业富联，美团点评B类股和小米。,sina
