,date,sentiment_score,content,source
605,2019-01-02,0.79068,"【恒生指数下跌2.4% 建设银行引领下跌】恒生指数在香港走低2.4%，至25,230.15点。建设银行对指数下跌贡献最大，下跌2.8%。 中国海洋石油跌幅最大，下跌6.1%。",sina
476,2019-01-02,0.770907,"【恒生指数下跌2.4% 建设银行引领下跌】东方财富网2日讯，恒生指数在香港走低2.4%，至25,230.15点。建设银行对指数下跌贡献最大，下跌2.8%。 中国海洋石油跌幅最大，下跌6.1%。",eastmoney
518,2019-01-02,0.00823964,【恒生中国企业指数跌幅扩大至3.1%】东方财富网2日讯，恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。地产业在恒指四大行业分类指数中表现最差，下跌2.9%。能源业在恒生综指11个行业分类指数中表现最差，下跌3.3%。中国石油、中国海洋石油均跌4%。,eastmoney
617,2019-01-02,0.983972,"【中国贸易金融跨行交易区块链平台正式上线】2018年12月29日, 在顺利完成两期联网测试后，“中国贸易金融跨行交易区块链平台”正式上线运行，中国工商银行和招商银行也完成了首笔跨行国内信用证链上验证。平台建设由中国银行业协会统筹规划，联合国家开发银行、中国工商银行、中国农业银行、中国银行、中国建设银行等共同发起。恒生公司联合南京润辰科技有限公司、北京众享比特科技有限公司、恒银金融科技股份有限公司等金融科技公司，为平台提供重要技术及服务。",wallstreetcn
130,2019-01-02,0.105856,香港恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。,10jqka
662,2019-01-02,0.00528319,【恒生国企指数开年首日交易跌至近两年低位 金融股拖累最大】恒生国企指数最大跌逾3%，跌至2017年2月以来最低，工商银行、建设银行、中国平安等金融股对该指数拖累最大。恒生指数下跌逾2.5%，触及2018年10月以来最低，地产、能源股领跌。地产业在恒指四大行业分类指数中表现最差，下跌2.9%。能源业在恒生综指11个行业分类指数中表现最差，下跌3.3%。中国石油、中国海洋石油均跌4%。,sina
663,2019-01-02,0.983972,"【中国贸易金融跨行交易区块链平台正式上线】2018年12月29日, 在顺利完成两期联网测试后，“中国贸易金融跨行交易区块链平台”正式上线运行，中国工商银行和招商银行也完成了首笔跨行国内信用证链上验证。平台建设由中国银行业协会统筹规划，联合国家开发银行、中国工商银行、中国农业银行、中国银行、中国建设银行等共同发起。恒生公司联合南京润辰科技有限公司、北京众享比特科技有限公司、恒银金融科技股份有限公司等金融科技公司，为平台提供重要技术及服务。",sina
588,2019-01-03,0.952801,云财经讯，融360大数据研究院提供的资料显示，上海地区新增加5家银行首套最低可执行95折优惠，除工商银行、农业银行、中国银行、建设银行、邮储银行之前就执行首套95折利率外，江苏银行、中信银行、招商银行、交通银行、上海农商等5家银行目前也执行95折利率，目前上海地区可执行95折优惠的银行数量增至10家，首套利率平均水平出现2019年首降。（中新经纬）,yuncaijing
1647,2019-01-04,0.93578,【建行高级研究员赵庆明：降准分两次实施在向市场表明不是大水漫灌】中国建设银行高级研究员赵庆明：在1月份全面降准符合市场预期，不过，分两次实施，出乎意料，方式很新颖，节奏上更符合季节性的资金需求，因为越是临近春节，现金资金需求量越大，银行的头寸会较为紧张。分两次实施，也意在向市场表明不是大水漫灌。,sina
1183,2019-01-04,0.189116,【1月4日《新闻联播》要闻精选】今日新闻联播或涉及资本市场的内容：1、习近平在中央军委军事工作会议上强调，在新的起点上做好军事斗争准备工作，坚决完成党和人民赋予的使命任务。2、李克强考察中国银行、中国工商银行、中国建设银行并主持召开座谈会。3、韩正在国家林业和草原局调研。4、《白洋淀生态环境治理和保护规划（2018-2035年）》印发。5、中国人民银行下调存款准备金率一个百分点。（证券时报）,eastmoney
1145,2019-01-04,0.793285,云财经讯，今日，国务院总理李克强接连考察了中国银行、工商银行和建设银行的普惠金融部，并在银保监会主持召开座谈会。李克强总理在考察中强调，要求银行对民营企业贷款新增三分之一，超过贷款增速，此外也要将风险控制在2%以内，需要花大工夫。银行不光要在现场做，还要搞专业化服务。过去银行很多只和账本打交道，对产业、行业、企业并不是很了解，束缚了银行发展，视野变得狭窄。现在就要开阔视野，知道宏观经济、知道全局、知道产业发展，这样也会使自己变得强大。（一财）,yuncaijing
1061,2019-01-04,0.954525,云财经讯，中国建设银行高级研究员赵庆明：在1月份全面降准符合市场预期，不过，分两次实施，出乎意料，方式很新颖，节奏上更符合季节性的资金需求，因为越是临近春节，现金资金需求量越大，银行的头寸会较为紧张。分两次实施，也意在向市场表明不是大水漫灌。（腾讯财经）,yuncaijing
1051,2019-01-04,0.965495,云财经讯，1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。这将进一步丰富机构投资者队伍，拓宽金融市场资金渠道，满足金融消费者多样化金融需求。,yuncaijing
1028,2019-01-04,0.756607,云财经讯，今天《新闻联播》的主要内容有：1、习近平在中央军委军事工作会议上强调，在新的起点上做好军事斗争准备工作，坚决完成党和人民赋予的使命任务；2、李克强考察中国银行、中国工商银行、中国建设银行并主持召开座谈会；3、韩正在国家林业和草原局调研；4、《白洋淀生态环境治理和保护规划（2018-2035年）》印发；5、“嫦娥四号”完成两器分离，留下月背第一行足迹；6、国新办新闻发布会：全面推行行政执法“三项制度”；7、创新服务模式，多渠道增加养老服务供给；8、中国人民银行下调存款准备金率一个百分点。,yuncaijing
984,2019-01-04,0.929887,云财经讯，李克强总理1月4日考察建设银行，在普惠金融事业部了解到该行推出“惠懂你”APP，基于交易结算、纳税记录等大数据评估企业信用，实现全程在线为小微企业提供信贷服务，无需再付担保、评估、“过桥”周转等附加费用，可以显著降低小微企业贷款成本。总理说，你们通过大数据等技术手段，探索破解小微企业融资难融资贵，有关部门要请第三方进行评估，切实可行要向全国复制推广。,yuncaijing
1310,2019-01-04,0.979028,【提全面降准！李克强刚刚考察三大行 释放重要信号！财政+货币政策双扩张可期】根据中国政府网消息，2019年新年伊始，李克强总理于1月4日接连考察中国银行、工商银行和建设银行普惠金融部，并在银保监会主持召开座谈会。总理强调，要加大宏观政策逆周期调节的力度，进一步采取减税降费措施，运用好全面降准、定向降准工具，支持民营企业和小微企业融资。此前有不少分析人士呼吁，要在春季前全面降准。李克强对全面降准的提出，是对市场呼吁的正式回应。可以预见，全面降准很快就会来到，这是板上钉钉的事情了！(券商中国),eastmoney
341,2019-01-04,0.986185,中国金融期货交易所的首席经济学家、建设银行高级研究员赵庆明点评表示，在1月份全面降准符合市场预期，不过，分两次实施，出乎意料，方式很新颖，节奏上更符合季节性的资金需求，因为越是临近春节，现金资金需求量越大，银行的头寸会较为紧张。...,10jqka
1627,2019-01-04,0.876246,  银保监会：2019年1月4日，银保监会正式批准中国农业银行、交通银行设立理财子公司。此前已获批的中国建设银行、中国银行理财子公司正在抓紧推进正式开业的各项准备工作。,sina
1583,2019-01-04,0.447829,【1月4日周五《新闻联播》主要内容】1、习近平在中央军委军事工作会议上强调，在新的起点上做好军事斗争准备工作，坚决完成党和人民赋予的使命任务；2、李克强考察中国银行、中国工商银行、中国建设银行并主持召开座谈会；3、韩正在国家林业和草原局调研；4、《白洋淀生态环境治理和保护规划（2018-2035年）》印发；5、“嫦娥四号”完成两器分离，留下月背第一行足迹；6、国新办新闻发布会：全面推行行政执法“三项制度”；7、创新服务模式，多渠道增加养老服务供给；8、中国人民银行下调存款准备金率一个百分点。,sina
