,date,sentiment_score,content,source
388,2019-01-02,0.556516,【恒瑞医药：苯磺顺阿曲库铵注射液拟纳入优先审评程序】恒瑞医药公告，公司的苯磺顺阿曲库铵注射液近日被国家药品监督管理局药品审评中心纳入拟优先审评品种公示名单。该药品可用于手术和其他操作以及重症监护治疗。作为全麻的辅助用药或在重症监护病房起镇静作用。截至目前，该研发项目已投入研发费用约为2191万元。,sina
388,2019-01-02,0.556516,【恒瑞医药：苯磺顺阿曲库铵注射液拟纳入优先审评程序】恒瑞医药公告，公司的苯磺顺阿曲库铵注射液近日被国家药品监督管理局药品审评中心纳入拟优先审评品种公示名单。该药品可用于手术和其他操作以及重症监护治疗。作为全麻的辅助用药或在重症监护病房起镇静作用。截至目前，该研发项目已投入研发费用约为2191万元。,wallstreetcn
272,2019-01-02,0.443751,云财经讯，恒瑞医药(600276)1月2日晚间公告，公司的苯磺顺阿曲库铵注射液近日被国家药品监督管理局药品审评中心纳入拟优先审评品种公示名单。该药品可用于手术和其他操作以及重症监护治疗。作为全麻的辅助用药或在重症监护病房(ICU)起镇静作用。截至目前，该研发项目已投入研发费用约为2191万元。,yuncaijing
1010,2019-01-03,0.598507,【 恒瑞医药：注射用替莫唑胺获药品注册批件】 恒瑞医药(600276)1月3日晚间公告，公司近日收到国家药监局核准签发的关于注射用替莫唑胺的《药品注册批件》。替莫唑胺是一种咪唑并四嗪类具有抗肿瘤活性的烷化剂。截至目前，该产品项目已投入研发费用约为679万元。,sina
666,2019-01-03,0.66519,云财经讯，恒瑞医药(600276)1月3日晚间公告，公司近日收到国家药监局核准签发的关于注射用替莫唑胺的《药品注册批件》。替莫唑胺是一种咪唑并四嗪类具有抗肿瘤活性的烷化剂。截至目前，该产品项目已投入研发费用约为679万元。,yuncaijing
1792,2019-01-04,0.511696,"【1月4日资金流向】主力净流入行业板块前五：券商、国产软件、银行、医药、工程建设
主力净流入概念板块前五：国企改革、深圳特区、次新股、独角兽、人工智能
主力净流入个股前十：第一创业、格力电器、罗牛山、科大讯飞、平安银行、长城证券、天风证券、恒瑞医药、太平洋、万科A",wallstreetcn
1679,2019-01-06,0.802029,【白马蓝筹股大跌的原因找到了！原来是有基金在卖出】去年底以来，白马蓝筹股引领市场调整。据中证君多方了解，不少公、私募基金在卖出中国平安、招商银行、恒瑞医药等重仓股。Choice数据显示，2018年10月18日至2019年1月3日，上证50指数下跌近300点，跌幅达6.59%，居各大指数之首。（中国证券报）,eastmoney
3356,2019-01-08,0.762886,"【1月8日资金流向】主力净流入行业板块前五：传媒、光学光电子、天然气、化学制药、服装家纺
主力净流入概念板块前五：富士康、深圳国资改革、健康中国、阿里巴巴、中韩自贸区
主力净流入个股前十：通产丽星、亿纬锂能、贵州燃气、西南证券、TCL集团、紫金银行、云南白药、恒瑞医药、农业银行、华泰证券",wallstreetcn
2638,2019-01-09,0.0272063,【A股三大股指持续冲高】东方财富网9日讯，A股三大股指持续冲高，上证50指大涨近2%，汽车、家电、白酒、银行等大权重板块集体拉升，上汽集团大涨6%，青岛海尔、中国国旅、万华化学、恒瑞医药等个股均涨超2%。,eastmoney
2745,2019-01-09,0.102455,云财经讯，A股三大股指持续冲高，上证50指大涨近2%，汽车、家电、白酒、银行等大权重板块集体拉升，上汽集团大涨6%，青岛海尔、中国国旅、万华化学、恒瑞医药等个股均涨超2%。,yuncaijing
