,date,sentiment_score,content,source
10,2019-01-01,0.957553,【重庆调整房产税起征点 专家：这是例行调整】1月1日起，重庆市主城个人新购高档住房房产税起征点上调至17630元/平方米。多位地产专家表示，此次重庆房产税调整属于例行调整，对楼市影响十分有限。重庆施行房地产税政策试点已有年头，新购高档住房的起征点基本每年都上调，而且范围也仅限于新购的超过一定成交价格的高档住房。近来菏泽、广州、珠海等地相继出现取消限售、降低社保门槛等政策微调。有地产专家表示，楼市政策的总体基调没有变化。（中国证券报）,sina
166,2019-01-01,0.914582,【2018年千亿房企达30家，恒大夺销售权益榜首位】据2018年12月31日克而瑞发布的《2018年度中国房地产企业销售TOP200》显示，在调控重压下，标杆房企依然实现逆势增长。碧桂园流量金额突破7000亿元，万科突破6000亿元，恒大则位居销售权益榜首位，规模房企的实力正进一步增强。此外，各梯队房企在规模增长的同时，分化格局持续。排名前十房企门槛超2000亿，破千亿房企共30家。,wallstreetcn
167,2019-01-01,0.839714,"【2018年千亿房企达30家 恒大夺销售权益榜首位】克而瑞发布的《2018年度中国房地产企业销售TOP200》显示，在调控重压下，标杆房企依然实现逆势增长。碧桂园流量金额突破7000亿元，万科突破6000亿元，恒大则位居销售权益榜首位，规模房企的实力正进一步增强。此外，各梯队房企在规模增长的同时，分化格局持续。排名前十房企门槛超2000亿，破千亿房企共30家。（新京报）
",wallstreetcn
196,2019-01-01,0.194202,"标普500指数11大板块全部收涨，医疗保健板块领涨，其次是非日常生活消费品板块；房地产板块涨幅最小，其次是公用事业板块。
",wallstreetcn
3,2019-01-01,0.0788216,【怪了！房地产商竟然“举报”了自己！法院终审这么说】西安闻天科技实业集团有限公司于2011年4月15日取得“紫杉庄园”项目的土地使用权证，该项目于2016年5月实际动工建设。2016年4月25日，闻天公司与购房者李琛茹签订了“认购合同”，李琛茹按照约定支付了全部房款。2017年6月2日和7月27日，项目先后取得建设工程规划许可证和建筑工程施工许可证；2018年2月12日，闻天公司以案涉房屋未取得商品房预售许可证为由，将李琛茹起诉至法院，请求确认双方签订的认购合同无效。（央视财经）,eastmoney
5,2019-01-01,0.95989,【新年第一天 重庆调整房产税起征点！专家解读：这是例行调整】1月1日起，重庆市主城个人新购高档住房房产税起征点上调至17630元/平方米。多位地产专家表示，此次重庆房产税调整属于例行调整，对楼市影响十分有限。重庆施行房地产税政策试点已有年头，新购高档住房的起征点基本每年都上调，而且范围也仅限于新购的超过一定成交价格的高档住房。近来菏泽、广州、珠海等地相继出现取消限售、降低社保门槛等政策微调。有地产专家表示，楼市政策的总体基调没有变化。（中国证券报）,eastmoney
53,2019-01-01,0.847255,【2018年房地产销售金额增速下滑 但千亿房企已过30家】过去一年，中国房地产市场面临巨大挑战，不过主流房企继续保持领跑的态势。在市场下滑、行业规模增速放缓的情况下，规模房企全年累计销售增速仍保持了较高水平。（第一财经）,eastmoney
75,2019-01-01,0.975323,【王府井：长春赛特奥莱MALL对外营业】王府井(600859)1月1日晚公告，2018年12月30日，公司旗下长春赛特奥莱MALL项目对外营业。该项目物业由公司与远洋控股集团（中国）有限公司旗下北京远坤房地产开发有限公司合资成立的长春王府井远洋持有，其中公司持有长春王府井远洋60%股权。（证券时报）,eastmoney
136,2019-01-01,0.942855,【2019年这个城市或将成为亚太地区最热门的投资地！】普华永道和城市土地学会(ULI)最近合作发表了2019年度亚太区房地产市场新兴趋势报告，报告指出，墨尔本是2019年亚太地区房地产投资前景最佳的城市，新加坡房地产的投资前景进一步被看好。,eastmoney
145,2019-01-01,0.0786982,【标普500指数11大板块全部收涨】东方财富网1日讯，标普500指数11大板块全部收涨，医疗保健板块领涨，其次是非日常生活消费品板块；房地产板块涨幅最小，其次是公用事业板块。,eastmoney
97,2019-01-01,0.964115,【王府井：长春赛特奥莱MALL对外营业】2018年12月30日，公司旗下长春赛特奥莱MALL项目对外营业。该项目物业由公司与远洋控股集团（中国）有限公司旗下北京远坤房地产开发有限公司合资成立的长春王府井远洋持有，其中公司持有长春王府井远洋60%股权,wallstreetcn
6,2019-01-01,0.953722,云财经讯，1月1日起，重庆市主城个人新购高档住房房产税起征点上调至17630元/平方米。多位地产专家表示，此次重庆房产税调整属于例行调整，对楼市影响十分有限。重庆施行房地产税政策试点已有年头，新购高档住房的起征点基本每年都上调，而且范围也仅限于新购的超过一定成交价格的高档住房。近来菏泽、广州、珠海等地相继出现取消限售、降低社保门槛等政策微调。有地产专家表示，楼市政策的总体基调没有变化。（中国证券报）,yuncaijing
14,2019-01-01,0.894827,云财经讯，相比2018年，券商2019年策略报告更为审慎。大多数券商共同预期，2019年中国经济增长仍面临较大下行压力，明年GDP实际增速将降低至6.5%左右，增速在二季度至三季度见底回升，而A股也将在风险充分释放后，逐步走高。多家机构共同预期，伴随经济下行压力加大，房地产政策将有所调整，预计2019年新建商品房销售面积和销售额或将实现负增长。（中国证券报）,yuncaijing
85,2019-01-01,0.979246,云财经讯，王府井(600859)1月1日晚公告，2018年12月30日，公司旗下长春赛特奥莱MALL项目对外营业。该项目物业由公司与远洋控股集团（中国）有限公司旗下北京远坤房地产开发有限公司合资成立的长春王府井远洋持有，其中公司持有长春王府井远洋60%股权。,yuncaijing
89,2019-01-01,0.840421,云财经讯，去年以来，我市认真贯彻党中央、国务院的部署，坚持“房子是用来住的，不是用来炒的”定位，深化房地产市场调控，有效稳控住房价格，房地产市场平稳运行，住房交易保持量价稳定。去年以来，重点强化四方面举措：①继续严格执行调控政策。严格落实限购措施，遏制投资投机购房。②做好住房价格稳控工作。按照上市项目周边新建商品住房近期销售价格对开发企业进行价格指导，对超过周边价格的不予办理销售许可证。采用技术手段，对销售价格上限进行锁定，高于价格上限进行销售的无法网签合同，维护购房群众利益。③加强土地出让管理。④加强房地产市场监管。（天津日报）,yuncaijing
