,date,sentiment_score,content,source
3636,2019-01-09,0.746713,【招商蛇口2018年销售金额同比增51%】招商蛇口公告，2018年1-12月，公司累计实现签约销售面积827.35万平方米，同比增加45.15%；累计实现签约销售金额1705.84亿元，同比增加51.26%。,sina
3691,2019-01-09,0.834647,【招商蛇口：2018年销售金额超1705亿元，同比增51%】招商蛇口公告，2018年12月，公司实现签约销售金额217.71亿元，同比增加113.88%。2018年1-12月，公司累计实现签约销售金额1705.84亿元，同比增加51.26%。,sina
3975,2019-01-09,0.834647,【招商蛇口：2018年销售金额超1705亿元，同比增51%】招商蛇口公告，2018年12月，公司实现签约销售金额217.71亿元，同比增加113.88%。2018年1-12月，公司累计实现签约销售金额1705.84亿元，同比增加51.26%。,wallstreetcn
2508,2019-01-09,0.812398,【招商蛇口：2018年销售金额超1705亿元 同比增51%】招商蛇口(001979)1月9日晚间公告，2018年12月，公司实现签约销售金额217.71亿元，同比增加113.88%。2018年1-12月，公司累计实现签约销售金额1705.84亿元，同比增加51.26%。,eastmoney
2502,2019-01-09,0.849689,云财经讯，招商蛇口公告，2018年1-12月，公司累计实现签约销售面积827.35万平方米，同比增加45.15%；累计实现签约销售金额1705.84亿元，同比增加51.26%。,yuncaijing
2556,2019-01-09,0.801054,云财经讯，招商蛇口(001979)1月9日晚间公告，2018年12月，公司实现签约销售金额217.71亿元，同比增加113.88%。2018年1-12月，公司累计实现签约销售金额1705.84亿元，同比增加51.26%。,yuncaijing
5554,2019-01-13,0.872124,【下周合计解禁市值449亿元 较本周增加逾百亿元】下周有16股解禁市值超10亿元，包括招商蛇口、华域汽车、盈趣科技、万兴科技等。解禁市值最高的是招商蛇口，解禁市值88.81亿元，其解禁股为定向增发机构配售股份。华域汽车将有31.53亿股将上市流通，解禁市值53.69亿元。盈趣科技将有4.59亿股解禁，解禁市值39.7亿元。,sina
4158,2019-01-13,0.872016,云财经讯，下周有16股解禁市值超10亿元，包括招商蛇口、华域汽车、盈趣科技、万兴科技等。解禁市值最高的是招商蛇口，解禁市值88.81亿元，其解禁股为定向增发机构配售股份。华域汽车将有31.53亿股将上市流通，解禁市值53.69亿元。盈趣科技将有4.59亿股解禁，解禁市值39.7亿元。,yuncaijing
8480,2019-01-16,0.261671,招商蛇口：拟斥资20亿-40亿元回购股份，回购价格不超过23.12元/股。,wallstreetcn
8460,2019-01-16,0.111561,"招商蛇口：拟斥资20亿-40亿元回购股份，回购价格不超过23.12元/股，拟回购股份1.73亿股，约占总股本的2.19%。
",wallstreetcn
4429,2019-01-16,0.507089,【20亿至40亿！招商蛇口推出巨额回购方案 新规刚落地 还有更大规模回购在路上？】1月16日晚间，招商蛇口(001979)1月16日公告称，公司拟不低于20亿元、不超过40亿元以集中竞价交易的方式回购部分社会公众股份。,eastmoney
4480,2019-01-16,0.0226883,【招商蛇口：拟20亿元-40亿元回购股份】招商蛇口(001979)1月16日晚间公告，公司拟不低于20亿元、不超过40亿元以集中竞价交易的方式回购部分社会公众股份。回购股份的价格不超过23.12元/股。若全额回购且按回购总金额上限和回购股份价格上限测算，预计回购股份数量为1.73亿股，约占公司总股本的2.19%。本次回购股份的资金中，公司自有资金的比例不低于20%，其余资金来源于银行贷款等其他合法资金。,eastmoney
4988,2019-01-16,0.463275,云财经讯，招商蛇口公告，拟回购股份1.73亿股，约总股本的2.19%。,yuncaijing
7201,2019-01-16,0.261671,招商蛇口：拟斥资20亿-40亿元回购股份，回购价格不超过23.12元/股。,sina
7179,2019-01-16,0.111561,招商蛇口：拟斥资20亿-40亿元回购股份，回购价格不超过23.12元/股，拟回购股份1.73亿股，约占总股本的2.19%。,sina
9771,2019-01-17,0.970859,指数平开，湖南国企改革板块领涨。昨日热点题材中，雄安新区杭州园林跌1%、汉钟精机跌3%，天津津劝业平开、津滨发展跌4%，创投宇信科技平开、华控赛格涨3%，煤炭永泰能源涨2%、美锦能源跌1%。选股宝盘前，中微半导体中原高速涨3%，回购招商蛇口涨3%。,wallstreetcn
12107,2019-01-25,0.696689,招商蛇口：预计2018年净利润145亿-155亿，同比增长15%-22%。,sina
14897,2019-01-25,0.665324,招商蛇口：预计2018年净利润同比增长15%-22%。,wallstreetcn
18369,2019-02-12,0.7085,粤港澳大湾区板块异动，宏川智慧直线封板，广州港、盐田港、世荣兆业、恒基达鑫、招商蛇口纷纷走强。,sina
11529,2019-02-12,0.685052,【粤港澳大湾区板块异动 宏川智慧直线封板】东方财富网12日讯，粤港澳大湾区板块异动，宏川智慧直线封板，广州港、盐田港、世荣兆业、恒基达鑫、招商蛇口纷纷走强。,eastmoney
18119,2019-02-12,0.749717,招商蛇口：1月，公司实现签约销售面积56.9万平方米，同比减少5.26%；实现签约销售金额117.87亿元，同比增加0.26%。,sina
7543,2019-02-12,0.787554,云财经讯，招商蛇口：1月，公司实现签约销售面积56.9万平方米，同比减少5.26%；实现签约销售金额117.87亿元，同比增加0.26%,yuncaijing
22678,2019-02-12,0.678758,粤港澳大湾区异动，龙头宏川智慧直线封板，世荣兆业、恒基达鑫、招商蛇口纷纷走强。,wallstreetcn
22677,2019-02-12,0.678758,"粤港澳大湾区异动，龙头宏川智慧直线封板，世荣兆业、恒基达鑫、招商蛇口纷纷走强。
",wallstreetcn
22656,2019-02-12,0.597085,"【2月12日上午复盘】09:25 工业富联、中国铝业、广汇能源均高开1%，此前被纳入MSCI新兴市场指数
09:35 次新股开盘持续活跃，龙头蔚蓝生物再度封板，贝通信大涨7%，明阳智能、苏州龙杰纷纷跟涨
09:48 医药板块开盘活跃，龙头四环生物、广生堂双双涨停，银河生物随后封板，安科生物、智飞生物、海特生物集体走强，消息面上，国常会决定对罕见病药品给予增值税优惠
09:53 白糖板块逐渐走强，龙头南宁糖业大涨6%，粤桂股份涨5%，中粮糖业跟涨
09:56 医药板块持续拉升，卫信康直线封板，誉衡药业随后涨停，海南海药、诚意药业、华东医药纷纷跟涨
10:29 玻璃板块集体上行，彩虹股份涨停，秀强股份、凯盛科技涨5%，旗滨集团小幅跟涨
10:51 OLED板块全线大涨，领益智造、彩虹股份、联得装备、激智科技集体封板，智云股份、星星科技纷纷走强
10:56 粤港澳大湾区异动，龙头宏川智慧直线封板，世荣兆业、恒基达鑫、招商蛇口纷纷走强
",wallstreetcn
22414,2019-02-12,0.749717,招商蛇口：1月，公司实现签约销售面积56.9万平方米，同比减少5.26%；实现签约销售金额117.87亿元，同比增加0.26%。,wallstreetcn
7671,2019-02-12,0.739554,云财经讯，粤港澳大湾区异动，龙头宏川智慧直线封板，世荣兆业、恒基达鑫、招商蛇口纷纷走强,yuncaijing
12649,2019-02-15,0.143489,【地产股午后持续走弱】东方财富网15日讯，地产股午后持续走弱，保利地产大跌5%，荣盛发展、金地集团均跌超3%，招商蛇口、万科A、光大嘉宝等个股纷纷走低。,eastmoney
20121,2019-02-15,0.309624,地产股午后持续走弱，保利地产大跌5%，荣盛发展、金地集团、招商蛇口、万科A、光大嘉宝等个股纷纷走低。,sina
27415,2019-02-20,0.785609,"【2月20日资金流向】主力净流入行业板块前五：房地产、通信服务、煤炭、汽车、新材料
主力净流入概念板块前五：住房租赁、赛马、迪士尼、特色小镇、体育产业
主力净流入个股前十：招商蛇口、平安银行、森源电气、银星能源、波导股份、万科A、广电网络、华映科技、比亚迪、中信证券",wallstreetcn
14190,2019-02-20,0.260435,【沪深两市主力资金净流出171.41亿元 电子行业连续两日净流出居首】2月20日，A股市场主力资金净流出171.41亿元。资金流入个股来看，招商蛇口主力资金净流入量居首，达2.89亿元；京东方A、中信证券紧随其后，全天净流入资金分别达2.78亿元、1.84亿元。从行业角度来看，今日流入净额最多的是采掘行业，共流入2.23亿元；流出净额最多的是电子行业，共流出29.92亿元，连续两个交易日净流出居各行业之首，近两个交易日累计净流出逾70亿元。（中证网）,eastmoney
35282,2019-03-04,0.0669772,"【A股回购斥资过亿公司已达124家】据Wind统计，今年以来，已回购金额超过1亿元的上市公司达124家，回购金额最高的是高达40亿元的“回购王”美的集团。此外，已回购达21.6亿元、13亿元的陕西煤业、招商蛇口仍在继续回购中。（证券时报e公司）
",wallstreetcn
27952,2019-03-04,0.409436,【地产股持续走强 金地集团逼近涨停】地产股午后持续走强，截至发稿，金地集团逼近涨停，大涨9.61%，泰禾集团涨超8%，招商蛇口、保利地产、万科A涨超6%。,sina
27685,2019-03-04,0.0566634,【A股回购斥资过亿公司已达124家】据统计，今年以来，已回购金额超过1亿元的上市公司达124家，回购金额最高的是高达40亿元的“回购王”美的集团。此外，已回购达21.6亿元、13亿元的陕西煤业、招商蛇口仍在继续回购中。（证券时报）,sina
35453,2019-03-04,0.737732,"【3月4日资金流向】主力净流入行业板块前五：房地产、计算机应用、银行、农产品加工、环保
主力净流入概念板块前五：云计算、次新股、中字头、工业互联网、PPP 
主力净流入个股前十：中国软件、浪潮信息、郑州银行、三一重工、东方通信、华东科技、平安银行、乐视网、招商蛇口、保利地产",wallstreetcn
13311,2019-03-04,0.580373,云财经讯，据统计，今年以来，已回购金额超过1亿元的上市公司达124家，回购金额最高的是高达40亿元的“回购王”美的集团。此外，已回购达21.6亿元、13亿元的陕西煤业、招商蛇口仍在继续回购中。（证券时报）,yuncaijing
13477,2019-03-04,0.776023,云财经讯，地产股午后持续走强，截至发稿，金地集团逼近涨停，大涨9.61%，泰禾集团涨超8%，招商蛇口、保利地产、万科A涨超6%。,yuncaijing
36117,2019-03-05,0.634147,"【3月5日资金流向】主力净流入行业板块前五：半导体、通信、计算机应用、传媒、军工
主力净流入概念板块前五：芯片、5G、智能穿戴、物联网、人工智能
主力净流入个股前十：中国软件、浪潮信息、郑州银行、三一重工、东方通信、华东科技、平安银行、乐视网、招商蛇口、保利地产",wallstreetcn
29672,2019-03-07,0.531255,【地产股跌幅进一步扩大 新城控股跌超6%】地产股午后跌幅进一步扩大，截至发稿，新城控股跌超6%，华夏幸福、阳光城、荣盛发展跌超5%，保利地产、金地集团跌超4%，万科A、招商蛇口等跌超3%。,sina
19440,2019-03-07,0.531255,【地产股跌幅进一步扩大 新城控股跌超6%】地产股午后跌幅进一步扩大，截至发稿，新城控股跌超6%，华夏幸福、阳光城、荣盛发展跌超5%，保利地产、金地集团跌超4%，万科A、招商蛇口等跌超3%。,eastmoney
38450,2019-03-08,0.769891,招商蛇口：2月，公司实现签约销售面积38.65万平方米，同比增加46.9%；实现签约销售金额83.03亿元，同比增加14.63%。,wallstreetcn
30084,2019-03-08,0.941599,【招商蛇口：2月签约销售金额83亿元 同比增14.63%】招商蛇口3月8日晚公告，2019年2月，公司实现签约销售面积38.65万平方米，同比增加46.9%；实现签约销售金额83.03亿元，同比增加14.63%。2019年1-2月，公司累计实现签约销售面积95.55万平方米，同比增加10.63%；累计实现签约销售金额200.9亿元，同比增加5.74%。,sina
14865,2019-03-08,0.95497,云财经讯，招商蛇口3月8日晚公告，2019年2月，公司实现签约销售面积38.65万平方米，同比增加46.9%；实现签约销售金额83.03亿元，同比增加14.63%。2019年1-2月，公司累计实现签约销售面积95.55万平方米，同比增加10.63%；累计实现签约销售金额200.9亿元，同比增加5.74%。,yuncaijing
30010,2019-03-08,0.769891,招商蛇口：2月，公司实现签约销售面积38.65万平方米，同比增加46.9%；实现签约销售金额83.03亿元，同比增加14.63%。,sina
17635,2019-03-18,0.761488,云财经讯，招商蛇口：2018年度实现净利润152亿，同比增长20.42%,yuncaijing
43923,2019-03-18,0.777759,招商蛇口：2018年度实现净利润152亿，同比增长20.42%，拟10派7.8元。,wallstreetcn
34285,2019-03-18,0.739917,招商蛇口：2018年度实现净利润152亿，同比增长20.42%。,sina
18193,2019-03-19,0.978919," 云财经讯，《粤港澳大湾区发展规划纲要》提出，要通过有序推动香港、广州、深圳国际邮轮港建设等举措，促进粤港澳大湾区旅游的蓬勃发展，打造世界级旅游目的地。深圳太子湾邮轮母港未来将开展大湾区观光旅游和邮轮旅游两大业务，到2020年观光船将完成二艘建造,在2022年太子湾邮轮母港将实现本土邮轮运营计划。深圳招商蛇口国际游轮母港有限公司常务副总经理吕如福介绍，未来，将全产业链介入邮轮产业，包括码头、船队、物资供应、船舶修造，以及物流。而且香港、广州、深圳三大港口可以形成联动，形成一种协同，为整个大湾区的发展提供支持。（央广）",yuncaijing
35097,2019-03-19,0.976123,"【深圳太子湾邮轮母港助力粤港澳大湾区成为世界级旅游目的地】《粤港澳大湾区发展规划纲要》提出，要通过有序推动香港、广州、深圳国际邮轮港建设等举措，促进粤港澳大湾区旅游的蓬勃发展，打造世界级旅游目的地。深圳太子湾邮轮母港未来将开展大湾区观光旅游和邮轮旅游两大业务，到2020年观光船将完成二艘建造,在2022年太子湾邮轮母港将实现本土邮轮运营计划。深圳招商蛇口国际游轮母港有限公司常务副总经理吕如福介绍，未来，将全产业链介入邮轮产业，包括码头、船队、物资供应、船舶修造，以及物流。而且香港、广州、深圳三大港口可以形成联动，形成一种协同，为整个大湾区的发展提供支持。（央广）",sina
