,date,sentiment_score,content,source
63,2019-01-01,0.84827,【格力电器：董明珠等人为第十一届董事会非独立董事候选人】格力电器1月1日晚公告，公司董事会会议审议通过了《关于董事会换届选举的议案》：第十一届董事会非独立董事候选人为董明珠、黄辉、望靖东、张伟、张军督、郭书战，公司第十一届董事会独立董事候选人为刘姝威、邢子文、王晓华。上述独立董事候选人的任职资格和独立性尚需经深交所备案无异议，股东大会方可进行表决。,sina
66,2019-01-01,0.612899,格力电器：将于2019年1月16日14:30召开公司2019年第一次临时股东大会，刘姝威发布独立董事候选人声明。,sina
50,2019-01-01,0.676508,云财经讯，格力电器：将于2019年1月16日14:30召开公司2019年第一次临时股东大会，刘姝威发布独立董事候选人声明,yuncaijing
25,2019-01-01,0.915389,云财经讯，1月1日晚间公告精选：贵州茅台预计2018年度净利340亿元，同比增25%；美的集团累计回购约40亿元，顶额完成回购方案；陕西煤业已累计耗资12.79亿元回购股份；董明珠等人为格力电器第十一届董事会非独立董事候选人；立思辰获自然人窦昕增持，持股比例达5%；三聚环保转让30亿元应收账款；紫金矿业拟公开增发募资不超80亿元，增加资源储量；新集能源拟计提约8亿元资产减值准备。,yuncaijing
52,2019-01-01,0.841692,【格力电器：董明珠等人为第十一届董事会非独立董事候选人】格力电器(000651)1月1日晚公告，公司董事会会议审议通过了《关于董事会换届选举的议案》：第十一届董事会非独立董事候选人为董明珠、黄辉、望靖东、张伟、张军督、郭书战，公司第十一届董事会独立董事候选人为刘姝威、邢子文、王晓华。上述独立董事候选人的任职资格和独立性尚需经深交所备案无异议，股东大会方可进行表决。,eastmoney
64,2019-01-01,0.81784,"格力电器：将于2019年1月16日14:30召开公司2019年第一次临时股东大会，将选举刘姝威、邢子文、王晓华为第十一届董事会独立董事。
",wallstreetcn
63,2019-01-01,0.612899,格力电器：将于2019年1月16日14:30召开公司2019年第一次临时股东大会，刘姝威发布独立董事候选人声明。,wallstreetcn
718,2019-01-02,0.262198,【花旗：格力主要股东提名新董事会人选 或有可能导致管理转型 维持对格力电器的买入评级】在大股东提名新董事会人选后，花旗决定维持对格力电器的买入评级。产品组合改善和原材料成本下降也使这家家电制造商的利润率被看好。新董事会提名或有可能导致管理转型。大股东珠海格力集团提名董明珠、黄辉、望靖东、张伟担任上市公司执行董事；第二大股东河北京海担保投资提名了另外两名人选。花旗同时表示，格力向闻泰科技投资30亿元人民币后决定参与对荷兰芯片制造商Nexperia的收购，此举或可使其在半导体业务领域的地位得到增强。,sina
820,2019-01-02,0.859741,【董明珠迈出连任第一步 “闺蜜”刘姝威也来参选独董】2019年1月1日晚间，格力电器公告称，公司将于1月16日召开股东大会进行董事会换届选举，董明珠被提名为董事候选人，董明珠的“闺蜜”刘姝威则被推荐为独董候选人。但这只是董明珠在连任道路上迈出的第一步，其命运最终还是掌握在以机构投资者为代表的中小股东手中。与董明珠博弈了两届董事会的机构投资者，在股东大会中将如何选择，必将引发高度关注。（中国证券报）,sina
535,2019-01-02,0.775488,云财经讯，​2019年1月1日晚间，格力电器公告称，公司将于1月16日召开股东大会进行董事会换届选举，董明珠被提名为董事候选人，董明珠的“闺蜜”刘姝威则被推荐为独董候选人。但这只是董明珠在连任道路上迈出的第一步，其命运最终还是掌握在以机构投资者为代表的中小股东手中。与董明珠博弈了两届董事会的机构投资者，在股东大会中将如何选择，必将引发高度关注。（中国证券报）,yuncaijing
562,2019-01-02,0.262198,【花旗：格力主要股东提名新董事会人选或有可能导致管理转型 维持对格力电器的买入评级】在大股东提名新董事会人选后，花旗决定维持对格力电器的买入评级。产品组合改善和原材料成本下降也使这家家电制造商的利润率被看好。新董事会提名或有可能导致管理转型。大股东珠海格力集团提名董明珠、黄辉、望靖东、张伟担任上市公司执行董事；第二大股东河北京海担保投资提名了另外两名人选。花旗同时表示，格力向闻泰科技投资30亿元人民币后决定参与对荷兰芯片制造商Nexperia的收购，此举或可使其在半导体业务领域的地位得到增强。,eastmoney
1081,2019-01-03,0.823234,【65岁董明珠没打算退休 有望继续进入格力电器董事会】2018年5月底就该到期换届的格力电器本届董事会，在“超期服役”7个月后终于打算换届。根据格力电器发布的公告，公司拟于1月16日下午在珠海总部召开本年度第一次临时股东大会，其中会议的审议事项就包括《关于董事会换届选举非独立董事的议案》。北青报记者注意到，该议案内容包括选举董明珠为格力电器第十一届董事会非独立董事的内容。这意味着，董明珠仍然没有退休计划，有望继续进入新一届格力电器董事会。（北京青年报）,eastmoney
1792,2019-01-04,0.511696,"【1月4日资金流向】主力净流入行业板块前五：券商、国产软件、银行、医药、工程建设
主力净流入概念板块前五：国企改革、深圳特区、次新股、独角兽、人工智能
主力净流入个股前十：第一创业、格力电器、罗牛山、科大讯飞、平安银行、长城证券、天风证券、恒瑞医药、太平洋、万科A",wallstreetcn
1623,2019-01-05,0.600669,【董明珠的“双城记”：格力“芯”事与银隆困局】“这是最好的时代，也是最坏的时代。”董明珠2018年的经历，正如狄更斯《双城记》中的这句名言一般起伏跌宕。而格力电器与银隆新能源则更像是由董明珠连接的两座城，各自为政。（中国经营报）,eastmoney
3213,2019-01-08,0.730331,格力电器8日下发内部文件，宣布全员涨薪，总增加薪酬在10亿元以内(澎湃)。,wallstreetcn
2051,2019-01-08,0.181271, 云财经讯，格力电器公告澄清，北京市西城区人民法院未对董明珠名下财产采取实际的保全措施，也未向其送达任何法律文书,yuncaijing
2167,2019-01-08,0.849559,【格力电器再度全员加薪：人均加薪1000元 总薪酬增10亿】1月8日晚，澎湃新闻记者获悉，格力电器当天下发内部文件，宣布全员涨薪，总增加薪酬在10亿元以内。,eastmoney
2171,2019-01-08,0.0868373,【格力电器公告澄清】北京市西城区人民法院未对董明珠名下财产采取实际的保全措施，也未向其送达任何法律文书。,eastmoney
691,2019-01-08,0.0384391,格力电器公告澄清，北京市西城区人民法院未对董明珠女士名下财产采取实际的保全措施，也未向其送达任何法律文书。公司董事长董明珠女士名下财产未受到任何查封或冻结。,10jqka
3214,2019-01-08,0.788556,【格力电器再度全员加薪：人均加薪1000元，总薪酬增10亿】格力电器今日下发内部文件，宣布全员涨薪，总增加薪酬在10亿元以内。格力电器2017年年报显示，公司当期领取薪酬员工总人数85222名，那么此次加薪人均1000元左右。与过去两年全员加薪幅度基本保持一致。（澎湃）,wallstreetcn
3221,2019-01-08,0.0789706,格力电器公告澄清，北京市西城区人民法院未对董明珠名下财产采取实际的保全措施，也未向其送达任何法律文书。,wallstreetcn
3222,2019-01-08,0.0789706,格力电器公告澄清，北京市西城区人民法院未对董明珠名下财产采取实际的保全措施，也未向其送达任何法律文书。,wallstreetcn
2003,2019-01-08,0.315725,云财经讯，1月8日晚间公告精选：格力电器称，董事长董明珠名下财产未受到任何查封或冻结；八一钢铁控股股东新疆八钢签署增资扩股暨市场化债转股框架协议；为避免因权健事件产生误解，金财互联控股股东更名；海利生物获牛散章建平三度举牌；招商港口全资子公司拟30亿认购湛江港股份；弘信电子2018年净利预增六至九成，拟10转7派2.5元，尚纬股份、扬帆新材、苏宁易购、涪陵电力、远兴能源等2018年业绩大幅预增。,yuncaijing
2041,2019-01-08,0.824574,云财经讯，格力电器今日下发内部文件，宣布全员涨薪，总增加薪酬在10亿元以内。格力电器2017年年报显示，公司当期领取薪酬员工总人数85222名，那么此次加薪人均1000元左右。与过去两年全员加薪幅度基本保持一致。（澎湃）,yuncaijing
2043,2019-01-08,0.773448,云财经讯，格力电器8日下发内部文件，宣布全员涨薪，总增加薪酬在10亿元以内(澎湃),yuncaijing
2049,2019-01-08,0.0192102,云财经讯，格力电器(000651)1月8日晚间就媒体报道公告称，经核实，北京市西城区法院未对董明珠名下财产采取实际保全措施，也未向其送达任何法律文书。目前，公司董事长董明珠未收到任何其他相关诉讼的法律文书，董明珠名下财产未受到任何查封或冻结。相关媒体报道事项，对公司董事长董明珠正常履职及作为新一届董事会董事候选人资格不产生任何影响。,yuncaijing
2252,2019-01-08,0.841616,云财经讯，关于2018年的中期分红实施情况，格力电器(000651)8日在互动平台表示，中期分红事项待股东大会审核。公司已在积极推进。,yuncaijing
686,2019-01-08,0.591362,"格力电器再度全员加薪：人均加薪1000元，总薪酬增10亿。（澎 湃）

",10jqka
3021,2019-01-08,0.788556,【格力电器再度全员加薪：人均加薪1000元，总薪酬增10亿】格力电器今日下发内部文件，宣布全员涨薪，总增加薪酬在10亿元以内。格力电器2017年年报显示，公司当期领取薪酬员工总人数85222名，那么此次加薪人均1000元左右。与过去两年全员加薪幅度基本保持一致。（澎湃）,sina
3277,2019-01-08,0.723634,【格力电器：2018年中期分红事项待股东大会审核 已在积极推进】格力电器1月8日在投资互动平台上表示，中期分红事项，待股东大会审核。公司已在积极推进。针对有投资者询问格力电器2018年的中期分红何时实施，对此，格力电器作出上述回应。,sina
3028,2019-01-08,0.0153158,【格力电器：董明珠名下财产未受到任何查封或冻结】格力电器(000651)1月8日晚间就媒体报道公告称，经核实，北京市西城区法院未对董明珠名下财产采取实际保全措施，也未向其送达任何法律文书。目前，公司董事长董明珠未收到任何其他相关诉讼的法律文书，董明珠名下财产未受到任何查封或冻结。相关媒体报道事项，对公司董事长董明珠正常履职及作为新一届董事会董事候选人资格不产生任何影响。,sina
2956,2019-01-08,0.0255889,【格力电器宣布员工加薪：总薪酬增加不超10亿，只针对普通员工】格力电器相关人士处证实了网传公司加薪文件的真实性，其告诉记者，文件确系今日下发。不过，格力电器此次宣布的“全员加薪”并非真正意义上覆盖所有员工。“我们这次的调薪和之前一样，只针对普通员工，中层以上领导是不参与的。”上述人士表示。（每日经济新闻）,sina
2746,2019-01-09,0.0252306,【格力电器宣布员工加薪：总薪酬增加不超10亿 只针对普通员工】1月8日晚间，《每日经济新闻》从格力电器相关人士处证实了上述网传公司文件的真实性，其告诉记者，文件确系今日下发。不过，格力电器此次宣布的“全员加薪”并非真正意义上覆盖所有员工。“我们这次的调薪和之前一样，只针对普通员工，中层以上领导是不参与的。”上述人士表示。（每日经济新闻）,eastmoney
2506,2019-01-09,0.422153,【连续三年全员加薪？误解了！格力此番10亿元加薪实为兑现一年前承诺】在企业裁员、降薪的寒冬，格力电器(000651)2019年1月8日晚10亿元给全员涨薪的文件迅速刷屏，让不少人羡慕不已。不过格力电器并非像不少媒体表述的“连续三年涨薪”，据一位格力员工向中国证券报记者介绍，这次加薪实际上兑现的是2018年2月格力电器做出的全员加薪决定。,eastmoney
2492,2019-01-09,0.287711,【格力加薪再升级！董明珠：涨1000元还不够 通讯费用也全包】1月9日，格力电器董事长董明珠回应了全员涨薪的话题。董明珠说，格力电器从2012年开始推行一人一房，现在已经逐步实现，去年又开始推行一人两房一厅。接下来，还将推行新的政策，员工所有的通讯设备全部免费，通讯花费全部由格力承担。（珠海新经济）,eastmoney
3652,2019-01-09,0.259971,【格力加薪再升级！董明珠：涨1000元还不够，通讯费用也全包】1月9日，格力电器董事长董明珠回应了全员涨薪的话题。董明珠说，格力电器从2012年开始推行一人一房，现在已经逐步实现，去年又开始推行一人两房一厅。接下来，还将推行新的政策，员工所有的通讯设备全部免费，通讯花费全部由格力承担。（珠海新经济）,sina
3925,2019-01-09,0.174191,【格力加薪再升级！董明珠：涨1000元还不够】格力电器董事长董明珠回应全员涨薪的话题：格力电器从2012年开始推行一人一房，现在已经逐步实现。还将推行新的政策，员工所有的通讯设备全部免费，通讯花费全部由格力承担。,wallstreetcn
