,date,sentiment_score,content,source
448,2019-01-02,0.990808,【按揭折扣利率重现！成都多家银行差别化执行9折房贷】据悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,sina
579,2019-01-02,0.921044,"【1月2日午间公告 | 东方铁塔中标国家电网项目约2.45亿元】1、东方铁塔：公司及子公司苏州东方铁塔中标国家电网项目，中标价合计约2.45亿元。
2、松芝股份：区规土局拟对公司位于上海市闵行区华漕镇的工业用地收回，将给予2.21亿补偿。
3、常山北明：出租仓库于2018年12月28日下午12点20分左右发生火灾，火灾未造成人员伤亡及直接财产损失。
4、华仁药业：被正式认定为2018年山东省腹膜透析制品工程技术研究中心。
5、聚龙股份：公司为民生银行运营管理部现金机具项目的入围供应商。 ",wallstreetcn
68,2019-01-02,0.974637,中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户...,10jqka
483,2019-01-02,0.765265,【午间公告】东方财富网2日讯，松芝股份：区规土局拟对公司位于上海市闵行区华漕镇的工业用地收回，将给予2.21亿补偿；东方铁塔：公司及子公司苏州东方铁塔中标国家电网项目，中标价合计约2.45亿元；常山北明：出租仓库于2018年12月28日下午12点20分左右发生火灾，火灾未造成人员伤亡及直接财产损失；华仁药业：被正式认定为2018年山东省腹膜透析制品工程技术研究中心；聚龙股份：公司为民生银行运营管理部现金机具项目的入围供应商。,eastmoney
429,2019-01-02,0.990712,【按揭折扣利率重现！成都多家银行差别化执行9折房贷】华尔街见闻获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,wallstreetcn
324,2019-01-02,0.990386,云财经讯，获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。,yuncaijing
428,2019-01-02,0.990762,"【独家 | 按揭折扣利率重现！成都多家银行差别化执行9折房贷】华尔街见闻获悉，中信银行对成都的首套房客户执行9折按揭利率，9折房贷利率在热点城市中尚属首例。此外，平安银行、渣打银行、兴业银行和民生银行也对成都首套房客户提供基准利率，其中平安银行和兴业银行在合作开发商重点项目中定向为征信评级优质的首套房客户提供9折利率。
",wallstreetcn
616,2019-01-02,0.620248,【午间公告】松芝股份：区规土局拟对公司位于上海市闵行区华漕镇的工业用地收回，将给予2.21亿补偿；常山北明：出租仓库于2018年12月28日下午12点20分左右发生火灾，火灾未造成人员伤亡及直接财产损失；华仁药业：被正式认定为2018年山东省腹膜透析制品工程技术研究中心；聚龙股份：公司为民生银行运营管理部现金机具项目的入围供应商。,sina
2374,2019-01-08,0.503887,【120余家银行公布2019年计划 股份制商业银行同业存单未见明显收缩】已有120余家商业银行公布了2019年的同业存单发行计划，在2018年年初同业存单余量排名前五的银行中，兴业银行、民生银行、中信银行和平安银行均公布了2019年年的发行计划，与2018年相比，未见明显收缩，存量排名第一的浦发银行则尚未披露相关数据。(证券日报),eastmoney
2346,2019-01-08,0.832739,云财经讯，截至发稿，已有120余家商业银行公布了2019年的同业存单发行计划，在2018年年初同业存单余量排名前五的银行中，兴业银行、民生银行、中信银行和平安银行均公布了2019年年的发行计划，与2018年相比，未见明显收缩，存量排名第一的浦发银行则尚未披露相关数据。（证券日报）,yuncaijing
