,date,sentiment_score,content,source
120,2019-01-01,0.961299,【中国银行与浦发银行展开海南FT账户体系下多个品种业务办理】海南自由贸易账户(FT账户)体系1日正式上线。中国银行海南省分行于2018年12月28日试运行FT账户，当日上午8:08，海南省首个FT账户在该行开立，开户单位为中免集团三亚市内免税店。当天，中国石化海南炼油化工有限公司、海南农垦投资控股集团、海航航空控股公司、中船重工物贸集团海南公司、太平金融服务公司、海南国贸有限公司、海南金海浆纸业有限公司、海南逸盛石化有限公司、海南生态软件园集团、海南川铁广润实业公司等多家海南省重点企业成为FT账户的首批开户企业，涵盖旅游、热带特色高效农业、互联网、医疗健康、现代金融、现代物流、油气、低碳制造、房地产、高新技术等10个重点产业。（中新网）,sina
154,2019-01-01,0.968204,【海南自由贸易账户（FT账户）体系正式上线运行】据悉，海南省先行上线FT账户的商业银行为中国银行海南省分行和浦发银行海口分行，其他商业银行正在进行人员培训、系统测试和制度建设等准备工作，预计在上半年陆续上线FT账户。2018年12月28日FT账户体系试运行阶段，海南自贸区第一个FT账户当日上午8时8分在中国银行海南省分行开立，开户单位是中免集团三亚市内免税店。试运行当天，还有中国石化海南炼油化工有限公司等多家海南省重点企业成为FT账户的首批开户企业，涵盖了旅游、热带特色高效农业、互联网等10个重点产业。（新华社）,sina
436,2019-01-02,0.502039,浦发银行：董事会通过资产损失核销5.78亿元人民币的议案。,sina
301,2019-01-02,0.542982,云财经讯，​浦发银行公告，董事会通过资产损失核销5.78亿元人民币的议案。,yuncaijing
664,2019-01-03,0.809877,云财经讯，浦发银行业绩快报：2018年实现营业收入1715.4亿元，同比增长1.73%；实现净利润559.14亿元，同比增长3.05%,yuncaijing
929,2019-01-03,0.802251,浦发银行业绩快报：2018年实现营业收入1715.4亿元，同比增长1.73%；实现净利润559.14亿元，同比增长3.05%。,wallstreetcn
1005,2019-01-03,0.802251,浦发银行业绩快报：2018年实现营业收入1715.4亿元，同比增长1.73%；实现净利润559.14亿元，同比增长3.05%。,sina
1625,2019-01-05,0.645371,【首批15份年报本月登场 抄底绩优股正当时？】尽管上市公司2018年“成绩单”要1月22日才开始正式披露，但年报业绩预告、业绩快报已经在陆续进行中，昨日浦发银行、平安银行和中宠股份率先公布了业绩快报，为年报行情预热。（证券时报）,eastmoney
1949,2019-01-07,0.405929,云财经讯，2018年上市银行业绩快报陆续出炉，平安银行、浦发银行率先登场。在加速甩去风险“包袱”后，两家银行资产质量都有不同程度改善。年报开门预喜，似给许久未见起色的银行板块增添了一抹亮色。嗅觉灵敏的投资者已闻风而动，新年元旦过后的首周交易日，A股银行板块上涨1.25%，跑赢沪深300指数，上周银行板块的北上资金呈净流入态势。（上海证券报）,yuncaijing
3110,2019-01-07,0.295863,【平安、浦发业绩预喜，北向资金闻风而“入”银行股】2018年上市银行业绩快报陆续出炉，平安银行、浦发银行率先登场。在加速甩去风险“包袱”后，两家银行资产质量都有不同程度改善。年报开门预喜，似给许久未见起色的银行板块增添了一抹亮色。嗅觉灵敏的投资者已闻风而动，新年元旦过后的首周交易日，A股银行板块上涨1.25%，跑赢沪深300指数，上周银行板块的北上资金呈净流入态势。（上证报）,wallstreetcn
3396,2019-01-08,0.549654,【120余家银行公布2019年计划 股份制商业银行同业存单未见明显收缩】已有120余家商业银行公布了2019年的同业存单发行计划，在2018年年初同业存单余量排名前五的银行中，兴业银行、民生银行、中信银行和平安银行均公布了2019年年的发行计划，与2018年相比，未见明显收缩，存量排名第一的浦发银行则尚未披露相关数据。（证券日报）,sina
2346,2019-01-08,0.832739,云财经讯，截至发稿，已有120余家商业银行公布了2019年的同业存单发行计划，在2018年年初同业存单余量排名前五的银行中，兴业银行、民生银行、中信银行和平安银行均公布了2019年年的发行计划，与2018年相比，未见明显收缩，存量排名第一的浦发银行则尚未披露相关数据。（证券日报）,yuncaijing
2374,2019-01-08,0.503887,【120余家银行公布2019年计划 股份制商业银行同业存单未见明显收缩】已有120余家商业银行公布了2019年的同业存单发行计划，在2018年年初同业存单余量排名前五的银行中，兴业银行、民生银行、中信银行和平安银行均公布了2019年年的发行计划，与2018年相比，未见明显收缩，存量排名第一的浦发银行则尚未披露相关数据。(证券日报),eastmoney
2753,2019-01-09,0.82862,云财经讯，银行板块拉升走强，平安银行领涨，张家港行、吴江银行、浦发银行、光大银行、常熟银行、无锡银行、兴业银行等个股集体走强。,yuncaijing
2648,2019-01-09,0.811001,【银行板块拉升走强】东方财富网9日讯，银行板块拉升走强，平安银行领涨，张家港行、吴江银行、浦发银行、光大银行、常熟银行、无锡银行、兴业银行等个股集体走强。,eastmoney
2828,2019-01-10,0.0295117,"【踩雷中城建！三家基金讨债5亿最新进展 法院调查：公司财产""一无所有""】中国城市建设控股集团有限公司(以下简称“中城建”)作为圈内有名的债券违约“老司机”，目前发生15次债券实质违约，有近40家金融机构被坑，包括招商银行、浦发银行等20多家银行，中国人寿、太平洋资管等多家保险资管机构，长盛基金、国联安基金、浦银安盛基金等多家基金公司，违约债券余额161.5亿元。",eastmoney
3739,2019-01-13,0.221935,【180余家银行公布新年计划 同业存单“大户”未现明显收缩】截至1月10日，已有180余家商业银行公布了发行计划。其中，2018年同业存单发行额度排名前5位的银行——浦发银行、兴业银行、光大银行、民生银行、平安银行均公布了2019年的发行计划，与2018年相比，未见明显收缩。更有甚者不减反增，比如交通银行，2019年备案额度较2018年增加700亿元；北京银行较上一年增加500亿元；江苏银行较上一年增加1000亿元。（国际金融报）,eastmoney
7359,2019-01-16,0.969983,【浦发银行与渣打银行签署战略合作备忘录】1月15日，浦发银行和渣打银行在上海签署《“一带一路”战略合作备忘录》。双方将在“一带一路”倡议下加强合作，尤其在亚洲、中东和非洲地区国家，着眼于服务两家银行客户的国际化发展需求开展深度全面合作，通过银团、联合债券承销、贸易融资、全球现金管理及金融市场等业务合作共同发展，力推人民币国际化，共同支持“一带一路”领域项目。,sina
5409,2019-01-17,0.890962,云财经讯，银行板块拉升护盘，紫金银行、光大银行、无锡银行、张家港行、浦发银行、招商银行、平安银行、中国银行等个股均有拉升表现。,yuncaijing
4950,2019-01-17,0.732445,【银行板块拉升护盘】东方财富网17日讯，银行板块拉升护盘，紫金银行、光大银行、无锡银行、张家港行、浦发银行、招商银行、平安银行、中国银行等个股均有拉升表现。,eastmoney
13044,2019-01-23,0.42831,"【平安银行可转债1400倍申购创纪录 还有1700亿元可转债待发】平安银行日前发行的260亿元可转债，创出了A股迄今为止最火爆的申购纪录——80亿元的网下发行份额，申购总额突破10.75万亿元，有效申购倍数高达1400倍。2019年，还有1700亿元可转债在路上，其中，江苏银行、中信银行、交通银行共计1200亿元可转债已经获批，而浦发银行500亿元可转债已通过了股东大会通过。（证券时报网）
",wallstreetcn
15099,2019-01-25,0.933845,【浦发银行与吉利控股集团签署战略合作协议】根据协议，浦发银行将为吉利控股集团提供综合金融服务，主要用于供应链金融、国际经济往来本外币、离在岸、企业股权或资产并购服务、企业年金方案设计咨询以及量身定制的其它相关金融创新产品等。,wallstreetcn
12240,2019-01-25,0.933845,【浦发银行与吉利控股集团签署战略合作协议】根据协议，浦发银行将为吉利控股集团提供综合金融服务，主要用于供应链金融、国际经济往来本外币、离在岸、企业股权或资产并购服务、企业年金方案设计咨询以及量身定制的其它相关金融创新产品等。,sina
7355,2019-01-25,0.913925,【浦发银行与吉利控股集团签署战略合作协议】根据协议，浦发银行将为吉利控股集团提供综合金融服务，主要用于供应链金融、国际经济往来本外币、离在岸、企业股权或资产并购服务、企业年金方案设计咨询以及量身定制的其它相关金融创新产品等。（上海证券报）,eastmoney
8400,2019-01-29,0.266963,【银行股午后护盘】东方财富网29日讯，银行股午后护盘，交通银行、浦发银行、光大银行、建设银行等个股均现大单急拉。,eastmoney
14153,2019-01-29,0.838963,【又有券商借助银行平台开展网上开户，且是一家银行与三家券商同时合作】浦发银行手机APP上出现了华泰证券、国泰君安证券以及安信证券三家券商的开户接口，点击进去可以直接开户。（券商中国）,sina
13869,2019-01-29,0.847667,银行板块午后稳步走强，交通银行涨2%，浦发银行、光大银行、建设银行、吴江银行纷纷上行。,sina
17146,2019-01-29,0.847667,银行板块午后稳步走强，交通银行涨2%，浦发银行、光大银行、建设银行、吴江银行纷纷上行。,wallstreetcn
17571,2019-01-29,0.838963,【又有券商借助银行平台开展网上开户，且是一家银行与三家券商同时合作】浦发银行手机APP上出现了华泰证券、国泰君安证券以及安信证券三家券商的开户接口，点击进去可以直接开户。（券商中国）,wallstreetcn
2819,2019-01-29,0.534843,银行股午后护盘，交通银行、浦发银行、光大银行、建设银行等个股均现大单急拉。,10jqka
