,date,sentiment_score,content,source
1286,2019-01-03,0.775824,白酒、食品饮料、旅游等大消费板块全线杀跌，山西汾酒、中国国旅、水井坊、龙大肉食、海天味业等个股纷纷下挫。,sina
1029,2019-01-03,0.742223,【大消费板块全线杀跌】东方财富网3日讯，白酒、食品饮料、旅游等大消费板块全线杀跌，山西汾酒、中国国旅、水井坊、龙大肉食、海天味业等个股纷纷下挫。,eastmoney
6647,2019-01-15,0.813936,【快讯：大消费板块全线走高】白酒、家用电器、食品饮料等大消费板块全线走高，舍得酒业大涨9%，汤臣倍健大涨6%，古井贡酒、泸州老窖、顺鑫农业均大涨5%，青岛海尔、美的集团、小天鹅A、海天味业均涨逾3%。,sina
4747,2019-01-15,0.870625,云财经讯，白酒、家用电器、食品饮料等大消费板块全线走高，舍得酒业大涨9%，汤臣倍健大涨6%，古井贡酒、泸州老窖、顺鑫农业均大涨5%，青岛海尔、美的集团、小天鹅A、海天味业均涨逾3%。,yuncaijing
4206,2019-01-15,0.733235,【大消费板块全线走高】东方财富网15日讯，白酒、家用电器、食品饮料等大消费板块全线走高，舍得酒业大涨9%，汤臣倍健大涨6%，古井贡酒、泸州老窖、顺鑫农业均大涨5%，青岛海尔、美的集团、小天鹅A、海天味业均涨逾3%。,eastmoney
7830,2019-01-15,0.820557,"白酒、家用电器、食品饮料等大消费板块全线走高，舍得酒业大涨9%，汤臣倍健大涨6%，古井贡酒、泸州老窖、顺鑫农业均大涨5%，青岛海尔、美的集团、小天鹅A、海天味业均涨逾3%。
",wallstreetcn
8111,2019-01-28,0.42609,【业绩黑天鹅频现 白马股再度追捧】东方财富网28日讯，今日早盘白酒、食品饮料等大消费板块再度走高，今世缘、五粮液、顺鑫农业均涨超4%，苏泊尔、小天鹅A、千禾味业、海天味业均涨表现强势。但前期强势板块遭市场抛弃，芭田股份、中衡设计等多只个股跌停，近期业绩黑天鹅比较多，场内资金转向业绩确定性比较强的白马板块。,eastmoney
23676,2019-02-22,0.830407,瑞信：将海天味业评级由跑赢大盘下调至中性，目标价78元，即上涨3.6%。,sina
37664,2019-03-25,0.680986,海天味业：2018年度实现净利润43.65亿元，同比增长23.6%；拟10派9.8元。,sina
37720,2019-03-25,0.630218,海天味业全年净利润43.6亿元，全年营收170亿元，每股收益1.62元 。,sina
19899,2019-03-25,0.577317,云财经讯，海天味业全年净利润43.6亿元人民币。,yuncaijing
24835,2019-03-25,0.57483,【海天味业：2018年净利近44亿元同比增24% 拟10派9.8元】海天味业(603288)3月25日晚间披露年报，公司2018年实现营业收入170.34亿元，同比增长16.80%；净利润43.65亿元，同比增长23.60%。基本每股收益1.62元。公司拟每10股派发现金股利9.8元。,eastmoney
48077,2019-03-25,0.680986,海天味业：2018年度实现净利润43.65亿元，同比增长23.6%；拟10派9.8元。,wallstreetcn
48076,2019-03-25,0.680986,"海天味业：2018年度实现净利润43.65亿元，同比增长23.6%；拟10派9.8元。
",wallstreetcn
30268,2019-04-11,0.303364,【白马股新高后大跌 有资金跑路？其实买方卖方都很坚定】贵州茅台剑指千元，格力电器连收涨停，海天味业、苏泊尔、涪陵榨菜等一批个股近期股价创历史新高，白马蓝筹股风头正劲。今日画风突变，市场大幅回调，白马股普遍下跌，北向资金也频频减持。业内分析人士认为，白马股整体估值相对合理，未来仍将是外资长期关注的重点标的。（中国证券报）,eastmoney
66863,2019-04-25,0.769429,海天味业：一季度实现营收54.9亿元，同比增长16.95%；实现净利润14.8亿元，同比增长22.81%。,wallstreetcn
34509,2019-04-25,0.634823,【海天味业：一季度净利润同比增长22.81%】海天味业(603288)4月25日晚间披露一季报，今年一季度实现营收54.9亿元，同比增长16.95%；净利14.77亿元，同比增长22.81%；每股收益0.55元。（证券时报）,eastmoney
52563,2019-04-25,0.769429,海天味业：一季度实现营收54.9亿元，同比增长16.95%；实现净利润14.8亿元，同比增长22.81%。,sina
37675,2019-05-07,0.153851,【两市反弹逾百股涨停 海天味业、山东药玻等6只个股盘中股价创历史新高】东方财富Choice数据显示，今日6只个股盘中股价创历史新高，剔除新股、次新股后，剩余3只个股为海天味业、山东药玻、通策医疗。,eastmoney
57248,2019-05-07,0.871537,上证综指上午收盘上涨0.32%，报2915.87。沪指成分股中，海天味业对指数上涨贡献最大，上涨6.0%。哈高科涨幅最大，上涨10.1%。,sina
38582,2019-05-09,0.665585,【白马股开盘即持续走弱】白马股开盘即持续走弱，拖累上证50跌逾2%。其中，贵州茅台、古井贡酒、五粮液、格力电器、恒瑞医药、海天味业等纷纷跌逾3%。,eastmoney
58573,2019-05-09,0.386689,上证50跌逾2%，受白马股开盘即持续走弱拖累，其中，贵州茅台、古井贡酒、五粮液、格力电器、恒瑞医药、海天味业等跌逾3%。,sina
61751,2019-05-16,0.99319,【海天味业：原材料采购价格稳定 将采取采购措施控制成本】针对糖和大豆等原材料的采购价格情况，海天味业(603288)16日在互动平台表示，公司大宗原材料的采购均及时关注动态，目前来看，公司采购价格稳定，未产生影响。公司会依据实际情况及时采取采购措施，控制成本。,sina
44486,2019-05-28,0.756819,【MSCI概念板块尾盘异动拉升！温氏股份、爱尔眼科、海天味业等个股全线骚动】从盘面上来看，MSCI概念板块尾盘异动拉升，截止收盘，温氏股份、爱尔眼科、海天味业、上汽集团、立讯精密、宁德时代、华域汽车等个股全线骚动。,eastmoney
44462,2019-05-28,0.398425,【沪指险守2900点 长江电力、新希望等14只个股盘中股价创历史新高】东方财富Choice数据显示，今日14只个股盘中股价创历史新高，剔除新股、次新股后，剩余7只个股为金逸影院、长江电力、新希望、海天味业等。,eastmoney
45215,2019-05-30,0.786546,【北上资金今日净流出7.88亿元 海天味业股价破百获净买入1.55亿元】5月30日，北向资金净流出7.88亿元，其中沪股通为净流入0.6亿元。盘后数据显示，贵州茅台、格力电器净卖出额居首，净卖出额均超2亿元。海天味业、兴业银行、中国平安净买入额居前，分别获净买入1.55亿元、0.93亿元、0.82亿元。值得注意的是，海天味业今日股价突破百元创历史新高。,eastmoney
