,date,sentiment_score,content,source
107,2019-01-01,0.974466,【全球企业创新力排行公布 阿里巴巴等中国公司上榜】近日，日本经济新闻社与日本一桥大学创新研究中心联合发布全球主要企业 “创新力”排行榜，阿里巴巴集团是唯一进入前十名的中国企业，其他进入前十名的企业都来自美国，其中包括Facebook、亚马逊、 Alphabet（谷歌）、苹果公司、微软等。榜单显示，阿里巴巴集团排在第9位，排在它后面的是芯片企业英伟达。此外，中国企业腾讯控股、海康威视和美的集团分列第22位、24位和25位。,sina
99,2019-01-01,0.974902,【全球企业创新力排行公布，阿里巴巴等中国公司上榜】近日，日本经济新闻社与日本一桥大学创新研究中心联合发布全球主要企业 “创新力”排行榜，阿里巴巴集团是唯一进入前十名的中国企业，其他进入前十名的企业都来自美国，其中包括Facebook、亚马逊、 Alphabet（谷歌）、苹果公司、微软等。榜单显示，阿里巴巴集团排在第9位，排在它后面的是芯片企业英伟达。此外，中国企业腾讯控股、海康威视和美的集团分列第22位、24位和25位。,wallstreetcn
84,2019-01-01,0.975484,云财经讯，近日，日本经济新闻社与日本一桥大学创新研究中心联合发布全球主要企业 “创新力”排行榜，阿里巴巴集团是唯一进入前十名的中国企业，其他进入前十名的企业都来自美国，其中包括Facebook、亚马逊、 Alphabet（谷歌）、苹果公司、微软等。榜单显示，阿里巴巴集团排在第9位，排在它后面的是芯片企业英伟达。此外，中国企业腾讯控股、海康威视和美的集团分列第22位、24位和25位。,yuncaijing
812,2019-01-02,0.0763367,【机构2018年调研逾1400家公司 海康威视最受青睐】数据显示，2018年逾1400家A股公司公开了调研记录，较上年同期稍有减少。其中，接待调研数超过100家的上市公司有173家，海康威视合计接待机构调研总量2079家，位列榜首。,sina
530,2019-01-02,0.123252,云财经讯，东方财富Choice数据显示，2018年逾1400家A股公司公开了调研记录，较上年同期稍有减少。其中，接待调研数超过100家的上市公司有173家，海康威视合计接待机构调研总量2079家，位列榜首。,yuncaijing
1594,2019-01-04,0.183056,【海康威视：筹划投建“海康威视郑州科技园”项目】海康威视1月4日晚公告，公司当日与郑州市郑东新区管理委员会签订框架协议，筹划在郑州市郑东新区内投资建设“海康威视郑州科技园”项目，规划建设研发、办公场所及配套设施。此次投资事项预计不构成重大资产重组。,sina
1037,2019-01-04,0.254748,云财经讯，海康威视(002415)1月4日晚公告，公司当日与郑州市郑东新区管理委员会签订框架协议，筹划在郑州市郑东新区内投资建设“海康威视郑州科技园”项目，规划建设研发、办公场所及配套设施。此次投资事项预计不构成重大资产重组。,yuncaijing
1809,2019-01-06,0.0700738,【海康威视的“围城效应”：股东大幅套现 机构吆喝买入】A股上市公司海康威视在市场上有两个身份标签：一个是机构热捧的明星股；另一个却是重要股东大幅减持的A股“套现王”。在一些市场人士看来，股东对所持上市公司股票大笔且持续的减持，往往体现出股东对于上市公司所处行业前景看淡的态度。而海康威视股东的大笔套现，与公司收入增速放缓，所处安防行业市场渐趋饱和不无关系。（中新经纬）,eastmoney
2756,2019-01-07,0.539014,"【1月7日资金流向】主力净流入行业板块前五：国防军工、通信设备、计算机应用、半导体、新材料
主力净流入概念板块前五：军工、5G、物联网、人工智能、云计算
主力净流入个股前十：中兴通讯、科大讯飞、海康威视、天风证券、航天发展、春兴精工、方正证券、超声电子、大华股份、东方通信",wallstreetcn
4061,2019-01-09,0.613266,"【1月9日资金流向】主力净流入行业板块前五：白色家电、银行、保险、电子制造、计算机应用
主力净流入概念板块前五：物联网、超级品牌、机器人、家用电器、人工智能
主力净流入个股前十：格力电器、美的集团、中国平安、平安银行、万华化学、海康威视、康得新、招商银行、五粮液、士兰微",wallstreetcn
3779,2019-01-14,0.951397,【央视《资本的力量》专题片播出 提及多家上市公司】专题片《资本的力量》由中央广播电视总台财经频道和上交所、深交所联合制作，于1月14日-1月18日晚20点档在央视财经频道播出。本片共五集，每集三十分钟。以四十年改革开放为背景，讲述了我国资本市场伴随着改革开放不断成长、壮大的过程，展现资本市场对中国经济发展的助推。1月14日的节目中提及上港集团、海康威视、福耀玻璃等多家上市公司。,eastmoney
3827,2019-01-14,0.0197819,【浙江东方：年内拟择机处置所持海康威视、华安证券股票】浙江东方(600120)1月14日晚间公告，董事会同意公司在2019年度内，通过二级市场择机处置所持海康威视(002415)、华安证券(600909)股票。其中处置海康威视不超过3138.01 万股、华安证券不超过7200万股；公司目前持有海康威视股票3138.01 万股、华安证券7200万股。,eastmoney
6869,2019-01-14,0.0351286,【浙江东方：年内拟择机处置所持海康威视、华安证券股票】浙江东方公告，董事会同意公司在2019年度内，通过二级市场择机处置所持海康威视、华安证券股票。其中处置海康威视不超过3138.01 万股、华安证券不超过7200万股；公司目前持有海康威视股票3138.01 万股、华安证券7200万股。,wallstreetcn
4317,2019-01-14,0.0158818,云财经讯，浙江东方1月14日晚间公告，董事会同意公司在2019年度内，通过二级市场择机处置所持海康威视、华安证券股票。其中处置海康威视不超过3138.01 万股、华安证券不超过7200万股；公司目前持有海康威视股票3138.01 万股、华安证券7200万股。,yuncaijing
1272,2019-01-14,0.696089,1月14日晚间公告集锦：新疆交建：公司未开展任何燃料电池业务；华铭智能：筹划发行股份收购聚利科技，明日起停牌；中国外运：本公司股票将于2019年1月18日在上海证券交易所上市交易；浙江东方：年内拟择机处置所持海康威视、华安证券股票。,10jqka
