,date,sentiment_score,content,source
1664,2019-01-04,0.894003,【温氏股份：2018年度商品肉猪销售收入329.45亿元 同比微降2.52%】温氏股份1月4日晚公告，2018年度，公司销售商品肉猪2229.70万头，收入329.45亿元，销售均价12.82元/公斤，同比变动分别为17.10%、-2.52%、-14.42%；其中通过屠宰销售14.24万头，收入2.47亿元，销售均价17.57元/公斤。销售收入下降主要是受国内生猪市场行情变化及下半年非洲猪瘟疫情的影响，销售均价同比下跌2.16元/公斤，同比下降14.42%。,sina
1676,2019-01-04,0.842675,【温氏股份：2018年度商品肉猪销售收入329.45亿元，同比微降2.52%】温氏股份公告，2018年度，公司销售商品肉猪2229.70万头，收入329.45亿元，销售均价12.82元/公斤，同比变动分别为17.10%、-2.52%、-14.42%；其中通过屠宰销售14.24万头，收入2.47亿元，销售均价17.57元/公斤。销售收入下降主要是受国内生猪市场行情变化及下半年非洲猪瘟疫情的影响，销售均价同比下跌2.16元/公斤，同比下降14.42%。,wallstreetcn
1072,2019-01-04,0.904587,云财经讯，温氏股份(300498)1月4日晚公告，2018年度，公司销售商品肉猪2229.70万头，收入329.45亿元，销售均价12.82元/公斤，同比变动分别为17.10%、-2.52%、-14.42%；其中通过屠宰销售14.24万头，收入2.47亿元，销售均价17.57元/公斤。销售收入下降主要是受国内生猪市场行情变化及下半年非洲猪瘟疫情的影响，销售均价同比下跌2.16元/公斤，同比下降14.42%。,yuncaijing
1716,2019-01-07,0.734184," 云财经讯，温氏股份预计2018年度归属于上市公司股东的净利润盈利395,000万元-420,000万元，同比下降37.79%-41.49%。",yuncaijing
2599,2019-01-07,0.465142,"【温氏股份：2018年度业绩预减约四成】温氏股份预计2018年度归属于上市公司股东的净利润盈利395,000万元-420,000万元，同比下降37.79%-41.49%。",sina
2703,2019-01-07,0.0764435,【温氏股份：2018年净利润预降38%-41%】温氏股份披露业绩预告，2018年度预盈39.5亿元至42亿元，同比下降37.79%-41.49%。报告期内，公司养猪业务规模继续增长，商品肉猪销量同比增长17.1%，但受上半年行业周期性低迷及下半年非洲猪瘟疫情等因素的影响，全年商品肉猪售价同比下降14.42%，商品肉猪盈利水平同比下降。,wallstreetcn
2708,2019-01-07,0.0771357,【温氏股份：2018年净利预降38%-41%】温氏股份披露业绩预告，2018年度预盈39.5亿元至42亿元，同比下降37.79%-41.49%。报告期内，公司养猪业务规模继续增长，商品肉猪销量同比增长17.1%，但受上半年行业周期性低迷及下半年非洲猪瘟疫情等因素的影响，全年商品肉猪售价同比下降14.42%，商品肉猪盈利水平同比下降。,wallstreetcn
1912,2019-01-07,0.0641745,【温氏股份：2018年净利预降38%-41%】温氏股份(300498)1月7日晚间披露业绩预告，2018年度预盈39.5亿元至42亿元，同比下降37.79%-41.49%。报告期内，公司养猪业务规模继续增长，商品肉猪销量同比增长17.1%，但受上半年行业周期性低迷及下半年非洲猪瘟疫情等因素的影响，全年商品肉猪售价同比下降14.42%，商品肉猪盈利水平同比下降。,eastmoney
2825,2019-01-09,0.819646,云财经讯，距离春节已不到一月，即将到来的鸡肉消费旺季，肉鸡价格已在高位徘徊。目前已预告2018年业绩的养鸡产业链公司中，除龙头温氏股份业绩略减外，圣农发展、仙坛股份、益生股份和民和股份均预期业绩大幅上涨。业内人士判断，2018年国内H7N9流感的感染案例极少，禽肉消费转向正常；同时下游库存持续处于低位，有望拉动补库需求。供需两旺格局下，看好鸡肉价格继续上涨，预计2019年鸡价中枢继续上行。,yuncaijing
9638,2019-01-17,0.978659,【温氏携手金蝶成立互联网科技公司，搭建农牧行业数字化平台】1月16日，温氏股份与金蝶集团共同出资设立的广东欣农互联科技有限公司在广州正式揭牌。双方共同瞄准万亿农牧市场，充分利用各自资源优势，搭建农牧行业数字化平台，在养殖、供应链等领域展开深入研究，深度融合云计算、大数据、物联网、区块链、人工智能等技术，输出农牧行业整体解决方案。,wallstreetcn
