,date,sentiment_score,content,source
134,2019-01-02,0.0364467,港股石油股今早受大市影响近全线下挫，截至发稿，中国石油股份跌4.1%，中国海洋石油跌3.97%，中海油田服务跌2.97%，中国石油化工股份跌2.86%。,10jqka
764,2019-01-03,0.560792,【1月3日异动股点评：又一批“炒妖”敢死队惨遭屠戮 盘点四牛与四熊】泰永长征(002927)周四下跌10.00%。公司主营低压断路器、双电源自动转换开关、工控自动化产品等低压电器元器件及其系统集成成套设备的研发、生产和销售，可为轨道交通、数据通讯、石油化工、新能源、电力电网、地产、综合管廊等各领域提供智能电气系统整体解决方案。消息方面，公司拟向控股股东购买重庆源通65%股权；公司已成为华为电源开关产品供应商。二级市场上，该股近两日持续回调，“5G+重组”加持力减弱，遭遇获利抛压。,eastmoney
352,2019-01-04,0.486701,据财务快报显示，中国石油化工集团有限公司预计全年实现利润同比增长50%以上,10jqka
1216,2019-01-04,0.672551,【中国石化：集团2018年实现利润预计同比增长50%以上】中国石化官微4日透露，2018年，中国石油化工集团有限公司坚持稳中求进工作总基调，按照高质量发展要求，贯彻“四个坚持”兴企方略和“改革、管理、创新、发展”工作方针，据财务快报显示，预计全年实现利润同比增长50%以上。,eastmoney
1096,2019-01-04,0.45646,云财经讯，中国石化官微4日透露，2018年，中国石油化工集团有限公司坚持稳中求进工作总基调，按照高质量发展要求，贯彻“四个坚持”兴企方略和“改革、管理、创新、发展”工作方针，以深化供给侧结构性改革为主线，统筹抓优化、拓市场、降成本、控风险、促改革、严管理、强创新、聚人才等各项工作，近百万员工齐心协力，集团公司生产经营再创佳绩。据财务快报显示，预计全年实现利润同比增长50%以上。,yuncaijing
4514,2019-01-10,0.845859,"【中国石化集团董事长：抓好产运销储各环节工作 保障油气市场稳定供应】1月9日，中国石油化工集团召开第二届董事会第三十六次会议。集团公司董事长戴厚良强调，要进一步优化完善全年重点工作思路和目标任务，抓好“三大计划”分解落实,组织安排好一季度的生产经营工作,力争取得开门红。要狠抓重大风险防控,坚决守住不发生系统性风险底线。要抓好安全环保工作，同时要加强统筹协调，抓好产运销储各环节工作，保障油气市场稳定供应，确保居民用气安全稳定。",sina
2975,2019-01-10,0.887954,【中国石化集团董事长：抓好产运销储各环节工作 保障油气市场稳定供应】1月9日，中国石油化工集团召开第二届董事会第三十六次会议。集团公司董事长戴厚良强调，要进一步优化完善全年重点工作思路和目标任务，抓好“三大计划”分解落实，组织安排好一季度的生产经营工作，力争取得开门红。要狠抓重大风险防控，坚决守住不发生系统性风险底线。要抓好安全环保工作，同时要加强统筹协调，抓好产运销储各环节工作，保障油气市场稳定供应，确保居民用气安全稳定。（中国石化新闻网）,eastmoney
3002,2019-01-10,0.905824,云财经讯，记者10日从国家知识产权局获悉，2018年，企业在国内发明专利申请中所占比重达64.3%，华为技术有限公司、中国石油化工股份有限公司、广东欧珀移动通信有限公司发明专利授权量分别为3369件、2849件、2345件，排名国内（不含港澳台）企业前三。2018年，国内企业创新主体地位进一步提升，海外知识产权布局意识不断加强。（新华社）,yuncaijing
3270,2019-01-10,0.378126," 云财经讯，1月9日，中国石油化工集团召开第二届董事会第三十六次会议。集团公司董事长戴厚良强调，要进一步优化完善全年重点工作思路和目标任务，抓好“三大计划”分解落实,组织安排好一季度的生产经营工作,力争取得开门红。要狠抓重大风险防控,坚决守住不发生系统性风险底线。要抓好安全环保工作，同时要加强统筹协调，抓好产运销储各环节工作，保障油气市场稳定供应，确保居民用气安全稳定。",yuncaijing
3127,2019-01-11,0.0804029,【1月11日异动股点评：老妖股泰永长征再启涨停模式 盘点四牛与四熊】泰永长征(002927)周五上涨9.99%。公司主营低压断路器、双电源自动转换开关、工控自动化产品等低压电器元器件及其系统集成成套设备的研发、生产和销售，可为轨道交通、数据通讯、石油化工、新能源、电力电网、地产、综合管廊等各领域提供智能电气系统整体解决方案。消息方面，公司拟向控股股东购买重庆源通65%股权；公司已成为华为电源开关产品供应商。二级市场上，今日次新股迎来久违暴涨，该股放量涨停，但存在“蹭热点”嫌疑。,eastmoney
3902,2019-01-14,0.943725,【福建：今年培育18个以上超千亿产值产业集群】今日上午，福建省长唐登杰向福建省十三届人大二次会议作政府工作报告。报告提出，2019年，福建省将实施千亿集群培育计划，电子信息重点拓展柔性显示以及芯片设计、制造、封装测试等产业链，机械装备重点实施智能制造和高端装备创新工程，石油化工重点拓展中下游产业，争创制造业高质量发展国家级示范区，加快培育18个以上产值超千亿产业集群。(中证网),eastmoney
4462,2019-01-14,0.961256,云财经讯，今日上午，福建省长唐登杰向福建省十三届人大二次会议作政府工作报告。报告提出，2019年，福建省将实施千亿集群培育计划，电子信息重点拓展柔性显示以及芯片设计、制造、封装测试等产业链，机械装备重点实施智能制造和高端装备创新工程，石油化工重点拓展中下游产业，争创制造业高质量发展国家级示范区，加快培育18个以上产值超千亿产业集群。（中证网）,yuncaijing
7092,2019-01-14,0.950035,【福建：今年培育18个以上超千亿产值产业集群】今日上午，福建省长唐登杰向福建省十三届人大二次会议作政府工作报告。报告提出，2019年，福建省将实施千亿集群培育计划，电子信息重点拓展柔性显示以及芯片设计、制造、封装测试等产业链，机械装备重点实施智能制造和高端装备创新工程，石油化工重点拓展中下游产业，争创制造业高质量发展国家级示范区，加快培育18个以上产值超千亿产业集群。（中证网）,wallstreetcn
6041,2019-01-14,0.950035,【福建：今年培育18个以上超千亿产值产业集群】今日上午，福建省长唐登杰向福建省十三届人大二次会议作政府工作报告。报告提出，2019年，福建省将实施千亿集群培育计划，电子信息重点拓展柔性显示以及芯片设计、制造、封装测试等产业链，机械装备重点实施智能制造和高端装备创新工程，石油化工重点拓展中下游产业，争创制造业高质量发展国家级示范区，加快培育18个以上产值超千亿产业集群。（中证网）,sina
12113,2019-01-22,0.80896,【恒力集团2018年销售额超3700亿元，比上年增长超过20%】2018年，恒力集团年销售额再创新高，达到3717亿元，较上一年增长638亿元，增长幅度超过20%。在石油化工行业，恒力2000万吨/年炼化一体化项目投料开车；150万吨/年乙烯、180万吨/年乙二醇、新建500万吨/年PTA项目进展顺利。,wallstreetcn
