,date,sentiment_score,content,source
447,2019-01-02,0.221328,"【迈瑞单方面解约200多名应届生，学校：企业得来商量】迈瑞医疗通过电话解约了秋招的200多名签约应届生，但作为签订了三方协议的一方，众多学校就业办明确表示“不知情""。有学校称：“如果签订三方协议后解约需与学校联系。”（一财）",sina
556,2019-01-02,0.268535,【医药股快速杀跌】东方财富网2日讯，白马板块医药股早盘遭遇抛售，康美药业竞价封死跌停，次新医药迈瑞医疗早盘快速杀跌，带动医药板块快速走低，广誉远、葵花药业、康缘药业等纷纷大幅走低。,eastmoney
550,2019-01-02,0.4231,【医药股持续下挫】东方财富网2日讯，医药股持续下挫，康美药业跌停，迈瑞医疗、广誉远跌逾7%。,eastmoney
650,2019-01-02,0.475861,"医药股持续下挫，康美药业跌停，迈瑞医疗、广誉远跌逾7%。
",wallstreetcn
618,2019-01-02,0.0586549,医疗器械龙头迈瑞医疗跌幅缩窄，早盘一度大跌8%，消息面上，公司此前与200多名应届毕业生“闪电”解约。,wallstreetcn
426,2019-01-02,0.222988,"【迈瑞单方面解约200多名应届生，学校：企业得来商量】迈瑞医疗通过电话解约了秋招的200多名签约应届生，但作为签订了三方协议的一方，众多学校就业办明确表示“不知情”。有学校称：“如果签订三方协议后解约需与学校联系。”（一财）
",wallstreetcn
339,2019-01-02,0.501164,【迈瑞单方面解约三方就业协议 学校发话企业得来商量】2018年的最后两天，医疗器械行业龙头迈瑞医疗(300760.SZ)通过电话解约了秋招的200多名签约应届生，但是作为签订了三方协议的一方，众多学校就业办明确表示“不知情”。,eastmoney
705,2019-01-02,0.475861,医药股持续下挫，康美药业跌停，迈瑞医疗、广誉远跌逾7%。,sina
770,2019-01-03,0.011592,【900亿 迈瑞医疗解约200多应届生的沉重代价！背后是就业市场“冰与火之歌”】这可能是史上最贵的一纸解约。日前，医疗器械行业一哥迈瑞医疗与2018年秋招的200多名应届毕业生闪电解约，并承诺支付5000元赔偿金。消息曝光后舆论一片哗然。受此影响，迈瑞医疗股价持续两天下跌，市值缩水高达900亿。,eastmoney
2348,2019-01-06,0.51795,【迈瑞医疗闪电解约200余名应届生 校招如同“儿戏”】2018年末，深圳迈瑞生物医疗电子股份有限公司与秋招的200多名应届毕业生闪电解约，并承诺予以5000元的赔偿金。涉及到西安、武汉、哈尔滨等多个地区的学生。2018年12月31日中午，记者联系到被解约的多位应届毕业生，他们表示，此次解约使得自己错过了秋招的黄金招聘时间，而明年春招的岗位数量有限，薪资待遇也不如此前。（中国经营网）,sina
1811,2019-01-06,0.51795,【迈瑞医疗闪电解约200余名应届生 校招如同“儿戏”】2018年末，深圳迈瑞生物医疗电子股份有限公司与秋招的200多名应届毕业生闪电解约，并承诺予以5000元的赔偿金。涉及到西安、武汉、哈尔滨等多个地区的学生。2018年12月31日中午，《中国经营报》记者联系到被解约的多位应届毕业生，他们表示，此次解约使得自己错过了秋招的黄金招聘时间，而明年春招的岗位数量有限，薪资待遇也不如此前。（中国经营网）,eastmoney
2484,2019-01-09,0.585474,迈瑞医疗就“部分应届生解除就业协议事件”发布声明称，公司将保持就业协议的有效性，诚挚欢迎各位应届毕业生按原计划到迈瑞就业报到。,eastmoney
2499,2019-01-09,0.230556, 云财经讯，迈瑞医疗就“部分应届生解除就业协议事件”发布声明称，公司将保持就业协议的有效性，诚挚欢迎各位应届毕业生按原计划到迈瑞就业报到。公司同时就该事件给学生、学生家长、学校老师以及公众带来的不良影响致歉。,yuncaijing
829,2019-01-09,0.411691,迈瑞医疗就“部分应届生解除就业协议事件”发布声明称，欢迎应届毕业生按原计划到迈瑞就业报到。,10jqka
