,date,sentiment_score,content,source
120,2019-01-01,0.961299,【中国银行与浦发银行展开海南FT账户体系下多个品种业务办理】海南自由贸易账户(FT账户)体系1日正式上线。中国银行海南省分行于2018年12月28日试运行FT账户，当日上午8:08，海南省首个FT账户在该行开立，开户单位为中免集团三亚市内免税店。当天，中国石化海南炼油化工有限公司、海南农垦投资控股集团、海航航空控股公司、中船重工物贸集团海南公司、太平金融服务公司、海南国贸有限公司、海南金海浆纸业有限公司、海南逸盛石化有限公司、海南生态软件园集团、海南川铁广润实业公司等多家海南省重点企业成为FT账户的首批开户企业，涵盖旅游、热带特色高效农业、互联网、医疗健康、现代金融、现代物流、油气、低碳制造、房地产、高新技术等10个重点产业。（中新网）,sina
325,2019-01-02,0.893475,【武汉船机海西重机签下外贸大订单】2019元旦前夕，中船重工武汉船机海西重机与意大利芬坎蒂尼集团成功签订1台800T-162.5M造船龙门吊项目采购合同。这是意大利芬坎蒂尼集团首次从中国采购船厂门机设备，也是海西重机积极响应国家“一带一路”建设，加快“走出去”步伐的又一里程碑项目。,wallstreetcn
204,2019-01-02,0.913236,云财经讯，2019元旦前夕，中船重工武汉船机海西重机与意大利芬坎蒂尼集团成功签订1台800T-162.5M造船龙门吊项目采购合同。这是意大利芬坎蒂尼集团首次从中国采购船厂门机设备，也是海西重机积极响应国家“一带一路”建设，加快“走出去”步伐的又一里程碑项目。,yuncaijing
324,2019-01-02,0.846556,【中船重工七一一所斩获2700米车道多用途滚装船大单】近日，七一一所成功签订渤海轮渡控股子公司渤海恒通轮渡有限公司2艘2700米车道多用途滚装船主动力系统供货合同。七一一所将为其提供主柴油机、高弹、减速齿轮箱、轴系与可调桨、主推进遥控系统等设备。,wallstreetcn
319,2019-01-02,0.846556,【中船重工七一一所斩获2700米车道多用途滚装船大单】近日，七一一所成功签订渤海轮渡控股子公司渤海恒通轮渡有限公司2艘2700米车道多用途滚装船主动力系统供货合同。七一一所将为其提供主柴油机、高弹、减速齿轮箱、轴系与可调桨、主推进遥控系统等设备。,sina
320,2019-01-02,0.893475,【武汉船机海西重机签下外贸大订单】2019元旦前夕，中船重工武汉船机海西重机与意大利芬坎蒂尼集团成功签订1台800T-162.5M造船龙门吊项目采购合同。这是意大利芬坎蒂尼集团首次从中国采购船厂门机设备，也是海西重机积极响应国家“一带一路”建设，加快“走出去”步伐的又一里程碑项目。,sina
897,2019-01-03,0.862334,云财经讯，今日新股蔚蓝生物申购；广州加大与港澳台芯片产业合作，打造千亿元级产业集群；世界首条钠离子电池生产线量产，商业化进程更进一步；猫眼娱乐最快本月内上市，为内地最大在线电影票务平台；中船重工接连签下大订单，船舶行业持续复苏；美原油收涨逾2%创两周新高。,yuncaijing
1661,2019-01-04,0.988747,【山东成立氢能产业联盟进军氢能全产业链】山东氢能源与燃料电池产业联盟4日在济南成立，将为山东省的氢能源产业发展最大限度集聚各类创新资源，努力破解管理、关键技术、市场三大瓶颈。在技术方面，兖矿集团等山东能源企业具有世界先进水平的煤制氢技术。山东重工、东岳集团等氢燃料电池及相关部件研发企业，正集中力量突破氢燃料电池关键核心技术，推进氢燃料电池汽车示范应用。投资方面，以山东国惠为代表的山东国有资本投资公司，将提供资本支持。（新华社）,sina
1672,2019-01-04,0.988475,【山东成立氢能产业联盟进军氢能全产业链】山东氢能源与燃料电池产业联盟4日在济南成立。在技术方面，兖矿集团等山东能源企业具有世界先进水平的煤制氢技术。山东重工、东岳集团等氢燃料电池及相关部件研发企业，正集中力量突破氢燃料电池关键核心技术，推进氢燃料电池汽车示范应用。投资方面，以山东国惠为代表的山东国有资本投资公司，将提供资本支持。（新华社）,wallstreetcn
1649,2019-01-04,0.660836,【华电重工：签署2.74亿元供货合同】华电重工1月4日晚间公告，近日，公司与山西国际能源裕光煤电有限责任公司（业主方）、中国电力建设工程咨询有限公司（承包方）签署了《山西国际能源裕光煤电有限责任公司盂县电厂2×100万千瓦发电项目四大管道管材、管件及配管设备供货合同》，合同金额约为2.74亿元，约占公司最近一期经审计营业收入的5.67%。,sina
1069,2019-01-04,0.987922,云财经讯，山东氢能源与燃料电池产业联盟4日在济南成立，将为山东省的氢能源产业发展最大限度集聚各类创新资源，努力破解管理、关键技术、市场三大瓶颈。在技术方面，兖矿集团等山东能源企业具有世界先进水平的煤制氢技术。山东重工、东岳集团等氢燃料电池及相关部件研发企业，正集中力量突破氢燃料电池关键核心技术，推进氢燃料电池汽车示范应用。投资方面，以山东国惠为代表的山东国有资本投资公司，将提供资本支持。（新华社）,yuncaijing
2783,2019-01-07,0.851533,最高人民检察院依法对中国船舶重工集团有限公司原党组副书记、总经理孙波决定逮捕。（新华社）,wallstreetcn
2786,2019-01-07,0.851533,"最高人民检察院依法对中国船舶重工集团有限公司原党组副书记、总经理孙波决定逮捕。（新华社）
",wallstreetcn
1744,2019-01-07,0.911112,云财经讯，中国船舶重工集团有限公司原党组副书记、总经理孙波涉嫌受贿、国有公司人员滥用职权一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪、国有公司人员滥用职权罪对孙波作出逮捕决定。该案正在进一步办理中。,yuncaijing
1825,2019-01-07,0.979622,【中船重工部署2019年工作：全面推进军民融合高质量发展】1月5日至6日，中船重工党组召开扩大会议，分析总结2018年工作情况，研究部署2019年发展规划，研究讨论“十三五”规划中期调整。会议强调，集团公司要全面深化改革，扩大高水平开放，全面做好改革发展稳定各项工作，按期保质完成各项科研生产任务，全面推进军民融合高质量发展，为国防现代化建设和社会经济发展作出重要贡献。,eastmoney
1929,2019-01-07,0.963627,【最高人民检察院依法对中船重工原总经理孙波决定逮捕】最高检7日消息，中国船舶重工集团有限公司原党组副书记、总经理孙波涉嫌受贿、国有公司人员滥用职权一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪、国有公司人员滥用职权罪对孙波作出逮捕决定。该案正在进一步办理中。,eastmoney
1548,2019-01-07,0.970497,云财经讯，1月5日至6日，中船重工党组召开扩大会议，分析总结2018年工作情况，研究部署2019年发展规划，研究讨论“十三五”规划中期调整。会议强调，集团公司要全面深化改革，扩大高水平开放，全面做好改革发展稳定各项工作，按期保质完成各项科研生产任务，全面推进军民融合高质量发展，为国防现代化建设和社会经济发展作出重要贡献。,yuncaijing
2387,2019-01-07,0.979622,  【中船重工部署2019年工作：全面推进军民融合高质量发展】1月5日至6日，中船重工党组召开扩大会议，分析总结2018年工作情况，研究部署2019年发展规划，研究讨论“十三五”规划中期调整。会议强调，集团公司要全面深化改革，扩大高水平开放，全面做好改革发展稳定各项工作，按期保质完成各项科研生产任务，全面推进军民融合高质量发展，为国防现代化建设和社会经济发展作出重要贡献。,sina
2635,2019-01-07,0.84108,最高人民检察院依法对中国船舶重工集团有限公司原党组副书记、总经理孙波决定逮捕。,sina
2638,2019-01-07,0.947128,【最高人民检察院依法对孙波决定逮捕】最高检7日消息，中国船舶重工集团有限公司原党组副书记、总经理孙波涉嫌受贿、国有公司人员滥用职权一案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪、国有公司人员滥用职权罪对孙波作出逮捕决定。该案正在进一步办理中。 （新华社）,sina
2230,2019-01-08,0.947678,云财经讯，记者1月8日从大连重工(002204)获悉，公司自主研发的国内单台容量最大的RKEF镍铁生产线电炉近日在山东临沂鑫海新材料公司顺利投用。该项目全部投产后，纯镍产能将达到12.2万吨/年，约为2017年国内镍铁总产量的26.5%，将引领国内镍铁冶炼技术的发展，对推动国内及“一带一路”沿线国家镍基材料项目建设具有重要意义。（中证网）,yuncaijing
3456,2019-01-08,0.959107,【大连重工：国内单台容量最大RKEF镍铁电炉投用】从大连重工获悉，公司自主研发的国内单台容量最大的RKEF镍铁生产线电炉近日在山东临沂鑫海新材料公司顺利投用。该项目全部投产后，纯镍产能将达到12.2万吨/年，约为2017年国内镍铁总产量的26.5%，将引领国内镍铁冶炼技术的发展，对推动国内及“一带一路”沿线国家镍基材料项目建设具有重要意义。（中证网）,wallstreetcn
2275,2019-01-08,0.954835,【大连重工：国内单台容量最大RKEF镍铁电炉投用】记者1月8日从大连重工(002204)获悉，公司自主研发的国内单台容量最大的RKEF镍铁生产线电炉近日在山东临沂鑫海新材料公司顺利投用。该项目全部投产后，纯镍产能将达到12.2万吨/年，约为2017年国内镍铁总产量的26.5%，将引领国内镍铁冶炼技术的发展，对推动国内及“一带一路”沿线国家镍基材料项目建设具有重要意义。（中证网）,eastmoney
3251,2019-01-08,0.959107,【大连重工：国内单台容量最大RKEF镍铁电炉投用】从大连重工获悉，公司自主研发的国内单台容量最大的RKEF镍铁生产线电炉近日在山东临沂鑫海新材料公司顺利投用。该项目全部投产后，纯镍产能将达到12.2万吨/年，约为2017年国内镍铁总产量的26.5%，将引领国内镍铁冶炼技术的发展，对推动国内及“一带一路”沿线国家镍基材料项目建设具有重要意义。（中证网）,sina
2991,2019-01-10,0.919711,【光伏、风电逆市走强】东方财富网10日讯，光伏、风电等能源板块开盘走强，易成新能、茂硕电源、银星能源、泰胜风能等多只个股涨停，隆基股份、通威股份、大金重工均涨超6%。发改委称，中国将根据风电、光伏发电发展状况调整2020年后的平价上网政策。,eastmoney
4597,2019-01-10,0.831438,摩根士丹利：将三一重工评级由“品牌”上调至“超配”，目标价10.50元，即上涨29%。,sina
3296,2019-01-10,0.906467,云财经讯，光伏、风电等能源板块开盘走强，易成新能、茂硕电源、银星能源、泰胜风能等多只个股涨停，隆基股份、通威股份、大金重工均涨超6%。发改委称，中国将根据风电、光伏发电发展状况调整2020年后的平价上网政策。,yuncaijing
3345,2019-01-10,0.861684,云财经讯，摩根士丹利：将三一重工评级由“品牌”上调至“超配”，目标价10.50元，即上涨29%。,yuncaijing
4970,2019-01-10,0.909605,"【1月10日上午复盘】09:25 中信证券开盘大涨7%，消息面上，公司拟作价不超134.6亿元收购广州证券100%股权
09:33 光伏板块开盘大涨，茂顺电源直线封板，隆基股份大涨5%，江苏新能、通威股份、阳光电源集体拉升
09:36 风电板块涨幅居前，龙头泰胜风能一字涨停，大金重工、江苏新能、嘉泽新能纷纷跟涨
09:43 白酒板块开盘下挫，泸州老窖、山西汾酒跌2%，洋河股份、舍得酒业、古井贡酒纷纷跟跌
09:51 光伏板块集体爆发，向日葵、易成新能、珈伟股份、茂顺电源等多只个股涨停，隆基股份大涨8%，江苏新能、芯能科技纷纷跟涨
10:07 雄安新区板块异动，龙头渤海股份率先封板，永清环保冲击涨停，嘉寓股份、保变电气、南国置业等纷纷跟涨
10:31 5G板块异动，龙头新易盛涨8%，麦捷科技、天邑股份集体冲高，邦讯技术、华星创业纷纷跟涨
11:13 民航板块异动，龙头华夏航空大涨4%，南方航空、东方航空、中国国航纷纷跟涨，造纸板块亦有拉升，消息面上，在岸、离岸人民币双双涨破6.80关口",wallstreetcn
5048,2019-01-10,0.62382,风电板块涨幅居前，龙头泰胜风能一字涨停，大金重工、江苏新能、嘉泽新能纷纷跟涨。,wallstreetcn
3717,2019-01-11,0.970138,云财经讯，1月11日上午，大连中远海运重工设计建造的多用途纸浆船“中远海运开拓”轮命名交付。该船为中国船厂建造交付的最大多用途纸浆船，载重可达6.2万吨。船舶能在除南北极外的全球海域航行，不仅可运送纸浆，还可运送高铁列车、风电设备、大型机械设备、超长超重钢管桩结构等。该船船东为中远海运特运，船舶交付后将主要用于中国—巴西之间的纸浆运输，不仅为中国纸浆进口提供了强有力的运力支持，更打破了欧洲船东对纸浆运输市场的垄断地位。（央广）,yuncaijing
5706,2019-01-11,0.97098,【中国造最大多用途纸浆船在大连交付】1月11日上午，大连中远海运重工设计建造的多用途纸浆船“中远海运开拓”轮命名交付。该船为中国船厂建造交付的最大多用途纸浆船，载重可达6.2万吨。船舶能在除南北极外的全球海域航行，不仅可运送纸浆，还可运送高铁列车、风电设备、大型机械设备、超长超重钢管桩结构等。该船船东为中远海运特运，船舶交付后将主要用于中国—巴西之间的纸浆运输，不仅为中国纸浆进口提供了强有力的运力支持，更打破了欧洲船东对纸浆运输市场的垄断地位。（央广）,wallstreetcn
5037,2019-01-11,0.97098,【中国造最大多用途纸浆船在大连交付】1月11日上午，大连中远海运重工设计建造的多用途纸浆船“中远海运开拓”轮命名交付。该船为中国船厂建造交付的最大多用途纸浆船，载重可达6.2万吨。船舶能在除南北极外的全球海域航行，不仅可运送纸浆，还可运送高铁列车、风电设备、大型机械设备、超长超重钢管桩结构等。该船船东为中远海运特运，船舶交付后将主要用于中国—巴西之间的纸浆运输，不仅为中国纸浆进口提供了强有力的运力支持，更打破了欧洲船东对纸浆运输市场的垄断地位。（央广）,sina
3959,2019-01-14,0.385981,【高铁概念股再度走强】东方财富网14日讯，高铁概念股再度走强，太原重工直线封涨停，晋亿实业、晋西车轴、时代新材等多股跟涨。,eastmoney
6135,2019-01-14,0.435285, 高铁概念股再度走强，太原重工直线封涨停，晋亿实业、晋西车轴、时代新材等多股跟涨。,sina
1333,2019-01-14,0.823081,高铁板块异动拉升，太原重工直线涨停，祥和实业、天铁股份、新筑股份、晋亿实业等个股均快速走强。,10jqka
7068,2019-01-16,0.962632,【10兆瓦大功率船用喷水推进装置研制与应用示范通过验收】近日，由中船重工双瑞特装参与重大科研项目《10兆瓦大功率船用喷水推进装置研制与应用示范》顺利通过专家评审及验收，大型复杂薄壁空间曲面双相不锈钢铸件各项指标均优于技术要求。10兆瓦大功率船用喷水推进装置是目前国内功率最大的喷水推进装置，该装置的研制成功打破了国外对大功率10兆瓦喷水推进装置的垄断，实现了国产化，为船舶的升级换代奠定基础。,sina
4582,2019-01-16,0.924628,【国内单台容量最大镍铁电炉近日投产】据辽宁日报1月16日消息，大连华锐重工集团股份有限公司自主研发的国内单台容量最大的RKEF镍铁生产线电炉于近日在山东临沂鑫海新材料公司顺利投产。该项目全部投产后，产能将达到12.2万吨纯镍/年，约占2017年国内镍铁总产量的26.5%，将引领国内镍铁冶炼技术的发展，对国内及“一带一路”沿线国家镍基材料建设项目具有深远的意义。（中国证券网）,eastmoney
13165,2019-01-23,0.675015,天能重工：预计2018年度净利润为1.04亿-1.15亿元，同比增长5%-20%。,wallstreetcn
10688,2019-01-23,0.783452,【天能重工：2018年净利预增5%-20%】天能重工1月23日晚间披露2018年度业绩预告，预盈1亿元至1.15亿元，同比增长5%-20%。报告期营业收入较上年同期增长约90%。净利润较上年同期增长幅度小于营业收入增长幅度，因原材料价格继续上涨。,sina
10729,2019-01-23,0.675015,天能重工：预计2018年度净利润为1.04亿-1.15亿元，同比增长5%-20%。,sina
12077,2019-01-25,0.629359,三一重工：预计2018年净利润59亿元-63.2亿元，同比增加182%-202%，公司挖掘机械、混凝土机械、起重机械、桩工机械等设备销售持续强劲增长。,sina
14866,2019-01-25,0.629359,三一重工：预计2018年净利润59亿元-63.2亿元，同比增加182%-202%，公司挖掘机械、混凝土机械、起重机械、桩工机械等设备销售持续强劲增长。,wallstreetcn
12068,2019-01-25,0.985621,  【国内首台无人驾驶矿车诞生】中国兵器工业集团内蒙古北方重工业集团北方股份公司研制的国内首台无人驾驶电动轮矿车24日成功下线，进入调试阶段，标志着中国成为继美国、日本之后，世界第三个涉足矿用车无人驾驶技术的国家。,sina
7850,2019-01-27,0.378999,【晶澳拟75亿借壳 或成光伏“回A”第一股】晶澳太阳能私有化“回A”又有了新进展。2019年1月21日，秦皇岛天业通联重工股份有限公司连发十条公告，称公司拟作价12.7亿元置出全部资产。同时，拟向晶泰福、其昌电子、深圳博源、靳军淼、晶骏宁昱、晶礼宁华、晶仁宁和、晶德宁福、宁晋博纳发行股份购买其合计持有的晶澳太阳能100%的股权。以截至2018年9月30日的预估值为基础，经交易各方初步协商，标的资产初步交易作价为75亿元。（中国经营报）,eastmoney
