,date,sentiment_score,content,source
103,2019-01-01,0.964897,【中民投董事局主席李怀珍新年致辞：从初创发展走入了转型提升的全新时期】中民投董事局主席李怀珍新年致辞称，历经4年的努力和积累，我们已从初创发展走入了转型提升的全新时期。中民投不仅在保险、融资租赁、资管、投行等金融和类金融业务上取得了卓有成效的发展，更在新能源、装配式建筑、社区服务、医疗大健康、通用航空、金融地产等产业领域打下了扎实的基础，并在一些细分领域跻身领先地位。特别是装配式建筑板块2018年产值预计将实现超300%的增长；保险板块经营情况显著提升，并于去年11月登陆纳斯达克。2019年，将深化梳理整顿提升，强化资产负债管理，持续推进产业聚焦与业务协同，创新开拓新业态、新模式，培育新的增长点，圆满完成企业发展由要素驱动向创新驱动的转变，进一步发挥机制优势，勇担责任，共克时艰。,sina
1,2019-01-01,0.224704,【扫楼探秘：银行保险证券 年终奖能拿多少？】年终奖，这个本应喜气洋洋的词，近年来却成了一个伤心的话题。往年传说中动辄十几万至几十万的金融业年终奖，仿佛就只是一个“传说”。2018年，金融业寒风瑟瑟，金融从业人员的年终奖是否会再降一个台阶？（中国证券网）,eastmoney
1181,2019-01-03,0.130999,"小葱APP讯，币安联合创始人何一在谈到交易所壁垒时表示：首先，交易所本身的壁垒还在于技术层面，比如说撮合交易，你开个饭店，你只需要接待十个客人，这是很容易的；但你要接待10万个客人，或者说100万客人的时候，你的压力是不一样的。再者是国际化竞争；最后是牌照。另外她还认为，2019年可能是行业的调整年：一个是应用的落地，一个是管理的规范。“这个行业本身，就一直在不断地和主流的金融业慢慢趋近或者趋同，2019 年，我觉得在各个国家和地区，可能看到对区块链行业和比特币有更清晰的监管模型。”（星球日报）
",wallstreetcn
1620,2019-01-04,0.971386,"【2019年中国人民银行工作会议在京召开】会议要求：
一、稳健的货币政策保持松紧适度，进一步强化逆周期调节，保持流动性合理充裕和市场利率水平合理稳定。稳步深化汇率市场化改革，保持人民币汇率在合理均衡水平上的基本稳定。
二、进一步落实好金融服务实体经济各项政策措施，按照市场化法治化的原则，继续运用各种政策工具，从债券、信贷、股权等方面引导金融机构加大对民营企业小微企业支持力度。
三、切实防范化解重点领域金融风险。继续推动实施防范化解重大风险攻坚战行动方案，稳定宏观杠杆率，推动出台金融控股公司监管办法，加快补齐金融监管短板，有序化解影子银行风险，继续开展互联网金融风险专项整治。
四、稳步推进人民币国际化，完善离岸人民币市场流动性服务框架。
五、全面做好外汇管理与服务，支持自贸区、自贸港在外汇管理改革方面先行先试。不断完善外汇储备多元化运用。
六、深入参与国际经济金融治理，按照准入前国民待遇加负面清单的模式，推动扩大金融业对外开放。
七、加快推动金融市场创新发展和金融机构改革。完善债券市场违约处置机制，做好违约风险市场化法治化处置。支持境外主体在境内发债融资，鼓励境外投资者投资中国债券市场。
八、全面提高金融服务与金融管理水平。
九、继续加强内部管理。
",wallstreetcn
1621,2019-01-04,0.927827,"【2019年中国人民银行工作会议在京召开】一是稳健的货币政策保持松紧适度，进一步强化逆周期调节，保持流动性合理充裕和市场利率水平合理稳定。稳步深化汇率市场化改革，保持人民币汇率在合理均衡水平上的基本稳定。
二是进一步落实好金融服务实体经济各项政策措施，按照市场化法治化的原则，继续运用各种政策工具，从债券、信贷、股权等方面引导金融机构加大对民营企业小微企业支持力度。
三是切实防范化解重点领域金融风险。继续推动实施防范化解重大风险攻坚战行动方案，稳定宏观杠杆率，推动出台金融控股公司监管办法，加快补齐金融监管短板，有序化解影子银行风险，继续开展互联网金融风险专项整治。
四是稳步推进人民币国际化，完善离岸人民币市场流动性服务框架。
五是全面做好外汇管理与服务，支持自贸区、自贸港在外汇管理改革方面先行先试。不断完善外汇储备多元化运用。
六是深入参与国际经济金融治理，按照准入前国民待遇加负面清单的模式，推动扩大金融业对外开放。
七是加快推动金融市场创新发展和金融机构改革。完善债券市场违约处置机制，做好违约风险市场化法治化处置。
八是全面提高金融服务与金融管理水平。
九是继续加强内部管理。",wallstreetcn
985,2019-01-04,0.983502,云财经讯，李克强总理1月4日考察中国银行，来到普惠金融业务窗口向客户和工作人员仔细询问小微企业贷款规模、成本和便利情况。总理说，中国银行是面向全球的国际化银行，是一块金字招牌，要更多更好借鉴国际上普惠金融的先进经验。要通过发展壮大普惠金融，更大力度支持民营企业和小微企业，进一步激发市场活力、扩大就业，实现包容性发展。,yuncaijing
1534,2019-01-05,0.899216,【年终奖来了！从1万到上百万！2018年金融业年终奖大揭秘！】2018年，金融业依旧寒风瑟瑟。“金融民工们”忙活一年了，年终奖能收获几成？记者采访了包括银行、保险、信托、券商、基金等行业的数十位内部人士，以期揭秘金融业的冷暖生态。（国际金融报）,eastmoney
2794,2019-01-07,0.944124,"小葱APP讯，今日汇通网盘点了2018年十大金融业热词，分别为：1）美国政府关门；2）英国脱欧；3）全球贸易摩擦；4）意大利预算危机；5）德国经济失速；6）加密货币泡沫；7）伊朗制裁；8）美联储加息；9）新兴市场货币危机；10）美债收益率。（汇通网）
",wallstreetcn
3047,2019-01-08,0.988045,【上海市委书记会见瑞银集团董事会主席】上海市委书记李强今天上午会见了瑞士瑞银集团董事会主席魏柏昂一行。李强说，我们将按照中央决策部署，在防范金融风险、确保金融安全的前提下，加大金融业对外开放力度，积极吸引外资金融机构集聚。上海将提供更优服务、营造更好环境，支持瑞银集团在沪取得更大发展。,sina
2074,2019-01-08,0.987491,云财经讯，上海市委书记李强今天上午会见了瑞士瑞银集团董事会主席魏柏昂一行。李强说，我们将按照中央决策部署，在防范金融风险、确保金融安全的前提下，加大金融业对外开放力度，积极吸引外资金融机构集聚。上海将提供更优服务、营造更好环境，支持瑞银集团在沪取得更大发展。,yuncaijing
4269,2019-01-10,0.9716,【怡亚通：与株洲金控集团旗下公司战略合作】记者获悉，日前，株洲金控集团旗下湖南金通商业保理有限公司与怡亚通达成战略合作，确定向流通保平台提供高达1亿人民币的授信额度。该额度将用于怡亚通供应链金融业务的拓展，怡亚通无需为资金使用方提供担保。,sina
3079,2019-01-10,0.956401,云财经讯，记者获悉，日前，株洲金控集团旗下湖南金通商业保理有限公司与怡亚通达成战略合作，确定向流通保平台提供高达1亿人民币的授信额度。该额度将用于怡亚通供应链金融业务的拓展，怡亚通无需为资金使用方提供担保。,yuncaijing
3614,2019-01-11,0.430066,云财经讯，11日，银保监会首席风险官、新闻发言人肖远企表示，过去两年，监管部门对于通道业务等交叉金融业务的是有针对性的“精准打击”，而不是采取一刀切的办法进行强监管，重点整治以下两类通道业务：一是助推资金“脱实向虚”的金融业务，如对部分理财、同业、表外融资等进行规范监管。二是重点针对违法违规、扰乱市场秩序的通道业务进行整顿。对于部分在市场兴风作浪的违法违规金融活动和金融机构进行严厉打击。,yuncaijing
5549,2019-01-11,0.0469307,"【银保监会：整顿通道业务不存在一刀切，重点“精准打击”两类业务】银保监会首席风险官肖远企表示，过去两年，监管部门对于通道业务等交叉金融业务的是有针对性的“精准打击”，而不是采取一刀切的办法进行强监管，重点整治以下两类通道业务：一是助推资金“脱实向虚”的金融业务，如对部分理财、同业、表外融资等进行规范监管。二是重点针对违法违规、扰乱市场秩序的通道业务进行整顿。对于部分在市场兴风作浪的违法违规金融活动和金融机构进行严厉打击。
",wallstreetcn
5548,2019-01-11,0.0469307,【银保监会：整顿通道业务不存在一刀切，重点“精准打击”两类业务】银保监会首席风险官肖远企表示，过去两年，监管部门对于通道业务等交叉金融业务的是有针对性的“精准打击”，而不是采取一刀切的办法进行强监管，重点整治以下两类通道业务：一是助推资金“脱实向虚”的金融业务，如对部分理财、同业、表外融资等进行规范监管。二是重点针对违法违规、扰乱市场秩序的通道业务进行整顿。对于部分在市场兴风作浪的违法违规金融活动和金融机构进行严厉打击。,wallstreetcn
4908,2019-01-11,0.0492197,【银保监会：整顿通道业务不存在一刀切 重点“精准打击”两类业务】银保监会首席风险官肖远企表示，过去两年，监管部门对于通道业务等交叉金融业务的是有针对性的“精准打击”，而不是采取一刀切的办法进行强监管，重点整治以下两类通道业务：一是助推资金“脱实向虚”的金融业务，如对部分理财、同业、表外融资等进行规范监管。二是重点针对违法违规、扰乱市场秩序的通道业务进行整顿。对于部分在市场兴风作浪的违法违规金融活动和金融机构进行严厉打击。,sina
