,date,sentiment_score,content,source
182,2019-01-01,0.970739,【安徽提前两年完成 “十三五”钢铁去产能任务】2018年12月27日，马钢集团列入2018年钢铁去产能任务的2座高炉和2座转炉顺利通过省去产能任务验收，实际退出炼铁产能100万吨、粗钢产能128万吨。这标志着安徽省2018年钢铁去产能任务完成，也意味着安徽省提前两年完成了“十三五”期间的钢铁去产能任务。,sina
55,2019-01-01,0.974614,"【安徽提前两年完成 “十三五”钢铁去产能任务】对冲研投讯，据安徽日报，2018年12月27日，马钢集团列入2018年钢铁去产能任务的2座高炉和2座转炉顺利通过省去产能任务验收，实际退出炼铁产能100万吨、粗钢产能128万吨。这标志着安徽省2018年钢铁去产能任务完成，也意味着安徽省提前两年完成了“十三五”期间的钢铁去产能任务。
",wallstreetcn
56,2019-01-01,0.974614,"【安徽提前两年完成 “十三五”钢铁去产能任务】对冲研投讯，据安徽日报，2018年12月27日，马钢集团列入2018年钢铁去产能任务的2座高炉和2座转炉顺利通过省去产能任务验收，实际退出炼铁产能100万吨、粗钢产能128万吨。这标志着安徽省2018年钢铁去产能任务完成，也意味着安徽省提前两年完成了“十三五”期间的钢铁去产能任务。
",wallstreetcn
57,2019-01-01,0.974614,"【安徽提前两年完成 “十三五”钢铁去产能任务】对冲研投讯，据安徽日报，2018年12月27日，马钢集团列入2018年钢铁去产能任务的2座高炉和2座转炉顺利通过省去产能任务验收，实际退出炼铁产能100万吨、粗钢产能128万吨。这标志着安徽省2018年钢铁去产能任务完成，也意味着安徽省提前两年完成了“十三五”期间的钢铁去产能任务。
",wallstreetcn
170,2019-01-01,0.960675,【安徽提前两年完成 “十三五”钢铁去产能任务】2018年12月27日，马钢集团列入2018年钢铁去产能任务的2座高炉和2座转炉顺利通过省去产能任务验收，实际退出炼铁产能100万吨、粗钢产能128万吨。这标志着安徽省2018年钢铁去产能任务完成，也意味着安徽省提前两年完成了“十三五”期间的钢铁去产能任务。（安徽日报）,wallstreetcn
144,2019-01-01,0.957966,云财经讯，2018年12月27日，马钢集团列入2018年钢铁去产能任务的2座高炉和2座转炉顺利通过省去产能任务验收，实际退出炼铁产能100万吨、粗钢产能128万吨。这标志着安徽省2018年钢铁去产能任务完成，也意味着安徽省提前两年完成了“十三五”期间的钢铁去产能任务。,yuncaijing
593,2019-01-02,0.992936,【河北省钢铁行业运行整体稳中趋缓】1月1日，河北省冶金行业协会发布的2018年12月份河北省钢铁行业采购经理指数（PMI）为44.7%，环比上升0.5个百分点，连续两个月处于收缩区间。当月，国家宏观利好政策频发，钢铁企业集中检修，下游对钢铁需求整体表现尚可，国内钢材市场消极心态有所修复，符合预期。2019年1月份，钢材市场将逐步进入“有价无市”阶段，下游终端陆续停工，贸易商开启冬储模式，预计钢材价格以稳为主。,sina
654,2019-01-02,0.202017,"【黑色重要数据事件预告：今日重点关注找钢网公布的钢铁库存数据】对冲研投讯，2019年1月2日 星期三
1. 找钢网公布钢铁库存数据
2.Mysteel公布港口铁矿石到港量以及外矿发货情况
3.钢谷网公布中西部地区钢铁库存及厂库数据
",wallstreetcn
465,2019-01-02,0.986252,【河北省钢铁行业运行整体稳中趋缓】1月1日，河北省冶金行业协会发布的2018年12月份河北省钢铁行业采购经理指数(PMI)为44.7%，环比上升0.5个百分点，连续两个月处于收缩区间。当月，国家宏观利好政策频发，钢铁企业集中检修，下游对钢铁需求整体表现尚可，国内钢材市场消极心态有所修复，符合预期。2019年1月份，钢材市场将逐步进入“有价无市”阶段，下游终端陆续停工，贸易商开启冬储模式，预计钢材价格以稳为主。（河北经济网）,eastmoney
493,2019-01-02,0.951039,云财经讯，展望2019年，钢铁业面临的形势更为复杂，情况不及2018年乐观。“2019年预计我国钢材需求总量小幅下降。”冶金工业规划研究院院长李新创表示，2019年我国经济发展将保持相对平稳增长态势。根据预测，2019年我国钢材需求量为8亿吨，同比下降2.4%；粗钢产量为9亿吨，同比下降2.5%。随着钢铁企业效益好转，新增产能、“地条钢”死灰复燃。从有关抽查情况和近期收到举报情况看，杜绝钢铁产能违法违规行为、巩固化解过剩产能成果依然面临很大压力。（经济日报）,yuncaijing
