,date,sentiment_score,content,source
7924,2019-01-17,0.741573,  长江电力：2018年实现净利润226.30亿元，同比增长1.66%。,sina
4858,2019-01-17,0.789168,【长江电力：2018年度净利润226.30亿元 同比增长1.66%】“长江电力”6009001月17日晚披露业绩快报，公司2018年度营业收入512.47亿元，同比增长2.20%；净利润226.30亿元，同比增长1.66%；基本每股收益1.0286元。指标变动主要是由于2018年公司售电收入增加所致。,eastmoney
9516,2019-01-17,0.837138,长江电力业绩快报：2018年度实现营收512.47亿元，同比增长2.20%；实现净利润270.42亿元，同比增长1.45%；主要是由于公司售电收入增加所致。,wallstreetcn
5310,2019-01-17,0.840504,云财经讯，长江电力业绩快报：2018年度实现营收512.47亿元，同比增长2.20%；实现净利润270.42亿元，同比增长1.45%；主要是由于公司售电收入增加所致,yuncaijing
9946,2019-02-03,0.0694674,【狗年十大“佛系”股票出炉！高股息股云集 最淡定股波动不到15% 这些股上市以来分红率超50%】在沪指狗年波动较为剧烈背景下，部分个股仍然表现出一定的“佛系”特征，狗年股价较为稳定。股谚有云：横有多长，竖有多高。这些横盘了一年的个股，哪些会在猪年选择向上突破？数据宝统计显示，41股狗年振幅低于25%，其中重庆水务、宁沪高速、长江电力等8股上市以来分红率超50%，川投能源、杭州银行2股距机构目标价上涨空间超40%。（数据宝）,eastmoney
16192,2019-02-03,0.0836575,【41股狗年振幅低于25%】统计显示，狗年234个交易日中，实际交易时间占比超九成的个股中，有41股狗年振幅低于25%。具体来看，杭州银行狗年振幅为14.05%，为狗年最淡定股票；紧随其后的是交通银行，狗年振幅为18.17%；川投能源、深圳机场、上海石化、申能股份、宁沪高速、长江电力、大秦铁路7股狗年振幅均低于20%。（数据宝）,sina
10694,2019-02-08,0.0539514,【A股最“抠门”公司上市26年零派现 最豪气公司已发8000亿红包】数据宝统计显示，剔除2017年以来上市公司，两市共有31家公司从未有过现金分红。上述31家公司中，除汉王科技外，其余30家公司均为主板上市公司。分行业来看，未现金分红公司多来自传统行业，高科技行业上榜公司并不多。从上市时间来看，中国天楹、阳煤化工、紫光学大等23家公司上市超过20年却从未现金分红，其中金杯汽车与*ST 毅达于1992年上市，上市时间已超26年。工商银行以8158.26亿元的现金分红金额位居首位，上市至今已实施现金分红12次，分红率达31.37%。除上述11家外，中国平安、长江电力、兴业银行与大秦铁路等8家公司现金分红总额也居前，均超600亿元。（数据宝）,eastmoney
30047,2019-03-08,0.944433,【三峡水利：公司控制权或变更 筹划重大资产重组】三峡水利公告，公司拟通过发行股份等方式购买联合能源控股权、长兴电力100%股权，同时募集配套资金，预计构成重大资产重组，股票自11日起停牌。此外，公司接到股东长江电力通知，获悉：公司股东长电资本（长江电力全资子公司）拟与公司某在册国资股东签署一致行动协议。长江电力及其一致行动人合计持股比例预计将超过公司现实控人水利部综合事业局所控制的持股比例。该事项可能涉及公司控制权变更。,sina
33401,2019-03-15,0.411123,"【国投电力：获长江电力举牌】国投电力公告称，自2018年1月2日至2019年3月15日，长江电力通过上海证券交易所系统增持公司股份339,301,147股，约占公司总股本的5.00%。",sina
42718,2019-03-15,0.211182,川投能源：获长江电力举牌，持股比例达10%，拟继续增持不低于100万股。,wallstreetcn
