,date,sentiment_score,content,source
921,2019-01-03,0.950301,【顺丰控股：子公司拟在境内外发行不超等值人民币160亿元债务融资产品】顺丰控股公告，为满足公司境内外业务发展需求，降低融资成本，优化债务结构，公司董事会审议通过议案，同意公司通过下属全资子公司顺丰泰森及SF Holding Investment Limited在境内外发行不超过等值人民币160亿元债务融资产品。,sina
704,2019-01-03,0.935499,【顺丰控股：子公司拟在境内外发行不超等值人民币160亿元债务融资产品】顺丰控股(002352)1月3日晚间公告，为满足公司境内外业务发展需求，降低融资成本，优化债务结构，公司董事会审议通过议案，同意公司通过下属全资子公司顺丰泰森及SF Holding Investment Limited(简称“SFHI”)在境内外发行不超过等值人民币160亿元债务融资产品。,eastmoney
942,2019-01-03,0.980808,"小葱APP讯，日前，由丰收科技有限公司为顺丰控股打造的供应链金融科技平台开始试运营。顺丰控股负责区块链系统的开发。系统可形成针对供应商的应收账款电子凭证，并且可以流转、拆分、持有、融资，进而可实现为多级供应商融资，也将帮助产业链条获得更低成本的资金。（每经网）
",wallstreetcn
862,2019-01-03,0.950301,【顺丰控股：子公司拟在境内外发行不超等值人民币160亿元债务融资产品】顺丰控股公告，为满足公司境内外业务发展需求，降低融资成本，优化债务结构，公司董事会审议通过议案，同意公司通过下属全资子公司顺丰泰森及SF Holding Investment Limited在境内外发行不超过等值人民币160亿元债务融资产品。,wallstreetcn
598,2019-01-03,0.912023,云财经讯，顺丰控股(002352)1月3日晚间公告，为满足公司境内外业务发展需求，降低融资成本，优化债务结构，公司董事会审议通过议案，同意公司通过下属全资子公司顺丰泰森及SF Holding Investment Limited（简称“SFHI”）在境内外发行不超过等值人民币160亿元债务融资产品。,yuncaijing
2679,2019-01-09,0.927622,【顺丰控股市值1年缩水1600亿 公司忙融资股东却急套现】2019年伊始，顺丰控股就走上了融资道路。1月3日晚间，顺丰控股发布公告，拟通过两家全资子公司发行不超过等值160亿元债务融资产品，所募资金在扣除发行费用后，用于补充运营资金、偿还银行贷款等用途。（中国网财经）,eastmoney
2820,2019-01-10,0.928738,【“缺钱”的顺丰控股：市值缩水1624亿 负债超300亿 股东套现逾30亿！】2019年才刚刚起步，顺丰控股就迫不及待开启融资步伐。日前，顺丰控股公告称，拟通过两家全资子公司发行不超过等值160亿元债务融资产品。伴随着不断融资的是公司负债的不断攀升，同时，公司股价亦持续低迷。深究下去，则是顺丰多元化扩张扩展过程中的必然经历的阵痛。,eastmoney
7075,2019-01-16,0.901012,【顺丰控股：鄂州民用机场获发改委批复，项目总投资320.63亿元】顺丰控股公告，发改委发布《关于新建湖北鄂州民用机场工程可行性研究报告的批复》，同意新建鄂州民用机场，项目总投资320.63亿元。此外，截至目前，机场合资公司已取得《民航局关于湖北鄂州民用机场总体规划的批复》。此前，顺丰泰森出资23亿元参与设立机场合资公司，持股比例为46%，合资公司将全面负责鄂州机场的建设和运营。,sina
4931,2019-01-16,0.829478,云财经讯，顺丰控股公告，发改委发布《关于新建湖北鄂州民用机场工程可行性研究报告的批复》，同意新建鄂州民用机场，项目总投资320.63亿元。此外，截至目前，机场合资公司已取得《民航局关于湖北鄂州民用机场总体规划的批复》。此前，顺丰泰森出资23亿元参与设立机场合资公司，持股比例为46%，合资公司将全面负责鄂州机场的建设和运营。,yuncaijing
8349,2019-01-16,0.901012,【顺丰控股：鄂州民用机场获发改委批复，项目总投资320.63亿元】顺丰控股公告，发改委发布《关于新建湖北鄂州民用机场工程可行性研究报告的批复》，同意新建鄂州民用机场，项目总投资320.63亿元。此外，截至目前，机场合资公司已取得《民航局关于湖北鄂州民用机场总体规划的批复》。此前，顺丰泰森出资23亿元参与设立机场合资公司，持股比例为46%，合资公司将全面负责鄂州机场的建设和运营。,wallstreetcn
