,date,sentiment_score,content,source
37,2019-01-01,0.9831,【景峰医药：子公司药品获得美国ANDA批准文号】景峰医药1月1日晚公告，控股子公司尚进收到美国食品药品监督管理局（FDA）的通知，尚进与天津金耀集团在美国的合资公司向FDA申报的泼尼松片的新药获得美国FDA批准文号，标志着公司具备在美国市场销售该产品的资格，将对公司拓展美国制剂市场、提升业绩带来积极的影响。泼尼松片用于治疗肾上腺皮质功能减退症、活动性风湿病、类风湿性关节炎、全身性红斑狼疮症等症状。,sina
24,2019-01-01,0.977831,云财经讯，景峰医药(000908)1月1日晚公告，控股子公司尚进收到美国食品药品监督管理局（FDA）的通知，尚进与天津金耀集团在美国的合资公司向FDA申报的泼尼松片的新药获得美国FDA批准文号，标志着公司具备在美国市场销售该产品的资格，将对公司拓展美国制剂市场、提升业绩带来积极的影响。泼尼松片用于治疗肾上腺皮质功能减退症、活动性风湿病、类风湿性关节炎、全身性红斑狼疮症等症状。,yuncaijing
29,2019-01-01,0.971269,【景峰医药：子公司药品获得美国ANDA批准文号】景峰医药(000908)1月1日晚公告，控股子公司尚进收到美国食品药品监督管理局(FDA)的通知，尚进与天津金耀集团在美国的合资公司向FDA申报的泼尼松片的新药获得美国FDA批准文号，标志着公司具备在美国市场销售该产品的资格，将对公司拓展美国制剂市场、提升业绩带来积极的影响。泼尼松片用于治疗肾上腺皮质功能减退症、活动性风湿病、类风湿性关节炎、全身性红斑狼疮症等症状。（证券时报）,eastmoney
744,2019-01-02,0.861041,【近800家上市公司2018年业绩预喜】Wind数据显示，两市已有1232家上市公司公布了全年业绩预告，披露比例超过1/3。与以往类似，目前公布业绩预告的公司主要集中在中小板。1232家公司中，除72家公司业绩不确定之外，预喜(包括续盈)企业数目达到792家，预喜比例达65%。行业方面，化工、酒类及食品制造、医药、建材等行业预喜企业数量和占比均居于前列，行业全年业绩预期向好。（中国证券报）,wallstreetcn
558,2019-01-02,0.952833,云财经讯，​农历新年渐行渐近，食品、白酒、旅游、影视等大消费产业相应进入消费旺季。除短期节日效应外，长期来看，大消费产业整体较高的景气度也是板块继续走强的有力支撑。新个税法1月1日起正式施行，个税起征点由3500元提高到5000元，并增加了子女教育、继续教育、大病医疗、住房贷款利息或者住房租金、赡养老人等6个专项附加扣除，这成为大消费板块的另一重大利好。（证券日报）,yuncaijing
544,2019-01-02,0.838817,云财经讯，Wind数据显示，两市已有1232家上市公司公布了全年业绩预告，披露比例超过1/3。与以往类似，目前公布业绩预告的公司主要集中在中小板。1232家公司中，除72家公司业绩不确定之外，预喜(包括续盈)企业数目达到792家，预喜比例达65%。行业方面，化工、酒类及食品制造、医药、建材等行业预喜企业数量和占比均居于前列，行业全年业绩预期向好。（中国证券报）,yuncaijing
227,2019-01-02,0.69162,云财经讯，紫鑫药业(002118)1月2日晚间公告，近日，公司全资子公司紫鑫参工堂新增食品产品“红参浸膏粉”获得梅河口市市场监管局颁发的《食品生产许可证》。标志着以“红参浸膏粉”为主要原料的“长白山2691”系列产品已达到以食品标准进行生产、销售的状态，有效的进一步优化了公司人参产品结构，公司将按照相关经营安排陆续投产。,yuncaijing
633,2019-01-02,0.70967,【近800家上市公司2018年业绩预喜】统计数据显示，两市已有1232家上市公司公布了全年业绩预告，披露比例超过1/3。与以往类似，目前公布业绩预告的公司主要集中在中小板。1232家公司中，除72家公司业绩不确定之外，预喜(包括续盈)企业数目达到792家，预喜比例达65%。行业方面，化工、酒类及食品制造、医药、建材等行业预喜企业数量和占比均居于前列，行业全年业绩预期向好。（中国证券报）,eastmoney
818,2019-01-02,0.861041,【近800家上市公司2018年业绩预喜】Wind数据显示，两市已有1232家上市公司公布了全年业绩预告，披露比例超过1/3。与以往类似，目前公布业绩预告的公司主要集中在中小板。1232家公司中，除72家公司业绩不确定之外，预喜(包括续盈)企业数目达到792家，预喜比例达65%。行业方面，化工、酒类及食品制造、医药、建材等行业预喜企业数量和占比均居于前列，行业全年业绩预期向好。（中国证券报）,sina
841,2019-01-02,0.955142,【大消费迎“旺季+政策”双利好】农历新年渐行渐近，食品、白酒、旅游、影视等大消费产业相应进入消费旺季。除短期节日效应外，长期来看，大消费产业整体较高的景气度也是板块继续走强的有力支撑。新个税法1月1日起正式施行，个税起征点由3500元提高到5000元，并增加了子女教育、继续教育、大病医疗、住房贷款利息或者住房租金、赡养老人等6个专项附加扣除，这成为大消费板块的另一重大利好。（证券日报）,sina
